# _root_ Pro investora se připravují informace o podnicích v odvětví , o situaci na trhu , představuje se lokalita a infrastruktura a poskytují se i další nezbytná data .
#goldHeads=4,1,4,21,4,10,6,7,8,5,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
#predictedHeads=4,1,4,0,4,5,6,7,8,21,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
(11,10),-0.654814 # DEPENDENCYPART_ARC
(11,12),2.33976 # DEPENDENCYPART_ARC
(11,14),-0.640911 # DEPENDENCYPART_ARC
(11,15),-0.649747 # DEPENDENCYPART_ARC
(11,19),-0.274597 # DEPENDENCYPART_ARC
(11,21),-1.04679 # DEPENDENCYPART_ARC
(12,13),0.656728 # DEPENDENCYPART_ARC
(12,14),-1.5301 # DEPENDENCYPART_ARC
(12,15),-0.973303 # DEPENDENCYPART_ARC
(12,16),-1.91432 # DEPENDENCYPART_ARC
(12,18),-2.52128 # DEPENDENCYPART_ARC
(12,19),-0.889996 # DEPENDENCYPART_ARC
(12,21),-0.933956 # DEPENDENCYPART_ARC
(12,22),-3.00258 # DEPENDENCYPART_ARC
(12,24),-1.33518 # DEPENDENCYPART_ARC
(12,25),-4.24223 # DEPENDENCYPART_ARC
(13,9),-1.97086 # DEPENDENCYPART_ARC
(13,10),-0.953043 # DEPENDENCYPART_ARC
(13,11),-0.50128 # DEPENDENCYPART_ARC
(13,12),-0.717772 # DEPENDENCYPART_ARC
(13,14),2.42042 # DEPENDENCYPART_ARC
(13,15),-1.249 # DEPENDENCYPART_ARC
(13,18),-3.91289 # DEPENDENCYPART_ARC
(13,19),-1.01899 # DEPENDENCYPART_ARC
(14,13),-0.362082 # DEPENDENCYPART_ARC
(14,16),-2.21252 # DEPENDENCYPART_ARC
(14,18),-2.53411 # DEPENDENCYPART_ARC
(14,19),-1.42845 # DEPENDENCYPART_ARC
(14,21),-1.36021 # DEPENDENCYPART_ARC
(14,24),-1.98737 # DEPENDENCYPART_ARC
(15,1),-1.27993 # DEPENDENCYPART_ARC
(15,2),-1.71499 # DEPENDENCYPART_ARC
(15,4),-0.62077 # DEPENDENCYPART_ARC
(15,5),-1.04477 # DEPENDENCYPART_ARC
(15,6),-1.061 # DEPENDENCYPART_ARC
(15,7),-1.37458 # DEPENDENCYPART_ARC
(15,8),-1.13891 # DEPENDENCYPART_ARC
(15,9),-1.55541 # DEPENDENCYPART_ARC
(15,10),-0.651687 # DEPENDENCYPART_ARC
(15,11),-0.768733 # DEPENDENCYPART_ARC
(15,12),-0.896204 # DEPENDENCYPART_ARC
(15,13),-1.14279 # DEPENDENCYPART_ARC
(15,14),-1.2162 # DEPENDENCYPART_ARC
(15,16),-0.67985 # DEPENDENCYPART_ARC
(15,18),-1.79201 # DEPENDENCYPART_ARC
(15,20),-2.34481 # DEPENDENCYPART_ARC
(15,22),-2.58158 # DEPENDENCYPART_ARC
(16,1),-1.11486 # DEPENDENCYPART_ARC
(16,2),-2.22681 # DEPENDENCYPART_ARC
(16,3),-1.50266 # DEPENDENCYPART_ARC
(16,4),-2.3668 # DEPENDENCYPART_ARC
(16,5),-1.56203 # DEPENDENCYPART_ARC
(16,6),-1.90316 # DEPENDENCYPART_ARC
(16,7),-2.72513 # DEPENDENCYPART_ARC
(16,8),-1.53022 # DEPENDENCYPART_ARC
(16,9),-2.75856 # DEPENDENCYPART_ARC
(16,10),-0.75345 # DEPENDENCYPART_ARC
(16,11),-0.569608 # DEPENDENCYPART_ARC
(16,12),-1.626 # DEPENDENCYPART_ARC
(16,13),-1.00905 # DEPENDENCYPART_ARC
(16,14),-1.79027 # DEPENDENCYPART_ARC
(16,15),-0.390976 # DEPENDENCYPART_ARC
(16,17),1.46001 # DEPENDENCYPART_ARC
(16,18),1.21377 # DEPENDENCYPART_ARC
(16,19),-0.0594202 # DEPENDENCYPART_ARC
(16,20),-0.113675 # DEPENDENCYPART_ARC
(16,21),-0.461996 # DEPENDENCYPART_ARC
(16,22),-2.23722 # DEPENDENCYPART_ARC
(16,24),-1.25576 # DEPENDENCYPART_ARC
(16,25),-2.15199 # DEPENDENCYPART_ARC
(16,27),-1.02982 # DEPENDENCYPART_ARC
(18,17),-3.10777 # DEPENDENCYPART_ARC
(18,20),-1.87486 # DEPENDENCYPART_ARC
(19,1),-1.49517 # DEPENDENCYPART_ARC
(19,2),-1.20336 # DEPENDENCYPART_ARC
(19,4),-1.45216 # DEPENDENCYPART_ARC
(19,5),-0.761074 # DEPENDENCYPART_ARC
(19,7),-0.960719 # DEPENDENCYPART_ARC
(19,8),-1.42346 # DEPENDENCYPART_ARC
(19,9),-0.184536 # DEPENDENCYPART_ARC
(19,10),-0.438214 # DEPENDENCYPART_ARC
(19,11),-1.30503 # DEPENDENCYPART_ARC
(19,12),-0.670038 # DEPENDENCYPART_ARC
(19,14),-0.0200558 # DEPENDENCYPART_ARC
(19,15),-0.0986212 # DEPENDENCYPART_ARC
(19,16),0.545215 # DEPENDENCYPART_ARC
(19,17),0.0532002 # DEPENDENCYPART_ARC
(19,18),2.38335 # DEPENDENCYPART_ARC
(19,20),2.42862 # DEPENDENCYPART_ARC
(19,21),-0.229208 # DEPENDENCYPART_ARC
(19,22),-0.0250273 # DEPENDENCYPART_ARC
(19,24),-1.46432 # DEPENDENCYPART_ARC
(19,25),-2.47408 # DEPENDENCYPART_ARC
(19,26),-2.97811 # DEPENDENCYPART_ARC
(19,27),-1.62221 # DEPENDENCYPART_ARC
(20,17),-5.12794 # DEPENDENCYPART_ARC
(20,18),-2.04285 # DEPENDENCYPART_ARC
(20,27),-3.38242 # DEPENDENCYPART_ARC
(21,1),-1.01783 # DEPENDENCYPART_ARC
(21,2),-1.47319 # DEPENDENCYPART_ARC
(21,4),-0.303314 # DEPENDENCYPART_ARC
(21,5),-1.09336 # DEPENDENCYPART_ARC
(21,6),-1.55589 # DEPENDENCYPART_ARC
(21,7),-1.2384 # DEPENDENCYPART_ARC
(21,8),-1.29705 # DEPENDENCYPART_ARC
(21,9),-1.26564 # DEPENDENCYPART_ARC
(21,10),-0.303594 # DEPENDENCYPART_ARC
(21,11),-1.08954 # DEPENDENCYPART_ARC
(21,12),-1.01205 # DEPENDENCYPART_ARC
(21,13),-1.16386 # DEPENDENCYPART_ARC
(21,14),-1.07815 # DEPENDENCYPART_ARC
(21,15),0.175293 # DEPENDENCYPART_ARC
(21,16),1.3159 # DEPENDENCYPART_ARC
(21,17),-0.582706 # DEPENDENCYPART_ARC
(21,18),-0.463901 # DEPENDENCYPART_ARC
(21,19),-0.306608 # DEPENDENCYPART_ARC
(21,20),-0.231099 # DEPENDENCYPART_ARC
(21,22),1.78397 # DEPENDENCYPART_ARC
(21,23),-1.35296 # DEPENDENCYPART_ARC
(21,24),-1.27765 # DEPENDENCYPART_ARC
(21,25),-1.87922 # DEPENDENCYPART_ARC
(21,26),-2.45986 # DEPENDENCYPART_ARC
(21,27),-1.05702 # DEPENDENCYPART_ARC
(21,28),-0.990197 # DEPENDENCYPART_ARC
(22,3),-2.78281 # DEPENDENCYPART_ARC
(22,4),-3.47695 # DEPENDENCYPART_ARC
(22,17),-0.905431 # DEPENDENCYPART_ARC
(22,18),-1.64863 # DEPENDENCYPART_ARC
(22,20),-1.08214 # DEPENDENCYPART_ARC
(22,23),1.6905 # DEPENDENCYPART_ARC
(22,24),-0.405452 # DEPENDENCYPART_ARC
(22,25),-0.477513 # DEPENDENCYPART_ARC
(22,26),-0.480499 # DEPENDENCYPART_ARC
(22,27),0.452983 # DEPENDENCYPART_ARC
(24,14),-2.30488 # DEPENDENCYPART_ARC
(24,15),-1.84946 # DEPENDENCYPART_ARC
(24,17),-2.38119 # DEPENDENCYPART_ARC
(24,18),-1.48762 # DEPENDENCYPART_ARC
(24,20),-1.28381 # DEPENDENCYPART_ARC
(24,22),-1.31401 # DEPENDENCYPART_ARC
(24,23),-0.685072 # DEPENDENCYPART_ARC
(24,25),-0.67308 # DEPENDENCYPART_ARC
(24,26),-1.97741 # DEPENDENCYPART_ARC
(24,27),-2.18729 # DEPENDENCYPART_ARC
(25,20),-2.60695 # DEPENDENCYPART_ARC
(25,23),-1.73891 # DEPENDENCYPART_ARC
(25,24),-0.281168 # DEPENDENCYPART_ARC
(25,26),-1.81302 # DEPENDENCYPART_ARC
(25,27),-3.03278 # DEPENDENCYPART_ARC
(26,23),-1.8216 # DEPENDENCYPART_ARC
(26,24),-0.78579 # DEPENDENCYPART_ARC
(26,25),-1.62071 # DEPENDENCYPART_ARC
(26,27),-2.2717 # DEPENDENCYPART_ARC
(27,17),-5.08026 # DEPENDENCYPART_ARC
(27,23),-3.71617 # DEPENDENCYPART_ARC
(27,24),0.630603 # DEPENDENCYPART_ARC
(27,25),2.21796 # DEPENDENCYPART_ARC
(27,26),2.65447 # DEPENDENCYPART_ARC
(27,28),-0.713742 # DEPENDENCYPART_ARC
(28,27),-3.299 # DEPENDENCYPART_ARC
(0,1),(0,2),0.205896 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.387366 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.188201 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.129838 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.129838 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.380428 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.186282 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.186282 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.382435 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.360036 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.197615 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0169624 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0203474 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0203474 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.180956 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.193965 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.416896 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0549324 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.2734 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.2734 # DEPENDENCYPART_SIBL
(0,4),(0,16),-1.45542 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.953003 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.953003 # DEPENDENCYPART_SIBL
(0,4),(0,22),-1.46313 # DEPENDENCYPART_SIBL
(0,4),(0,28),0.0192963 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0685693 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0685693 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.196205 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.208238 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.208238 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.209215 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.48149 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.412401 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.413864 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.412401 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.413864 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.939824 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.939824 # DEPENDENCYPART_SIBL
(0,16),(0,22),-1.44944 # DEPENDENCYPART_SIBL
(0,16),(0,28),0.0704749 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.747338 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.903966 # DEPENDENCYPART_SIBL
(0,19),(0,28),0.0494213 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.903966 # DEPENDENCYPART_SIBL
(0,21),(0,28),0.0494213 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.0178585 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.49922 # DEPENDENCYPART_SIBL
(1,2),(1,5),-1.38449 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.5152 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0990729 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.10492 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0710843 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.102378 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.150513 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00829915 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0663576 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.271583 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.234144 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00663139 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0471167 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0891294 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0559164 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.140074 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0290648 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0772491 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0691906 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00910187 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0154772 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00860699 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0670713 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00852073 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00673223 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0154772 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00308688 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.000673104 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00982419 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00673223 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0404369 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.00945917 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0404369 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0899946 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.00417195 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00722578 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0498621 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0360501 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0402453 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0327815 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0502826 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00430674 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0360501 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0613535 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0618925 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0324111 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00430674 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00718626 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0379276 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.00718626 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0159034 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0429665 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0426833 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.107517 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0622424 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.048394 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0668498 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0235113 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.107517 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0938785 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0644479 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0706092 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0235113 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.00637466 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0622253 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.00637466 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.174198 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0593286 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0147847 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.122993 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0493993 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.124609 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0364397 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0147847 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.141253 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.015608 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.125276 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0364397 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.270311 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.122984 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.270311 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.259969 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.121065 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.22016 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.222765 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.220446 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.111458 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.319012 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.24162 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.204539 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.222744 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.111458 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.298198 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.220008 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.298198 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.32087 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.206845 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0657595 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.115857 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0135057 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0137806 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.1325 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0284414 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.116524 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0135057 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.248456 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.114232 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.248456 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.238972 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.112313 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0464656 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.012637 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.119672 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0245861 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.110777 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0441573 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.012637 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.109071 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.046914 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.109071 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.164621 # DEPENDENCYPART_SIBL
(4,8),(4,27),0.060075 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.017371 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0117053 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.13761 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0263607 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.121634 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.017371 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.255605 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.119342 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.255605 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.243544 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.117423 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.116826 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.123444 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.106571 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.108459 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.124319 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.139023 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.106905 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.139023 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.149416 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.101339 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.24162 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.204539 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.222744 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.111458 # DEPENDENCYPART_SIBL
