# _root_ Dochovala se v podobě překrásného iluminovaného rukopisu , v němž jsou nejen popsány , ale i vyobrazeny scény ze středověkého městského dění .
#goldHeads=0,1,1,3,7,7,4,11,11,9,7,13,15,15,11,17,15,11,18,22,22,19,0,
#predictedHeads=0,1,1,3,7,7,4,15,13,9,13,13,15,15,7,17,15,17,18,22,22,19,0,
(13,18),-2.47174 # DEPENDENCYPART_ARC
(13,19),-1.40299 # DEPENDENCYPART_ARC
(13,22),-3.44867 # DEPENDENCYPART_ARC
(14,1),-2.08531 # DEPENDENCYPART_ARC
(14,12),-1.14063 # DEPENDENCYPART_ARC
(14,13),-1.09199 # DEPENDENCYPART_ARC
(14,16),-1.32352 # DEPENDENCYPART_ARC
(14,17),-1.57512 # DEPENDENCYPART_ARC
(14,18),-2.48092 # DEPENDENCYPART_ARC
(14,19),-1.69457 # DEPENDENCYPART_ARC
(15,1),-0.694141 # DEPENDENCYPART_ARC
(15,2),-1.56954 # DEPENDENCYPART_ARC
(15,3),-1.01488 # DEPENDENCYPART_ARC
(15,4),-1.49699 # DEPENDENCYPART_ARC
(15,5),-2.21148 # DEPENDENCYPART_ARC
(15,6),-1.82129 # DEPENDENCYPART_ARC
(15,7),-1.37408 # DEPENDENCYPART_ARC
(15,8),-0.052107 # DEPENDENCYPART_ARC
(15,9),-0.699084 # DEPENDENCYPART_ARC
(15,11),-0.534141 # DEPENDENCYPART_ARC
(15,12),-0.277321 # DEPENDENCYPART_ARC
(15,13),0.284746 # DEPENDENCYPART_ARC
(15,14),2.55044 # DEPENDENCYPART_ARC
(15,16),0.34803 # DEPENDENCYPART_ARC
(15,17),0.352273 # DEPENDENCYPART_ARC
(15,18),-1.6876 # DEPENDENCYPART_ARC
(15,19),-1.06866 # DEPENDENCYPART_ARC
(15,20),-1.80991 # DEPENDENCYPART_ARC
(15,21),-2.29804 # DEPENDENCYPART_ARC
(15,22),-1.94564 # DEPENDENCYPART_ARC
(15,23),-0.841562 # DEPENDENCYPART_ARC
(16,1),-1.68321 # DEPENDENCYPART_ARC
(16,2),-2.26855 # DEPENDENCYPART_ARC
(16,11),-1.24408 # DEPENDENCYPART_ARC
(16,12),-1.32609 # DEPENDENCYPART_ARC
(16,13),-0.900924 # DEPENDENCYPART_ARC
(16,14),-0.206506 # DEPENDENCYPART_ARC
(16,15),-0.0378192 # DEPENDENCYPART_ARC
(16,17),0.181606 # DEPENDENCYPART_ARC
(16,18),-1.59428 # DEPENDENCYPART_ARC
(16,19),-1.9218 # DEPENDENCYPART_ARC
(16,20),-2.52275 # DEPENDENCYPART_ARC
(16,22),-2.93554 # DEPENDENCYPART_ARC
(16,23),-1.54288 # DEPENDENCYPART_ARC
(17,1),0.595217 # DEPENDENCYPART_ARC
(17,3),-0.653152 # DEPENDENCYPART_ARC
(17,4),-2.33794 # DEPENDENCYPART_ARC
(17,7),-3.54465 # DEPENDENCYPART_ARC
(17,8),-1.33878 # DEPENDENCYPART_ARC
(17,9),0.0763063 # DEPENDENCYPART_ARC
(17,11),0.20773 # DEPENDENCYPART_ARC
(17,12),-0.335879 # DEPENDENCYPART_ARC
(17,14),-0.156454 # DEPENDENCYPART_ARC
(17,15),-0.0991148 # DEPENDENCYPART_ARC
(17,16),0.450034 # DEPENDENCYPART_ARC
(17,18),0.427512 # DEPENDENCYPART_ARC
(17,19),0.266023 # DEPENDENCYPART_ARC
(17,20),-3.32518 # DEPENDENCYPART_ARC
(17,22),-1.56294 # DEPENDENCYPART_ARC
(17,23),-1.22511 # DEPENDENCYPART_ARC
(18,16),0.0963122 # DEPENDENCYPART_ARC
(18,17),-0.453468 # DEPENDENCYPART_ARC
(18,19),0.91507 # DEPENDENCYPART_ARC
(18,20),-2.9094 # DEPENDENCYPART_ARC
(18,21),-3.13704 # DEPENDENCYPART_ARC
(18,22),-0.584539 # DEPENDENCYPART_ARC
(18,23),-1.04585 # DEPENDENCYPART_ARC
(19,18),-2.74203 # DEPENDENCYPART_ARC
(19,20),-0.170766 # DEPENDENCYPART_ARC
(19,21),-1.05384 # DEPENDENCYPART_ARC
(19,22),0.571282 # DEPENDENCYPART_ARC
(19,23),-1.18031 # DEPENDENCYPART_ARC
(20,18),-3.53536 # DEPENDENCYPART_ARC
(20,19),-1.25747 # DEPENDENCYPART_ARC
(20,21),-2.66196 # DEPENDENCYPART_ARC
(20,22),-2.74992 # DEPENDENCYPART_ARC
(20,23),-1.29373 # DEPENDENCYPART_ARC
(21,20),-1.8114 # DEPENDENCYPART_ARC
(22,12),-1.01253 # DEPENDENCYPART_ARC
(22,16),-0.329921 # DEPENDENCYPART_ARC
(22,18),-4.95254 # DEPENDENCYPART_ARC
(22,19),-1.05459 # DEPENDENCYPART_ARC
(22,20),2.17996 # DEPENDENCYPART_ARC
(22,21),2.76188 # DEPENDENCYPART_ARC
(22,23),-0.711345 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.14258 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0521921 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.280534 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0521187 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.296463 # DEPENDENCYPART_SIBL
(0,1),(0,11),-1.46063 # DEPENDENCYPART_SIBL
(0,1),(0,13),-1.46319 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.296463 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.826071 # DEPENDENCYPART_SIBL
(0,1),(0,17),-1.46319 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.116557 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0651801 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.114591 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.093583 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.348777 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.372218 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.093583 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0792148 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.372218 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.396679 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.156481 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0372172 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00629561 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.11906 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.180528 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00629561 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0857791 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.179086 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.409905 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.074285 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0776571 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.343715 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.360541 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0776571 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.201873 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.360541 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.302867 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0220103 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.124041 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.185509 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0220103 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0857789 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.184067 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.418461 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.374026 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0988373 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-1.48821 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.277015 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.819762 # DEPENDENCYPART_SIBL
(0,11),(0,17),-1.48821 # DEPENDENCYPART_SIBL
(0,11),(0,23),0.0831844 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.287392 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.822442 # DEPENDENCYPART_SIBL
(0,13),(0,17),-1.45956 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.00500829 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0988373 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.826154 # DEPENDENCYPART_SIBL
(0,15),(0,23),0.233903 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0908652 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0680396 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0266458 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0266458 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0757739 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00520335 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0908652 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.102581 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.101962 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.00520335 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0114331 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0060852 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0757581 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.147305 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0759891 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0513022 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0342375 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0342375 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0418569 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00748637 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0836693 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0270333 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.002543 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.00748637 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0269455 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.169904 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0409448 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0537115 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.0409552 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0168943 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0168943 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.113983 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.000973677 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0557856 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0318578 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.014681 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.000973677 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.151672 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.238825 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.116685 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0262585 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.114542 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.345669 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.107128 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0493901 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0297479 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0566858 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0498728 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0493901 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.112672 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.138796 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.107154 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0477324 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.106925 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.107128 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0493901 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0297479 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0566858 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0498728 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0493901 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.112672 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.138796 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.107154 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0477324 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.106925 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.014366 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.056734 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0272 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0193388 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.014366 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.151348 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.238502 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.11699 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0269416 # DEPENDENCYPART_SIBL
(1,7),(1,22),-0.114847 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.209144 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0794269 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.100345 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.124158 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0836001 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.149399 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.108631 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.124813 # DEPENDENCYPART_SIBL
(1,8),(1,22),-0.106565 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0270333 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.002543 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.00748637 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0269455 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.169904 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0409448 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0537115 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.0409552 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.260816 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0243885 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.104088 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.133226 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0156942 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0425551 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.0171387 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.00178936 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0962535 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.125391 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0331454 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0553756 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.0345898 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0836001 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.149399 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.108631 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.124813 # DEPENDENCYPART_SIBL
(1,14),(1,22),-0.106565 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.199357 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.0172855 # DEPENDENCYPART_SIBL
(1,15),(1,19),-0.0380157 # DEPENDENCYPART_SIBL
(1,15),(1,22),-0.0171702 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0171701 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0394015 # DEPENDENCYPART_SIBL
(1,16),(1,22),-0.0170549 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0267707 # DEPENDENCYPART_SIBL
(1,18),(1,22),-0.114616 # DEPENDENCYPART_SIBL
(1,19),(1,22),-0.0803188 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.425286 # DEPENDENCYPART_SIBL
(3,4),(3,7),-1.38769 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.722624 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.136305 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0849945 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.119735 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.119735 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0531776 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00799076 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0993656 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0166544 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.10306 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0245738 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0723314 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0246051 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.014591 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.140677 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.140677 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0571165 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0583092 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0368921 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0231945 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0889231 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.064664 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0621783 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0647267 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0925993 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0925993 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.204598 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0276577 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0120213 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0389378 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0661703 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0249052 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0115104 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.023653 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.110645 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0341318 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0178466 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0175002 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0122 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0247109 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00321742 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0688111 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.00321742 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0341318 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0178466 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0175002 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0122 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0247109 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00321742 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0688111 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00321742 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0481834 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.120723 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0124335 # DEPENDENCYPART_SIBL
