# _root_ Místo toho jsou jen profesionálně velmi slušně odvedeným , poutavým , leč značně konfekčním řemeslem .
#goldHeads=3,1,0,8,8,7,8,12,12,12,12,15,14,12,3,0,
#predictedHeads=3,1,0,5,3,7,8,9,15,9,12,3,14,15,3,0,
(5,4),0.553344 # DEPENDENCYPART_ARC
(5,6),-0.666649 # DEPENDENCYPART_ARC
(5,7),-1.7069 # DEPENDENCYPART_ARC
(5,8),-3.17494 # DEPENDENCYPART_ARC
(5,9),-1.22937 # DEPENDENCYPART_ARC
(5,12),-1.12102 # DEPENDENCYPART_ARC
(5,16),-1.90365 # DEPENDENCYPART_ARC
(6,1),-1.77988 # DEPENDENCYPART_ARC
(6,2),-1.93408 # DEPENDENCYPART_ARC
(6,3),-1.41665 # DEPENDENCYPART_ARC
(6,4),-0.827907 # DEPENDENCYPART_ARC
(6,5),-0.264099 # DEPENDENCYPART_ARC
(6,7),-1.00893 # DEPENDENCYPART_ARC
(6,8),-2.12165 # DEPENDENCYPART_ARC
(6,10),-2.41665 # DEPENDENCYPART_ARC
(7,1),-1.58428 # DEPENDENCYPART_ARC
(7,2),-1.24545 # DEPENDENCYPART_ARC
(7,3),-1.82467 # DEPENDENCYPART_ARC
(7,4),-0.517168 # DEPENDENCYPART_ARC
(7,5),-0.0341084 # DEPENDENCYPART_ARC
(7,6),0.419071 # DEPENDENCYPART_ARC
(7,8),-2.67728 # DEPENDENCYPART_ARC
(7,9),-1.30341 # DEPENDENCYPART_ARC
(7,10),-3.45141 # DEPENDENCYPART_ARC
(7,12),-1.30244 # DEPENDENCYPART_ARC
(7,15),-3.12037 # DEPENDENCYPART_ARC
(7,16),-1.94535 # DEPENDENCYPART_ARC
(8,1),-1.14209 # DEPENDENCYPART_ARC
(8,2),-2.59639 # DEPENDENCYPART_ARC
(8,3),-2.79116 # DEPENDENCYPART_ARC
(8,5),-0.270484 # DEPENDENCYPART_ARC
(8,6),-0.162995 # DEPENDENCYPART_ARC
(8,7),1.24667 # DEPENDENCYPART_ARC
(8,9),-0.851572 # DEPENDENCYPART_ARC
(8,10),-2.67668 # DEPENDENCYPART_ARC
(8,11),-1.70425 # DEPENDENCYPART_ARC
(8,12),-1.39883 # DEPENDENCYPART_ARC
(8,13),-1.97672 # DEPENDENCYPART_ARC
(8,15),-3.45685 # DEPENDENCYPART_ARC
(9,1),-1.08544 # DEPENDENCYPART_ARC
(9,2),-1.28526 # DEPENDENCYPART_ARC
(9,3),-0.507611 # DEPENDENCYPART_ARC
(9,4),-1.13591 # DEPENDENCYPART_ARC
(9,5),-0.883861 # DEPENDENCYPART_ARC
(9,6),-0.696805 # DEPENDENCYPART_ARC
(9,7),-0.602507 # DEPENDENCYPART_ARC
(9,8),-0.0970271 # DEPENDENCYPART_ARC
(9,10),0.0571273 # DEPENDENCYPART_ARC
(9,11),-0.490669 # DEPENDENCYPART_ARC
(9,12),-0.820475 # DEPENDENCYPART_ARC
(9,13),-1.23766 # DEPENDENCYPART_ARC
(9,14),-1.03203 # DEPENDENCYPART_ARC
(9,15),-1.93958 # DEPENDENCYPART_ARC
(9,16),-1.21867 # DEPENDENCYPART_ARC
(10,1),-1.59581 # DEPENDENCYPART_ARC
(10,5),-1.11763 # DEPENDENCYPART_ARC
(10,6),-1.34143 # DEPENDENCYPART_ARC
(10,7),-0.575031 # DEPENDENCYPART_ARC
(10,8),-1.86943 # DEPENDENCYPART_ARC
(10,9),-0.294418 # DEPENDENCYPART_ARC
(10,11),-0.47694 # DEPENDENCYPART_ARC
(10,12),-1.21911 # DEPENDENCYPART_ARC
(10,13),-1.6262 # DEPENDENCYPART_ARC
(10,15),-3.04145 # DEPENDENCYPART_ARC
(10,16),-1.71944 # DEPENDENCYPART_ARC
(11,1),-1.34928 # DEPENDENCYPART_ARC
(11,3),-0.99436 # DEPENDENCYPART_ARC
(11,4),-1.58976 # DEPENDENCYPART_ARC
(11,6),-1.4251 # DEPENDENCYPART_ARC
(11,7),-1.22282 # DEPENDENCYPART_ARC
(11,8),-1.9135 # DEPENDENCYPART_ARC
(11,9),-0.159657 # DEPENDENCYPART_ARC
(11,10),-1.10121 # DEPENDENCYPART_ARC
(11,13),-1.25766 # DEPENDENCYPART_ARC
(11,14),-1.01154 # DEPENDENCYPART_ARC
(11,15),-2.06353 # DEPENDENCYPART_ARC
(12,3),-1.18993 # DEPENDENCYPART_ARC
(12,9),-0.129497 # DEPENDENCYPART_ARC
(12,10),-0.919298 # DEPENDENCYPART_ARC
(12,11),1.02314 # DEPENDENCYPART_ARC
(12,13),-0.356215 # DEPENDENCYPART_ARC
(12,14),-0.409183 # DEPENDENCYPART_ARC
(12,15),-0.985432 # DEPENDENCYPART_ARC
(12,16),-0.731204 # DEPENDENCYPART_ARC
(13,11),-1.05963 # DEPENDENCYPART_ARC
(13,12),-0.252587 # DEPENDENCYPART_ARC
(13,14),-2.4506 # DEPENDENCYPART_ARC
(13,15),-2.13657 # DEPENDENCYPART_ARC
(13,16),-1.19169 # DEPENDENCYPART_ARC
(14,7),-1.11467 # DEPENDENCYPART_ARC
(14,8),-2.9997 # DEPENDENCYPART_ARC
(14,10),-2.74313 # DEPENDENCYPART_ARC
(14,11),-1.11316 # DEPENDENCYPART_ARC
(14,13),1.09809 # DEPENDENCYPART_ARC
(14,15),-1.08521 # DEPENDENCYPART_ARC
(14,16),-1.03107 # DEPENDENCYPART_ARC
(15,2),-1.06816 # DEPENDENCYPART_ARC
(15,4),-1.07243 # DEPENDENCYPART_ARC
(15,5),-1.9407 # DEPENDENCYPART_ARC
(15,6),-1.65937 # DEPENDENCYPART_ARC
(15,8),-1.18745 # DEPENDENCYPART_ARC
(15,9),-0.471426 # DEPENDENCYPART_ARC
(15,10),-0.740675 # DEPENDENCYPART_ARC
(15,11),-0.471161 # DEPENDENCYPART_ARC
(15,12),-0.239117 # DEPENDENCYPART_ARC
(15,13),-0.384082 # DEPENDENCYPART_ARC
(15,14),2.16208 # DEPENDENCYPART_ARC
(15,16),-0.537737 # DEPENDENCYPART_ARC
(16,13),-2.60986 # DEPENDENCYPART_ARC
(16,14),-3.18969 # DEPENDENCYPART_ARC
(0,1),(0,2),0.147092 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.346876 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0961342 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.161613 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.140631 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.163584 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.118782 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.096119 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.118782 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.096119 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0109818 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.163971 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.118782 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.318318 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.401639 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.1735 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.126645 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.113091 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.12906 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0847516 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0779965 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0847516 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0779965 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.00632742 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.127707 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0847516 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0357334 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.21884 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.239978 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.248149 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.236531 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.275618 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.277015 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.275618 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.277015 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.687277 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.236502 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.275618 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0831844 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0581163 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0492831 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0605311 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00992688 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.258336 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.00992688 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.258336 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.12346 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0605545 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00992688 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.159331 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.124476 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.14369 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.206225 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.150629 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.206225 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.150629 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0243853 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.142674 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.206225 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.102744 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.114883 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.182239 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.192534 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.182239 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.192534 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.00685442 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.113867 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.182239 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.141609 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.207607 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.159348 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.207607 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.159348 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.026106 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.144047 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.207607 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.104653 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0776571 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.105345 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0776571 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.110992 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.151923 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.105345 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.302867 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0252084 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0745858 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0453285 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0252084 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0776571 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.110992 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.151923 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.105345 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.302867 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0745858 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0453285 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0252084 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0243708 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.131872 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.073488 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.203713 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.10248 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.302867 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.33621 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.340938 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.958592 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.113113 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.52251 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.550709 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0543095 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.185854 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0503779 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.133378 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0605795 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0679538 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0259343 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0829456 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0838733 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00525249 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0838733 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00525249 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0625899 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0509314 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0838733 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.154279 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0384683 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.130961 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0212459 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.159227 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0173972 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0781854 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0427199 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0781854 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0427199 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0246862 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.043924 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0781854 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0423634 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.163336 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0168993 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0388441 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0171676 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0673082 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0719232 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0673082 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0719232 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0325221 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0192762 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0673082 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00224907 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0496177 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.03085 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00123717 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0209443 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0238407 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0209443 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0238407 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0543527 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00295096 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0209443 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0997925 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0745566 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0986161 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0732405 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.13504 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0732405 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.13504 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.135539 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.102804 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0732405 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0195808 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.172549 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.012575 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0554368 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.012575 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0554368 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0620413 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0113348 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.012575 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0823712 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0936431 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0678714 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.364543 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0678714 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0473099 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0978166 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.364543 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0149157 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.150777 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0621915 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.138752 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0987666 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0591165 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0621915 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0738074 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.110922 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0678714 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0473099 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0978166 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.364543 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0149157 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.150777 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0987666 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0591165 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0621915 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0738074 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.110922 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0548382 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0763373 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00925621 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0460113 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00150008 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0812977 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0960077 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0149157 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.150777 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.162664 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00344713 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0597201 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.029037 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0334401 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0281787 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0281787 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0359705 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0148456 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0136771 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0328045 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0328045 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00312353 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00123113 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0204946 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0204946 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.051585 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0547314 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0547314 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.065805 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.065805 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.166797 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0485475 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0173633 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0408424 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0293226 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0133106 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0122138 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.054252 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0362973 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0805155 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.229661 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.081747 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0402624 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00734167 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0280683 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0304544 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.000704101 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0666484 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00751491 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0337578 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0447375 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0205881 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00675111 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.015177 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00182066 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0507644 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0486899 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0248867 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0649836 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0525613 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.140098 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0562035 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0103319 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0282477 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0547831 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.137075 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00280379 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0136623 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0483274 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.121629 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0153892 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0457611 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.15228 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0724109 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.193621 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0576954 # DEPENDENCYPART_SIBL
