# _root_ Proto chystáme pro vojáky v záloze na říjen výběrové řízení , které proběhne ve spolupráci s okresními vojenskými správami v Českém Krumlově , " říká plukovník Kubeš .
#goldHeads=25,1,2,3,4,5,2,7,10,2,13,13,10,13,14,15,19,19,16,13,22,20,1,1,0,27,25,0,
#predictedHeads=2,25,2,3,4,5,6,7,10,8,13,13,10,13,14,13,19,19,16,19,22,20,2,2,0,27,25,0,
(4,16),-1.92653 # DEPENDENCYPART_ARC
(5,1),-1.87156 # DEPENDENCYPART_ARC
(5,3),-1.16097 # DEPENDENCYPART_ARC
(5,4),-2.14949 # DEPENDENCYPART_ARC
(5,6),2.24175 # DEPENDENCYPART_ARC
(5,8),-2.77122 # DEPENDENCYPART_ARC
(6,1),-1.53692 # DEPENDENCYPART_ARC
(6,3),-1.48294 # DEPENDENCYPART_ARC
(6,4),-2.68254 # DEPENDENCYPART_ARC
(6,5),-0.70011 # DEPENDENCYPART_ARC
(6,7),0.415723 # DEPENDENCYPART_ARC
(6,8),-2.90146 # DEPENDENCYPART_ARC
(6,9),-2.04654 # DEPENDENCYPART_ARC
(6,10),-3.4817 # DEPENDENCYPART_ARC
(6,13),-1.98307 # DEPENDENCYPART_ARC
(6,16),-1.52475 # DEPENDENCYPART_ARC
(7,4),-2.43965 # DEPENDENCYPART_ARC
(7,5),-0.3865 # DEPENDENCYPART_ARC
(7,6),-0.894273 # DEPENDENCYPART_ARC
(7,8),2.17098 # DEPENDENCYPART_ARC
(7,9),-0.704143 # DEPENDENCYPART_ARC
(7,10),-0.528025 # DEPENDENCYPART_ARC
(7,11),-0.983056 # DEPENDENCYPART_ARC
(8,3),-1.0481 # DEPENDENCYPART_ARC
(8,5),-0.590084 # DEPENDENCYPART_ARC
(8,6),-3.94304 # DEPENDENCYPART_ARC
(8,7),0.227136 # DEPENDENCYPART_ARC
(8,9),-0.0568568 # DEPENDENCYPART_ARC
(8,10),-0.775972 # DEPENDENCYPART_ARC
(8,11),-1.13066 # DEPENDENCYPART_ARC
(8,13),-1.46035 # DEPENDENCYPART_ARC
(8,14),-1.79497 # DEPENDENCYPART_ARC
(8,15),-2.44856 # DEPENDENCYPART_ARC
(8,16),-0.775835 # DEPENDENCYPART_ARC
(8,19),-2.53507 # DEPENDENCYPART_ARC
(8,20),-1.60367 # DEPENDENCYPART_ARC
(8,25),-2.44652 # DEPENDENCYPART_ARC
(9,3),-1.22505 # DEPENDENCYPART_ARC
(9,5),-1.30543 # DEPENDENCYPART_ARC
(9,7),-0.949198 # DEPENDENCYPART_ARC
(9,8),-1.09892 # DEPENDENCYPART_ARC
(9,10),-1.27933 # DEPENDENCYPART_ARC
(10,5),-1.50004 # DEPENDENCYPART_ARC
(10,6),-4.60393 # DEPENDENCYPART_ARC
(10,7),-1.23808 # DEPENDENCYPART_ARC
(10,8),-1.65834 # DEPENDENCYPART_ARC
(10,9),2.7534 # DEPENDENCYPART_ARC
(10,11),-1.06552 # DEPENDENCYPART_ARC
(10,12),-2.0377 # DEPENDENCYPART_ARC
(10,13),-0.787309 # DEPENDENCYPART_ARC
(10,14),-1.60132 # DEPENDENCYPART_ARC
(10,15),-2.58458 # DEPENDENCYPART_ARC
(10,16),-1.16673 # DEPENDENCYPART_ARC
(10,17),-3.12142 # DEPENDENCYPART_ARC
(10,18),-3.10547 # DEPENDENCYPART_ARC
(10,25),-2.16064 # DEPENDENCYPART_ARC
(11,1),-1.86162 # DEPENDENCYPART_ARC
(11,2),-1.397 # DEPENDENCYPART_ARC
(11,4),-2.03354 # DEPENDENCYPART_ARC
(11,6),-1.98471 # DEPENDENCYPART_ARC
(11,8),-1.67893 # DEPENDENCYPART_ARC
(11,9),-1.99878 # DEPENDENCYPART_ARC
(11,10),-1.74237 # DEPENDENCYPART_ARC
(11,13),-1.09147 # DEPENDENCYPART_ARC
(11,14),-1.53635 # DEPENDENCYPART_ARC
(11,23),-1.04545 # DEPENDENCYPART_ARC
(11,24),-1.34179 # DEPENDENCYPART_ARC
(12,11),-1.10523 # DEPENDENCYPART_ARC
(12,15),-1.80695 # DEPENDENCYPART_ARC
(13,1),-1.09282 # DEPENDENCYPART_ARC
(13,2),-1.1307 # DEPENDENCYPART_ARC
(13,3),-1.80062 # DEPENDENCYPART_ARC
(13,4),-1.88854 # DEPENDENCYPART_ARC
(13,5),-1.92848 # DEPENDENCYPART_ARC
(13,6),-1.75423 # DEPENDENCYPART_ARC
(13,7),-2.02477 # DEPENDENCYPART_ARC
(13,8),-1.15784 # DEPENDENCYPART_ARC
(13,9),-2.63315 # DEPENDENCYPART_ARC
(13,10),-1.64198 # DEPENDENCYPART_ARC
(13,11),0.426829 # DEPENDENCYPART_ARC
(13,12),1.89309 # DEPENDENCYPART_ARC
(13,14),1.38441 # DEPENDENCYPART_ARC
(13,15),-0.234875 # DEPENDENCYPART_ARC
(13,16),0.436708 # DEPENDENCYPART_ARC
(13,17),-2.37141 # DEPENDENCYPART_ARC
(13,18),-2.76852 # DEPENDENCYPART_ARC
(13,19),-0.334714 # DEPENDENCYPART_ARC
(13,20),-0.0889226 # DEPENDENCYPART_ARC
(13,21),-3.54546 # DEPENDENCYPART_ARC
(13,22),-1.29425 # DEPENDENCYPART_ARC
(13,23),-0.360619 # DEPENDENCYPART_ARC
(13,24),-0.317036 # DEPENDENCYPART_ARC
(13,25),-2.75734 # DEPENDENCYPART_ARC
(13,26),-1.52697 # DEPENDENCYPART_ARC
(13,27),-1.5192 # DEPENDENCYPART_ARC
(14,15),1.97285 # DEPENDENCYPART_ARC
(14,17),-2.89349 # DEPENDENCYPART_ARC
(14,19),-2.29902 # DEPENDENCYPART_ARC
(15,12),-2.54031 # DEPENDENCYPART_ARC
(15,14),-0.834144 # DEPENDENCYPART_ARC
(15,16),0.504446 # DEPENDENCYPART_ARC
(15,17),-1.65735 # DEPENDENCYPART_ARC
(15,18),-1.88893 # DEPENDENCYPART_ARC
(15,19),-2.62613 # DEPENDENCYPART_ARC
(15,20),-0.864846 # DEPENDENCYPART_ARC
(15,22),-1.70047 # DEPENDENCYPART_ARC
(15,25),-2.43472 # DEPENDENCYPART_ARC
(15,27),-3.35007 # DEPENDENCYPART_ARC
(16,10),-2.38519 # DEPENDENCYPART_ARC
(16,11),-1.02008 # DEPENDENCYPART_ARC
(16,14),0.970948 # DEPENDENCYPART_ARC
(16,15),0.199717 # DEPENDENCYPART_ARC
(16,17),-0.282689 # DEPENDENCYPART_ARC
(16,18),-1.17042 # DEPENDENCYPART_ARC
(16,19),1.66628 # DEPENDENCYPART_ARC
(16,21),-2.80432 # DEPENDENCYPART_ARC
(16,22),-0.886979 # DEPENDENCYPART_ARC
(16,23),-0.888211 # DEPENDENCYPART_ARC
(16,26),-4.1844 # DEPENDENCYPART_ARC
(16,27),-4.25715 # DEPENDENCYPART_ARC
(17,16),-1.29252 # DEPENDENCYPART_ARC
(17,18),-2.14242 # DEPENDENCYPART_ARC
(17,19),-1.64883 # DEPENDENCYPART_ARC
(17,20),-0.791756 # DEPENDENCYPART_ARC
(17,22),-2.86923 # DEPENDENCYPART_ARC
(18,17),-1.99084 # DEPENDENCYPART_ARC
(18,20),-0.628145 # DEPENDENCYPART_ARC
(19,9),-4.99007 # DEPENDENCYPART_ARC
(19,12),-3.77607 # DEPENDENCYPART_ARC
(19,14),-1.98393 # DEPENDENCYPART_ARC
(19,15),-3.44002 # DEPENDENCYPART_ARC
(19,17),1.80734 # DEPENDENCYPART_ARC
(19,18),2.48482 # DEPENDENCYPART_ARC
(19,20),0.393654 # DEPENDENCYPART_ARC
(19,21),-2.56188 # DEPENDENCYPART_ARC
(19,22),-1.55174 # DEPENDENCYPART_ARC
(19,23),-1.18682 # DEPENDENCYPART_ARC
(19,24),-1.46723 # DEPENDENCYPART_ARC
(19,25),-2.24248 # DEPENDENCYPART_ARC
(19,26),-3.61095 # DEPENDENCYPART_ARC
(19,27),-4.05387 # DEPENDENCYPART_ARC
(20,19),-3.11902 # DEPENDENCYPART_ARC
(20,21),-0.464329 # DEPENDENCYPART_ARC
(20,22),2.28698 # DEPENDENCYPART_ARC
(20,23),-1.25014 # DEPENDENCYPART_ARC
(20,26),-4.65052 # DEPENDENCYPART_ARC
(22,17),-2.69355 # DEPENDENCYPART_ARC
(22,18),-2.75212 # DEPENDENCYPART_ARC
(22,20),-1.16471 # DEPENDENCYPART_ARC
(22,21),1.97495 # DEPENDENCYPART_ARC
(22,24),-2.29074 # DEPENDENCYPART_ARC
(22,25),-2.96448 # DEPENDENCYPART_ARC
(22,26),-4.11767 # DEPENDENCYPART_ARC
(22,27),-4.47939 # DEPENDENCYPART_ARC
(23,1),-1.77334 # DEPENDENCYPART_ARC
(23,2),-1.70512 # DEPENDENCYPART_ARC
(23,3),-1.15825 # DEPENDENCYPART_ARC
(23,4),-2.63878 # DEPENDENCYPART_ARC
(23,7),-1.78429 # DEPENDENCYPART_ARC
(23,13),-1.33087 # DEPENDENCYPART_ARC
(23,14),-1.5238 # DEPENDENCYPART_ARC
(23,15),-1.75795 # DEPENDENCYPART_ARC
(23,16),-1.41348 # DEPENDENCYPART_ARC
(23,17),-1.99919 # DEPENDENCYPART_ARC
(23,18),-2.01315 # DEPENDENCYPART_ARC
(23,19),-1.60818 # DEPENDENCYPART_ARC
(23,20),-1.19979 # DEPENDENCYPART_ARC
(23,21),-1.47797 # DEPENDENCYPART_ARC
(23,22),-1.2663 # DEPENDENCYPART_ARC
(23,24),-1.23674 # DEPENDENCYPART_ARC
(23,25),-1.5853 # DEPENDENCYPART_ARC
(23,26),-2.08479 # DEPENDENCYPART_ARC
(23,27),-1.89343 # DEPENDENCYPART_ARC
(24,2),-2.56283 # DEPENDENCYPART_ARC
(24,23),-1.97201 # DEPENDENCYPART_ARC
(24,25),-1.63131 # DEPENDENCYPART_ARC
(24,26),-2.71011 # DEPENDENCYPART_ARC
(24,27),-3.03869 # DEPENDENCYPART_ARC
(25,1),-0.499704 # DEPENDENCYPART_ARC
(25,2),-0.689625 # DEPENDENCYPART_ARC
(25,3),-3.31792 # DEPENDENCYPART_ARC
(25,4),-3.09562 # DEPENDENCYPART_ARC
(25,5),-2.89534 # DEPENDENCYPART_ARC
(25,6),-2.95735 # DEPENDENCYPART_ARC
(25,7),-3.22188 # DEPENDENCYPART_ARC
(25,8),-2.47773 # DEPENDENCYPART_ARC
(25,10),-2.98643 # DEPENDENCYPART_ARC
(25,11),-0.892413 # DEPENDENCYPART_ARC
(25,12),-0.964885 # DEPENDENCYPART_ARC
(25,13),-1.96678 # DEPENDENCYPART_ARC
(25,14),-1.58497 # DEPENDENCYPART_ARC
(25,15),-2.29698 # DEPENDENCYPART_ARC
(25,16),-2.17617 # DEPENDENCYPART_ARC
(25,17),-3.25052 # DEPENDENCYPART_ARC
(25,18),-3.21988 # DEPENDENCYPART_ARC
(25,19),-1.69449 # DEPENDENCYPART_ARC
(25,20),-1.41658 # DEPENDENCYPART_ARC
(25,21),-3.08867 # DEPENDENCYPART_ARC
(25,22),-2.68501 # DEPENDENCYPART_ARC
(25,23),-0.688681 # DEPENDENCYPART_ARC
(25,24),-0.424307 # DEPENDENCYPART_ARC
(25,26),1.05951 # DEPENDENCYPART_ARC
(25,27),0.309989 # DEPENDENCYPART_ARC
(25,28),-0.861126 # DEPENDENCYPART_ARC
(26,21),-3.99251 # DEPENDENCYPART_ARC
(26,24),-1.30601 # DEPENDENCYPART_ARC
(26,27),-0.522634 # DEPENDENCYPART_ARC
(26,28),-0.784139 # DEPENDENCYPART_ARC
(27,22),-4.35636 # DEPENDENCYPART_ARC
(27,24),-1.39515 # DEPENDENCYPART_ARC
(27,26),3.03257 # DEPENDENCYPART_ARC
(27,28),-0.529564 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.736158 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.125852 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0759399 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.736383 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.125852 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.800172 # DEPENDENCYPART_SIBL
(0,1),(0,28),0.362764 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.294477 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.236588 # DEPENDENCYPART_SIBL
(0,2),(0,13),-1.46244 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.294477 # DEPENDENCYPART_SIBL
(0,2),(0,25),-1.5059 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.00491128 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0988608 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.129028 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.458431 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.420035 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.101014 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.454785 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.052753 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.284746 # DEPENDENCYPART_SIBL
(0,13),(0,25),-1.50733 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.0032669 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.458431 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,25),(0,28),0.051402 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0491834 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0355662 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0396909 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0637861 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0356818 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.826139 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0356818 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0132827 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.829373 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0280295 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0641804 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0275313 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0897717 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.402605 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0897717 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0548815 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.403782 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0197066 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.04851 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0525586 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.341586 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.0525586 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0233987 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.349933 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0026071 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0595486 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.405214 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0595486 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0562064 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.406357 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0778637 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.430344 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0778637 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.0446555 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.432411 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.283725 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.268963 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.142277 # DEPENDENCYPART_SIBL
(1,11),(1,25),-0.29437 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.00310706 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.00597517 # DEPENDENCYPART_SIBL
(1,13),(1,25),-0.822714 # DEPENDENCYPART_SIBL
(1,23),(1,24),0.142277 # DEPENDENCYPART_SIBL
(1,23),(1,25),-0.29437 # DEPENDENCYPART_SIBL
(1,24),(1,25),-0.288362 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00392156 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0167429 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.048045 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00450302 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0438515 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00186619 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0129997 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00431633 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00973193 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0295142 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0333007 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00403112 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00673495 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0045981 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.048045 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0045981 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.00973193 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.00458435 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.00157317 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.0045981 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0306616 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0321914 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0309198 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00367686 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.031573 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.107019 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00166781 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0161873 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0113507 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0135334 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0305177 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0535351 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0315832 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0321914 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0315832 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0161873 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0287837 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.034005 # DEPENDENCYPART_SIBL
(2,3),(2,27),0.0315832 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0712359 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.107102 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0389051 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.106712 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00961229 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.125907 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00583445 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0173867 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0216415 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.105547 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0401431 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.106706 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0712359 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.106706 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.00583445 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.013254 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.104284 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.106706 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0409392 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.095165 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.04186 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.034235 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.011199 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00748387 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00069644 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0421463 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0396926 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0498322 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0418703 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0836643 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0418703 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.00748387 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0292065 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.044292 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.0418703 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0246923 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.113454 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0164223 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.132649 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0131572 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0241215 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00743086 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.112288 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0259324 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.113448 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0570361 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.113448 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0131572 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.00610903 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.111026 # DEPENDENCYPART_SIBL
(2,6),(2,27),-0.113448 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0261561 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0662454 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0563938 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0111104 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.101351 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0168547 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0271257 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0075794 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0261424 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.00103074 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0261424 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0111104 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0294519 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.0237207 # DEPENDENCYPART_SIBL
(2,7),(2,27),-0.0261424 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0161485 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.132439 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0145225 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0244281 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.00764129 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.112079 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0261428 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.113238 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0572446 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.113238 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0145225 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.00449763 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.110817 # DEPENDENCYPART_SIBL
(2,8),(2,27),-0.113238 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.12088 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0493917 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0472298 # DEPENDENCYPART_SIBL
