# _root_ Z ruské strany jde o suroviny , jako je plyn a ropa , z české o různé zboží .
#goldHeads=4,3,1,13,4,5,8,6,8,11,9,11,0,13,14,13,18,16,0,
#predictedHeads=4,3,1,0,4,5,8,6,8,11,9,11,4,13,14,15,18,16,0,
(9,14),-1.07946 # DEPENDENCYPART_ARC
(9,15),-3.12966 # DEPENDENCYPART_ARC
(9,16),-1.4718 # DEPENDENCYPART_ARC
(9,17),-2.56475 # DEPENDENCYPART_ARC
(9,18),-1.33427 # DEPENDENCYPART_ARC
(10,8),-0.904989 # DEPENDENCYPART_ARC
(10,9),-2.30245 # DEPENDENCYPART_ARC
(10,12),-2.04215 # DEPENDENCYPART_ARC
(10,14),-1.66548 # DEPENDENCYPART_ARC
(10,15),-3.74493 # DEPENDENCYPART_ARC
(10,16),-1.70075 # DEPENDENCYPART_ARC
(11,1),-1.86451 # DEPENDENCYPART_ARC
(11,2),-1.79746 # DEPENDENCYPART_ARC
(11,3),-1.09051 # DEPENDENCYPART_ARC
(11,4),-0.73762 # DEPENDENCYPART_ARC
(11,5),-1.4204 # DEPENDENCYPART_ARC
(11,6),-0.115902 # DEPENDENCYPART_ARC
(11,7),-0.565717 # DEPENDENCYPART_ARC
(11,8),-0.612939 # DEPENDENCYPART_ARC
(11,9),0.236793 # DEPENDENCYPART_ARC
(11,10),2.5316 # DEPENDENCYPART_ARC
(11,12),2.39009 # DEPENDENCYPART_ARC
(11,13),-0.925442 # DEPENDENCYPART_ARC
(11,14),-0.768395 # DEPENDENCYPART_ARC
(11,15),-1.52524 # DEPENDENCYPART_ARC
(11,16),-1.13544 # DEPENDENCYPART_ARC
(11,17),-2.71292 # DEPENDENCYPART_ARC
(11,18),-1.33578 # DEPENDENCYPART_ARC
(11,19),-1.30564 # DEPENDENCYPART_ARC
(12,10),-2.88829 # DEPENDENCYPART_ARC
(12,13),-1.28401 # DEPENDENCYPART_ARC
(12,14),-1.40578 # DEPENDENCYPART_ARC
(12,15),-1.78935 # DEPENDENCYPART_ARC
(12,16),-1.39506 # DEPENDENCYPART_ARC
(12,17),-3.44707 # DEPENDENCYPART_ARC
(12,18),-4.67058 # DEPENDENCYPART_ARC
(13,1),-1.17096 # DEPENDENCYPART_ARC
(13,4),-0.698501 # DEPENDENCYPART_ARC
(13,5),-0.511882 # DEPENDENCYPART_ARC
(13,6),-1.67577 # DEPENDENCYPART_ARC
(13,7),-0.402483 # DEPENDENCYPART_ARC
(13,8),-0.843061 # DEPENDENCYPART_ARC
(13,9),-0.417836 # DEPENDENCYPART_ARC
(13,10),-0.743295 # DEPENDENCYPART_ARC
(13,11),-0.565992 # DEPENDENCYPART_ARC
(13,12),-0.963662 # DEPENDENCYPART_ARC
(13,14),-0.259575 # DEPENDENCYPART_ARC
(13,15),-1.28068 # DEPENDENCYPART_ARC
(13,16),-0.988014 # DEPENDENCYPART_ARC
(13,17),-1.66382 # DEPENDENCYPART_ARC
(13,18),-0.944901 # DEPENDENCYPART_ARC
(13,19),-0.826201 # DEPENDENCYPART_ARC
(14,12),-3.14241 # DEPENDENCYPART_ARC
(14,13),-0.487566 # DEPENDENCYPART_ARC
(14,15),0.718226 # DEPENDENCYPART_ARC
(14,17),-1.56461 # DEPENDENCYPART_ARC
(14,18),-0.791584 # DEPENDENCYPART_ARC
(14,19),-0.506691 # DEPENDENCYPART_ARC
(15,11),-1.51366 # DEPENDENCYPART_ARC
(15,12),-3.17426 # DEPENDENCYPART_ARC
(15,13),-1.01885 # DEPENDENCYPART_ARC
(15,14),-1.16633 # DEPENDENCYPART_ARC
(15,16),0.317715 # DEPENDENCYPART_ARC
(15,17),-3.23557 # DEPENDENCYPART_ARC
(15,18),-2.68105 # DEPENDENCYPART_ARC
(15,19),-1.08318 # DEPENDENCYPART_ARC
(16,13),-1.17389 # DEPENDENCYPART_ARC
(16,14),-1.33318 # DEPENDENCYPART_ARC
(16,15),-2.17848 # DEPENDENCYPART_ARC
(16,17),0.488349 # DEPENDENCYPART_ARC
(16,18),2.25652 # DEPENDENCYPART_ARC
(16,19),-0.76729 # DEPENDENCYPART_ARC
(17,14),-1.89931 # DEPENDENCYPART_ARC
(17,15),-3.72293 # DEPENDENCYPART_ARC
(17,16),-1.32033 # DEPENDENCYPART_ARC
(17,18),-1.76815 # DEPENDENCYPART_ARC
(17,19),-1.05514 # DEPENDENCYPART_ARC
(18,1),-0.636343 # DEPENDENCYPART_ARC
(18,12),-5.06036 # DEPENDENCYPART_ARC
(18,14),-0.769054 # DEPENDENCYPART_ARC
(18,15),-2.35401 # DEPENDENCYPART_ARC
(18,16),-1.36159 # DEPENDENCYPART_ARC
(18,17),2.59507 # DEPENDENCYPART_ARC
(18,19),-0.673857 # DEPENDENCYPART_ARC
(0,1),(0,3),0.266306 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.324033 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.303427 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.272631 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.00653854 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.13643 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.362852 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.152918 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.00653854 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.236967 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.192358 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.168686 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0397285 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0402915 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0548371 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.227209 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.177025 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0402915 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.429034 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.200883 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0646276 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.307116 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.650589 # DEPENDENCYPART_SIBL
(0,4),(0,9),-1.56546 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.981425 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.307116 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0134098 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.227571 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0665988 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0844127 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.465223 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.181206 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0665988 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.316417 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0218062 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.054718 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.225624 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.182061 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0218062 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.417622 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00909471 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.4829 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.140416 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.972748 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.779547 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.511436 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.35372 # DEPENDENCYPART_SIBL
(0,9),(0,11),-1.05835 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.327514 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0527541 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0494213 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.722177 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0998105 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.72147 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0398768 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.383227 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.550059 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.462896 # DEPENDENCYPART_SIBL
(1,3),(1,6),-1.3716 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.210359 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.954347 # DEPENDENCYPART_SIBL
(1,3),(1,11),-1.29737 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.529717 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0964287 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.38148 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.615456 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.186553 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.950407 # DEPENDENCYPART_SIBL
(1,6),(1,11),-1.29822 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.28579 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.466533 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.642038 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0668922 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0141674 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0459016 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.101162 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00128934 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0681414 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.17511 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0541613 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0208629 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0167047 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.281364 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0133727 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0532609 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0530632 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0620319 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00264614 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0193722 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.286763 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0177698 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0305674 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0315726 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0423913 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.000257204 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0432657 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.107169 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0585063 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0650386 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0473184 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0428372 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0190345 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0460727 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0209735 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0428666 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0463401 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0428372 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0650386 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.052836 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.217902 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0795262 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00184001 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0237112 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.121195 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0716499 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0153033 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0868328 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00184001 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.217902 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0554575 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0445143 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0467243 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0090566 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0435694 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0258612 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00190864 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0423532 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0467243 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0554575 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.364334 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.129814 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.207182 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.359558 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.362468 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.392217 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.357703 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.129814 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.414945 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00494021 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.109601 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0399044 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.142188 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.261135 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.137423 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00494021 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0312829 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0392515 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.135645 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.149245 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.166489 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.144426 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.115367 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.122229 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0767224 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.067497 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.271467 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0627235 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0152284 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0942252 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00443376 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.16194 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.000430143 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0137458 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0247228 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.256489 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.132697 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0101276 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0454606 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.041877 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0314126 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0248673 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.00915907 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.034549 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.122229 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.345876 # DEPENDENCYPART_SIBL
(5,6),(5,8),-1.01442 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.51897 # DEPENDENCYPART_SIBL
(5,6),(5,11),-1.38106 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.329192 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.111313 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.521051 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.117138 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.678697 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.651718 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0847302 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0692018 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0775399 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0477091 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0115968 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.079834 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0203494 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0275788 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.114592 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.223147 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0705959 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.038715 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0432282 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0272065 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0341025 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0126207 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0717949 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.159564 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0221758 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0563854 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.023873 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0689251 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0515452 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.124981 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0834587 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0568206 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.203307 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.201823 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0504029 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.201736 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0650918 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0329028 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00776014 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0766533 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0322546 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0554143 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0507258 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.28243 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0429483 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00254081 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.267563 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.012819 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.304852 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0343516 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.00152266 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.144409 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0855436 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00799528 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.12369 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.11362 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0117443 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00830505 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0594426 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0126803 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0404493 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.105342 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0378697 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.015651 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.066365 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00786316 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.215476 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0733538 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.215437 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0772338 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0716547 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0784339 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0451692 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.648939 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0143962 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0627929 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0117915 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0235489 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0941475 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0936423 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0620969 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.129554 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0412594 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.133929 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0260488 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.115925 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0216219 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.169735 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0130658 # DEPENDENCYPART_SIBL
