# _root_ Podle Janouška již skončilo období kontroly formálních náležitostí přiznání a druhá fáze , tedy podrobná kontrola věcné správnosti , se právě rozbíhá .
#goldHeads=4,1,4,10,4,5,8,6,8,0,12,14,14,22,16,14,18,16,14,22,22,10,0,
#predictedHeads=4,1,4,0,4,5,8,6,10,8,12,10,14,10,16,22,18,16,22,22,22,14,0,
(4,9),-2.33413 # DEPENDENCYPART_ARC
(4,10),-0.240431 # DEPENDENCYPART_ARC
(4,12),-1.46501 # DEPENDENCYPART_ARC
(4,13),-1.02704 # DEPENDENCYPART_ARC
(4,14),-1.12803 # DEPENDENCYPART_ARC
(4,16),-1.98878 # DEPENDENCYPART_ARC
(4,18),-3.54647 # DEPENDENCYPART_ARC
(4,19),-1.28954 # DEPENDENCYPART_ARC
(4,21),-2.48004 # DEPENDENCYPART_ARC
(5,1),-1.02094 # DEPENDENCYPART_ARC
(5,3),-0.718715 # DEPENDENCYPART_ARC
(5,4),-2.32737 # DEPENDENCYPART_ARC
(5,6),1.74732 # DEPENDENCYPART_ARC
(5,7),-2.08347 # DEPENDENCYPART_ARC
(5,8),-0.375774 # DEPENDENCYPART_ARC
(5,9),-0.119014 # DEPENDENCYPART_ARC
(5,10),-0.406267 # DEPENDENCYPART_ARC
(5,11),-2.32331 # DEPENDENCYPART_ARC
(5,12),-2.29777 # DEPENDENCYPART_ARC
(5,15),-2.49708 # DEPENDENCYPART_ARC
(5,22),-2.48704 # DEPENDENCYPART_ARC
(6,1),-1.49826 # DEPENDENCYPART_ARC
(6,2),-1.56494 # DEPENDENCYPART_ARC
(6,3),-0.949909 # DEPENDENCYPART_ARC
(6,4),-2.27294 # DEPENDENCYPART_ARC
(6,5),-2.8348 # DEPENDENCYPART_ARC
(6,7),-0.334594 # DEPENDENCYPART_ARC
(6,8),0.850525 # DEPENDENCYPART_ARC
(6,9),-0.146004 # DEPENDENCYPART_ARC
(6,10),-0.353884 # DEPENDENCYPART_ARC
(6,11),-2.39191 # DEPENDENCYPART_ARC
(6,12),-1.77804 # DEPENDENCYPART_ARC
(6,15),-2.78536 # DEPENDENCYPART_ARC
(6,16),-2.01636 # DEPENDENCYPART_ARC
(6,17),-1.58257 # DEPENDENCYPART_ARC
(6,18),-1.00884 # DEPENDENCYPART_ARC
(7,1),-1.47509 # DEPENDENCYPART_ARC
(7,3),-1.53169 # DEPENDENCYPART_ARC
(7,4),-2.39453 # DEPENDENCYPART_ARC
(7,6),-1.1797 # DEPENDENCYPART_ARC
(7,8),-1.4381 # DEPENDENCYPART_ARC
(7,9),-2.1959 # DEPENDENCYPART_ARC
(7,12),-2.81431 # DEPENDENCYPART_ARC
(8,7),1.90171 # DEPENDENCYPART_ARC
(8,9),1.44392 # DEPENDENCYPART_ARC
(8,10),-0.360393 # DEPENDENCYPART_ARC
(8,11),-3.5881 # DEPENDENCYPART_ARC
(8,12),-2.36542 # DEPENDENCYPART_ARC
(8,15),-4.17037 # DEPENDENCYPART_ARC
(8,17),-2.60714 # DEPENDENCYPART_ARC
(8,22),-2.63803 # DEPENDENCYPART_ARC
(9,2),-2.4463 # DEPENDENCYPART_ARC
(9,5),-3.01721 # DEPENDENCYPART_ARC
(9,6),-3.65695 # DEPENDENCYPART_ARC
(9,7),-1.3265 # DEPENDENCYPART_ARC
(9,8),-1.30342 # DEPENDENCYPART_ARC
(9,12),-2.95235 # DEPENDENCYPART_ARC
(10,1),-1.51501 # DEPENDENCYPART_ARC
(10,2),-0.587971 # DEPENDENCYPART_ARC
(10,3),-1.11369 # DEPENDENCYPART_ARC
(10,4),-0.189633 # DEPENDENCYPART_ARC
(10,5),-0.221522 # DEPENDENCYPART_ARC
(10,6),-0.510446 # DEPENDENCYPART_ARC
(10,7),-0.933077 # DEPENDENCYPART_ARC
(10,8),0.0160356 # DEPENDENCYPART_ARC
(10,9),1.30995 # DEPENDENCYPART_ARC
(10,11),-0.490069 # DEPENDENCYPART_ARC
(10,12),0.884057 # DEPENDENCYPART_ARC
(10,13),-0.696415 # DEPENDENCYPART_ARC
(10,14),-0.928075 # DEPENDENCYPART_ARC
(10,15),-1.9669 # DEPENDENCYPART_ARC
(10,16),-1.19098 # DEPENDENCYPART_ARC
(10,17),-2.83284 # DEPENDENCYPART_ARC
(10,18),-1.26951 # DEPENDENCYPART_ARC
(10,19),-1.17256 # DEPENDENCYPART_ARC
(10,21),-1.91458 # DEPENDENCYPART_ARC
(10,22),-1.70547 # DEPENDENCYPART_ARC
(10,23),-1.89535 # DEPENDENCYPART_ARC
(12,7),-2.89511 # DEPENDENCYPART_ARC
(12,8),-4.24383 # DEPENDENCYPART_ARC
(12,9),-5.42218 # DEPENDENCYPART_ARC
(12,10),-0.231145 # DEPENDENCYPART_ARC
(12,11),2.19499 # DEPENDENCYPART_ARC
(12,13),-1.2354 # DEPENDENCYPART_ARC
(12,14),-1.3152 # DEPENDENCYPART_ARC
(12,15),-1.14891 # DEPENDENCYPART_ARC
(12,16),-1.82267 # DEPENDENCYPART_ARC
(12,17),-1.77857 # DEPENDENCYPART_ARC
(12,18),-1.45605 # DEPENDENCYPART_ARC
(12,19),-1.64205 # DEPENDENCYPART_ARC
(12,21),-1.66637 # DEPENDENCYPART_ARC
(12,22),-1.7929 # DEPENDENCYPART_ARC
(13,2),-1.8951 # DEPENDENCYPART_ARC
(13,4),-0.963923 # DEPENDENCYPART_ARC
(13,5),-1.4264 # DEPENDENCYPART_ARC
(13,6),-1.56507 # DEPENDENCYPART_ARC
(13,7),-1.94943 # DEPENDENCYPART_ARC
(13,8),-1.40067 # DEPENDENCYPART_ARC
(13,9),-1.34406 # DEPENDENCYPART_ARC
(13,10),-0.604084 # DEPENDENCYPART_ARC
(13,11),-1.28734 # DEPENDENCYPART_ARC
(13,12),-0.976462 # DEPENDENCYPART_ARC
(13,14),-0.733446 # DEPENDENCYPART_ARC
(13,15),-1.32829 # DEPENDENCYPART_ARC
(13,16),-1.0617 # DEPENDENCYPART_ARC
(13,17),-1.6357 # DEPENDENCYPART_ARC
(13,18),-1.17152 # DEPENDENCYPART_ARC
(13,19),-0.613934 # DEPENDENCYPART_ARC
(13,21),-1.81247 # DEPENDENCYPART_ARC
(13,22),-2.20422 # DEPENDENCYPART_ARC
(13,23),-1.30125 # DEPENDENCYPART_ARC
(14,1),-1.65316 # DEPENDENCYPART_ARC
(14,2),-1.88923 # DEPENDENCYPART_ARC
(14,3),-1.18912 # DEPENDENCYPART_ARC
(14,5),-1.4132 # DEPENDENCYPART_ARC
(14,6),-1.24315 # DEPENDENCYPART_ARC
(14,8),-1.24569 # DEPENDENCYPART_ARC
(14,9),-1.05552 # DEPENDENCYPART_ARC
(14,10),-0.846594 # DEPENDENCYPART_ARC
(14,11),-1.00476 # DEPENDENCYPART_ARC
(14,12),-0.40305 # DEPENDENCYPART_ARC
(14,13),0.731458 # DEPENDENCYPART_ARC
(14,15),-0.657605 # DEPENDENCYPART_ARC
(14,16),-1.03915 # DEPENDENCYPART_ARC
(14,17),-1.52152 # DEPENDENCYPART_ARC
(14,18),-1.60244 # DEPENDENCYPART_ARC
(14,19),-0.529983 # DEPENDENCYPART_ARC
(14,21),-1.46496 # DEPENDENCYPART_ARC
(14,22),-1.31421 # DEPENDENCYPART_ARC
(14,23),-1.12608 # DEPENDENCYPART_ARC
(15,13),-0.955798 # DEPENDENCYPART_ARC
(15,14),-0.349753 # DEPENDENCYPART_ARC
(15,16),-1.28824 # DEPENDENCYPART_ARC
(16,7),-3.73284 # DEPENDENCYPART_ARC
(16,11),0.0869532 # DEPENDENCYPART_ARC
(16,13),-0.682901 # DEPENDENCYPART_ARC
(16,14),-0.36589 # DEPENDENCYPART_ARC
(16,15),2.09991 # DEPENDENCYPART_ARC
(16,17),-0.133317 # DEPENDENCYPART_ARC
(16,18),0.764016 # DEPENDENCYPART_ARC
(16,19),-1.14018 # DEPENDENCYPART_ARC
(16,21),-1.26532 # DEPENDENCYPART_ARC
(16,22),-1.82427 # DEPENDENCYPART_ARC
(16,23),-1.65097 # DEPENDENCYPART_ARC
(17,14),-1.19859 # DEPENDENCYPART_ARC
(17,15),-2.73161 # DEPENDENCYPART_ARC
(17,18),-1.25148 # DEPENDENCYPART_ARC
(17,21),-1.35478 # DEPENDENCYPART_ARC
(18,11),-2.2163 # DEPENDENCYPART_ARC
(18,13),-0.854641 # DEPENDENCYPART_ARC
(18,14),-1.07948 # DEPENDENCYPART_ARC
(18,15),-1.19846 # DEPENDENCYPART_ARC
(18,16),-2.50315 # DEPENDENCYPART_ARC
(18,17),2.7458 # DEPENDENCYPART_ARC
(18,19),-1.25272 # DEPENDENCYPART_ARC
(18,21),-1.53867 # DEPENDENCYPART_ARC
(18,22),-1.25085 # DEPENDENCYPART_ARC
(18,23),-1.80271 # DEPENDENCYPART_ARC
(19,4),-1.27556 # DEPENDENCYPART_ARC
(19,13),-0.649686 # DEPENDENCYPART_ARC
(19,16),-1.31027 # DEPENDENCYPART_ARC
(19,17),-1.56676 # DEPENDENCYPART_ARC
(19,18),-1.3125 # DEPENDENCYPART_ARC
(19,21),-1.22063 # DEPENDENCYPART_ARC
(19,22),-1.19121 # DEPENDENCYPART_ARC
(19,23),-1.013 # DEPENDENCYPART_ARC
(21,19),-1.46964 # DEPENDENCYPART_ARC
(21,23),-1.34758 # DEPENDENCYPART_ARC
(22,1),-0.0207794 # DEPENDENCYPART_ARC
(22,2),-2.63802 # DEPENDENCYPART_ARC
(22,3),-1.63904 # DEPENDENCYPART_ARC
(22,4),-1.19198 # DEPENDENCYPART_ARC
(22,5),-0.0550548 # DEPENDENCYPART_ARC
(22,6),-2.46581 # DEPENDENCYPART_ARC
(22,8),-2.82403 # DEPENDENCYPART_ARC
(22,9),-2.9004 # DEPENDENCYPART_ARC
(22,10),-0.611076 # DEPENDENCYPART_ARC
(22,11),-1.28621 # DEPENDENCYPART_ARC
(22,12),-0.604996 # DEPENDENCYPART_ARC
(22,13),-0.284942 # DEPENDENCYPART_ARC
(22,14),-0.215037 # DEPENDENCYPART_ARC
(22,16),0.394271 # DEPENDENCYPART_ARC
(22,17),-2.84721 # DEPENDENCYPART_ARC
(22,18),-2.09923 # DEPENDENCYPART_ARC
(22,19),0.60326 # DEPENDENCYPART_ARC
(22,20),2.56232 # DEPENDENCYPART_ARC
(22,21),1.73205 # DEPENDENCYPART_ARC
(22,23),-0.727888 # DEPENDENCYPART_ARC
(0,1),(0,2),0.232672 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.135405 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.339706 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.224508 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.178677 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.108287 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.166361 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.108287 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.332991 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.342769 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.108957 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.188391 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0298497 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.145629 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.183763 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.416889 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.351129 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.220403 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.202377 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.244304 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.165573 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.244304 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.346624 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.215493 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0528378 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.95918 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.288763 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.198482 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.288763 # DEPENDENCYPART_SIBL
(0,4),(0,22),-1.46046 # DEPENDENCYPART_SIBL
(0,4),(0,23),0.00339336 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.197486 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0574541 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.123782 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0574541 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.205301 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.472166 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0147855 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.0494213 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0462771 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.129028 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0568662 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.219811 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.0458621 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.516668 # DEPENDENCYPART_SIBL
(1,2),(1,5),-1.33523 # DEPENDENCYPART_SIBL
(1,2),(1,6),-1.33309 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.59021 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.578686 # DEPENDENCYPART_SIBL
(1,5),(1,6),-1.33717 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.138346 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0532715 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0534362 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0777335 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0983466 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0412326 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00397339 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.03684 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0226255 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0853714 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0852197 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.000465436 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00153708 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.013807 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.250286 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0614326 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0387775 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.291775 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0402455 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.301948 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.115543 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0489606 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0384005 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.000174739 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0386776 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.049163 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0997612 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0818205 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.120998 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0856071 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0809732 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0749503 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0753122 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00940149 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0455531 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0843007 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0855933 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.00940149 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0836948 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0584934 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0260454 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0532107 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0383925 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0371828 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0261263 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00426895 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0475507 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00318453 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0403457 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0455955 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0371921 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00318453 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.162353 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.123406 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.133239 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0814653 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.13222 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.123529 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.133858 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.152692 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0484834 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0624635 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.129151 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.132226 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0484834 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.213775 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.127532 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0256686 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.126359 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.125986 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.250787 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.12128 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0281959 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.114722 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.121689 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.126375 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0281959 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0699375 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0205861 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.125753 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.12538 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.252171 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.120674 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0221074 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.111318 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.121083 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.125769 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0221074 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0665352 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.109806 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.108508 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0682178 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.104724 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0517021 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.136454 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.106791 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.109822 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0517021 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.128296 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.120081 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.255258 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.115375 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0219518 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.11128 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.115784 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.12047 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0219518 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.066496 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.261975 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.119816 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0345123 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.113894 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.120225 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.124911 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0345123 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0691094 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0152381 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.000467197 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0813976 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0156458 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0203317 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.000467197 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0761484 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0234388 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.112361 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.116818 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.121504 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0234388 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0675772 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.141637 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.104728 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.109414 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.126403 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0891712 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0516148 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0483891 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0222287 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0679398 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.120472 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0247955 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0664983 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0219594 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0665106 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.0891712 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0498449 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.145909 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0526618 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0947236 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0448551 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0343487 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0330037 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0952605 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0449047 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0954823 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.046131 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.300378 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0198538 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0261974 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0175742 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00276684 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0191464 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0270946 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0226936 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.026956 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00152869 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0534286 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.120932 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0511453 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0393228 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.048644 # DEPENDENCYPART_SIBL
