# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
(17,8),-1.25715 # DEPENDENCYPART_ARC
(17,9),-1.0918 # DEPENDENCYPART_ARC
(17,10),-2.33031 # DEPENDENCYPART_ARC
(17,11),-1.29953 # DEPENDENCYPART_ARC
(17,12),-2.55575 # DEPENDENCYPART_ARC
(17,13),-4.93682 # DEPENDENCYPART_ARC
(17,14),-3.32125 # DEPENDENCYPART_ARC
(17,15),-1.65627 # DEPENDENCYPART_ARC
(17,16),1.40904 # DEPENDENCYPART_ARC
(17,18),-0.412183 # DEPENDENCYPART_ARC
(17,19),0.704096 # DEPENDENCYPART_ARC
(17,20),-1.41741 # DEPENDENCYPART_ARC
(17,21),-0.486021 # DEPENDENCYPART_ARC
(17,23),-1.40693 # DEPENDENCYPART_ARC
(17,24),-1.20187 # DEPENDENCYPART_ARC
(18,14),-2.04553 # DEPENDENCYPART_ARC
(18,19),-1.10076 # DEPENDENCYPART_ARC
(18,20),-1.88553 # DEPENDENCYPART_ARC
(18,22),-2.50211 # DEPENDENCYPART_ARC
(18,23),-2.75966 # DEPENDENCYPART_ARC
(18,24),-1.60375 # DEPENDENCYPART_ARC
(19,15),-0.901926 # DEPENDENCYPART_ARC
(19,18),-0.876157 # DEPENDENCYPART_ARC
(19,20),2.25839 # DEPENDENCYPART_ARC
(19,21),-0.229697 # DEPENDENCYPART_ARC
(19,22),-1.27007 # DEPENDENCYPART_ARC
(19,23),-0.676451 # DEPENDENCYPART_ARC
(19,24),-1.14929 # DEPENDENCYPART_ARC
(20,18),-0.14062 # DEPENDENCYPART_ARC
(20,19),-0.898318 # DEPENDENCYPART_ARC
(20,22),-1.86291 # DEPENDENCYPART_ARC
(20,23),-3.16066 # DEPENDENCYPART_ARC
(21,1),-1.41919 # DEPENDENCYPART_ARC
(21,2),-3.34616 # DEPENDENCYPART_ARC
(21,3),-0.74207 # DEPENDENCYPART_ARC
(21,4),-0.636972 # DEPENDENCYPART_ARC
(21,7),-0.87919 # DEPENDENCYPART_ARC
(21,8),-1.48576 # DEPENDENCYPART_ARC
(21,9),-1.1557 # DEPENDENCYPART_ARC
(21,10),-1.03484 # DEPENDENCYPART_ARC
(21,11),-1.01762 # DEPENDENCYPART_ARC
(21,12),-1.11103 # DEPENDENCYPART_ARC
(21,13),-1.94734 # DEPENDENCYPART_ARC
(21,14),-0.135046 # DEPENDENCYPART_ARC
(21,15),-0.26723 # DEPENDENCYPART_ARC
(21,16),-0.189816 # DEPENDENCYPART_ARC
(21,17),0.184312 # DEPENDENCYPART_ARC
(21,18),0.0248285 # DEPENDENCYPART_ARC
(21,19),-0.650765 # DEPENDENCYPART_ARC
(21,20),1.33677 # DEPENDENCYPART_ARC
(21,22),-0.517215 # DEPENDENCYPART_ARC
(21,23),0.888351 # DEPENDENCYPART_ARC
(21,24),-0.768258 # DEPENDENCYPART_ARC
(22,23),-2.02434 # DEPENDENCYPART_ARC
(23,18),-0.27627 # DEPENDENCYPART_ARC
(23,19),-1.61688 # DEPENDENCYPART_ARC
(23,20),-3.25157 # DEPENDENCYPART_ARC
(23,22),2.2684 # DEPENDENCYPART_ARC
(23,24),-0.780549 # DEPENDENCYPART_ARC
(0,1),(0,2),0.133795 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0121434 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0736898 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.209853 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0736898 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.247792 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.206838 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.205683 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.474378 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.074285 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.360564 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.419967 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.360541 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.227047 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.302867 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.187425 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.225364 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.18441 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.182061 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.40881 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.4829 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.365046 # DEPENDENCYPART_SIBL
(0,8),(0,16),-1.57647 # DEPENDENCYPART_SIBL
(0,8),(0,17),-1.49495 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.99448 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.112738 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.4829 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,17),-1.5655 # DEPENDENCYPART_SIBL
(0,16),(0,21),-1.05835 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0527541 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.992203 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.113102 # DEPENDENCYPART_SIBL
(0,21),(0,24),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0332976 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00693233 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.110869 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0344879 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00288732 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0658005 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.115921 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0206681 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0586559 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0372072 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0257809 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.225819 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.278494 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0335245 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0187153 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00357089 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0425863 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.060691 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.03617 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00242969 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0654203 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.119556 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0327883 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.232828 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.278306 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.11988 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.251518 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.170521 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0192563 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0256134 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.106204 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00735692 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0184893 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.000904374 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0111444 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0135576 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0084142 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0218411 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00949549 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.086863 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00791784 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00210096 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0609692 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.00112103 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.018703 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.029115 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0177668 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0186618 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0148211 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0308875 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00401049 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.109887 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.00678755 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00855394 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0366498 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0167178 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0140822 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.26027 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0056622 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0443221 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0171049 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0223191 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.186676 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0117096 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0145103 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0167529 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0262702 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0356072 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0127118 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.548434 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0397873 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0204212 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.031396 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0408106 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0169635 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0424854 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0160095 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.215243 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0119519 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00930883 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0164547 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0240997 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0321331 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.028252 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0468153 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0231064 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0701915 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0464759 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0142025 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0188574 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0545775 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0106636 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0223106 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0679354 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0415363 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.379543 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.362591 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0213033 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0526179 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0429737 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0420316 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.367038 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0463136 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0220898 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.182977 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0179577 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00716567 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0193161 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00291362 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0209585 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00967858 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.183765 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0228986 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00234948 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.028353 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0156069 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0212982 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00323887 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0213529 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00515671 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0339531 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0105722 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0135016 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.167523 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00862902 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0222739 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.187496 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.201923 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.167084 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.188353 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.191725 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0201276 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.074891 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0715338 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0715338 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0559783 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.06796 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.005322 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0162197 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.055918 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.100801 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.00585152 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0766557 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.0668974 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.055193 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.0899267 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.050022 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0391589 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0123469 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0376312 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0645594 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0610493 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.058822 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.058822 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0687414 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0572551 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0411742 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.107881 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0396314 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.14527 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0564329 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0601244 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.0163649 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.0822188 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.070801 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.165395 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.184497 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.182349 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00480724 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.032535 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0291779 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0291779 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0371818 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.025604 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.00526237 # DEPENDENCYPART_SIBL
(8,3),(8,16),9.79627e-05 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0673746 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0869718 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0204281 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0342997 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0405903 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.0363965 # DEPENDENCYPART_SIBL
(8,3),(8,23),-0.0475707 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00400202 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0411869 # DEPENDENCYPART_SIBL
