# _root_ " Kondiční příprava je pochopitelně náročná a stereotypní , takže zápasy jsem zařazoval především pro odreagování , " tvrdí chebský kormidelník .
#goldHeads=4,3,4,19,4,7,4,7,10,4,13,13,10,16,13,15,4,4,0,21,19,0,
#predictedHeads=4,3,4,19,6,7,4,7,10,4,13,13,10,16,13,15,4,4,0,21,19,0,
(12,3),-2.79078 # DEPENDENCYPART_ARC
(12,4),-3.68876 # DEPENDENCYPART_ARC
(12,5),-2.51884 # DEPENDENCYPART_ARC
(12,7),-2.55357 # DEPENDENCYPART_ARC
(12,8),-3.10034 # DEPENDENCYPART_ARC
(12,9),-1.49512 # DEPENDENCYPART_ARC
(12,10),-1.61702 # DEPENDENCYPART_ARC
(12,11),-1.29064 # DEPENDENCYPART_ARC
(12,13),-1.22542 # DEPENDENCYPART_ARC
(12,14),-1.6752 # DEPENDENCYPART_ARC
(12,15),-1.76743 # DEPENDENCYPART_ARC
(12,16),-1.89973 # DEPENDENCYPART_ARC
(12,17),-1.27142 # DEPENDENCYPART_ARC
(12,18),-0.970168 # DEPENDENCYPART_ARC
(12,21),-3.38572 # DEPENDENCYPART_ARC
(13,1),-0.729859 # DEPENDENCYPART_ARC
(13,2),-1.99102 # DEPENDENCYPART_ARC
(13,3),-0.933621 # DEPENDENCYPART_ARC
(13,4),-1.66903 # DEPENDENCYPART_ARC
(13,5),-1.24768 # DEPENDENCYPART_ARC
(13,6),-1.73365 # DEPENDENCYPART_ARC
(13,7),-0.934027 # DEPENDENCYPART_ARC
(13,8),-1.46146 # DEPENDENCYPART_ARC
(13,9),-1.03742 # DEPENDENCYPART_ARC
(13,10),-0.205832 # DEPENDENCYPART_ARC
(13,11),0.673951 # DEPENDENCYPART_ARC
(13,12),2.45944 # DEPENDENCYPART_ARC
(13,14),-0.0908395 # DEPENDENCYPART_ARC
(13,15),0.573275 # DEPENDENCYPART_ARC
(13,16),0.299331 # DEPENDENCYPART_ARC
(13,17),-0.2222 # DEPENDENCYPART_ARC
(13,18),-0.294388 # DEPENDENCYPART_ARC
(13,19),-1.84986 # DEPENDENCYPART_ARC
(13,20),-1.94255 # DEPENDENCYPART_ARC
(13,21),-1.69715 # DEPENDENCYPART_ARC
(13,22),-1.24308 # DEPENDENCYPART_ARC
(14,11),-2.00728 # DEPENDENCYPART_ARC
(14,13),-1.032 # DEPENDENCYPART_ARC
(14,15),-0.972 # DEPENDENCYPART_ARC
(14,16),-1.70827 # DEPENDENCYPART_ARC
(14,17),-1.32005 # DEPENDENCYPART_ARC
(14,19),-1.85666 # DEPENDENCYPART_ARC
(14,21),-2.82892 # DEPENDENCYPART_ARC
(14,22),-1.8695 # DEPENDENCYPART_ARC
(15,14),-1.01106 # DEPENDENCYPART_ARC
(15,16),2.63619 # DEPENDENCYPART_ARC
(15,17),-0.49585 # DEPENDENCYPART_ARC
(15,18),-0.87196 # DEPENDENCYPART_ARC
(15,19),-2.4904 # DEPENDENCYPART_ARC
(15,20),-2.96969 # DEPENDENCYPART_ARC
(15,21),-3.97461 # DEPENDENCYPART_ARC
(16,14),0.23558 # DEPENDENCYPART_ARC
(16,15),-1.0766 # DEPENDENCYPART_ARC
(16,18),-1.82866 # DEPENDENCYPART_ARC
(16,19),-1.68695 # DEPENDENCYPART_ARC
(16,20),-2.92414 # DEPENDENCYPART_ARC
(16,21),-3.1317 # DEPENDENCYPART_ARC
(17,4),-1.74936 # DEPENDENCYPART_ARC
(17,9),-1.27715 # DEPENDENCYPART_ARC
(17,10),-1.18102 # DEPENDENCYPART_ARC
(17,11),-1.76516 # DEPENDENCYPART_ARC
(17,12),-1.20585 # DEPENDENCYPART_ARC
(17,13),-1.01444 # DEPENDENCYPART_ARC
(17,14),-1.05867 # DEPENDENCYPART_ARC
(17,15),-1.31766 # DEPENDENCYPART_ARC
(17,16),-1.23724 # DEPENDENCYPART_ARC
(17,18),-1.25175 # DEPENDENCYPART_ARC
(17,19),-1.6149 # DEPENDENCYPART_ARC
(17,20),-2.17446 # DEPENDENCYPART_ARC
(17,21),-1.66889 # DEPENDENCYPART_ARC
(17,22),-1.64103 # DEPENDENCYPART_ARC
(18,12),-1.90243 # DEPENDENCYPART_ARC
(18,13),-1.87417 # DEPENDENCYPART_ARC
(18,15),-1.91751 # DEPENDENCYPART_ARC
(18,16),-2.74972 # DEPENDENCYPART_ARC
(18,17),-1.86107 # DEPENDENCYPART_ARC
(18,19),-1.49273 # DEPENDENCYPART_ARC
(18,20),-2.55309 # DEPENDENCYPART_ARC
(18,21),-2.90205 # DEPENDENCYPART_ARC
(19,1),-1.1496 # DEPENDENCYPART_ARC
(19,3),-2.23175 # DEPENDENCYPART_ARC
(19,4),-3.09037 # DEPENDENCYPART_ARC
(19,6),-1.99996 # DEPENDENCYPART_ARC
(19,7),-2.00047 # DEPENDENCYPART_ARC
(19,8),-2.00763 # DEPENDENCYPART_ARC
(19,10),-1.54203 # DEPENDENCYPART_ARC
(19,11),-1.97584 # DEPENDENCYPART_ARC
(19,12),-1.71595 # DEPENDENCYPART_ARC
(19,13),-1.6913 # DEPENDENCYPART_ARC
(19,14),-1.34142 # DEPENDENCYPART_ARC
(19,15),-1.48534 # DEPENDENCYPART_ARC
(19,16),-1.57443 # DEPENDENCYPART_ARC
(19,17),-0.6129 # DEPENDENCYPART_ARC
(19,18),-0.436224 # DEPENDENCYPART_ARC
(19,20),0.46658 # DEPENDENCYPART_ARC
(19,21),1.06138 # DEPENDENCYPART_ARC
(19,22),-0.735003 # DEPENDENCYPART_ARC
(20,15),-1.10412 # DEPENDENCYPART_ARC
(20,21),-2.04773 # DEPENDENCYPART_ARC
(20,22),-1.20304 # DEPENDENCYPART_ARC
(21,14),-0.933666 # DEPENDENCYPART_ARC
(21,16),-4.68146 # DEPENDENCYPART_ARC
(21,18),-0.945781 # DEPENDENCYPART_ARC
(21,20),2.65597 # DEPENDENCYPART_ARC
(21,22),-0.678159 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00462029 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0958123 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.489623 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.312388 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0787619 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0397535 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.371454 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.438871 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.216479 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0770689 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.419967 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.210958 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.227047 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.108017 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.340145 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.360541 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.372254 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.302867 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.232426 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.189697 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.195352 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0348035 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0263095 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.178969 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.190825 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0348035 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.19584 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.435974 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.262047 # DEPENDENCYPART_SIBL
(0,4),(0,7),-1.05835 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.327514 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.745162 # DEPENDENCYPART_SIBL
(0,4),(0,12),-1.55128 # DEPENDENCYPART_SIBL
(0,4),(0,13),-1.5655 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.327514 # DEPENDENCYPART_SIBL
(0,4),(0,19),-1.56959 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0527541 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0992433 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.00325353 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0864575 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.213545 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.23304 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.00325353 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.246444 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.101103 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.238729 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.443989 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.877031 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.898665 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.238729 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.920212 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0494213 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0818277 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.313785 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.408404 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.779379 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.801098 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.259991 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.821839 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.0007716 # DEPENDENCYPART_SIBL
(0,12),(0,13),-1.45678 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.514756 # DEPENDENCYPART_SIBL
(0,12),(0,19),-1.46526 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.256024 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.296463 # DEPENDENCYPART_SIBL
(0,13),(0,19),-1.47167 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.00769122 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.408404 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,22),0.0908934 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0360393 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0540777 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.135071 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0135332 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0333003 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0184434 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.020113 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0120804 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0128544 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0759651 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0386639 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0261387 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0759998 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0737864 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0181129 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0165626 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0905716 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0909085 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0428891 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0134069 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0126178 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0707964 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0715854 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.108939 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.101377 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0619118 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0433075 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0140345 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0308166 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00173092 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00363747 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0510338 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0294453 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00336086 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0270336 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00363747 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.94854 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.105634 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0165048 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0842332 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.100141 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.079308 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.028452 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0897773 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0271936 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0537353 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0243358 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.028452 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.082615 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0611265 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.061442 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0294172 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0710215 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00784374 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.071152 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0436921 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0334112 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00701393 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00784374 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0122232 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0364442 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0429703 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0364442 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0506015 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0188538 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.118584 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0546896 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0754589 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0506015 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0666775 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0491723 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.43879 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0377259 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0184596 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.090691 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0827075 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.102375 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0377259 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0206162 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0563345 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00668367 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0377727 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.016326 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0377607 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0218149 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00668367 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0150651 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0259631 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0284965 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.080448 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0952247 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.114892 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0259631 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00966439 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0481954 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.105488 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0704625 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0901423 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.163659 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0308605 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0305656 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0113159 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0270932 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0725997 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.142689 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0351383 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.00417149 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0192923 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0105888 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0670436 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0072697 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0399618 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.00922915 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.00711542 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0308605 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0189505 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0588407 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0167378 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0567013 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0160322 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0608684 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.152721 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0141585 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.040109 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0122117 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0912339 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.103862 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0150734 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.040109 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0765979 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0730533 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0912333 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0654756 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0417415 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.148541 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0585696 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00765451 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0637771 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0308872 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.027992 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0274739 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0137641 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.168822 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0219232 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0274739 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.025679 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0134314 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.041318 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.143093 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0271114 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0553702 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0902437 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0134314 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.753605 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0267776 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.025679 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.057077 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0049412 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0175024 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0176435 # DEPENDENCYPART_SIBL
