# _root_ Pokud nebude jeho smlouva zrušena , je rozhodnut zanechat vůbec fotbalu , uvedl manažer brazilského hráče Ricardo Fuica .
#goldHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
#predictedHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
(1,6),(1,9),-0.456446 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.576067 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.465513 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.848523 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.847658 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0695606 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.857302 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.816018 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.105567 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.825479 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0698571 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.83596 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.465513 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00574576 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0037393 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0805747 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00255639 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0658448 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0813207 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0251437 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00255639 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0258766 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00304583 # DEPENDENCYPART_SIBL
(2,3),(2,6),7.7666e-05 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.050362 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00205286 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0721422 # DEPENDENCYPART_SIBL
(2,3),(2,12),7.7666e-05 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0153059 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0222615 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0449131 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.021891 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0164838 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0222615 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0118761 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.243051 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.225031 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0307225 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0118761 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.10885 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0888593 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0141123 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.139234 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.247489 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0222208 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0214094 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0308931 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00438268 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0115539 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.14394 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.104617 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00185439 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.137113 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0576245 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0375962 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.115593 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00521731 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0292555 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0926536 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.110452 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00551953 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0292555 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0808615 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00138897 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0467662 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0847939 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.000680401 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00138897 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.041681 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0276262 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0480128 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0410409 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.041681 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.122391 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0995844 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0591965 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.124158 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.257898 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0669589 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.00747872 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0132625 # DEPENDENCYPART_SIBL
(5,9),(5,12),7.67648e-05 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0281614 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0455326 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0288793 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0244839 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0212012 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0488654 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0339961 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0341492 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0452713 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0552698 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0249451 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00643564 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.757706 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.715935 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.718182 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0302297 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0318157 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.230583 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.098568 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.11057 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.110609 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0609004 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.165055 # DEPENDENCYPART_SIBL
(6,4),(6,7),-2.13446e-05 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0312479 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0320994 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0117781 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.707957 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.664372 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.66662 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0384604 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.367384 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.367038 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.112773 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.362588 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0566897 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0471175 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.102214 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0168866 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0402119 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0915624 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.131624 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.135241 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0289265 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0266167 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0400367 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.126297 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0321594 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.105767 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.022947 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0202599 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0202599 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0259628 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.243065 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0578178 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0930271 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0991988 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0187609 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0407076 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0197071 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0703027 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0221647 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0395194 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0473525 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.047062 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.047062 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0926301 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.137915 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0380337 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0430906 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0389029 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0207935 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0294162 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0361957 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0120466 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0404419 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0415147 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0266719 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0266719 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0748523 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00178772 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.004384 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00708497 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0067195 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0287548 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0245121 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0252624 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0123036 # DEPENDENCYPART_SIBL
(7,5),(7,16),-7.46067e-05 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00036513 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.00036513 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0106167 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0307966 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0486159 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0167105 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0963895 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00576968 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0203248 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.012422 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0387804 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0230658 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0230658 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.23977 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0448091 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0398402 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.000396153 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.250538 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0400544 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.128088 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0409405 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0398429 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0398429 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0436171 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.039771 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.00949984 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.249705 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0399852 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.127622 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0408713 # DEPENDENCYPART_SIBL
