# _root_ Poválečný vývoj navíc v Německu ovlivnily značné migrační abnormality , které vyplývaly z odsunu Němců z východní Evropy , z exodu východních Němců na západ a nově nyní z přílivu etnických Němců z Východu a uprchlíků .
#goldHeads=2,6,6,6,4,0,9,9,6,26,12,26,19,13,14,14,18,16,12,19,20,23,21,21,24,9,26,26,26,29,32,35,32,33,30,35,0,
#predictedHeads=2,6,6,6,4,0,9,9,6,12,12,9,12,13,14,14,18,16,12,26,20,23,21,21,24,12,26,26,26,29,32,30,32,35,33,35,0,
(18,15),-2.29727 # DEPENDENCYPART_ARC
(18,16),-1.48268 # DEPENDENCYPART_ARC
(18,17),2.63464 # DEPENDENCYPART_ARC
(18,19),-1.85936 # DEPENDENCYPART_ARC
(18,20),-2.31788 # DEPENDENCYPART_ARC
(18,21),-2.43134 # DEPENDENCYPART_ARC
(18,22),-3.61485 # DEPENDENCYPART_ARC
(18,23),-3.63921 # DEPENDENCYPART_ARC
(18,26),-1.63545 # DEPENDENCYPART_ARC
(19,1),-2.65526 # DEPENDENCYPART_ARC
(19,2),-2.51274 # DEPENDENCYPART_ARC
(19,3),-1.188 # DEPENDENCYPART_ARC
(19,4),-0.79753 # DEPENDENCYPART_ARC
(19,6),-1.00569 # DEPENDENCYPART_ARC
(19,7),-2.18531 # DEPENDENCYPART_ARC
(19,9),-2.04563 # DEPENDENCYPART_ARC
(19,10),-0.695773 # DEPENDENCYPART_ARC
(19,11),-1.6064 # DEPENDENCYPART_ARC
(19,12),-0.775713 # DEPENDENCYPART_ARC
(19,13),-0.0695706 # DEPENDENCYPART_ARC
(19,14),-1.39161 # DEPENDENCYPART_ARC
(19,15),-1.36131 # DEPENDENCYPART_ARC
(19,16),-0.445308 # DEPENDENCYPART_ARC
(19,17),-1.12205 # DEPENDENCYPART_ARC
(19,18),-1.1843 # DEPENDENCYPART_ARC
(19,20),-0.184368 # DEPENDENCYPART_ARC
(19,21),-0.81744 # DEPENDENCYPART_ARC
(19,22),-1.367 # DEPENDENCYPART_ARC
(19,23),-1.35194 # DEPENDENCYPART_ARC
(19,24),-1.09004 # DEPENDENCYPART_ARC
(19,25),-2.04283 # DEPENDENCYPART_ARC
(19,26),-0.473325 # DEPENDENCYPART_ARC
(19,27),-1.11805 # DEPENDENCYPART_ARC
(19,28),-1.23982 # DEPENDENCYPART_ARC
(19,29),-1.67418 # DEPENDENCYPART_ARC
(19,35),-0.431889 # DEPENDENCYPART_ARC
(20,18),-3.38406 # DEPENDENCYPART_ARC
(20,19),-0.46634 # DEPENDENCYPART_ARC
(20,21),1.66027 # DEPENDENCYPART_ARC
(20,22),-1.24106 # DEPENDENCYPART_ARC
(20,23),-1.13681 # DEPENDENCYPART_ARC
(20,25),-3.19853 # DEPENDENCYPART_ARC
(21,16),-1.65198 # DEPENDENCYPART_ARC
(21,17),-1.94614 # DEPENDENCYPART_ARC
(21,20),-0.523187 # DEPENDENCYPART_ARC
(21,22),-0.861976 # DEPENDENCYPART_ARC
(21,23),0.464271 # DEPENDENCYPART_ARC
(21,24),-0.156631 # DEPENDENCYPART_ARC
(21,25),-3.30681 # DEPENDENCYPART_ARC
(21,26),-0.584931 # DEPENDENCYPART_ARC
(21,27),-1.29671 # DEPENDENCYPART_ARC
(21,29),-1.66169 # DEPENDENCYPART_ARC
(21,31),-2.73869 # DEPENDENCYPART_ARC
(21,32),-1.36154 # DEPENDENCYPART_ARC
(21,33),-1.19942 # DEPENDENCYPART_ARC
(21,35),-0.693836 # DEPENDENCYPART_ARC
(22,20),-1.20633 # DEPENDENCYPART_ARC
(22,21),-1.81618 # DEPENDENCYPART_ARC
(22,23),-1.5826 # DEPENDENCYPART_ARC
(22,24),-0.602365 # DEPENDENCYPART_ARC
(22,25),-2.46483 # DEPENDENCYPART_ARC
(23,17),-2.87631 # DEPENDENCYPART_ARC
(23,18),-4.08893 # DEPENDENCYPART_ARC
(23,21),-2.45559 # DEPENDENCYPART_ARC
(23,22),2.12578 # DEPENDENCYPART_ARC
(23,24),-0.437622 # DEPENDENCYPART_ARC
(23,25),-3.99504 # DEPENDENCYPART_ARC
(23,26),-0.97517 # DEPENDENCYPART_ARC
(23,29),-2.03672 # DEPENDENCYPART_ARC
(23,31),-1.42191 # DEPENDENCYPART_ARC
(23,33),-1.6613 # DEPENDENCYPART_ARC
(24,23),-2.85512 # DEPENDENCYPART_ARC
(24,25),2.56207 # DEPENDENCYPART_ARC
(24,26),-0.563828 # DEPENDENCYPART_ARC
(24,30),-4.06413 # DEPENDENCYPART_ARC
(25,22),-4.38173 # DEPENDENCYPART_ARC
(25,24),-0.413737 # DEPENDENCYPART_ARC
(26,2),-1.90862 # DEPENDENCYPART_ARC
(26,3),-1.42213 # DEPENDENCYPART_ARC
(26,4),-1.40145 # DEPENDENCYPART_ARC
(26,5),-1.55904 # DEPENDENCYPART_ARC
(26,6),-0.53727 # DEPENDENCYPART_ARC
(26,9),-1.04435 # DEPENDENCYPART_ARC
(26,10),-0.167905 # DEPENDENCYPART_ARC
(26,11),-1.35156 # DEPENDENCYPART_ARC
(26,12),0.283457 # DEPENDENCYPART_ARC
(26,13),-1.11094 # DEPENDENCYPART_ARC
(26,14),-1.13615 # DEPENDENCYPART_ARC
(26,15),-1.15412 # DEPENDENCYPART_ARC
(26,16),-1.12826 # DEPENDENCYPART_ARC
(26,17),-1.90807 # DEPENDENCYPART_ARC
(26,18),-0.510065 # DEPENDENCYPART_ARC
(26,19),0.165679 # DEPENDENCYPART_ARC
(26,20),-0.621181 # DEPENDENCYPART_ARC
(26,21),-0.834424 # DEPENDENCYPART_ARC
(26,22),-1.26772 # DEPENDENCYPART_ARC
(26,23),-0.245909 # DEPENDENCYPART_ARC
(26,24),-0.572037 # DEPENDENCYPART_ARC
(26,25),-0.159175 # DEPENDENCYPART_ARC
(26,27),0.265212 # DEPENDENCYPART_ARC
(26,28),-0.418646 # DEPENDENCYPART_ARC
(26,29),-0.00155909 # DEPENDENCYPART_ARC
(26,30),-0.335029 # DEPENDENCYPART_ARC
(26,31),-1.19331 # DEPENDENCYPART_ARC
(26,32),-0.416398 # DEPENDENCYPART_ARC
(26,33),-0.693365 # DEPENDENCYPART_ARC
(26,34),-1.30928 # DEPENDENCYPART_ARC
(26,35),-0.381661 # DEPENDENCYPART_ARC
(26,36),-1.08843 # DEPENDENCYPART_ARC
(26,37),-1.11432 # DEPENDENCYPART_ARC
(27,28),-0.623278 # DEPENDENCYPART_ARC
(27,29),-1.17572 # DEPENDENCYPART_ARC
(27,30),-1.39177 # DEPENDENCYPART_ARC
(27,32),-1.83245 # DEPENDENCYPART_ARC
(27,36),-2.14242 # DEPENDENCYPART_ARC
(28,25),-1.66479 # DEPENDENCYPART_ARC
(28,27),-0.044307 # DEPENDENCYPART_ARC
(28,29),-1.04362 # DEPENDENCYPART_ARC
(28,30),-1.79368 # DEPENDENCYPART_ARC
(28,31),-2.2313 # DEPENDENCYPART_ARC
(28,32),-2.47593 # DEPENDENCYPART_ARC
(29,28),-1.39421 # DEPENDENCYPART_ARC
(29,30),1.70784 # DEPENDENCYPART_ARC
(29,31),-1.3571 # DEPENDENCYPART_ARC
(29,32),-0.976211 # DEPENDENCYPART_ARC
(29,34),-1.79905 # DEPENDENCYPART_ARC
(29,35),-0.328504 # DEPENDENCYPART_ARC
(30,27),-1.25322 # DEPENDENCYPART_ARC
(30,28),-0.769851 # DEPENDENCYPART_ARC
(30,29),-0.328083 # DEPENDENCYPART_ARC
(30,31),-0.933502 # DEPENDENCYPART_ARC
(30,32),0.427496 # DEPENDENCYPART_ARC
(30,33),-0.418292 # DEPENDENCYPART_ARC
(30,34),-0.606683 # DEPENDENCYPART_ARC
(30,35),-0.558332 # DEPENDENCYPART_ARC
(30,36),-1.99311 # DEPENDENCYPART_ARC
(31,27),-0.72993 # DEPENDENCYPART_ARC
(31,28),-1.49558 # DEPENDENCYPART_ARC
(31,29),-1.22705 # DEPENDENCYPART_ARC
(31,30),-1.82313 # DEPENDENCYPART_ARC
(31,32),-1.54576 # DEPENDENCYPART_ARC
(31,33),-0.357793 # DEPENDENCYPART_ARC
(31,34),-2.42182 # DEPENDENCYPART_ARC
(31,36),-3.45643 # DEPENDENCYPART_ARC
(32,27),-1.02462 # DEPENDENCYPART_ARC
(32,28),-0.97483 # DEPENDENCYPART_ARC
(32,30),-2.5028 # DEPENDENCYPART_ARC
(32,31),2.07981 # DEPENDENCYPART_ARC
(32,33),0.0508997 # DEPENDENCYPART_ARC
(32,34),-0.608365 # DEPENDENCYPART_ARC
(32,35),-0.914805 # DEPENDENCYPART_ARC
(32,36),-2.38186 # DEPENDENCYPART_ARC
(33,32),-3.16796 # DEPENDENCYPART_ARC
(33,34),1.95825 # DEPENDENCYPART_ARC
(33,35),0.0238264 # DEPENDENCYPART_ARC
(33,36),-1.96631 # DEPENDENCYPART_ARC
(34,31),-3.72426 # DEPENDENCYPART_ARC
(34,33),-1.1336 # DEPENDENCYPART_ARC
(34,36),-1.66515 # DEPENDENCYPART_ARC
(35,2),-1.87876 # DEPENDENCYPART_ARC
(35,5),-1.53675 # DEPENDENCYPART_ARC
(35,6),-1.28471 # DEPENDENCYPART_ARC
(35,9),-0.732534 # DEPENDENCYPART_ARC
(35,10),-1.14694 # DEPENDENCYPART_ARC
(35,12),-0.519175 # DEPENDENCYPART_ARC
(35,14),-1.21119 # DEPENDENCYPART_ARC
(35,15),-1.17407 # DEPENDENCYPART_ARC
(35,16),-2.02711 # DEPENDENCYPART_ARC
(35,18),-0.3835 # DEPENDENCYPART_ARC
(35,19),-0.766667 # DEPENDENCYPART_ARC
(35,20),-1.85784 # DEPENDENCYPART_ARC
(35,21),-0.945562 # DEPENDENCYPART_ARC
(35,23),-0.899111 # DEPENDENCYPART_ARC
(35,25),0.0695723 # DEPENDENCYPART_ARC
(35,27),-0.833287 # DEPENDENCYPART_ARC
(35,28),-0.908672 # DEPENDENCYPART_ARC
(35,29),-1.27959 # DEPENDENCYPART_ARC
(35,30),-0.359354 # DEPENDENCYPART_ARC
(35,31),-0.882803 # DEPENDENCYPART_ARC
(35,32),0.00515702 # DEPENDENCYPART_ARC
(35,33),-1.01027 # DEPENDENCYPART_ARC
(35,34),2.34407 # DEPENDENCYPART_ARC
(35,36),2.35381 # DEPENDENCYPART_ARC
(35,37),-0.843881 # DEPENDENCYPART_ARC
(36,34),-4.1066 # DEPENDENCYPART_ARC
(36,37),-0.650197 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0756072 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.150021 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0659287 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.360541 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0186477 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.360541 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.227047 # DEPENDENCYPART_SIBL
(0,1),(0,35),-0.227047 # DEPENDENCYPART_SIBL
(0,1),(0,37),-0.302867 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.109901 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0942701 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.23033 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0787648 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0428423 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.23033 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0787648 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.238403 # DEPENDENCYPART_SIBL
(0,2),(0,35),-0.238403 # DEPENDENCYPART_SIBL
(0,2),(0,37),-0.497204 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.16459 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.328376 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.209339 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.266629 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.328376 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.209339 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.183066 # DEPENDENCYPART_SIBL
(0,3),(0,35),-0.183066 # DEPENDENCYPART_SIBL
(0,3),(0,37),-0.15575 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.372218 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.093583 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.103375 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.372218 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.093583 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.207652 # DEPENDENCYPART_SIBL
(0,4),(0,35),-0.207652 # DEPENDENCYPART_SIBL
(0,4),(0,37),-0.396679 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.296463 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.237382 # DEPENDENCYPART_SIBL
(0,6),(0,12),-1.46319 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.296463 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.962228 # DEPENDENCYPART_SIBL
(0,6),(0,35),-0.962228 # DEPENDENCYPART_SIBL
(0,6),(0,37),-0.00769122 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0988608 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,35),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,37),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.420035 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.101014 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.115877 # DEPENDENCYPART_SIBL
(0,11),(0,35),-0.115877 # DEPENDENCYPART_SIBL
(0,11),(0,37),-0.052753 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.296463 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.962228 # DEPENDENCYPART_SIBL
(0,12),(0,35),-0.962228 # DEPENDENCYPART_SIBL
(0,12),(0,37),-0.00769122 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.140416 # DEPENDENCYPART_SIBL
(0,19),(0,35),-0.140416 # DEPENDENCYPART_SIBL
(0,19),(0,37),-0.133324 # DEPENDENCYPART_SIBL
(0,26),(0,35),-0.747338 # DEPENDENCYPART_SIBL
(0,26),(0,37),0.0494213 # DEPENDENCYPART_SIBL
(0,35),(0,37),0.0494213 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0689983 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0843346 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0107215 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0203574 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.12865 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.128751 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0109578 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0203574 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.104899 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0421072 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0138577 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0744152 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0744181 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.04213 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0138577 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0307693 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0153627 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0216821 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0216849 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0303051 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0153627 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00324529 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0342291 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.034241 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0779483 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00324529 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00965874 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00965635 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00498811 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.263085 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.104622 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0352382 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00445746 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0352326 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00446732 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00289664 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.044284 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0666071 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00533048 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00259301 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.409424 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00259301 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.037126 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.125959 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00329102 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0158083 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00329102 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0239467 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.064901 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00171907 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.064901 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00739592 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0249589 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00739592 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0108256 # DEPENDENCYPART_SIBL
