# _root_ Přesný počet osob zadržených při raziích , které policisté provádějí denně od 25 . srpna , nebyl sdělen .
#goldHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
#predictedHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
(0,4),(0,15),0.0733087 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0776571 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.363345 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.360541 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.302867 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.28072 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0167989 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.266248 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.206076 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.281605 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0167989 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.269173 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.265238 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.206076 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0203409 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.181462 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.416889 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0484313 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0203409 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.187699 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.183763 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.416889 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.408609 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0612132 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.412044 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0133153 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0548065 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.300532 # DEPENDENCYPART_SIBL
(0,10),(0,17),-1.46712 # DEPENDENCYPART_SIBL
(0,10),(0,18),-1.46478 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0133153 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.11186 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.375943 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.605778 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.602365 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.147083 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.00502285 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.19067 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.186735 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.410753 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.412044 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,18),-1.49784 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.12214 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00769122 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0485907 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.115148 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00604967 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0487642 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0579724 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0418782 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0315072 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.021278 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0278135 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0109587 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0357635 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0902406 # DEPENDENCYPART_SIBL
(2,3),(2,7),1.43679e-05 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0902628 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00787033 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0015578 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00202052 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0151486 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0296949 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0162708 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.029716 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00904198 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.00524949 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00804783 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00671879 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0579149 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00593616 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0174048 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0145868 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0182078 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0141259 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.076006 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00771522 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00171292 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0018654 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0149426 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00128418 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00301844 # DEPENDENCYPART_SIBL
(2,7),(2,18),6.68645e-05 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00476929 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00465884 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00108052 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.257476 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.255609 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.255743 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.180305 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0694705 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0556689 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0302905 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0371766 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.000942861 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00275086 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00445154 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0384133 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00412677 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00324552 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0169768 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0167098 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0125615 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0320717 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0320928 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00508479 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.00409063 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00962356 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00884093 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00859735 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00940034 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0618608 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0157552 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00990541 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0128093 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00695949 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.260225 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.14645 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.151609 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0244688 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0117054 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00376286 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00951248 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00403637 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0337279 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.00376286 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.104054 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0337857 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0112558 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.047879 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00963683 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.028252 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0890803 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.047879 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0515335 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00559866 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0274287 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00397973 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0431717 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.105377 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0274287 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0286776 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0377496 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0278739 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0773119 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.019228 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0377496 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.102609 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.109748 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0213683 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.031945 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.102609 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0103431 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0111678 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0324467 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0634619 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0213598 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0342851 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.100702 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0750015 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0559495 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0827672 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.110428 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0264531 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.112621 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.224698 # DEPENDENCYPART_SIBL
(5,6),(5,9),-1.33225 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.528705 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.180429 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.187514 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.000585091 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0433813 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0101874 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.110406 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0160118 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00965428 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0213828 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00409563 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0306878 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.113214 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0166307 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0101874 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.000574897 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.00596056 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00201526 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00585674 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.12826 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0506354 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0535045 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00671688 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0142781 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00658745 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0522612 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0277551 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.018991 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00164132 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0506354 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0102209 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0140111 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00599108 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.13398 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0283529 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0518632 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0159008 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00271372 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0065196 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0666074 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.01803 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00537959 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0108253 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0283529 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.00134345 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00244676 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0433813 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00835887 # DEPENDENCYPART_SIBL
