# _root_ Toman žádal později v dopise ministra vnitra Noska , s kterým se dobře znal , o vydání svého syna a stejně učinili i příbuzní ze Slovenska a dokonce až z Austrálie .
#goldHeads=2,20,2,2,4,8,6,2,14,14,10,14,14,8,14,2,16,19,17,0,22,20,24,22,27,25,24,31,31,27,30,0,
#predictedHeads=2,0,2,2,4,8,6,2,20,14,10,14,14,20,20,14,16,19,17,8,22,20,24,22,24,25,22,27,31,27,30,0,
(10,9),-1.01007 # DEPENDENCYPART_ARC
(10,11),1.70672 # DEPENDENCYPART_ARC
(10,13),-1.85165 # DEPENDENCYPART_ARC
(10,17),-2.34916 # DEPENDENCYPART_ARC
(13,10),-1.19791 # DEPENDENCYPART_ARC
(13,11),-1.12081 # DEPENDENCYPART_ARC
(14,1),0.147149 # DEPENDENCYPART_ARC
(14,2),-1.60237 # DEPENDENCYPART_ARC
(14,3),-0.674039 # DEPENDENCYPART_ARC
(14,4),-0.301659 # DEPENDENCYPART_ARC
(14,5),-1.01734 # DEPENDENCYPART_ARC
(14,6),-0.410551 # DEPENDENCYPART_ARC
(14,7),-2.19118 # DEPENDENCYPART_ARC
(14,8),-0.769447 # DEPENDENCYPART_ARC
(14,9),0.303367 # DEPENDENCYPART_ARC
(14,10),1.36449 # DEPENDENCYPART_ARC
(14,11),0.183817 # DEPENDENCYPART_ARC
(14,12),2.27973 # DEPENDENCYPART_ARC
(14,13),2.00127 # DEPENDENCYPART_ARC
(14,15),-0.607378 # DEPENDENCYPART_ARC
(14,16),-0.526111 # DEPENDENCYPART_ARC
(14,17),-0.914354 # DEPENDENCYPART_ARC
(14,19),-3.16477 # DEPENDENCYPART_ARC
(14,20),-0.927181 # DEPENDENCYPART_ARC
(14,21),-1.86696 # DEPENDENCYPART_ARC
(14,22),-3.11037 # DEPENDENCYPART_ARC
(14,23),-2.06137 # DEPENDENCYPART_ARC
(14,24),-3.28185 # DEPENDENCYPART_ARC
(14,25),-1.84038 # DEPENDENCYPART_ARC
(14,27),-1.26219 # DEPENDENCYPART_ARC
(14,29),-2.13766 # DEPENDENCYPART_ARC
(15,1),-2.02163 # DEPENDENCYPART_ARC
(15,2),-1.04349 # DEPENDENCYPART_ARC
(15,4),-0.628259 # DEPENDENCYPART_ARC
(15,7),-1.6615 # DEPENDENCYPART_ARC
(15,9),-0.248947 # DEPENDENCYPART_ARC
(15,10),-0.593283 # DEPENDENCYPART_ARC
(15,11),-1.04193 # DEPENDENCYPART_ARC
(15,12),-0.906733 # DEPENDENCYPART_ARC
(15,13),-0.73198 # DEPENDENCYPART_ARC
(15,14),-0.4916 # DEPENDENCYPART_ARC
(15,16),-0.426234 # DEPENDENCYPART_ARC
(15,17),-1.40764 # DEPENDENCYPART_ARC
(15,19),-1.93424 # DEPENDENCYPART_ARC
(15,21),-1.35934 # DEPENDENCYPART_ARC
(15,22),-1.6628 # DEPENDENCYPART_ARC
(15,28),-1.60616 # DEPENDENCYPART_ARC
(15,29),-1.22422 # DEPENDENCYPART_ARC
(16,15),-0.480728 # DEPENDENCYPART_ARC
(16,17),2.56682 # DEPENDENCYPART_ARC
(16,19),-3.93963 # DEPENDENCYPART_ARC
(16,20),-0.0953447 # DEPENDENCYPART_ARC
(16,23),-0.905013 # DEPENDENCYPART_ARC
(17,11),-2.47827 # DEPENDENCYPART_ARC
(17,12),-4.10699 # DEPENDENCYPART_ARC
(17,13),-1.9264 # DEPENDENCYPART_ARC
(17,15),-1.1755 # DEPENDENCYPART_ARC
(17,16),-0.88638 # DEPENDENCYPART_ARC
(17,18),0.149933 # DEPENDENCYPART_ARC
(17,19),0.53461 # DEPENDENCYPART_ARC
(17,20),-0.180179 # DEPENDENCYPART_ARC
(17,21),-1.38033 # DEPENDENCYPART_ARC
(17,22),-1.95595 # DEPENDENCYPART_ARC
(17,23),-0.879885 # DEPENDENCYPART_ARC
(17,24),-3.16056 # DEPENDENCYPART_ARC
(17,25),-0.900363 # DEPENDENCYPART_ARC
(17,26),-0.929467 # DEPENDENCYPART_ARC
(17,27),-0.619951 # DEPENDENCYPART_ARC
(17,30),-1.9385 # DEPENDENCYPART_ARC
(19,16),-1.44299 # DEPENDENCYPART_ARC
(19,17),-3.36299 # DEPENDENCYPART_ARC
(19,18),1.94954 # DEPENDENCYPART_ARC
(20,1),-1.58805 # DEPENDENCYPART_ARC
(20,2),-0.799588 # DEPENDENCYPART_ARC
(20,3),-1.29481 # DEPENDENCYPART_ARC
(20,4),-1.03649 # DEPENDENCYPART_ARC
(20,5),-1.81517 # DEPENDENCYPART_ARC
(20,6),-1.96206 # DEPENDENCYPART_ARC
(20,7),-1.91253 # DEPENDENCYPART_ARC
(20,8),-1.65043 # DEPENDENCYPART_ARC
(20,9),-0.13265 # DEPENDENCYPART_ARC
(20,10),-0.672797 # DEPENDENCYPART_ARC
(20,11),-1.2043 # DEPENDENCYPART_ARC
(20,12),-1.33683 # DEPENDENCYPART_ARC
(20,13),-0.706897 # DEPENDENCYPART_ARC
(20,14),0.228958 # DEPENDENCYPART_ARC
(20,15),0.195957 # DEPENDENCYPART_ARC
(20,16),-0.482394 # DEPENDENCYPART_ARC
(20,17),-0.411762 # DEPENDENCYPART_ARC
(20,18),0.0850202 # DEPENDENCYPART_ARC
(20,19),0.222678 # DEPENDENCYPART_ARC
(20,21),-0.089385 # DEPENDENCYPART_ARC
(20,22),0.789733 # DEPENDENCYPART_ARC
(20,23),-0.765468 # DEPENDENCYPART_ARC
(20,24),-0.051801 # DEPENDENCYPART_ARC
(20,25),-0.619711 # DEPENDENCYPART_ARC
(20,26),-1.34077 # DEPENDENCYPART_ARC
(20,27),-0.170164 # DEPENDENCYPART_ARC
(20,28),-1.17032 # DEPENDENCYPART_ARC
(20,29),-1.17044 # DEPENDENCYPART_ARC
(20,30),-0.810914 # DEPENDENCYPART_ARC
(20,31),-2.05795 # DEPENDENCYPART_ARC
(20,32),-1.08277 # DEPENDENCYPART_ARC
(21,23),-0.56755 # DEPENDENCYPART_ARC
(21,24),-2.46252 # DEPENDENCYPART_ARC
(21,26),-0.945992 # DEPENDENCYPART_ARC
(21,29),-0.590607 # DEPENDENCYPART_ARC
(22,1),-1.88688 # DEPENDENCYPART_ARC
(22,2),-3.25917 # DEPENDENCYPART_ARC
(22,3),-1.1993 # DEPENDENCYPART_ARC
(22,4),-0.832523 # DEPENDENCYPART_ARC
(22,5),-2.34923 # DEPENDENCYPART_ARC
(22,6),-1.2764 # DEPENDENCYPART_ARC
(22,7),-3.64707 # DEPENDENCYPART_ARC
(22,8),-2.53346 # DEPENDENCYPART_ARC
(22,9),-0.875311 # DEPENDENCYPART_ARC
(22,10),0.215084 # DEPENDENCYPART_ARC
(22,11),-1.65157 # DEPENDENCYPART_ARC
(22,12),-0.476613 # DEPENDENCYPART_ARC
(22,13),-0.657817 # DEPENDENCYPART_ARC
(22,15),-0.471493 # DEPENDENCYPART_ARC
(22,16),0.0883537 # DEPENDENCYPART_ARC
(22,17),-0.261016 # DEPENDENCYPART_ARC
(22,19),-1.39351 # DEPENDENCYPART_ARC
(22,20),-0.0729344 # DEPENDENCYPART_ARC
(22,21),1.40625 # DEPENDENCYPART_ARC
(22,23),-0.620639 # DEPENDENCYPART_ARC
(22,24),0.278881 # DEPENDENCYPART_ARC
(22,25),0.369143 # DEPENDENCYPART_ARC
(22,26),-2.59949 # DEPENDENCYPART_ARC
(22,27),-0.44894 # DEPENDENCYPART_ARC
(22,28),-1.14839 # DEPENDENCYPART_ARC
(22,29),-1.06725 # DEPENDENCYPART_ARC
(22,30),-0.853948 # DEPENDENCYPART_ARC
(22,31),-4.14682 # DEPENDENCYPART_ARC
(23,11),-2.23516 # DEPENDENCYPART_ARC
(23,12),-2.26837 # DEPENDENCYPART_ARC
(23,13),-1.90116 # DEPENDENCYPART_ARC
(23,15),-1.25954 # DEPENDENCYPART_ARC
(23,16),-1.81974 # DEPENDENCYPART_ARC
(23,17),-1.41426 # DEPENDENCYPART_ARC
(23,19),-0.537363 # DEPENDENCYPART_ARC
(23,21),-1.14868 # DEPENDENCYPART_ARC
(23,22),-0.631893 # DEPENDENCYPART_ARC
(23,24),-0.710833 # DEPENDENCYPART_ARC
(23,25),-1.29676 # DEPENDENCYPART_ARC
(23,26),-2.10076 # DEPENDENCYPART_ARC
(23,27),-0.886514 # DEPENDENCYPART_ARC
(23,28),-2.16428 # DEPENDENCYPART_ARC
(23,29),-1.57416 # DEPENDENCYPART_ARC
(23,30),-2.33524 # DEPENDENCYPART_ARC
(23,31),-3.03587 # DEPENDENCYPART_ARC
(24,18),-3.59208 # DEPENDENCYPART_ARC
(24,19),-2.9207 # DEPENDENCYPART_ARC
(24,21),-1.10172 # DEPENDENCYPART_ARC
(24,23),1.17475 # DEPENDENCYPART_ARC
(24,25),0.584775 # DEPENDENCYPART_ARC
(24,26),0.224624 # DEPENDENCYPART_ARC
(24,27),-0.715029 # DEPENDENCYPART_ARC
(24,28),-1.21944 # DEPENDENCYPART_ARC
(24,29),-1.12839 # DEPENDENCYPART_ARC
(24,30),-1.39768 # DEPENDENCYPART_ARC
(24,31),-1.07244 # DEPENDENCYPART_ARC
(25,24),-2.91099 # DEPENDENCYPART_ARC
(25,26),2.52298 # DEPENDENCYPART_ARC
(25,27),-0.616446 # DEPENDENCYPART_ARC
(25,28),-1.77574 # DEPENDENCYPART_ARC
(25,31),-1.09382 # DEPENDENCYPART_ARC
(26,21),-1.82215 # DEPENDENCYPART_ARC
(26,23),-0.563331 # DEPENDENCYPART_ARC
(26,24),-2.76455 # DEPENDENCYPART_ARC
(26,25),-0.846593 # DEPENDENCYPART_ARC
(26,27),-1.58922 # DEPENDENCYPART_ARC
(26,30),-2.66233 # DEPENDENCYPART_ARC
(26,31),-2.5382 # DEPENDENCYPART_ARC
(27,1),-1.94505 # DEPENDENCYPART_ARC
(27,2),-1.37777 # DEPENDENCYPART_ARC
(27,7),-2.23415 # DEPENDENCYPART_ARC
(27,8),-1.95766 # DEPENDENCYPART_ARC
(27,9),-0.848096 # DEPENDENCYPART_ARC
(27,11),-1.42576 # DEPENDENCYPART_ARC
(27,12),-1.71111 # DEPENDENCYPART_ARC
(27,13),-1.22716 # DEPENDENCYPART_ARC
(27,14),-0.631275 # DEPENDENCYPART_ARC
(27,15),-0.58768 # DEPENDENCYPART_ARC
(27,16),-1.36569 # DEPENDENCYPART_ARC
(27,17),-1.19878 # DEPENDENCYPART_ARC
(27,19),-0.971066 # DEPENDENCYPART_ARC
(27,20),-0.614328 # DEPENDENCYPART_ARC
(27,21),-0.774091 # DEPENDENCYPART_ARC
(27,22),0.709706 # DEPENDENCYPART_ARC
(27,23),-0.00632624 # DEPENDENCYPART_ARC
(27,24),-0.0702064 # DEPENDENCYPART_ARC
(27,25),-0.55721 # DEPENDENCYPART_ARC
(27,26),-0.0694424 # DEPENDENCYPART_ARC
(27,28),0.306985 # DEPENDENCYPART_ARC
(27,29),-0.429413 # DEPENDENCYPART_ARC
(27,30),-0.0699639 # DEPENDENCYPART_ARC
(27,31),-0.468623 # DEPENDENCYPART_ARC
(27,32),-0.767233 # DEPENDENCYPART_ARC
(28,25),-2.14222 # DEPENDENCYPART_ARC
(28,26),-2.32015 # DEPENDENCYPART_ARC
(28,29),-0.640311 # DEPENDENCYPART_ARC
(28,30),-1.94554 # DEPENDENCYPART_ARC
(28,31),-2.30539 # DEPENDENCYPART_ARC
(29,24),-2.25251 # DEPENDENCYPART_ARC
(29,25),-1.1573 # DEPENDENCYPART_ARC
(29,26),-2.22235 # DEPENDENCYPART_ARC
(29,28),-0.500671 # DEPENDENCYPART_ARC
(29,30),0.0403791 # DEPENDENCYPART_ARC
(29,31),-0.838985 # DEPENDENCYPART_ARC
(29,32),-0.696533 # DEPENDENCYPART_ARC
(30,31),2.3622 # DEPENDENCYPART_ARC
(30,32),-1.11975 # DEPENDENCYPART_ARC
(31,23),-1.75029 # DEPENDENCYPART_ARC
(31,28),-0.976841 # DEPENDENCYPART_ARC
(31,29),-0.197631 # DEPENDENCYPART_ARC
(31,30),-1.29881 # DEPENDENCYPART_ARC
(31,32),-0.888974 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.183809 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.133286 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.164466 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0372201 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0203409 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.182105 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0203409 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.148823 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.182061 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.183772 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.182061 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.416889 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.252927 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.152473 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0620118 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.3217 # DEPENDENCYPART_SIBL
(0,2),(0,14),-1.4731 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.3217 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.190092 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.972133 # DEPENDENCYPART_SIBL
(0,2),(0,22),-1.47308 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.972133 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.0425695 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.245728 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.391988 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.101283 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.292714 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.101283 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.212375 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.154336 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.292444 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.154336 # DEPENDENCYPART_SIBL
(0,3),(0,32),-0.0583458 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.114591 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.093583 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.372219 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.093583 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.196361 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.207652 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.372234 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.207652 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.396679 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0203409 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.182105 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0203409 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.148823 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.182061 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.183772 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.182061 # DEPENDENCYPART_SIBL
(0,8),(0,32),-0.416889 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0735121 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.140416 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.408648 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.140416 # DEPENDENCYPART_SIBL
(0,9),(0,32),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.310128 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.185533 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.967553 # DEPENDENCYPART_SIBL
(0,14),(0,22),-1.46851 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.967553 # DEPENDENCYPART_SIBL
(0,14),(0,32),-0.0266813 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0735121 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.408648 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,32),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.181206 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.413018 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.181206 # DEPENDENCYPART_SIBL
(0,16),(0,32),-0.316417 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.898665 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.747338 # DEPENDENCYPART_SIBL
(0,20),(0,32),0.0494213 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.957971 # DEPENDENCYPART_SIBL
(0,22),(0,32),0.013058 # DEPENDENCYPART_SIBL
(0,27),(0,32),0.0494213 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00827949 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00643229 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0360811 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0425902 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0404316 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0346754 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00332858 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00601702 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00754652 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0182441 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00332858 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00431733 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0348961 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0312184 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.015877 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0119558 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.015877 # DEPENDENCYPART_SIBL
(2,1),(2,28),-0.102269 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.107054 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0968995 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0948742 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0992235 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0992574 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0793717 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.11031 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00653107 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0507616 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0793717 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.117718 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.102001 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0968925 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0416849 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0685299 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0416849 # DEPENDENCYPART_SIBL
(2,3),(2,28),-0.00793272 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0298723 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0283685 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0349445 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0354359 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00452118 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0334284 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00947684 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00361726 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00452118 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0876586 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.032008 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0330668 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.117157 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0455164 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.117157 # DEPENDENCYPART_SIBL
(2,4),(2,28),-0.0194584 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.114769 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.117898 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.10809 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00496617 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0259105 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00250024 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00927134 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00496617 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0100167 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0962942 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.111338 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.234896 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0443914 # DEPENDENCYPART_SIBL
(2,5),(2,27),-0.234896 # DEPENDENCYPART_SIBL
(2,5),(2,28),-0.037432 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.127839 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.116756 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.000439389 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0280285 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00331693 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0128805 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.000439389 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0142761 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.10496 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.120004 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.238338 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0435747 # DEPENDENCYPART_SIBL
(2,6),(2,27),-0.238338 # DEPENDENCYPART_SIBL
(2,6),(2,28),-0.0382487 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.112458 # DEPENDENCYPART_SIBL
