# _root_ V kvalifikaci stíhacího závodu družstev na 4 km zajelo čs . kvarteto Kadlec , Krejčí , Hudínek a Kábale čs . dorostenecký rekord časem 4 : 30.32 ( dosud 4 : 35.66 ) .
#goldHeads=9,1,4,2,4,4,8,6,0,12,10,9,18,18,18,18,18,12,18,23,20,23,9,9,26,24,26,24,24,31,24,31,24,0,
#predictedHeads=9,1,4,2,4,5,8,6,0,12,10,9,12,18,18,18,18,9,18,23,20,23,18,23,26,24,26,31,31,31,24,31,31,0,
(6,12),-3.19107 # DEPENDENCYPART_ARC
(6,14),-1.35327 # DEPENDENCYPART_ARC
(6,18),-1.00644 # DEPENDENCYPART_ARC
(7,3),-1.87729 # DEPENDENCYPART_ARC
(7,8),0.650565 # DEPENDENCYPART_ARC
(7,9),-1.23614 # DEPENDENCYPART_ARC
(7,11),-0.640131 # DEPENDENCYPART_ARC
(7,12),-1.91696 # DEPENDENCYPART_ARC
(7,13),-2.22904 # DEPENDENCYPART_ARC
(8,2),-4.89348 # DEPENDENCYPART_ARC
(8,3),-0.913606 # DEPENDENCYPART_ARC
(8,4),-3.01736 # DEPENDENCYPART_ARC
(8,5),-4.14113 # DEPENDENCYPART_ARC
(8,6),-1.43174 # DEPENDENCYPART_ARC
(8,7),0.42261 # DEPENDENCYPART_ARC
(8,9),-2.12219 # DEPENDENCYPART_ARC
(8,10),-1.64299 # DEPENDENCYPART_ARC
(8,11),-0.534039 # DEPENDENCYPART_ARC
(9,1),0.467232 # DEPENDENCYPART_ARC
(9,2),-1.5426 # DEPENDENCYPART_ARC
(9,3),-4.8022 # DEPENDENCYPART_ARC
(9,4),-1.94243 # DEPENDENCYPART_ARC
(9,5),-1.51372 # DEPENDENCYPART_ARC
(9,6),-0.502921 # DEPENDENCYPART_ARC
(9,7),-0.367394 # DEPENDENCYPART_ARC
(9,8),-0.175321 # DEPENDENCYPART_ARC
(9,10),0.762592 # DEPENDENCYPART_ARC
(9,11),-0.754216 # DEPENDENCYPART_ARC
(9,12),-0.0887768 # DEPENDENCYPART_ARC
(9,13),-0.55245 # DEPENDENCYPART_ARC
(9,14),-0.469984 # DEPENDENCYPART_ARC
(9,15),-1.9299 # DEPENDENCYPART_ARC
(9,16),-0.642069 # DEPENDENCYPART_ARC
(9,17),-2.6704 # DEPENDENCYPART_ARC
(9,18),-0.556819 # DEPENDENCYPART_ARC
(9,19),-3.0446 # DEPENDENCYPART_ARC
(9,23),-1.99661 # DEPENDENCYPART_ARC
(9,24),-2.05976 # DEPENDENCYPART_ARC
(9,25),-1.5406 # DEPENDENCYPART_ARC
(9,26),-1.38725 # DEPENDENCYPART_ARC
(9,27),-1.78871 # DEPENDENCYPART_ARC
(9,28),-1.71024 # DEPENDENCYPART_ARC
(9,29),-2.27403 # DEPENDENCYPART_ARC
(9,30),-1.93829 # DEPENDENCYPART_ARC
(9,31),-1.29555 # DEPENDENCYPART_ARC
(9,32),-2.15308 # DEPENDENCYPART_ARC
(9,33),-1.23645 # DEPENDENCYPART_ARC
(10,1),-2.17777 # DEPENDENCYPART_ARC
(10,6),-1.37565 # DEPENDENCYPART_ARC
(10,7),-1.34454 # DEPENDENCYPART_ARC
(10,8),-1.33028 # DEPENDENCYPART_ARC
(10,9),-1.1714 # DEPENDENCYPART_ARC
(10,11),0.939149 # DEPENDENCYPART_ARC
(10,12),-1.18969 # DEPENDENCYPART_ARC
(10,13),-2.26807 # DEPENDENCYPART_ARC
(10,14),-0.452732 # DEPENDENCYPART_ARC
(10,16),-0.542261 # DEPENDENCYPART_ARC
(10,18),-0.26403 # DEPENDENCYPART_ARC
(10,21),-1.36318 # DEPENDENCYPART_ARC
(12,6),-1.08903 # DEPENDENCYPART_ARC
(12,7),-1.40278 # DEPENDENCYPART_ARC
(12,9),-2.71612 # DEPENDENCYPART_ARC
(12,10),0.555419 # DEPENDENCYPART_ARC
(12,11),-0.662173 # DEPENDENCYPART_ARC
(12,13),0.60553 # DEPENDENCYPART_ARC
(12,14),-1.0141 # DEPENDENCYPART_ARC
(12,15),-1.75316 # DEPENDENCYPART_ARC
(12,16),-0.927366 # DEPENDENCYPART_ARC
(12,17),-2.06217 # DEPENDENCYPART_ARC
(12,18),-0.280124 # DEPENDENCYPART_ARC
(12,20),-2.12658 # DEPENDENCYPART_ARC
(12,22),-2.96229 # DEPENDENCYPART_ARC
(13,10),-0.633201 # DEPENDENCYPART_ARC
(13,12),0.029959 # DEPENDENCYPART_ARC
(13,14),-0.80917 # DEPENDENCYPART_ARC
(13,15),-2.46567 # DEPENDENCYPART_ARC
(13,16),-1.45955 # DEPENDENCYPART_ARC
(13,17),-3.53507 # DEPENDENCYPART_ARC
(14,1),-1.6834 # DEPENDENCYPART_ARC
(14,2),-1.56527 # DEPENDENCYPART_ARC
(14,3),-2.41945 # DEPENDENCYPART_ARC
(14,4),-1.43283 # DEPENDENCYPART_ARC
(14,5),-1.31703 # DEPENDENCYPART_ARC
(14,7),-1.91616 # DEPENDENCYPART_ARC
(14,8),-1.2752 # DEPENDENCYPART_ARC
(14,9),-0.894217 # DEPENDENCYPART_ARC
(14,10),-1.56909 # DEPENDENCYPART_ARC
(14,11),-0.672251 # DEPENDENCYPART_ARC
(14,12),-0.656276 # DEPENDENCYPART_ARC
(14,13),0.126452 # DEPENDENCYPART_ARC
(14,15),0.219017 # DEPENDENCYPART_ARC
(14,16),-0.632948 # DEPENDENCYPART_ARC
(14,17),-1.74327 # DEPENDENCYPART_ARC
(14,18),-0.797105 # DEPENDENCYPART_ARC
(14,19),-2.45184 # DEPENDENCYPART_ARC
(15,10),-1.31048 # DEPENDENCYPART_ARC
(15,12),-1.82651 # DEPENDENCYPART_ARC
(15,13),0.145184 # DEPENDENCYPART_ARC
(15,14),-0.665787 # DEPENDENCYPART_ARC
(15,16),-0.748082 # DEPENDENCYPART_ARC
(15,17),-2.54964 # DEPENDENCYPART_ARC
(15,19),-3.87856 # DEPENDENCYPART_ARC
(15,20),-2.04156 # DEPENDENCYPART_ARC
(16,1),-1.75131 # DEPENDENCYPART_ARC
(16,2),-1.63117 # DEPENDENCYPART_ARC
(16,4),-1.71735 # DEPENDENCYPART_ARC
(16,5),-1.59081 # DEPENDENCYPART_ARC
(16,7),-2.12125 # DEPENDENCYPART_ARC
(16,8),-1.46999 # DEPENDENCYPART_ARC
(16,9),-0.978357 # DEPENDENCYPART_ARC
(16,10),-1.84269 # DEPENDENCYPART_ARC
(16,11),-1.03385 # DEPENDENCYPART_ARC
(16,12),-0.655491 # DEPENDENCYPART_ARC
(16,13),-0.561222 # DEPENDENCYPART_ARC
(16,14),0.304923 # DEPENDENCYPART_ARC
(16,15),0.614985 # DEPENDENCYPART_ARC
(16,17),0.130676 # DEPENDENCYPART_ARC
(16,18),-0.707746 # DEPENDENCYPART_ARC
(16,19),-1.8016 # DEPENDENCYPART_ARC
(16,20),-1.67938 # DEPENDENCYPART_ARC
(16,21),-1.23677 # DEPENDENCYPART_ARC
(16,23),-2.5264 # DEPENDENCYPART_ARC
(17,12),-2.53976 # DEPENDENCYPART_ARC
(17,13),-0.913354 # DEPENDENCYPART_ARC
(17,15),-0.302149 # DEPENDENCYPART_ARC
(17,16),-0.991429 # DEPENDENCYPART_ARC
(17,19),-3.22792 # DEPENDENCYPART_ARC
(18,1),-1.28149 # DEPENDENCYPART_ARC
(18,2),-0.825839 # DEPENDENCYPART_ARC
(18,3),-2.43501 # DEPENDENCYPART_ARC
(18,4),-0.895412 # DEPENDENCYPART_ARC
(18,5),-0.955876 # DEPENDENCYPART_ARC
(18,6),-1.29073 # DEPENDENCYPART_ARC
(18,7),-1.93469 # DEPENDENCYPART_ARC
(18,8),-1.28666 # DEPENDENCYPART_ARC
(18,9),-0.629455 # DEPENDENCYPART_ARC
(18,10),-1.42481 # DEPENDENCYPART_ARC
(18,11),-1.10163 # DEPENDENCYPART_ARC
(18,12),-0.315764 # DEPENDENCYPART_ARC
(18,13),0.184814 # DEPENDENCYPART_ARC
(18,14),0.709461 # DEPENDENCYPART_ARC
(18,15),0.884398 # DEPENDENCYPART_ARC
(18,16),1.21406 # DEPENDENCYPART_ARC
(18,17),2.28268 # DEPENDENCYPART_ARC
(18,19),2.19459 # DEPENDENCYPART_ARC
(18,20),-0.840976 # DEPENDENCYPART_ARC
(18,21),-0.705676 # DEPENDENCYPART_ARC
(18,22),-1.76089 # DEPENDENCYPART_ARC
(18,23),-0.974021 # DEPENDENCYPART_ARC
(18,24),-1.38425 # DEPENDENCYPART_ARC
(18,25),-1.47542 # DEPENDENCYPART_ARC
(18,26),-1.00332 # DEPENDENCYPART_ARC
(18,27),-1.80959 # DEPENDENCYPART_ARC
(18,28),-1.22012 # DEPENDENCYPART_ARC
(18,29),-1.70737 # DEPENDENCYPART_ARC
(18,30),-2.12123 # DEPENDENCYPART_ARC
(18,32),-2.38142 # DEPENDENCYPART_ARC
(19,20),0.0360643 # DEPENDENCYPART_ARC
(19,21),-0.374036 # DEPENDENCYPART_ARC
(19,22),-2.54621 # DEPENDENCYPART_ARC
(19,23),-3.71542 # DEPENDENCYPART_ARC
(19,24),-3.28574 # DEPENDENCYPART_ARC
(19,26),-1.18528 # DEPENDENCYPART_ARC
(19,27),-1.66285 # DEPENDENCYPART_ARC
(19,28),-1.28979 # DEPENDENCYPART_ARC
(19,32),-2.36641 # DEPENDENCYPART_ARC
(20,15),-1.77267 # DEPENDENCYPART_ARC
(20,16),-1.52911 # DEPENDENCYPART_ARC
(20,17),-1.62756 # DEPENDENCYPART_ARC
(20,18),-0.844527 # DEPENDENCYPART_ARC
(20,19),-0.874757 # DEPENDENCYPART_ARC
(20,21),0.798831 # DEPENDENCYPART_ARC
(20,22),-1.40754 # DEPENDENCYPART_ARC
(20,23),-1.62934 # DEPENDENCYPART_ARC
(20,24),-0.251618 # DEPENDENCYPART_ARC
(20,25),-0.765852 # DEPENDENCYPART_ARC
(20,26),-0.486607 # DEPENDENCYPART_ARC
(20,31),-0.929055 # DEPENDENCYPART_ARC
(20,34),-1.77343 # DEPENDENCYPART_ARC
(21,15),-1.70099 # DEPENDENCYPART_ARC
(21,20),-1.00612 # DEPENDENCYPART_ARC
(21,22),-0.0841821 # DEPENDENCYPART_ARC
(21,23),-2.28096 # DEPENDENCYPART_ARC
(22,19),-2.9834 # DEPENDENCYPART_ARC
(22,20),-1.61845 # DEPENDENCYPART_ARC
(22,21),-0.771654 # DEPENDENCYPART_ARC
(22,23),-1.58992 # DEPENDENCYPART_ARC
(22,24),-0.613132 # DEPENDENCYPART_ARC
(23,20),-0.177651 # DEPENDENCYPART_ARC
(23,21),-0.509107 # DEPENDENCYPART_ARC
(23,22),2.16574 # DEPENDENCYPART_ARC
(23,24),0.205188 # DEPENDENCYPART_ARC
(23,25),-0.499269 # DEPENDENCYPART_ARC
(23,26),-0.568329 # DEPENDENCYPART_ARC
(23,27),-0.919723 # DEPENDENCYPART_ARC
(23,28),-1.06577 # DEPENDENCYPART_ARC
(23,29),-1.06058 # DEPENDENCYPART_ARC
(23,30),-1.91928 # DEPENDENCYPART_ARC
(23,31),-1.15392 # DEPENDENCYPART_ARC
(23,32),-1.87224 # DEPENDENCYPART_ARC
(23,33),-1.43777 # DEPENDENCYPART_ARC
(24,19),-2.6541 # DEPENDENCYPART_ARC
(24,20),-1.30971 # DEPENDENCYPART_ARC
(24,22),-1.4055 # DEPENDENCYPART_ARC
(24,23),-1.65053 # DEPENDENCYPART_ARC
(24,25),0.477879 # DEPENDENCYPART_ARC
(24,26),-0.832956 # DEPENDENCYPART_ARC
(24,27),-0.613247 # DEPENDENCYPART_ARC
(24,28),-1.23002 # DEPENDENCYPART_ARC
(24,29),-1.28755 # DEPENDENCYPART_ARC
(24,30),-1.71453 # DEPENDENCYPART_ARC
(24,31),-1.27066 # DEPENDENCYPART_ARC
(24,32),-1.63183 # DEPENDENCYPART_ARC
(24,33),-1.59258 # DEPENDENCYPART_ARC
(25,22),-1.64025 # DEPENDENCYPART_ARC
(25,24),-1.53541 # DEPENDENCYPART_ARC
(25,26),-0.489646 # DEPENDENCYPART_ARC
(25,27),-0.863123 # DEPENDENCYPART_ARC
(26,1),-1.61208 # DEPENDENCYPART_ARC
(26,9),-0.579735 # DEPENDENCYPART_ARC
(26,13),-1.81003 # DEPENDENCYPART_ARC
(26,15),-1.34168 # DEPENDENCYPART_ARC
(26,17),-1.10986 # DEPENDENCYPART_ARC
(26,19),-1.21428 # DEPENDENCYPART_ARC
(26,20),-1.33818 # DEPENDENCYPART_ARC
(26,21),-0.703696 # DEPENDENCYPART_ARC
(26,22),-1.03507 # DEPENDENCYPART_ARC
(26,23),-0.730653 # DEPENDENCYPART_ARC
(26,24),-0.977977 # DEPENDENCYPART_ARC
(26,25),1.63419 # DEPENDENCYPART_ARC
(26,27),0.954179 # DEPENDENCYPART_ARC
(26,28),-0.689848 # DEPENDENCYPART_ARC
(26,29),-1.07609 # DEPENDENCYPART_ARC
(26,30),-0.85344 # DEPENDENCYPART_ARC
(26,31),-1.00937 # DEPENDENCYPART_ARC
(26,32),-1.20664 # DEPENDENCYPART_ARC
(26,33),-1.05226 # DEPENDENCYPART_ARC
(26,34),-2.16082 # DEPENDENCYPART_ARC
(27,25),-0.705878 # DEPENDENCYPART_ARC
(27,26),-0.468376 # DEPENDENCYPART_ARC
(27,28),0.0730084 # DEPENDENCYPART_ARC
(27,29),-0.967735 # DEPENDENCYPART_ARC
(27,30),-1.03866 # DEPENDENCYPART_ARC
(27,31),-1.18074 # DEPENDENCYPART_ARC
(27,33),-1.55086 # DEPENDENCYPART_ARC
(27,34),-2.6001 # DEPENDENCYPART_ARC
(28,24),-2.07795 # DEPENDENCYPART_ARC
(28,25),-1.75015 # DEPENDENCYPART_ARC
(28,27),-0.863294 # DEPENDENCYPART_ARC
(28,29),-0.858332 # DEPENDENCYPART_ARC
(28,30),-1.21279 # DEPENDENCYPART_ARC
(28,31),-0.814456 # DEPENDENCYPART_ARC
(28,32),-1.71893 # DEPENDENCYPART_ARC
(28,33),-0.774966 # DEPENDENCYPART_ARC
(28,34),-1.80608 # DEPENDENCYPART_ARC
(29,25),-1.34184 # DEPENDENCYPART_ARC
(29,27),-1.0704 # DEPENDENCYPART_ARC
(29,28),-0.494209 # DEPENDENCYPART_ARC
(29,30),-0.748701 # DEPENDENCYPART_ARC
(29,31),-1.02425 # DEPENDENCYPART_ARC
(29,33),-1.18541 # DEPENDENCYPART_ARC
(29,34),-1.55923 # DEPENDENCYPART_ARC
(30,28),-1.21897 # DEPENDENCYPART_ARC
(30,29),-0.432822 # DEPENDENCYPART_ARC
(30,31),-0.554939 # DEPENDENCYPART_ARC
(30,32),-1.24067 # DEPENDENCYPART_ARC
(30,33),-1.77694 # DEPENDENCYPART_ARC
(30,34),-2.49237 # DEPENDENCYPART_ARC
(31,9),-0.851391 # DEPENDENCYPART_ARC
(31,17),-1.78725 # DEPENDENCYPART_ARC
(31,21),-1.2507 # DEPENDENCYPART_ARC
(31,22),-1.33705 # DEPENDENCYPART_ARC
(31,23),-1.54072 # DEPENDENCYPART_ARC
(31,24),-1.49196 # DEPENDENCYPART_ARC
(31,25),-0.95887 # DEPENDENCYPART_ARC
(31,26),-0.670523 # DEPENDENCYPART_ARC
(31,27),-0.211787 # DEPENDENCYPART_ARC
(31,28),-0.125469 # DEPENDENCYPART_ARC
(31,29),-0.159725 # DEPENDENCYPART_ARC
(31,30),1.68333 # DEPENDENCYPART_ARC
(31,32),1.03074 # DEPENDENCYPART_ARC
(31,33),-0.0342007 # DEPENDENCYPART_ARC
(31,34),-1.29 # DEPENDENCYPART_ARC
(32,29),-0.813838 # DEPENDENCYPART_ARC
(32,30),-0.749315 # DEPENDENCYPART_ARC
(32,31),-0.314153 # DEPENDENCYPART_ARC
(32,33),-0.554733 # DEPENDENCYPART_ARC
(32,34),-1.69553 # DEPENDENCYPART_ARC
(33,32),-1.95685 # DEPENDENCYPART_ARC
(33,34),-1.71156 # DEPENDENCYPART_ARC
(0,1),(0,2),0.112805 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0651801 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.114008 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.114589 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.185159 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.396679 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.207652 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.396679 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.158074 # DEPENDENCYPART_SIBL
(0,1),(0,34),-0.396679 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.15649 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0365394 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0378435 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.209232 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.184125 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.417495 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0215449 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0215449 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.180052 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.417495 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.231828 # DEPENDENCYPART_SIBL
(0,2),(0,34),-0.417495 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0733386 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0734283 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.094228 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.360541 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.302867 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0776571 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0776571 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.227047 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.302867 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0780914 # DEPENDENCYPART_SIBL
(0,3),(0,34),-0.302867 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0383335 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.210578 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.185726 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.417693 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0211441 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0211441 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.182494 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.417693 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.232213 # DEPENDENCYPART_SIBL
(0,4),(0,34),-0.417693 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.212994 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.178555 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.416908 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0203596 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0203596 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.182087 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.416908 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.231241 # DEPENDENCYPART_SIBL
(0,5),(0,34),-0.416908 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.476952 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.450326 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.2298 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.2298 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.221198 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.450326 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.267934 # DEPENDENCYPART_SIBL
(0,6),(0,34),-0.450326 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.00769122 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.962228 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.00769122 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.14913 # DEPENDENCYPART_SIBL
(0,9),(0,34),-0.00769122 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.375943 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.375943 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.208293 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.147083 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.437719 # DEPENDENCYPART_SIBL
(0,11),(0,34),-0.147083 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.140416 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.0833005 # DEPENDENCYPART_SIBL
(0,14),(0,34),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.140416 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.0833005 # DEPENDENCYPART_SIBL
(0,16),(0,34),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.0494213 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.171199 # DEPENDENCYPART_SIBL
(0,18),(0,34),0.0494213 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.437719 # DEPENDENCYPART_SIBL
(0,21),(0,34),-0.147083 # DEPENDENCYPART_SIBL
(0,26),(0,34),-0.138136 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.440356 # DEPENDENCYPART_SIBL
(1,2),(1,4),-1.40328 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.723482 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.151937 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0887041 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.1033 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.180637 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.097751 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0152323 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0300281 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0284213 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0252672 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0337992 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.116626 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0625201 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0812029 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0733462 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.312745 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0968079 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0612804 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.302764 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0248006 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.168908 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.310726 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0741981 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0186044 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0140032 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0041252 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00194831 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00354062 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0983523 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.108224 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00845303 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0104701 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0429732 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.130882 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.11686 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.167392 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0761778 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.111311 # DEPENDENCYPART_SIBL
