# _root_ Cigarety Camel , které se v pátek pokusila z Turecka do ČSFR propašovat skupina patnácti osob , byly podle našich informací určeny k prodeji v Praze .
#goldHeads=18,1,8,13,8,8,6,1,13,9,13,11,8,8,16,14,8,0,18,21,19,18,22,23,24,25,0,
#predictedHeads=0,1,8,8,8,8,6,1,8,9,8,11,8,13,16,14,8,22,22,21,19,0,22,23,24,25,0,
(13,1),-1.47671 # DEPENDENCYPART_ARC
(13,2),-2.53239 # DEPENDENCYPART_ARC
(13,3),-0.443623 # DEPENDENCYPART_ARC
(13,4),0.856689 # DEPENDENCYPART_ARC
(13,5),0.509305 # DEPENDENCYPART_ARC
(13,6),0.128382 # DEPENDENCYPART_ARC
(13,7),0.172702 # DEPENDENCYPART_ARC
(13,8),-2.15215 # DEPENDENCYPART_ARC
(13,9),0.160141 # DEPENDENCYPART_ARC
(13,10),-1.06708 # DEPENDENCYPART_ARC
(13,11),-0.239617 # DEPENDENCYPART_ARC
(13,12),-0.472097 # DEPENDENCYPART_ARC
(13,14),0.465219 # DEPENDENCYPART_ARC
(13,15),-0.561964 # DEPENDENCYPART_ARC
(13,16),-0.721594 # DEPENDENCYPART_ARC
(13,17),-0.241549 # DEPENDENCYPART_ARC
(13,18),-1.67011 # DEPENDENCYPART_ARC
(13,19),-0.474853 # DEPENDENCYPART_ARC
(13,21),-2.69103 # DEPENDENCYPART_ARC
(13,23),-1.1949 # DEPENDENCYPART_ARC
(13,25),-1.2038 # DEPENDENCYPART_ARC
(14,9),-1.06214 # DEPENDENCYPART_ARC
(14,11),-1.20602 # DEPENDENCYPART_ARC
(14,15),-0.454322 # DEPENDENCYPART_ARC
(14,16),-0.073612 # DEPENDENCYPART_ARC
(14,17),-1.11905 # DEPENDENCYPART_ARC
(14,18),-2.38235 # DEPENDENCYPART_ARC
(14,19),-1.52672 # DEPENDENCYPART_ARC
(14,21),-1.52771 # DEPENDENCYPART_ARC
(14,22),-2.19532 # DEPENDENCYPART_ARC
(14,23),-1.60647 # DEPENDENCYPART_ARC
(14,25),-1.4869 # DEPENDENCYPART_ARC
(15,14),-1.81015 # DEPENDENCYPART_ARC
(15,16),-0.607369 # DEPENDENCYPART_ARC
(15,17),-1.61412 # DEPENDENCYPART_ARC
(15,18),-2.25598 # DEPENDENCYPART_ARC
(16,11),-1.47915 # DEPENDENCYPART_ARC
(16,12),-1.96009 # DEPENDENCYPART_ARC
(16,14),-2.41239 # DEPENDENCYPART_ARC
(16,15),1.14693 # DEPENDENCYPART_ARC
(16,17),-1.31959 # DEPENDENCYPART_ARC
(16,18),-1.62449 # DEPENDENCYPART_ARC
(16,19),-2.44825 # DEPENDENCYPART_ARC
(16,21),-1.9195 # DEPENDENCYPART_ARC
(16,22),-1.11845 # DEPENDENCYPART_ARC
(17,1),-2.04206 # DEPENDENCYPART_ARC
(17,2),-2.51361 # DEPENDENCYPART_ARC
(17,3),-1.33986 # DEPENDENCYPART_ARC
(17,8),-0.681713 # DEPENDENCYPART_ARC
(17,9),-1.20269 # DEPENDENCYPART_ARC
(17,10),-1.43554 # DEPENDENCYPART_ARC
(17,11),-1.51141 # DEPENDENCYPART_ARC
(17,13),-0.335349 # DEPENDENCYPART_ARC
(17,14),-0.791921 # DEPENDENCYPART_ARC
(17,15),-1.18114 # DEPENDENCYPART_ARC
(17,16),-1.26946 # DEPENDENCYPART_ARC
(17,18),-0.907166 # DEPENDENCYPART_ARC
(17,19),-1.34279 # DEPENDENCYPART_ARC
(17,21),-2.24736 # DEPENDENCYPART_ARC
(17,22),-1.85625 # DEPENDENCYPART_ARC
(17,23),-1.88187 # DEPENDENCYPART_ARC
(17,25),-2.05438 # DEPENDENCYPART_ARC
(18,1),-1.07893 # DEPENDENCYPART_ARC
(18,2),-4.13226 # DEPENDENCYPART_ARC
(18,3),-2.03904 # DEPENDENCYPART_ARC
(18,4),-1.97921 # DEPENDENCYPART_ARC
(18,5),-1.4273 # DEPENDENCYPART_ARC
(18,6),-2.03748 # DEPENDENCYPART_ARC
(18,7),-2.10054 # DEPENDENCYPART_ARC
(18,8),-3.78685 # DEPENDENCYPART_ARC
(18,9),-2.00777 # DEPENDENCYPART_ARC
(18,10),-4.69356 # DEPENDENCYPART_ARC
(18,11),-2.43319 # DEPENDENCYPART_ARC
(18,12),-3.22535 # DEPENDENCYPART_ARC
(18,13),-0.625145 # DEPENDENCYPART_ARC
(18,14),-1.49071 # DEPENDENCYPART_ARC
(18,15),-2.36636 # DEPENDENCYPART_ARC
(18,16),-2.79577 # DEPENDENCYPART_ARC
(18,17),-1.51594 # DEPENDENCYPART_ARC
(18,19),1.70639 # DEPENDENCYPART_ARC
(18,20),-3.53753 # DEPENDENCYPART_ARC
(18,21),-1.52027 # DEPENDENCYPART_ARC
(18,22),-0.00259383 # DEPENDENCYPART_ARC
(18,23),-0.710069 # DEPENDENCYPART_ARC
(18,24),-1.52636 # DEPENDENCYPART_ARC
(18,25),-0.741848 # DEPENDENCYPART_ARC
(18,26),-3.47529 # DEPENDENCYPART_ARC
(19,17),-0.736284 # DEPENDENCYPART_ARC
(19,20),0.38343 # DEPENDENCYPART_ARC
(19,21),1.65117 # DEPENDENCYPART_ARC
(19,24),-1.63756 # DEPENDENCYPART_ARC
(19,26),-1.9123 # DEPENDENCYPART_ARC
(21,16),-2.8775 # DEPENDENCYPART_ARC
(21,19),-1.27689 # DEPENDENCYPART_ARC
(21,20),2.31482 # DEPENDENCYPART_ARC
(21,23),-1.45756 # DEPENDENCYPART_ARC
(21,25),-1.41102 # DEPENDENCYPART_ARC
(22,1),-1.0138 # DEPENDENCYPART_ARC
(22,2),-3.93243 # DEPENDENCYPART_ARC
(22,3),-1.04352 # DEPENDENCYPART_ARC
(22,6),-0.423365 # DEPENDENCYPART_ARC
(22,7),-2.12646 # DEPENDENCYPART_ARC
(22,8),0.233422 # DEPENDENCYPART_ARC
(22,9),-0.72267 # DEPENDENCYPART_ARC
(22,10),-3.82407 # DEPENDENCYPART_ARC
(22,11),-1.44844 # DEPENDENCYPART_ARC
(22,12),-2.91735 # DEPENDENCYPART_ARC
(22,13),1.07442 # DEPENDENCYPART_ARC
(22,14),-1.30751 # DEPENDENCYPART_ARC
(22,16),-3.03035 # DEPENDENCYPART_ARC
(22,17),-1.23847 # DEPENDENCYPART_ARC
(22,18),3.32089 # DEPENDENCYPART_ARC
(22,19),1.14601 # DEPENDENCYPART_ARC
(22,21),-0.62391 # DEPENDENCYPART_ARC
(22,23),1.01603 # DEPENDENCYPART_ARC
(22,24),0.333113 # DEPENDENCYPART_ARC
(22,25),-0.0293771 # DEPENDENCYPART_ARC
(22,26),-2.32628 # DEPENDENCYPART_ARC
(23,21),-2.62031 # DEPENDENCYPART_ARC
(23,24),2.70477 # DEPENDENCYPART_ARC
(23,26),-0.384493 # DEPENDENCYPART_ARC
(24,19),-1.76649 # DEPENDENCYPART_ARC
(24,20),-1.79761 # DEPENDENCYPART_ARC
(24,21),-4.5447 # DEPENDENCYPART_ARC
(24,23),-1.23753 # DEPENDENCYPART_ARC
(24,25),0.18141 # DEPENDENCYPART_ARC
(24,26),-1.00461 # DEPENDENCYPART_ARC
(24,27),-0.907692 # DEPENDENCYPART_ARC
(25,23),-1.04003 # DEPENDENCYPART_ARC
(25,24),-1.39172 # DEPENDENCYPART_ARC
(25,26),2.9343 # DEPENDENCYPART_ARC
(26,19),-1.53452 # DEPENDENCYPART_ARC
(26,23),-1.35656 # DEPENDENCYPART_ARC
(26,24),-2.08946 # DEPENDENCYPART_ARC
(26,25),-1.23962 # DEPENDENCYPART_ARC
(26,27),-0.698292 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0372201 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0209479 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0858375 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.164461 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.182429 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.324671 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.183776 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.110427 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0209479 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.207251 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.183776 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.417193 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0865138 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.164466 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.182417 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.324676 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.183763 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.110427 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.207238 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.183763 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.416889 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0988608 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.042719 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.410185 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0307329 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0304664 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.428553 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.28239 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.420625 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.296445 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.420035 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.163776 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.101014 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.431987 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.420035 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.052753 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.377734 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.195305 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.372218 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.231054 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.093583 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.397746 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.37222 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.396679 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.151598 # DEPENDENCYPART_SIBL
(0,8),(0,13),-1.46472 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0745104 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.300292 # DEPENDENCYPART_SIBL
(0,8),(0,18),-1.48025 # DEPENDENCYPART_SIBL
(0,8),(0,22),-1.46472 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.0130516 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.37759 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.191448 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.105915 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.397258 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.377592 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.324816 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0729789 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.296463 # DEPENDENCYPART_SIBL
(0,13),(0,18),-1.47872 # DEPENDENCYPART_SIBL
(0,13),(0,22),-1.46319 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.00769122 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0385526 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.398055 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.38585 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.25341 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.428553 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,22),-1.47208 # DEPENDENCYPART_SIBL
(0,18),(0,27),-0.00577954 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.0474594 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0371462 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0173391 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.134503 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0601933 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0139457 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.018778 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.20983 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0116568 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0116548 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0748898 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0207377 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00760163 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0176316 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.000668445 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0161442 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0141743 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.0141763 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.120805 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0227071 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.022528 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0966245 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.149551 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0209432 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0209452 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0187282 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0147656 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0570138 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.085326 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.00332916 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.00333525 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0138002 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0172969 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.208932 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0115114 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0115093 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.00969739 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0395983 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.259556 # DEPENDENCYPART_SIBL
(1,8),(1,22),-0.259558 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.281027 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0426697 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.0426636 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0240903 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.0240842 # DEPENDENCYPART_SIBL
(1,13),(1,22),-0.259558 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0240845 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0519883 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0969393 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0135452 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.015503 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00553689 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00202127 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0206317 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0748898 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0207377 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00760163 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0176316 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0141743 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0274651 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0141763 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.120805 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0227071 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.022528 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0209432 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0255793 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0209452 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0187282 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0147656 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00332916 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.019123 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.00333525 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0138002 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0115114 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00136744 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0115093 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.259556 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.265683 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.259558 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.265683 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.259558 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.263305 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0110567 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0322721 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0120672 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0130724 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.00834473 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0404003 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0313051 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0139669 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.014972 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00930883 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0385007 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0774277 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0724014 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0509675 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0851311 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.362465 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0463517 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.367443 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0471175 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.367443 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0521698 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.208054 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.109602 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.212573 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0185253 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.126637 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00046721 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.145615 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0446125 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.111133 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0980881 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.044614 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.111133 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0980879 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00550638 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0255969 # DEPENDENCYPART_SIBL
(6,7),(6,10),-1.4064 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0134442 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0723109 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0576743 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0378966 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0153737 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0723109 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0576743 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0378966 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0156856 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0554628 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0644114 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.012461 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0114145 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.051934 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0731288 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.195112 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.154291 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.380615 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0170871 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.00611493 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.198714 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.03324 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0323431 # DEPENDENCYPART_SIBL
