# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,20,21,17,26,24,23,26,0,
(6,1),-1.87169 # DEPENDENCYPART_ARC
(6,2),-3.50064 # DEPENDENCYPART_ARC
(6,4),-2.68658 # DEPENDENCYPART_ARC
(6,5),-0.934326 # DEPENDENCYPART_ARC
(6,7),-1.82297 # DEPENDENCYPART_ARC
(6,8),-2.65512 # DEPENDENCYPART_ARC
(7,1),0.501429 # DEPENDENCYPART_ARC
(7,2),-0.834977 # DEPENDENCYPART_ARC
(7,3),-0.43194 # DEPENDENCYPART_ARC
(7,4),0.603078 # DEPENDENCYPART_ARC
(7,5),-0.0830415 # DEPENDENCYPART_ARC
(7,6),-0.00513344 # DEPENDENCYPART_ARC
(7,8),1.97524 # DEPENDENCYPART_ARC
(7,9),0.438297 # DEPENDENCYPART_ARC
(7,10),-0.568645 # DEPENDENCYPART_ARC
(7,11),-0.0699875 # DEPENDENCYPART_ARC
(7,13),-2.92737 # DEPENDENCYPART_ARC
(7,14),-1.32189 # DEPENDENCYPART_ARC
(7,16),-3.26169 # DEPENDENCYPART_ARC
(7,17),-0.70892 # DEPENDENCYPART_ARC
(7,23),-1.35035 # DEPENDENCYPART_ARC
(8,5),-0.753954 # DEPENDENCYPART_ARC
(8,6),-1.34614 # DEPENDENCYPART_ARC
(8,9),-0.615112 # DEPENDENCYPART_ARC
(8,10),-1.19131 # DEPENDENCYPART_ARC
(8,11),-0.885268 # DEPENDENCYPART_ARC
(8,13),-1.66739 # DEPENDENCYPART_ARC
(8,16),-0.867995 # DEPENDENCYPART_ARC
(8,20),-2.85662 # DEPENDENCYPART_ARC
(9,1),-1.92127 # DEPENDENCYPART_ARC
(9,2),-2.05988 # DEPENDENCYPART_ARC
(9,3),-0.976387 # DEPENDENCYPART_ARC
(9,4),-1.90088 # DEPENDENCYPART_ARC
(9,5),-1.37947 # DEPENDENCYPART_ARC
(9,6),-1.50151 # DEPENDENCYPART_ARC
(9,8),-1.04824 # DEPENDENCYPART_ARC
(9,10),-0.666932 # DEPENDENCYPART_ARC
(9,11),-1.40455 # DEPENDENCYPART_ARC
(10,7),-1.20773 # DEPENDENCYPART_ARC
(10,9),-1.39277 # DEPENDENCYPART_ARC
(10,13),-1.09059 # DEPENDENCYPART_ARC
(11,6),-1.61058 # DEPENDENCYPART_ARC
(11,7),-0.779381 # DEPENDENCYPART_ARC
(11,8),-1.14023 # DEPENDENCYPART_ARC
(11,9),-1.2733 # DEPENDENCYPART_ARC
(11,10),1.39345 # DEPENDENCYPART_ARC
(11,13),1.68504 # DEPENDENCYPART_ARC
(11,14),-1.05031 # DEPENDENCYPART_ARC
(11,15),-1.50166 # DEPENDENCYPART_ARC
(11,16),-1.55123 # DEPENDENCYPART_ARC
(11,17),0.633781 # DEPENDENCYPART_ARC
(11,18),-2.53234 # DEPENDENCYPART_ARC
(11,20),-0.162137 # DEPENDENCYPART_ARC
(11,23),-0.239322 # DEPENDENCYPART_ARC
(11,24),-2.47295 # DEPENDENCYPART_ARC
(11,26),-0.709252 # DEPENDENCYPART_ARC
(13,1),-1.19782 # DEPENDENCYPART_ARC
(13,2),-1.85747 # DEPENDENCYPART_ARC
(13,3),-1.47214 # DEPENDENCYPART_ARC
(13,4),-0.885183 # DEPENDENCYPART_ARC
(13,5),-2.13867 # DEPENDENCYPART_ARC
(13,6),-1.81597 # DEPENDENCYPART_ARC
(13,7),-2.48353 # DEPENDENCYPART_ARC
(13,8),-0.566324 # DEPENDENCYPART_ARC
(13,9),-1.09771 # DEPENDENCYPART_ARC
(13,10),-0.576756 # DEPENDENCYPART_ARC
(13,11),-0.572374 # DEPENDENCYPART_ARC
(13,12),2.04018 # DEPENDENCYPART_ARC
(13,14),1.74718 # DEPENDENCYPART_ARC
(13,15),-1.98951 # DEPENDENCYPART_ARC
(13,16),-0.630614 # DEPENDENCYPART_ARC
(13,17),-0.219467 # DEPENDENCYPART_ARC
(13,18),-0.596113 # DEPENDENCYPART_ARC
(13,20),-2.33242 # DEPENDENCYPART_ARC
(13,21),-0.430967 # DEPENDENCYPART_ARC
(13,22),-1.38259 # DEPENDENCYPART_ARC
(13,23),-0.473738 # DEPENDENCYPART_ARC
(13,24),-1.23775 # DEPENDENCYPART_ARC
(13,26),-3.17665 # DEPENDENCYPART_ARC
(13,27),-1.41072 # DEPENDENCYPART_ARC
(14,15),-0.31011 # DEPENDENCYPART_ARC
(14,16),1.49993 # DEPENDENCYPART_ARC
(14,17),-0.582311 # DEPENDENCYPART_ARC
(14,18),-2.27545 # DEPENDENCYPART_ARC
(15,12),-2.4013 # DEPENDENCYPART_ARC
(15,14),-1.30808 # DEPENDENCYPART_ARC
(15,18),-2.8651 # DEPENDENCYPART_ARC
(16,12),-3.74981 # DEPENDENCYPART_ARC
(16,14),-1.16999 # DEPENDENCYPART_ARC
(16,15),2.5289 # DEPENDENCYPART_ARC
(16,18),-1.72305 # DEPENDENCYPART_ARC
(16,20),-1.60703 # DEPENDENCYPART_ARC
(16,21),-2.10074 # DEPENDENCYPART_ARC
(16,23),-1.43228 # DEPENDENCYPART_ARC
(16,26),-2.15853 # DEPENDENCYPART_ARC
(17,1),-1.87216 # DEPENDENCYPART_ARC
(17,3),-0.998358 # DEPENDENCYPART_ARC
(17,7),-1.38745 # DEPENDENCYPART_ARC
(17,8),-1.56729 # DEPENDENCYPART_ARC
(17,9),-1.89299 # DEPENDENCYPART_ARC
(17,10),-1.43389 # DEPENDENCYPART_ARC
(17,11),-0.738691 # DEPENDENCYPART_ARC
(17,13),-1.03227 # DEPENDENCYPART_ARC
(17,14),-1.00836 # DEPENDENCYPART_ARC
(17,15),-1.34485 # DEPENDENCYPART_ARC
(17,16),0.0488086 # DEPENDENCYPART_ARC
(17,18),-0.597174 # DEPENDENCYPART_ARC
(17,20),-0.915241 # DEPENDENCYPART_ARC
(17,21),-1.4023 # DEPENDENCYPART_ARC
(17,22),-2.38453 # DEPENDENCYPART_ARC
(17,23),-0.802642 # DEPENDENCYPART_ARC
(17,24),-1.82673 # DEPENDENCYPART_ARC
(17,26),-2.01101 # DEPENDENCYPART_ARC
(17,27),-3.21862 # DEPENDENCYPART_ARC
(18,14),-1.33531 # DEPENDENCYPART_ARC
(18,15),-3.66166 # DEPENDENCYPART_ARC
(18,16),-3.63504 # DEPENDENCYPART_ARC
(18,17),-0.857194 # DEPENDENCYPART_ARC
(18,19),-1.59874 # DEPENDENCYPART_ARC
(18,20),-1.93004 # DEPENDENCYPART_ARC
(18,21),-1.32345 # DEPENDENCYPART_ARC
(18,22),-3.00897 # DEPENDENCYPART_ARC
(18,23),-1.10325 # DEPENDENCYPART_ARC
(18,24),-1.92265 # DEPENDENCYPART_ARC
(18,26),-3.15127 # DEPENDENCYPART_ARC
(20,1),-1.35755 # DEPENDENCYPART_ARC
(20,3),-1.2173 # DEPENDENCYPART_ARC
(20,4),-1.13086 # DEPENDENCYPART_ARC
(20,7),-3.50094 # DEPENDENCYPART_ARC
(20,8),-1.76576 # DEPENDENCYPART_ARC
(20,9),-1.82602 # DEPENDENCYPART_ARC
(20,10),-1.35332 # DEPENDENCYPART_ARC
(20,11),-0.383223 # DEPENDENCYPART_ARC
(20,12),-0.466253 # DEPENDENCYPART_ARC
(20,13),-2.40291 # DEPENDENCYPART_ARC
(20,14),-0.628244 # DEPENDENCYPART_ARC
(20,15),-5.05795 # DEPENDENCYPART_ARC
(20,16),-3.36973 # DEPENDENCYPART_ARC
(20,17),-0.0458522 # DEPENDENCYPART_ARC
(20,18),1.02078 # DEPENDENCYPART_ARC
(20,19),1.91796 # DEPENDENCYPART_ARC
(20,21),0.971357 # DEPENDENCYPART_ARC
(20,22),0.0417309 # DEPENDENCYPART_ARC
(20,23),-0.216803 # DEPENDENCYPART_ARC
(20,24),-0.522375 # DEPENDENCYPART_ARC
(20,25),-1.93198 # DEPENDENCYPART_ARC
(20,26),-3.31177 # DEPENDENCYPART_ARC
(20,27),-0.921878 # DEPENDENCYPART_ARC
(20,28),-1.28054 # DEPENDENCYPART_ARC
(21,18),-2.91331 # DEPENDENCYPART_ARC
(21,22),2.77661 # DEPENDENCYPART_ARC
(21,23),-0.478808 # DEPENDENCYPART_ARC
(21,25),-0.41579 # DEPENDENCYPART_ARC
(21,27),-4.3633 # DEPENDENCYPART_ARC
(22,19),-3.85125 # DEPENDENCYPART_ARC
(22,21),-0.858016 # DEPENDENCYPART_ARC
(22,24),-1.69273 # DEPENDENCYPART_ARC
(22,27),-3.64463 # DEPENDENCYPART_ARC
(23,1),-1.53788 # DEPENDENCYPART_ARC
(23,3),-1.00387 # DEPENDENCYPART_ARC
(23,5),-0.804956 # DEPENDENCYPART_ARC
(23,7),-1.43795 # DEPENDENCYPART_ARC
(23,9),-1.57371 # DEPENDENCYPART_ARC
(23,10),-0.972359 # DEPENDENCYPART_ARC
(23,11),-0.325234 # DEPENDENCYPART_ARC
(23,12),-1.74952 # DEPENDENCYPART_ARC
(23,13),-0.291739 # DEPENDENCYPART_ARC
(23,14),-0.203179 # DEPENDENCYPART_ARC
(23,15),-2.11508 # DEPENDENCYPART_ARC
(23,16),-1.10318 # DEPENDENCYPART_ARC
(23,17),0.104954 # DEPENDENCYPART_ARC
(23,18),-0.913761 # DEPENDENCYPART_ARC
(23,19),-0.866804 # DEPENDENCYPART_ARC
(23,20),0.824605 # DEPENDENCYPART_ARC
(23,21),0.322886 # DEPENDENCYPART_ARC
(23,22),-0.494123 # DEPENDENCYPART_ARC
(23,24),0.971532 # DEPENDENCYPART_ARC
(23,25),0.099419 # DEPENDENCYPART_ARC
(23,26),0.260293 # DEPENDENCYPART_ARC
(23,27),-0.888424 # DEPENDENCYPART_ARC
(23,28),-1.0179 # DEPENDENCYPART_ARC
(24,25),2.8614 # DEPENDENCYPART_ARC
(24,26),-2.20344 # DEPENDENCYPART_ARC
(24,27),-3.89656 # DEPENDENCYPART_ARC
(25,21),-1.21407 # DEPENDENCYPART_ARC
(25,22),-2.54114 # DEPENDENCYPART_ARC
(25,24),-0.079405 # DEPENDENCYPART_ARC
(25,26),-1.14889 # DEPENDENCYPART_ARC
(25,27),-1.56988 # DEPENDENCYPART_ARC
(26,4),-0.732213 # DEPENDENCYPART_ARC
(26,8),-0.987429 # DEPENDENCYPART_ARC
(26,11),-0.688699 # DEPENDENCYPART_ARC
(26,12),-1.45858 # DEPENDENCYPART_ARC
(26,13),-1.91773 # DEPENDENCYPART_ARC
(26,14),-1.22828 # DEPENDENCYPART_ARC
(26,16),-3.25973 # DEPENDENCYPART_ARC
(26,17),-1.80822 # DEPENDENCYPART_ARC
(26,18),-1.03824 # DEPENDENCYPART_ARC
(26,19),-0.087476 # DEPENDENCYPART_ARC
(26,20),-2.15896 # DEPENDENCYPART_ARC
(26,21),-0.284078 # DEPENDENCYPART_ARC
(26,22),-0.274668 # DEPENDENCYPART_ARC
(26,23),-0.712215 # DEPENDENCYPART_ARC
(26,24),0.605289 # DEPENDENCYPART_ARC
(26,25),-0.542854 # DEPENDENCYPART_ARC
(26,27),1.6203 # DEPENDENCYPART_ARC
(26,28),-1.3539 # DEPENDENCYPART_ARC
(27,21),-1.04337 # DEPENDENCYPART_ARC
(27,22),-4.09653 # DEPENDENCYPART_ARC
(27,24),-0.830136 # DEPENDENCYPART_ARC
(27,25),-3.48095 # DEPENDENCYPART_ARC
(27,28),-0.422011 # DEPENDENCYPART_ARC
(28,27),-2.97098 # DEPENDENCYPART_ARC
(0,1),(0,2),0.20825 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.221198 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.132197 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.476952 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.134869 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.128596 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.476815 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.476952 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.221198 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.481023 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.450326 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.149248 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.183763 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.16632 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.108959 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.189126 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.183763 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.208134 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.416889 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.00842536 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.898665 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0364314 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.238729 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.356438 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.898665 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.238729 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.898665 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.747338 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.915869 # DEPENDENCYPART_SIBL
(0,3),(0,28),0.0494213 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.368525 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.23999 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.00924634 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.190133 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.369011 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.00924634 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.368525 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.145119 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.367525 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.226482 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.219759 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.292512 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.586872 # DEPENDENCYPART_SIBL
(0,7),(0,13),-1.46306 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.292512 # DEPENDENCYPART_SIBL
(0,7),(0,20),-1.46161 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.960648 # DEPENDENCYPART_SIBL
(0,7),(0,26),-1.48216 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.00216022 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.173901 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.154054 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.307267 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.173901 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.307263 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.170042 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.312305 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.12347 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.014076 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.41148 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.424312 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.721124 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.216065 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.721124 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.552257 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.737396 # DEPENDENCYPART_SIBL
(0,11),(0,28),0.0600488 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.32974 # DEPENDENCYPART_SIBL
(0,13),(0,20),-1.47584 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.974339 # DEPENDENCYPART_SIBL
(0,13),(0,26),-1.49639 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.0500843 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.140416 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.424312 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.962228 # DEPENDENCYPART_SIBL
(0,20),(0,26),-1.48374 # DEPENDENCYPART_SIBL
(0,20),(0,28),-0.00769122 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.915869 # DEPENDENCYPART_SIBL
(0,23),(0,28),0.0494213 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.119466 # DEPENDENCYPART_SIBL
(1,2),(1,3),-1.39434 # DEPENDENCYPART_SIBL
(1,2),(1,4),-1.45893 # DEPENDENCYPART_SIBL
(1,2),(1,6),-1.45893 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.653311 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.653311 # DEPENDENCYPART_SIBL
(1,4),(1,6),-1.45893 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0329871 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.157625 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0468622 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0506428 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0606639 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.271076 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0661327 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.088928 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0836566 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0527766 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0351698 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0336575 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0955397 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0351698 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0890954 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0489618 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.175929 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0487934 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0232572 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0334687 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0339595 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0305579 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0238253 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0310158 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0305579 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0234246 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0110089 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0344936 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.480211 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0327793 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00692544 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0524671 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0889575 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.490237 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0524671 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.480211 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0232497 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.503439 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0247136 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.12181 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0191608 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.10425 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.508544 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0191608 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.503439 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.480211 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0327782 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00692544 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0521956 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0889974 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.490237 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0521956 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.480211 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0316586 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.000933724 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0228244 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0513324 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.837844 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0228244 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.828865 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0123677 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0197579 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0994474 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.465848 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0197579 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.455822 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00561335 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.129771 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.229251 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00561335 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.224627 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0280767 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.294827 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.235972 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.284829 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0897945 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.123157 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0851746 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0117412 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.829265 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.284829 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00831096 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.102996 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0187904 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00584771 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00157642 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0122274 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0125105 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.181131 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00833523 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0115557 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0274198 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.16679 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0867182 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0792603 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.251618 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0454742 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0333127 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0867347 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0792767 # DEPENDENCYPART_SIBL
(5,6),(5,8),-1.42714 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0479731 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0479731 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0943654 # DEPENDENCYPART_SIBL
