# _root_ Že Perry svojí pozorností k severokorejským jaderným choutkám píchl do vosího hnízda , ukazuje způsob , jakým na jeho cestu zareagovala oficiální pchjongjangská agentura KCNA .
#goldHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
#predictedHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
(5,7),-1.13022 # DEPENDENCYPART_ARC
(5,8),1.94615 # DEPENDENCYPART_ARC
(5,12),-2.09681 # DEPENDENCYPART_ARC
(5,13),-1.05622 # DEPENDENCYPART_ARC
(5,15),-3.71476 # DEPENDENCYPART_ARC
(6,4),-1.09355 # DEPENDENCYPART_ARC
(6,5),-1.14156 # DEPENDENCYPART_ARC
(6,7),-1.40604 # DEPENDENCYPART_ARC
(6,8),-1.40425 # DEPENDENCYPART_ARC
(6,9),-3.54171 # DEPENDENCYPART_ARC
(6,10),-1.01183 # DEPENDENCYPART_ARC
(7,6),-1.7088 # DEPENDENCYPART_ARC
(8,1),-1.27777 # DEPENDENCYPART_ARC
(8,2),-2.60292 # DEPENDENCYPART_ARC
(8,3),-1.03026 # DEPENDENCYPART_ARC
(8,4),-2.47154 # DEPENDENCYPART_ARC
(8,5),-1.36817 # DEPENDENCYPART_ARC
(8,6),1.99596 # DEPENDENCYPART_ARC
(8,7),2.67077 # DEPENDENCYPART_ARC
(8,9),-2.39083 # DEPENDENCYPART_ARC
(8,10),-1.71087 # DEPENDENCYPART_ARC
(8,12),-1.30521 # DEPENDENCYPART_ARC
(9,1),-0.141894 # DEPENDENCYPART_ARC
(9,2),0.628286 # DEPENDENCYPART_ARC
(9,4),0.76753 # DEPENDENCYPART_ARC
(9,5),-0.294521 # DEPENDENCYPART_ARC
(9,6),-1.40257 # DEPENDENCYPART_ARC
(9,7),-1.07996 # DEPENDENCYPART_ARC
(9,8),0.49574 # DEPENDENCYPART_ARC
(9,10),1.91977 # DEPENDENCYPART_ARC
(9,11),-3.13947 # DEPENDENCYPART_ARC
(9,12),-1.14366 # DEPENDENCYPART_ARC
(9,13),-0.232195 # DEPENDENCYPART_ARC
(9,14),-1.66463 # DEPENDENCYPART_ARC
(9,15),-0.593147 # DEPENDENCYPART_ARC
(9,16),-0.881289 # DEPENDENCYPART_ARC
(9,18),-0.919021 # DEPENDENCYPART_ARC
(9,20),-1.90988 # DEPENDENCYPART_ARC
(9,21),-3.6395 # DEPENDENCYPART_ARC
(9,22),-3.57871 # DEPENDENCYPART_ARC
(9,24),-2.22158 # DEPENDENCYPART_ARC
(9,25),-3.52037 # DEPENDENCYPART_ARC
(10,11),-0.246088 # DEPENDENCYPART_ARC
(10,12),1.58708 # DEPENDENCYPART_ARC
(10,13),-0.694677 # DEPENDENCYPART_ARC
(10,14),-1.82589 # DEPENDENCYPART_ARC
(10,15),-3.07659 # DEPENDENCYPART_ARC
(10,16),-1.26573 # DEPENDENCYPART_ARC
(11,15),-3.67733 # DEPENDENCYPART_ARC
(12,6),-3.89988 # DEPENDENCYPART_ARC
(12,7),-3.84068 # DEPENDENCYPART_ARC
(12,8),-4.91819 # DEPENDENCYPART_ARC
(12,10),-0.970021 # DEPENDENCYPART_ARC
(12,11),2.44044 # DEPENDENCYPART_ARC
(12,13),-1.4764 # DEPENDENCYPART_ARC
(12,14),-2.02747 # DEPENDENCYPART_ARC
(12,15),-2.78928 # DEPENDENCYPART_ARC
(12,21),-1.90531 # DEPENDENCYPART_ARC
(13,1),-1.16008 # DEPENDENCYPART_ARC
(13,2),-1.92878 # DEPENDENCYPART_ARC
(13,4),-1.7404 # DEPENDENCYPART_ARC
(13,5),-1.43449 # DEPENDENCYPART_ARC
(13,6),-2.09219 # DEPENDENCYPART_ARC
(13,8),-1.38334 # DEPENDENCYPART_ARC
(13,9),-0.492572 # DEPENDENCYPART_ARC
(13,10),-0.831862 # DEPENDENCYPART_ARC
(13,11),-1.3874 # DEPENDENCYPART_ARC
(13,12),-1.40457 # DEPENDENCYPART_ARC
(13,14),-0.697701 # DEPENDENCYPART_ARC
(13,15),-1.18577 # DEPENDENCYPART_ARC
(13,16),-0.541243 # DEPENDENCYPART_ARC
(13,21),-2.41586 # DEPENDENCYPART_ARC
(14,1),0.499952 # DEPENDENCYPART_ARC
(14,2),-0.219342 # DEPENDENCYPART_ARC
(14,4),-0.227614 # DEPENDENCYPART_ARC
(14,5),-1.52493 # DEPENDENCYPART_ARC
(14,6),-2.17337 # DEPENDENCYPART_ARC
(14,7),-2.14275 # DEPENDENCYPART_ARC
(14,8),-1.05771 # DEPENDENCYPART_ARC
(14,9),-1.78343 # DEPENDENCYPART_ARC
(14,10),-0.316984 # DEPENDENCYPART_ARC
(14,11),-2.92566 # DEPENDENCYPART_ARC
(14,12),-2.47046 # DEPENDENCYPART_ARC
(14,13),-0.428499 # DEPENDENCYPART_ARC
(14,15),1.93745 # DEPENDENCYPART_ARC
(14,16),-0.498293 # DEPENDENCYPART_ARC
(14,18),-0.363153 # DEPENDENCYPART_ARC
(14,20),-1.19549 # DEPENDENCYPART_ARC
(14,21),-2.2893 # DEPENDENCYPART_ARC
(14,22),-2.24284 # DEPENDENCYPART_ARC
(14,24),-1.62651 # DEPENDENCYPART_ARC
(14,25),-2.62361 # DEPENDENCYPART_ARC
(15,10),-1.29231 # DEPENDENCYPART_ARC
(15,11),-2.99864 # DEPENDENCYPART_ARC
(15,12),-4.20166 # DEPENDENCYPART_ARC
(15,13),-1.41616 # DEPENDENCYPART_ARC
(15,16),-0.800848 # DEPENDENCYPART_ARC
(15,17),-1.90538 # DEPENDENCYPART_ARC
(15,18),-1.22491 # DEPENDENCYPART_ARC
(15,20),-4.02193 # DEPENDENCYPART_ARC
(15,21),-0.851147 # DEPENDENCYPART_ARC
(15,22),-2.83607 # DEPENDENCYPART_ARC
(15,23),-2.92504 # DEPENDENCYPART_ARC
(15,24),-2.57677 # DEPENDENCYPART_ARC
(15,25),-2.37305 # DEPENDENCYPART_ARC
(16,1),-1.4644 # DEPENDENCYPART_ARC
(16,2),-2.51218 # DEPENDENCYPART_ARC
(16,9),-1.16183 # DEPENDENCYPART_ARC
(16,12),-1.90005 # DEPENDENCYPART_ARC
(16,13),-0.351072 # DEPENDENCYPART_ARC
(16,14),-0.760091 # DEPENDENCYPART_ARC
(16,15),-1.10212 # DEPENDENCYPART_ARC
(16,18),-1.188 # DEPENDENCYPART_ARC
(16,20),-2.13109 # DEPENDENCYPART_ARC
(16,21),-1.37137 # DEPENDENCYPART_ARC
(16,22),-2.26464 # DEPENDENCYPART_ARC
(16,24),-2.50288 # DEPENDENCYPART_ARC
(17,16),-0.883412 # DEPENDENCYPART_ARC
(17,18),-0.924909 # DEPENDENCYPART_ARC
(17,20),-2.68347 # DEPENDENCYPART_ARC
(17,21),-0.947281 # DEPENDENCYPART_ARC
(17,24),-3.05638 # DEPENDENCYPART_ARC
(17,25),-3.6145 # DEPENDENCYPART_ARC
(18,16),-0.509202 # DEPENDENCYPART_ARC
(18,19),-0.17732 # DEPENDENCYPART_ARC
(18,20),1.71581 # DEPENDENCYPART_ARC
(18,22),-3.03986 # DEPENDENCYPART_ARC
(18,23),-3.25327 # DEPENDENCYPART_ARC
(18,24),-3.57833 # DEPENDENCYPART_ARC
(18,25),-3.91557 # DEPENDENCYPART_ARC
(20,15),-4.14481 # DEPENDENCYPART_ARC
(20,17),-2.11296 # DEPENDENCYPART_ARC
(20,18),-1.13514 # DEPENDENCYPART_ARC
(20,19),3.18158 # DEPENDENCYPART_ARC
(20,22),-1.44996 # DEPENDENCYPART_ARC
(20,23),-1.87323 # DEPENDENCYPART_ARC
(20,24),-2.03801 # DEPENDENCYPART_ARC
(20,25),-1.99874 # DEPENDENCYPART_ARC
(21,1),-0.0532695 # DEPENDENCYPART_ARC
(21,2),-1.32786 # DEPENDENCYPART_ARC
(21,4),-0.202355 # DEPENDENCYPART_ARC
(21,5),-1.77842 # DEPENDENCYPART_ARC
(21,6),-2.32122 # DEPENDENCYPART_ARC
(21,8),-1.14985 # DEPENDENCYPART_ARC
(21,9),-4.34058 # DEPENDENCYPART_ARC
(21,10),-0.731609 # DEPENDENCYPART_ARC
(21,12),-3.8293 # DEPENDENCYPART_ARC
(21,13),-1.25443 # DEPENDENCYPART_ARC
(21,14),-0.804762 # DEPENDENCYPART_ARC
(21,15),-1.07993 # DEPENDENCYPART_ARC
(21,16),0.720031 # DEPENDENCYPART_ARC
(21,17),0.569066 # DEPENDENCYPART_ARC
(21,18),1.01285 # DEPENDENCYPART_ARC
(21,19),-1.38313 # DEPENDENCYPART_ARC
(21,20),1.54115 # DEPENDENCYPART_ARC
(21,22),0.731614 # DEPENDENCYPART_ARC
(21,23),-0.628983 # DEPENDENCYPART_ARC
(21,24),0.713512 # DEPENDENCYPART_ARC
(21,25),-0.765286 # DEPENDENCYPART_ARC
(21,26),-1.09285 # DEPENDENCYPART_ARC
(22,18),-0.672287 # DEPENDENCYPART_ARC
(22,20),-1.7988 # DEPENDENCYPART_ARC
(22,23),-1.57514 # DEPENDENCYPART_ARC
(22,24),-2.20045 # DEPENDENCYPART_ARC
(22,25),-1.96296 # DEPENDENCYPART_ARC
(22,26),-1.25392 # DEPENDENCYPART_ARC
(23,18),-0.874192 # DEPENDENCYPART_ARC
(23,22),-1.31272 # DEPENDENCYPART_ARC
(23,25),-1.58707 # DEPENDENCYPART_ARC
(24,17),-3.6283 # DEPENDENCYPART_ARC
(24,18),-0.828978 # DEPENDENCYPART_ARC
(24,19),0.29527 # DEPENDENCYPART_ARC
(24,20),-3.32247 # DEPENDENCYPART_ARC
(24,22),1.80603 # DEPENDENCYPART_ARC
(24,23),2.40224 # DEPENDENCYPART_ARC
(24,25),1.30826 # DEPENDENCYPART_ARC
(24,26),-1.02828 # DEPENDENCYPART_ARC
(25,17),-3.91968 # DEPENDENCYPART_ARC
(25,19),-0.906618 # DEPENDENCYPART_ARC
(25,20),-3.96688 # DEPENDENCYPART_ARC
(25,22),-1.22449 # DEPENDENCYPART_ARC
(25,23),-0.531737 # DEPENDENCYPART_ARC
(25,24),-1.62971 # DEPENDENCYPART_ARC
(25,26),-0.466588 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0417934 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0124667 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0432324 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0493746 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.824211 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.329497 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.824359 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.329497 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.824211 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.0967481 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0990611 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0337976 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.290793 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.179999 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.012927 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.175718 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.012927 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.179999 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.413633 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.225769 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.40681 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.408855 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0785275 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.409602 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0785275 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.408855 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0297643 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.288352 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.183763 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0203409 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.179483 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0203409 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.183763 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.416889 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.348522 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0211011 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.348842 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0211011 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.348522 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.25553 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,14),-1.46329 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,21),-1.46319 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.00769122 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.409034 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.205729 # DEPENDENCYPART_SIBL
(0,14),(0,21),-1.43356 # DEPENDENCYPART_SIBL
(0,14),(0,26),0.130917 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.408609 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.00666809 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0595168 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.030277 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0595168 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.342547 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.01582 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.338169 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.01582 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.342547 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0329353 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0563035 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.34652 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0236442 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.342142 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0236442 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.34652 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0178309 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.434283 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.00631904 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.434506 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.00631904 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.434283 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.34652 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0236442 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.342142 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0236442 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.34652 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.105338 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.790424 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.105338 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.790424 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.333856 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.32268 # DEPENDENCYPART_SIBL
(1,13),(1,21),-0.333527 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.107445 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.796012 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.333527 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.054287 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.060316 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0500651 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0193911 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0193912 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.060316 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0337689 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.085996 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.060316 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0312189 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0337689 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0147168 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.117444 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0432236 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0432236 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0147168 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00983509 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.16087 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0147168 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0128425 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.00983509 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0272649 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0348826 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0348826 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0600275 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0116568 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.20983 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0600275 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0118274 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0116568 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0556815 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0556815 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0128618 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00262878 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.151961 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0128618 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00543298 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.00262878 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.108925 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.028015 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00789198 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00678239 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.028015 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00515281 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.00789198 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.028015 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00789198 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00678239 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.028015 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00515281 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.00789198 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0116568 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.20983 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0600275 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0118274 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0116568 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0395983 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00233444 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.261914 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.259556 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.000359763 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0215085 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0240903 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0118274 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0116568 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.261907 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0699909 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0288537 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0458355 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0193574 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0193575 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0602776 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0337352 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0817663 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0311852 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00591557 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0892412 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00300528 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00300525 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0194322 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00647704 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.130239 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00653756 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0279716 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0665456 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0665456 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0449456 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0147192 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0573482 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0144096 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0556815 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0556815 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0128618 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00262877 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.151961 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00543297 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.108925 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.028015 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00789198 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00678239 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00515281 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.028015 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00789198 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00678239 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00515281 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0116568 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.20983 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0118274 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0395983 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.261914 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0215085 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.171435 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0202593 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0202594 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00974475 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00974475 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00583202 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0279642 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0202589 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0202589 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0114049 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0114049 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0043826 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0296243 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.244462 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.704564 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.704564 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0795354 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.704995 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.704564 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.704564 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0795354 # DEPENDENCYPART_SIBL
