# _root_ Zdůraznil , že USA vytvářejí koncentrační tábor , když přesouvají uprchlíky na základnu Guantánamo na Kubě .
#goldHeads=0,3,1,5,3,7,5,9,5,9,10,10,12,13,13,15,0,
#predictedHeads=0,3,1,5,3,7,5,9,5,9,10,10,12,13,14,15,0,
(10,12),0.201244 # DEPENDENCYPART_ARC
(10,13),-0.319473 # DEPENDENCYPART_ARC
(10,14),-0.865816 # DEPENDENCYPART_ARC
(10,15),-0.397152 # DEPENDENCYPART_ARC
(10,16),-2.20742 # DEPENDENCYPART_ARC
(10,17),-1.13549 # DEPENDENCYPART_ARC
(11,6),-2.90722 # DEPENDENCYPART_ARC
(11,7),-3.58139 # DEPENDENCYPART_ARC
(11,12),0.53655 # DEPENDENCYPART_ARC
(11,13),-2.10399 # DEPENDENCYPART_ARC
(11,14),-2.51287 # DEPENDENCYPART_ARC
(11,15),-0.786735 # DEPENDENCYPART_ARC
(11,16),-2.67873 # DEPENDENCYPART_ARC
(11,17),-1.62441 # DEPENDENCYPART_ARC
(12,8),-1.30491 # DEPENDENCYPART_ARC
(12,11),-2.87097 # DEPENDENCYPART_ARC
(12,13),2.17714 # DEPENDENCYPART_ARC
(12,14),-2.62427 # DEPENDENCYPART_ARC
(12,16),-2.79046 # DEPENDENCYPART_ARC
(12,17),-1.48857 # DEPENDENCYPART_ARC
(13,11),-2.87895 # DEPENDENCYPART_ARC
(13,12),-0.42276 # DEPENDENCYPART_ARC
(13,14),1.50353 # DEPENDENCYPART_ARC
(13,15),-0.00920376 # DEPENDENCYPART_ARC
(13,16),-1.15571 # DEPENDENCYPART_ARC
(13,17),-1.10837 # DEPENDENCYPART_ARC
(14,7),-5.68757 # DEPENDENCYPART_ARC
(14,11),-3.72399 # DEPENDENCYPART_ARC
(14,12),-1.7019 # DEPENDENCYPART_ARC
(14,13),-2.91784 # DEPENDENCYPART_ARC
(14,15),0.236636 # DEPENDENCYPART_ARC
(14,16),-1.74587 # DEPENDENCYPART_ARC
(14,17),-1.2553 # DEPENDENCYPART_ARC
(15,13),-2.48346 # DEPENDENCYPART_ARC
(15,14),-2.89315 # DEPENDENCYPART_ARC
(15,16),3.10419 # DEPENDENCYPART_ARC
(15,17),-1.39401 # DEPENDENCYPART_ARC
(16,11),-3.55256 # DEPENDENCYPART_ARC
(16,12),-1.72634 # DEPENDENCYPART_ARC
(16,13),-2.13288 # DEPENDENCYPART_ARC
(16,14),-1.12007 # DEPENDENCYPART_ARC
(16,15),-1.26455 # DEPENDENCYPART_ARC
(16,17),-0.780029 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.251907 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.620917 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0650697 # DEPENDENCYPART_SIBL
(0,1),(0,5),-1.44525 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.251907 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.570393 # DEPENDENCYPART_SIBL
(0,1),(0,10),-1.44525 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0553622 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00123668 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.028569 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.129028 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.014076 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.00120612 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.861016 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.326921 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.367324 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.861016 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.107484 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.201884 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.053183 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0901984 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.201884 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.449067 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.281719 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.582555 # DEPENDENCYPART_SIBL
(0,5),(0,10),-1.45729 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0129503 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.014076 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.721124 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0600488 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0335038 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.102081 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.102243 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0778276 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.111851 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.134827 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0322476 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.102243 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.110906 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.123992 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.123992 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.190718 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.175736 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.178879 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.191903 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.025871 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.190436 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.175736 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.190957 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.229981 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.229981 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00608656 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00180015 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.104562 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0135295 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0783682 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00608656 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.103616 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.047013 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.047013 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0975071 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0279514 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.004428 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0690239 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.235708 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0308008 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0203352 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0203352 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.110646 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0570966 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0692855 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0495239 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.1097 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0293115 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0293115 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0339593 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0602246 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.030868 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.128368 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0110977 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0110977 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0322476 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.102243 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.110906 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.123992 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.123992 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0102131 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.00157844 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.00260383 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00260383 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0308008 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0203352 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0203352 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.000752312 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.000752312 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0962061 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00953397 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0918052 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.665511 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.000599825 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.665511 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0318994 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0604075 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0833987 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0604075 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0428444 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0199146 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0428444 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0757817 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.362465 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0372696 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.292898 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.282921 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.111382 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.209443 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.291582 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0755707 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.142962 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.111382 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.331102 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00625765 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.142352 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.367904 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0681205 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0508567 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00625765 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.498053 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0291647 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0785857 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.043133 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.13942 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.498053 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.214538 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.124722 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00465317 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.466293 # DEPENDENCYPART_SIBL
(3,5),(3,10),-1.12027 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.142575 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00501629 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.088418 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.501998 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0418385 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.137128 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.49682 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.196342 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.466132 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.326368 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0901842 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.010263 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0182838 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00204916 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.051924 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0188924 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.010263 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.127777 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0875137 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.178694 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0462957 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0646741 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.127777 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0137666 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0012066 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0197256 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0669896 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.259556 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0281017 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.015532 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00294042 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00789197 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0372489 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0425577 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0106254 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00229122 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0142762 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0138272 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0744155 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0833256 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.003123 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0198583 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0187025 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0136392 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0104225 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00833606 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0155795 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0381874 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0195072 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0162826 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0381874 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0143325 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0668974 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0274263 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00822392 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.181764 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0280109 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00056589 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00335706 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00320372 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0059085 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.000696269 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00320372 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.105215 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.13909 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.19674 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.120897 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00833961 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.162868 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.193904 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.190485 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.190557 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.194194 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.190485 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0562756 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0691944 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0304627 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0374602 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0295584 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0694858 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0136738 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0857009 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0665819 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0136738 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.11292 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0415326 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0684093 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0506334 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.111975 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0216893 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.113776 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.111884 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0216893 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0147363 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0603726 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0278632 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.12982 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.00118099 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.136687 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.129729 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00118099 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0316768 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0996881 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.111747 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.114746 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.113548 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.111656 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.114746 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00557923 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.00261036 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00981499 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.000808817 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00270137 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00981499 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0285372 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0279678 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0269118 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0287995 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0279678 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.010669 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.133591 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.126632 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.010669 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0336802 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0317878 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0808127 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.122349 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0234971 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0190863 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0202229 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00408698 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0682654 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0139253 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.141128 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0801765 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.185217 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0174929 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00544212 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0425814 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.017535 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0188636 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0739434 # DEPENDENCYPART_SIBL
