# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,18,11,12,15,13,11,11,0,20,18,22,18,0,
(9,11),-2.11474 # DEPENDENCYPART_ARC
(9,13),-1.80327 # DEPENDENCYPART_ARC
(9,18),-2.55346 # DEPENDENCYPART_ARC
(10,1),-1.1346 # DEPENDENCYPART_ARC
(10,2),-1.58454 # DEPENDENCYPART_ARC
(10,3),-1.17148 # DEPENDENCYPART_ARC
(10,4),-1.54189 # DEPENDENCYPART_ARC
(10,5),-1.14196 # DEPENDENCYPART_ARC
(10,6),-0.450155 # DEPENDENCYPART_ARC
(10,7),-0.754037 # DEPENDENCYPART_ARC
(10,8),-1.35976 # DEPENDENCYPART_ARC
(10,9),-1.36969 # DEPENDENCYPART_ARC
(10,11),-0.707338 # DEPENDENCYPART_ARC
(10,12),-1.48748 # DEPENDENCYPART_ARC
(10,13),-1.50906 # DEPENDENCYPART_ARC
(10,15),-2.20976 # DEPENDENCYPART_ARC
(10,16),-0.587365 # DEPENDENCYPART_ARC
(10,17),-1.01644 # DEPENDENCYPART_ARC
(11,1),0.424456 # DEPENDENCYPART_ARC
(11,2),-0.822568 # DEPENDENCYPART_ARC
(11,3),-1.31739 # DEPENDENCYPART_ARC
(11,4),-2.18416 # DEPENDENCYPART_ARC
(11,5),-1.05472 # DEPENDENCYPART_ARC
(11,6),-1.72825 # DEPENDENCYPART_ARC
(11,7),-0.246308 # DEPENDENCYPART_ARC
(11,8),-2.62734 # DEPENDENCYPART_ARC
(11,9),-1.96932 # DEPENDENCYPART_ARC
(11,10),-0.430456 # DEPENDENCYPART_ARC
(11,12),1.67048 # DEPENDENCYPART_ARC
(11,13),0.26506 # DEPENDENCYPART_ARC
(11,15),0.127163 # DEPENDENCYPART_ARC
(11,16),0.279609 # DEPENDENCYPART_ARC
(11,17),-0.139511 # DEPENDENCYPART_ARC
(11,18),-2.58626 # DEPENDENCYPART_ARC
(11,19),-2.94255 # DEPENDENCYPART_ARC
(11,20),-2.07572 # DEPENDENCYPART_ARC
(11,21),-2.58006 # DEPENDENCYPART_ARC
(11,22),-2.33932 # DEPENDENCYPART_ARC
(11,23),-1.22162 # DEPENDENCYPART_ARC
(12,7),-1.6398 # DEPENDENCYPART_ARC
(12,8),-2.75049 # DEPENDENCYPART_ARC
(12,9),-3.95153 # DEPENDENCYPART_ARC
(12,10),-1.50311 # DEPENDENCYPART_ARC
(12,13),0.780246 # DEPENDENCYPART_ARC
(12,15),-2.89261 # DEPENDENCYPART_ARC
(12,16),-0.987127 # DEPENDENCYPART_ARC
(12,17),-1.29525 # DEPENDENCYPART_ARC
(12,18),-1.50427 # DEPENDENCYPART_ARC
(12,19),-2.83343 # DEPENDENCYPART_ARC
(12,21),-3.47933 # DEPENDENCYPART_ARC
(12,22),-2.78535 # DEPENDENCYPART_ARC
(13,10),-1.40121 # DEPENDENCYPART_ARC
(13,12),-2.59333 # DEPENDENCYPART_ARC
(13,14),0.856019 # DEPENDENCYPART_ARC
(13,15),1.28042 # DEPENDENCYPART_ARC
(13,16),-0.656762 # DEPENDENCYPART_ARC
(13,17),-1.00369 # DEPENDENCYPART_ARC
(13,18),-2.84475 # DEPENDENCYPART_ARC
(13,19),-2.79411 # DEPENDENCYPART_ARC
(13,20),-3.93495 # DEPENDENCYPART_ARC
(13,21),-4.92025 # DEPENDENCYPART_ARC
(15,12),-2.18987 # DEPENDENCYPART_ARC
(15,13),-0.97747 # DEPENDENCYPART_ARC
(15,14),2.76361 # DEPENDENCYPART_ARC
(15,18),-1.85109 # DEPENDENCYPART_ARC
(15,19),-3.2654 # DEPENDENCYPART_ARC
(15,20),-3.12438 # DEPENDENCYPART_ARC
(15,22),-3.5753 # DEPENDENCYPART_ARC
(16,1),-1.53262 # DEPENDENCYPART_ARC
(16,2),-2.43123 # DEPENDENCYPART_ARC
(16,6),-1.52879 # DEPENDENCYPART_ARC
(16,7),-1.50486 # DEPENDENCYPART_ARC
(16,9),-2.14803 # DEPENDENCYPART_ARC
(16,10),-0.902267 # DEPENDENCYPART_ARC
(16,11),-0.991212 # DEPENDENCYPART_ARC
(16,12),-1.49591 # DEPENDENCYPART_ARC
(16,13),-1.37664 # DEPENDENCYPART_ARC
(16,14),-1.55809 # DEPENDENCYPART_ARC
(16,15),-1.21903 # DEPENDENCYPART_ARC
(16,17),-1.25485 # DEPENDENCYPART_ARC
(16,18),-1.57635 # DEPENDENCYPART_ARC
(16,19),-2.17756 # DEPENDENCYPART_ARC
(16,20),-1.9238 # DEPENDENCYPART_ARC
(16,21),-2.13284 # DEPENDENCYPART_ARC
(16,22),-2.48764 # DEPENDENCYPART_ARC
(16,23),-1.77498 # DEPENDENCYPART_ARC
(17,6),-2.22878 # DEPENDENCYPART_ARC
(17,11),-1.70518 # DEPENDENCYPART_ARC
(17,12),-2.8071 # DEPENDENCYPART_ARC
(17,13),-2.26056 # DEPENDENCYPART_ARC
(17,14),-2.20574 # DEPENDENCYPART_ARC
(17,15),-2.73842 # DEPENDENCYPART_ARC
(17,16),-1.91265 # DEPENDENCYPART_ARC
(17,18),-1.55028 # DEPENDENCYPART_ARC
(17,19),-2.6347 # DEPENDENCYPART_ARC
(17,20),-3.12617 # DEPENDENCYPART_ARC
(17,21),-3.20464 # DEPENDENCYPART_ARC
(17,22),-3.19801 # DEPENDENCYPART_ARC
(18,1),0.447302 # DEPENDENCYPART_ARC
(18,2),-1.24702 # DEPENDENCYPART_ARC
(18,3),-2.23988 # DEPENDENCYPART_ARC
(18,4),-2.17875 # DEPENDENCYPART_ARC
(18,5),-2.55727 # DEPENDENCYPART_ARC
(18,6),-2.10869 # DEPENDENCYPART_ARC
(18,7),-1.53796 # DEPENDENCYPART_ARC
(18,9),-3.26005 # DEPENDENCYPART_ARC
(18,10),-2.12487 # DEPENDENCYPART_ARC
(18,11),-0.350089 # DEPENDENCYPART_ARC
(18,12),-1.51748 # DEPENDENCYPART_ARC
(18,13),-1.16218 # DEPENDENCYPART_ARC
(18,15),-0.573118 # DEPENDENCYPART_ARC
(18,16),-0.600164 # DEPENDENCYPART_ARC
(18,17),-0.344998 # DEPENDENCYPART_ARC
(18,19),0.590318 # DEPENDENCYPART_ARC
(18,20),0.62961 # DEPENDENCYPART_ARC
(18,21),-0.24433 # DEPENDENCYPART_ARC
(18,22),0.22217 # DEPENDENCYPART_ARC
(18,23),-0.96738 # DEPENDENCYPART_ARC
(19,20),-1.9933 # DEPENDENCYPART_ARC
(19,21),-2.65109 # DEPENDENCYPART_ARC
(19,22),-1.86134 # DEPENDENCYPART_ARC
(19,23),-1.34487 # DEPENDENCYPART_ARC
(20,14),-2.66471 # DEPENDENCYPART_ARC
(20,17),-1.15331 # DEPENDENCYPART_ARC
(20,19),2.52313 # DEPENDENCYPART_ARC
(20,21),-0.447431 # DEPENDENCYPART_ARC
(20,22),-0.803654 # DEPENDENCYPART_ARC
(20,23),-1.18746 # DEPENDENCYPART_ARC
(21,15),-4.83802 # DEPENDENCYPART_ARC
(21,19),-1.23452 # DEPENDENCYPART_ARC
(21,20),1.05528 # DEPENDENCYPART_ARC
(21,22),-0.966416 # DEPENDENCYPART_ARC
(21,23),-0.973461 # DEPENDENCYPART_ARC
(22,9),-3.08324 # DEPENDENCYPART_ARC
(22,12),-2.54487 # DEPENDENCYPART_ARC
(22,13),-0.578162 # DEPENDENCYPART_ARC
(22,15),-2.13074 # DEPENDENCYPART_ARC
(22,16),-1.36263 # DEPENDENCYPART_ARC
(22,17),-1.30368 # DEPENDENCYPART_ARC
(22,19),-0.676017 # DEPENDENCYPART_ARC
(22,20),-0.342362 # DEPENDENCYPART_ARC
(22,21),1.83239 # DEPENDENCYPART_ARC
(22,23),-0.114236 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00171612 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0863246 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.877201 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.472035 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.877626 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.472035 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.877344 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.274324 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.160978 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.183768 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.020346 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.183784 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.020346 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.184134 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.416895 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.372218 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.093583 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.372639 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.093583 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.372339 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.396679 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.294528 # DEPENDENCYPART_SIBL
(0,6),(0,11),-1.46241 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.294528 # DEPENDENCYPART_SIBL
(0,6),(0,18),-1.46243 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.00498267 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.408618 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.408657 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.303171 # DEPENDENCYPART_SIBL
(0,11),(0,18),-1.46447 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0153478 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.408657 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,23),0.089478 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0119337 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0642803 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0599172 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.346972 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0119337 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0244203 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.346988 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0244203 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0589558 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.347454 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.195483 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0245699 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0200911 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.410731 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0432991 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0262739 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.411152 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0262739 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0885919 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.410968 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.139911 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0599199 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.347 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0148765 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0262251 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.347016 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0262251 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0610436 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.347482 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.197656 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.213112 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0220979 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0227444 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.213478 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0227444 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.078445 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.21329 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0977088 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00953122 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.134765 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.781578 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.134765 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0409111 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.781707 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0148234 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0262739 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.411152 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0262739 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0885919 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.410968 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.139911 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.348179 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.354157 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.027119 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.348314 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.189148 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.128167 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0332521 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.782509 # DEPENDENCYPART_SIBL
(1,11),(1,23),0.00808348 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.027119 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.348314 # DEPENDENCYPART_SIBL
(1,16),(1,23),-0.189148 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.316121 # DEPENDENCYPART_SIBL
(1,17),(1,23),-0.158349 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.0419331 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0775286 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0641318 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0801768 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00362735 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0775286 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0205139 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00304468 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0260823 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00652018 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0033349 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.002023 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0207905 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00381296 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0283396 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0111266 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.133476 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0341971 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0110574 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00355028 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0740515 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0850701 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00395481 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0792588 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0138644 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.2596 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0207905 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00381296 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00780807 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0987966 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0856974 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.548837 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0750825 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.221845 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0803984 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00247186 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0781817 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0543821 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0260365 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0328984 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.000352076 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.100388 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0230252 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0631765 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0574083 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00715052 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.169402 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00550354 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0739559 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0260027 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0791621 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00179744 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0197382 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0126006 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0742273 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00963431 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0558892 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0177591 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0261683 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00712342 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0213725 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0223397 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0449485 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0442769 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0100341 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00229173 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0260179 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.063536 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.000839622 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0208148 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0169018 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0260179 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0108946 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0729367 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0176207 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.00590137 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.00102877 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00690391 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.167743 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0563372 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00049053 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0314989 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0377293 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00777698 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0291167 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0345638 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0209242 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0432972 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00777698 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00874297 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0187879 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0508952 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0425979 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0399533 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00945741 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0168726 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0253419 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0512487 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.012363 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00765719 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0388267 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0203663 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0147633 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0117457 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00765719 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.00750013 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.051801 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0245228 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0083438 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0723368 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0529738 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00608299 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0223759 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0116943 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00616746 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0173399 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00852881 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0275354 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0172623 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00616746 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0206428 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.00701097 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0248602 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.016563 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0308302 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0868224 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0615227 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.132182 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0541907 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0498373 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.129021 # DEPENDENCYPART_SIBL
