# _root_ Ale taky čarodějem - uvážíme - li , že za pouhých 20 let dokázal vybudovat čtvrté největší hospodářské impérium v Itálii , že dokázal za kratičké tři měsíce " vydupat ze země " vlastní stranu Forza Italia .
#goldHeads=0,3,1,7,7,7,1,22,22,15,12,10,12,9,14,19,19,19,15,15,20,5,22,23,30,28,28,25,30,24,30,31,30,35,30,35,36,0,
#predictedHeads=0,3,1,7,7,7,3,9,5,14,12,10,12,9,14,19,19,19,15,19,20,23,15,23,24,28,28,25,30,24,30,31,30,35,30,37,35,0,
(5,1),-0.29004 # DEPENDENCYPART_ARC
(5,2),-0.0255406 # DEPENDENCYPART_ARC
(5,3),-1.56223 # DEPENDENCYPART_ARC
(5,4),-0.620691 # DEPENDENCYPART_ARC
(5,6),-0.11113 # DEPENDENCYPART_ARC
(5,7),-0.941629 # DEPENDENCYPART_ARC
(5,8),-0.530226 # DEPENDENCYPART_ARC
(5,9),0.563693 # DEPENDENCYPART_ARC
(5,10),-1.50441 # DEPENDENCYPART_ARC
(5,11),-4.49776 # DEPENDENCYPART_ARC
(5,12),-1.61857 # DEPENDENCYPART_ARC
(5,13),-4.0619 # DEPENDENCYPART_ARC
(5,14),-2.43838 # DEPENDENCYPART_ARC
(5,15),-0.318407 # DEPENDENCYPART_ARC
(5,22),-1.0729 # DEPENDENCYPART_ARC
(5,23),-1.80171 # DEPENDENCYPART_ARC
(5,29),-0.250856 # DEPENDENCYPART_ARC
(5,33),-0.655359 # DEPENDENCYPART_ARC
(6,1),-0.863697 # DEPENDENCYPART_ARC
(6,2),-1.1354 # DEPENDENCYPART_ARC
(6,3),-0.689088 # DEPENDENCYPART_ARC
(6,4),-0.600248 # DEPENDENCYPART_ARC
(6,5),-0.562919 # DEPENDENCYPART_ARC
(6,8),-0.858093 # DEPENDENCYPART_ARC
(6,9),-0.822652 # DEPENDENCYPART_ARC
(6,11),-1.73731 # DEPENDENCYPART_ARC
(6,12),-1.39728 # DEPENDENCYPART_ARC
(6,14),-1.70578 # DEPENDENCYPART_ARC
(6,15),-1.93427 # DEPENDENCYPART_ARC
(7,3),-0.842669 # DEPENDENCYPART_ARC
(7,4),0.435463 # DEPENDENCYPART_ARC
(7,5),1.07431 # DEPENDENCYPART_ARC
(7,6),1.65837 # DEPENDENCYPART_ARC
(7,8),-0.0713662 # DEPENDENCYPART_ARC
(7,9),-1.49379 # DEPENDENCYPART_ARC
(7,22),-0.715692 # DEPENDENCYPART_ARC
(7,29),-1.90601 # DEPENDENCYPART_ARC
(8,1),-1.01226 # DEPENDENCYPART_ARC
(8,2),-1.76616 # DEPENDENCYPART_ARC
(8,4),-1.2246 # DEPENDENCYPART_ARC
(8,5),-1.15659 # DEPENDENCYPART_ARC
(8,6),-0.91114 # DEPENDENCYPART_ARC
(8,7),-0.741494 # DEPENDENCYPART_ARC
(8,9),-0.771139 # DEPENDENCYPART_ARC
(8,14),-1.80443 # DEPENDENCYPART_ARC
(8,15),-2.27153 # DEPENDENCYPART_ARC
(9,4),-1.9605 # DEPENDENCYPART_ARC
(9,5),-1.83838 # DEPENDENCYPART_ARC
(9,6),-1.02223 # DEPENDENCYPART_ARC
(9,7),-1.21777 # DEPENDENCYPART_ARC
(9,8),1.37651 # DEPENDENCYPART_ARC
(9,10),-0.469246 # DEPENDENCYPART_ARC
(9,11),-1.39181 # DEPENDENCYPART_ARC
(9,12),-1.38277 # DEPENDENCYPART_ARC
(9,13),-2.51546 # DEPENDENCYPART_ARC
(9,14),0.898787 # DEPENDENCYPART_ARC
(9,15),-0.153327 # DEPENDENCYPART_ARC
(9,22),-0.354924 # DEPENDENCYPART_ARC
(9,24),-1.29445 # DEPENDENCYPART_ARC
(9,30),-1.68223 # DEPENDENCYPART_ARC
(10,8),-1.38323 # DEPENDENCYPART_ARC
(10,11),-0.570747 # DEPENDENCYPART_ARC
(10,12),-0.115577 # DEPENDENCYPART_ARC
(10,13),-1.68718 # DEPENDENCYPART_ARC
(10,19),-0.606126 # DEPENDENCYPART_ARC
(11,10),-1.11755 # DEPENDENCYPART_ARC
(11,12),-0.77801 # DEPENDENCYPART_ARC
(11,13),-2.50504 # DEPENDENCYPART_ARC
(11,15),-1.38398 # DEPENDENCYPART_ARC
(12,10),-1.41327 # DEPENDENCYPART_ARC
(12,11),-0.299947 # DEPENDENCYPART_ARC
(12,13),0.965778 # DEPENDENCYPART_ARC
(12,14),-1.20729 # DEPENDENCYPART_ARC
(13,2),-1.86612 # DEPENDENCYPART_ARC
(13,10),-2.05032 # DEPENDENCYPART_ARC
(13,11),0.742553 # DEPENDENCYPART_ARC
(13,12),-0.31869 # DEPENDENCYPART_ARC
(13,16),-2.91893 # DEPENDENCYPART_ARC
(13,17),-4.167 # DEPENDENCYPART_ARC
(14,1),-0.816004 # DEPENDENCYPART_ARC
(14,2),-1.43446 # DEPENDENCYPART_ARC
(14,3),-1.93041 # DEPENDENCYPART_ARC
(14,4),-1.21141 # DEPENDENCYPART_ARC
(14,5),-0.58395 # DEPENDENCYPART_ARC
(14,6),-0.863707 # DEPENDENCYPART_ARC
(14,7),-0.363527 # DEPENDENCYPART_ARC
(14,8),-0.500644 # DEPENDENCYPART_ARC
(14,9),-1.18582 # DEPENDENCYPART_ARC
(14,10),0.928478 # DEPENDENCYPART_ARC
(14,11),-3.66167 # DEPENDENCYPART_ARC
(14,12),-0.100334 # DEPENDENCYPART_ARC
(14,13),-1.75534 # DEPENDENCYPART_ARC
(14,15),2.93355 # DEPENDENCYPART_ARC
(14,16),-0.39925 # DEPENDENCYPART_ARC
(14,17),-2.26651 # DEPENDENCYPART_ARC
(14,18),-2.70424 # DEPENDENCYPART_ARC
(14,19),0.363394 # DEPENDENCYPART_ARC
(14,20),-0.599081 # DEPENDENCYPART_ARC
(14,21),-2.83319 # DEPENDENCYPART_ARC
(14,22),-0.77478 # DEPENDENCYPART_ARC
(14,23),-1.09252 # DEPENDENCYPART_ARC
(14,24),-3.54122 # DEPENDENCYPART_ARC
(14,25),-1.56553 # DEPENDENCYPART_ARC
(14,27),-2.5233 # DEPENDENCYPART_ARC
(14,29),-0.0051069 # DEPENDENCYPART_ARC
(14,30),-1.03181 # DEPENDENCYPART_ARC
(14,33),-0.396377 # DEPENDENCYPART_ARC
(15,1),-0.958476 # DEPENDENCYPART_ARC
(15,3),-1.78669 # DEPENDENCYPART_ARC
(15,6),-1.4748 # DEPENDENCYPART_ARC
(15,7),-0.71986 # DEPENDENCYPART_ARC
(15,8),-1.58784 # DEPENDENCYPART_ARC
(15,9),-1.4159 # DEPENDENCYPART_ARC
(15,10),0.584073 # DEPENDENCYPART_ARC
(15,11),-1.95607 # DEPENDENCYPART_ARC
(15,12),-0.724025 # DEPENDENCYPART_ARC
(15,13),-0.727021 # DEPENDENCYPART_ARC
(15,14),-1.25805 # DEPENDENCYPART_ARC
(15,16),0.505091 # DEPENDENCYPART_ARC
(15,17),-0.3886 # DEPENDENCYPART_ARC
(15,18),-1.30591 # DEPENDENCYPART_ARC
(15,19),0.91047 # DEPENDENCYPART_ARC
(15,20),-0.193729 # DEPENDENCYPART_ARC
(15,21),-1.17616 # DEPENDENCYPART_ARC
(15,22),-0.836702 # DEPENDENCYPART_ARC
(15,23),-0.646484 # DEPENDENCYPART_ARC
(15,24),-2.03278 # DEPENDENCYPART_ARC
(15,25),-1.26461 # DEPENDENCYPART_ARC
(15,29),-0.429199 # DEPENDENCYPART_ARC
(16,13),-0.884637 # DEPENDENCYPART_ARC
(16,20),-0.662941 # DEPENDENCYPART_ARC
(17,10),-1.36172 # DEPENDENCYPART_ARC
(17,13),-2.99946 # DEPENDENCYPART_ARC
(17,16),-0.981835 # DEPENDENCYPART_ARC
(17,18),-1.44651 # DEPENDENCYPART_ARC
(17,19),-2.00808 # DEPENDENCYPART_ARC
(17,20),-0.442209 # DEPENDENCYPART_ARC
(17,21),-2.62921 # DEPENDENCYPART_ARC
(17,23),-0.881164 # DEPENDENCYPART_ARC
(18,17),-1.3856 # DEPENDENCYPART_ARC
(18,20),-1.05758 # DEPENDENCYPART_ARC
(18,21),-2.88302 # DEPENDENCYPART_ARC
(19,11),-3.06688 # DEPENDENCYPART_ARC
(19,16),0.940976 # DEPENDENCYPART_ARC
(19,17),1.71508 # DEPENDENCYPART_ARC
(19,18),2.63183 # DEPENDENCYPART_ARC
(19,20),0.594849 # DEPENDENCYPART_ARC
(19,21),-0.971765 # DEPENDENCYPART_ARC
(19,22),-0.998818 # DEPENDENCYPART_ARC
(19,23),-0.916091 # DEPENDENCYPART_ARC
(19,24),-2.42108 # DEPENDENCYPART_ARC
(20,19),-3.04168 # DEPENDENCYPART_ARC
(20,21),2.82035 # DEPENDENCYPART_ARC
(20,22),-1.40296 # DEPENDENCYPART_ARC
(20,23),-2.10966 # DEPENDENCYPART_ARC
(21,16),-2.26708 # DEPENDENCYPART_ARC
(21,17),-2.34858 # DEPENDENCYPART_ARC
(21,18),-2.09143 # DEPENDENCYPART_ARC
(21,19),-2.16021 # DEPENDENCYPART_ARC
(21,20),-1.15767 # DEPENDENCYPART_ARC
(21,23),-0.960045 # DEPENDENCYPART_ARC
(21,24),-2.11113 # DEPENDENCYPART_ARC
(21,28),-5.71999 # DEPENDENCYPART_ARC
(22,15),-1.04172 # DEPENDENCYPART_ARC
(22,17),-1.99787 # DEPENDENCYPART_ARC
(22,19),-1.32477 # DEPENDENCYPART_ARC
(22,21),-1.31906 # DEPENDENCYPART_ARC
(22,24),-1.42702 # DEPENDENCYPART_ARC
(22,30),-2.74562 # DEPENDENCYPART_ARC
(23,14),-1.06201 # DEPENDENCYPART_ARC
(23,19),-1.59641 # DEPENDENCYPART_ARC
(23,20),-1.30745 # DEPENDENCYPART_ARC
(23,21),-1.75881 # DEPENDENCYPART_ARC
(23,22),1.38356 # DEPENDENCYPART_ARC
(23,24),1.60329 # DEPENDENCYPART_ARC
(23,25),-1.2421 # DEPENDENCYPART_ARC
(23,26),-2.11755 # DEPENDENCYPART_ARC
(23,28),-2.44488 # DEPENDENCYPART_ARC
(23,29),-0.482946 # DEPENDENCYPART_ARC
(23,30),-0.705391 # DEPENDENCYPART_ARC
(24,1),-1.34602 # DEPENDENCYPART_ARC
(24,2),-2.62437 # DEPENDENCYPART_ARC
(24,7),-0.943648 # DEPENDENCYPART_ARC
(24,10),-0.959804 # DEPENDENCYPART_ARC
(24,12),-1.8122 # DEPENDENCYPART_ARC
(24,16),-2.2251 # DEPENDENCYPART_ARC
(24,17),-2.80866 # DEPENDENCYPART_ARC
(24,19),-1.24019 # DEPENDENCYPART_ARC
(24,20),-1.53665 # DEPENDENCYPART_ARC
(24,21),-2.8919 # DEPENDENCYPART_ARC
(24,22),-1.00147 # DEPENDENCYPART_ARC
(24,23),-0.946426 # DEPENDENCYPART_ARC
(24,25),1.46711 # DEPENDENCYPART_ARC
(24,26),-1.42077 # DEPENDENCYPART_ARC
(24,27),-1.02355 # DEPENDENCYPART_ARC
(24,28),0.865143 # DEPENDENCYPART_ARC
(24,29),-0.298394 # DEPENDENCYPART_ARC
(24,30),0.886859 # DEPENDENCYPART_ARC
(24,31),-0.525041 # DEPENDENCYPART_ARC
(24,32),-3.11756 # DEPENDENCYPART_ARC
(24,33),-0.599697 # DEPENDENCYPART_ARC
(24,34),-3.71082 # DEPENDENCYPART_ARC
(24,35),-1.08607 # DEPENDENCYPART_ARC
(24,36),-3.46994 # DEPENDENCYPART_ARC
(24,37),-3.09263 # DEPENDENCYPART_ARC
(24,38),-1.16665 # DEPENDENCYPART_ARC
(25,26),0.502302 # DEPENDENCYPART_ARC
(25,27),0.0120102 # DEPENDENCYPART_ARC
(25,28),0.630037 # DEPENDENCYPART_ARC
(25,29),-0.558126 # DEPENDENCYPART_ARC
(25,32),-3.71669 # DEPENDENCYPART_ARC
(25,35),-1.30775 # DEPENDENCYPART_ARC
(26,25),-0.894522 # DEPENDENCYPART_ARC
(26,28),-1.84596 # DEPENDENCYPART_ARC
(26,30),-0.334236 # DEPENDENCYPART_ARC
(26,31),-0.978063 # DEPENDENCYPART_ARC
(27,25),-1.64567 # DEPENDENCYPART_ARC
(27,26),-0.353926 # DEPENDENCYPART_ARC
(27,28),-0.865375 # DEPENDENCYPART_ARC
(28,16),-1.63217 # DEPENDENCYPART_ARC
(28,17),-2.7631 # DEPENDENCYPART_ARC
(28,25),-0.727806 # DEPENDENCYPART_ARC
(28,26),1.80991 # DEPENDENCYPART_ARC
(28,27),2.74438 # DEPENDENCYPART_ARC
(28,29),-0.281167 # DEPENDENCYPART_ARC
(28,30),-0.532855 # DEPENDENCYPART_ARC
(28,31),-1.35461 # DEPENDENCYPART_ARC
(28,32),-0.967674 # DEPENDENCYPART_ARC
(28,34),-3.06804 # DEPENDENCYPART_ARC
(28,36),-2.70034 # DEPENDENCYPART_ARC
(28,37),-2.46729 # DEPENDENCYPART_ARC
(29,15),-2.10811 # DEPENDENCYPART_ARC
(29,23),-1.79309 # DEPENDENCYPART_ARC
(29,24),-1.76974 # DEPENDENCYPART_ARC
(29,25),-1.89807 # DEPENDENCYPART_ARC
(29,26),-2.28401 # DEPENDENCYPART_ARC
(29,27),-1.71849 # DEPENDENCYPART_ARC
(29,28),-2.30938 # DEPENDENCYPART_ARC
(29,30),-1.65277 # DEPENDENCYPART_ARC
(29,31),-2.08983 # DEPENDENCYPART_ARC
(29,32),-2.57241 # DEPENDENCYPART_ARC
(29,34),-3.19821 # DEPENDENCYPART_ARC
(29,35),-3.18259 # DEPENDENCYPART_ARC
(29,37),-3.18047 # DEPENDENCYPART_ARC
(30,3),-2.20406 # DEPENDENCYPART_ARC
(30,10),-0.688812 # DEPENDENCYPART_ARC
(30,13),-2.09932 # DEPENDENCYPART_ARC
(30,19),-0.44527 # DEPENDENCYPART_ARC
(30,20),-2.17668 # DEPENDENCYPART_ARC
(30,21),-2.28598 # DEPENDENCYPART_ARC
(30,23),-1.69303 # DEPENDENCYPART_ARC
(30,24),-2.44016 # DEPENDENCYPART_ARC
(30,25),-0.203407 # DEPENDENCYPART_ARC
(30,26),-0.992251 # DEPENDENCYPART_ARC
(30,27),0.249236 # DEPENDENCYPART_ARC
(30,28),0.487281 # DEPENDENCYPART_ARC
(30,29),-0.753347 # DEPENDENCYPART_ARC
(30,31),1.6325 # DEPENDENCYPART_ARC
(30,32),-0.196329 # DEPENDENCYPART_ARC
(30,33),-0.18602 # DEPENDENCYPART_ARC
(30,34),-1.2997 # DEPENDENCYPART_ARC
(30,35),0.719021 # DEPENDENCYPART_ARC
(30,36),-1.8254 # DEPENDENCYPART_ARC
(30,37),-0.93964 # DEPENDENCYPART_ARC
(30,38),-1.06766 # DEPENDENCYPART_ARC
(31,32),2.08335 # DEPENDENCYPART_ARC
(31,33),-0.711968 # DEPENDENCYPART_ARC
(31,34),-2.57799 # DEPENDENCYPART_ARC
(31,35),-2.22863 # DEPENDENCYPART_ARC
(31,37),-2.29034 # DEPENDENCYPART_ARC
(32,26),-4.81414 # DEPENDENCYPART_ARC
(32,27),-3.01694 # DEPENDENCYPART_ARC
(32,28),-5.33031 # DEPENDENCYPART_ARC
(32,31),-0.355841 # DEPENDENCYPART_ARC
(32,33),-0.743544 # DEPENDENCYPART_ARC
(32,34),-1.61307 # DEPENDENCYPART_ARC
(32,35),-3.63961 # DEPENDENCYPART_ARC
(32,36),-1.77208 # DEPENDENCYPART_ARC
(32,37),-0.700419 # DEPENDENCYPART_ARC
(33,24),-2.07519 # DEPENDENCYPART_ARC
(33,25),-2.07139 # DEPENDENCYPART_ARC
(33,26),-2.54713 # DEPENDENCYPART_ARC
(33,27),-2.27704 # DEPENDENCYPART_ARC
(33,28),-2.2067 # DEPENDENCYPART_ARC
(33,30),-1.28271 # DEPENDENCYPART_ARC
(33,31),-1.76806 # DEPENDENCYPART_ARC
(33,32),-1.13547 # DEPENDENCYPART_ARC
(33,34),-2.28292 # DEPENDENCYPART_ARC
(33,35),-1.968 # DEPENDENCYPART_ARC
(33,36),-2.80666 # DEPENDENCYPART_ARC
(33,37),-2.29222 # DEPENDENCYPART_ARC
(34,31),-1.12693 # DEPENDENCYPART_ARC
(34,32),-2.70775 # DEPENDENCYPART_ARC
(34,33),-0.400167 # DEPENDENCYPART_ARC
(34,35),-1.45474 # DEPENDENCYPART_ARC
(34,36),-2.57875 # DEPENDENCYPART_ARC
(34,37),-2.00802 # DEPENDENCYPART_ARC
(34,38),-1.01682 # DEPENDENCYPART_ARC
(35,26),-3.66363 # DEPENDENCYPART_ARC
(35,27),-2.01257 # DEPENDENCYPART_ARC
(35,31),-0.746379 # DEPENDENCYPART_ARC
(35,32),-2.90441 # DEPENDENCYPART_ARC
(35,33),-0.226829 # DEPENDENCYPART_ARC
(35,34),2.33645 # DEPENDENCYPART_ARC
(35,36),-0.178385 # DEPENDENCYPART_ARC
(35,37),0.724978 # DEPENDENCYPART_ARC
(35,38),-0.834313 # DEPENDENCYPART_ARC
(36,31),-1.61363 # DEPENDENCYPART_ARC
(36,34),-0.756018 # DEPENDENCYPART_ARC
(36,35),-0.489909 # DEPENDENCYPART_ARC
(36,37),1.19647 # DEPENDENCYPART_ARC
(36,38),-1.0158 # DEPENDENCYPART_ARC
(37,27),-2.63578 # DEPENDENCYPART_ARC
(37,32),-2.83366 # DEPENDENCYPART_ARC
(37,33),-0.989883 # DEPENDENCYPART_ARC
(37,34),-0.617009 # DEPENDENCYPART_ARC
(37,35),-1.01372 # DEPENDENCYPART_ARC
(37,36),2.07973 # DEPENDENCYPART_ARC
(37,38),-0.382883 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.070719 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.144385 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0390089 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.826154 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0390089 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.144366 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.188528 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.242421 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.82622 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.826177 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0128612 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.826154 # DEPENDENCYPART_SIBL
(0,1),(0,38),0.233903 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.289781 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0448579 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.338356 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0448579 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.201208 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.220868 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.209129 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.338356 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.338472 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.101872 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.338356 # DEPENDENCYPART_SIBL
(0,2),(0,38),-0.182175 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.124629 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.183763 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.124629 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0429541 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0262662 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.179285 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.184964 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.110719 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.183763 # DEPENDENCYPART_SIBL
(0,3),(0,38),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.469612 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0671112 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0512271 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.227369 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0125986 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.469935 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.469612 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0426051 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.469612 # DEPENDENCYPART_SIBL
(0,4),(0,38),-0.277536 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.13917 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.223654 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.297843 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.639528 # DEPENDENCYPART_SIBL
(0,5),(0,14),-1.4638 # DEPENDENCYPART_SIBL
(0,5),(0,15),-1.46374 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0732403 # DEPENDENCYPART_SIBL
(0,5),(0,30),-1.46374 # DEPENDENCYPART_SIBL
(0,5),(0,38),-0.00962418 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0512271 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.227369 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0125986 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.469935 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.469612 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0426051 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.469612 # DEPENDENCYPART_SIBL
(0,6),(0,38),-0.277536 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.127584 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.00252486 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.45012 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.45012 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0629085 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.45012 # DEPENDENCYPART_SIBL
(0,7),(0,38),-0.0221969 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.00123668 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.408933 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0307573 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,38),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.861082 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.861038 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0496235 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.861016 # DEPENDENCYPART_SIBL
(0,9),(0,38),-0.107484 # DEPENDENCYPART_SIBL
(0,14),(0,15),-1.46797 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0774686 # DEPENDENCYPART_SIBL
(0,14),(0,30),-1.46797 # DEPENDENCYPART_SIBL
(0,14),(0,38),-0.0233638 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0730913 # DEPENDENCYPART_SIBL
(0,15),(0,30),-1.46359 # DEPENDENCYPART_SIBL
(0,15),(0,38),-0.00743081 # DEPENDENCYPART_SIBL
(0,16),(0,30),-0.384933 # DEPENDENCYPART_SIBL
(0,16),(0,38),-0.251259 # DEPENDENCYPART_SIBL
(0,30),(0,38),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0321444 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00162609 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.300075 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00162609 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0696193 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0493771 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0572516 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00788361 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0289923 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.300075 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.300192 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.00748578 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.0493771 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0403129 # DEPENDENCYPART_SIBL
(1,2),(1,33),-0.0403129 # DEPENDENCYPART_SIBL
