# _root_ Protože na výslechu svědka trvá státní zástupce i obhájce Lukáše Kužely , který měl Vopálenskou na objednávku zastřelit , musel předseda senátu projednávání nájemné vraždy znovu odročit .
#goldHeads=20,5,2,3,1,7,8,5,8,11,8,14,14,11,18,18,16,14,1,0,20,21,27,25,23,27,20,0,
#predictedHeads=20,5,2,3,1,7,8,5,8,11,9,14,14,11,14,18,16,14,1,0,20,21,27,25,23,27,20,0,
(10,9),-0.355834 # DEPENDENCYPART_ARC
(10,11),-0.626765 # DEPENDENCYPART_ARC
(10,13),-2.39918 # DEPENDENCYPART_ARC
(10,14),-1.43699 # DEPENDENCYPART_ARC
(10,16),-1.79391 # DEPENDENCYPART_ARC
(11,3),-4.2913 # DEPENDENCYPART_ARC
(11,4),0.556831 # DEPENDENCYPART_ARC
(11,6),-2.73948 # DEPENDENCYPART_ARC
(11,7),-0.503767 # DEPENDENCYPART_ARC
(11,8),-0.286901 # DEPENDENCYPART_ARC
(11,9),0.995253 # DEPENDENCYPART_ARC
(11,10),4.53558 # DEPENDENCYPART_ARC
(11,12),-1.20796 # DEPENDENCYPART_ARC
(11,13),-2.21152 # DEPENDENCYPART_ARC
(11,14),-0.620996 # DEPENDENCYPART_ARC
(11,15),-5.90394 # DEPENDENCYPART_ARC
(11,18),-1.17414 # DEPENDENCYPART_ARC
(11,20),-2.81561 # DEPENDENCYPART_ARC
(12,5),-1.25287 # DEPENDENCYPART_ARC
(12,9),-1.67194 # DEPENDENCYPART_ARC
(12,10),-2.09198 # DEPENDENCYPART_ARC
(12,11),-1.78819 # DEPENDENCYPART_ARC
(12,14),-1.12368 # DEPENDENCYPART_ARC
(12,18),-2.11783 # DEPENDENCYPART_ARC
(12,19),-0.952976 # DEPENDENCYPART_ARC
(12,20),-2.79254 # DEPENDENCYPART_ARC
(13,12),-1.23095 # DEPENDENCYPART_ARC
(13,14),-1.51348 # DEPENDENCYPART_ARC
(13,15),-2.42209 # DEPENDENCYPART_ARC
(14,1),-0.855793 # DEPENDENCYPART_ARC
(14,2),-0.705718 # DEPENDENCYPART_ARC
(14,3),-2.19496 # DEPENDENCYPART_ARC
(14,4),-3.59074 # DEPENDENCYPART_ARC
(14,5),-1.6468 # DEPENDENCYPART_ARC
(14,7),-1.7089 # DEPENDENCYPART_ARC
(14,8),-1.23643 # DEPENDENCYPART_ARC
(14,9),-0.672469 # DEPENDENCYPART_ARC
(14,10),-3.32459 # DEPENDENCYPART_ARC
(14,11),-3.38323 # DEPENDENCYPART_ARC
(14,12),0.612129 # DEPENDENCYPART_ARC
(14,13),1.71187 # DEPENDENCYPART_ARC
(14,15),2.79405 # DEPENDENCYPART_ARC
(14,16),0.641474 # DEPENDENCYPART_ARC
(14,17),-0.0322135 # DEPENDENCYPART_ARC
(14,18),1.82924 # DEPENDENCYPART_ARC
(14,19),-0.139631 # DEPENDENCYPART_ARC
(14,20),-3.51292 # DEPENDENCYPART_ARC
(14,21),-1.47229 # DEPENDENCYPART_ARC
(14,22),-2.68483 # DEPENDENCYPART_ARC
(14,23),-1.0059 # DEPENDENCYPART_ARC
(14,24),-4.20121 # DEPENDENCYPART_ARC
(14,25),-3.30815 # DEPENDENCYPART_ARC
(14,26),-1.58437 # DEPENDENCYPART_ARC
(14,27),-0.622051 # DEPENDENCYPART_ARC
(15,13),-1.9833 # DEPENDENCYPART_ARC
(15,16),0.444847 # DEPENDENCYPART_ARC
(15,17),-2.83295 # DEPENDENCYPART_ARC
(15,18),0.213089 # DEPENDENCYPART_ARC
(15,20),-2.25671 # DEPENDENCYPART_ARC
(15,24),-2.29589 # DEPENDENCYPART_ARC
(16,15),-2.74565 # DEPENDENCYPART_ARC
(16,17),3.28649 # DEPENDENCYPART_ARC
(16,19),-0.89079 # DEPENDENCYPART_ARC
(17,13),-2.83316 # DEPENDENCYPART_ARC
(17,15),-1.02236 # DEPENDENCYPART_ARC
(17,18),0.723764 # DEPENDENCYPART_ARC
(17,20),-2.51376 # DEPENDENCYPART_ARC
(17,22),-1.07005 # DEPENDENCYPART_ARC
(18,1),-0.299385 # DEPENDENCYPART_ARC
(18,2),-0.385186 # DEPENDENCYPART_ARC
(18,3),-1.5674 # DEPENDENCYPART_ARC
(18,4),-2.19528 # DEPENDENCYPART_ARC
(18,5),-3.02544 # DEPENDENCYPART_ARC
(18,7),-2.13217 # DEPENDENCYPART_ARC
(18,8),-0.967506 # DEPENDENCYPART_ARC
(18,9),-1.25175 # DEPENDENCYPART_ARC
(18,10),-1.91376 # DEPENDENCYPART_ARC
(18,11),-2.78268 # DEPENDENCYPART_ARC
(18,12),-0.505417 # DEPENDENCYPART_ARC
(18,13),-0.0329375 # DEPENDENCYPART_ARC
(18,14),-2.03226 # DEPENDENCYPART_ARC
(18,15),1.39082 # DEPENDENCYPART_ARC
(18,16),0.117071 # DEPENDENCYPART_ARC
(18,17),1.38108 # DEPENDENCYPART_ARC
(18,19),-0.307162 # DEPENDENCYPART_ARC
(18,20),-1.39438 # DEPENDENCYPART_ARC
(18,21),-2.87544 # DEPENDENCYPART_ARC
(18,22),-2.15996 # DEPENDENCYPART_ARC
(18,23),-0.814615 # DEPENDENCYPART_ARC
(18,24),-3.44294 # DEPENDENCYPART_ARC
(18,25),-3.03957 # DEPENDENCYPART_ARC
(18,26),-2.01878 # DEPENDENCYPART_ARC
(18,27),-1.94208 # DEPENDENCYPART_ARC
(19,1),-1.20443 # DEPENDENCYPART_ARC
(19,5),-1.35111 # DEPENDENCYPART_ARC
(19,12),-0.984573 # DEPENDENCYPART_ARC
(19,13),-1.52426 # DEPENDENCYPART_ARC
(19,14),-0.963904 # DEPENDENCYPART_ARC
(19,15),-1.22802 # DEPENDENCYPART_ARC
(19,16),-0.967448 # DEPENDENCYPART_ARC
(19,17),-1.14771 # DEPENDENCYPART_ARC
(19,18),-0.632711 # DEPENDENCYPART_ARC
(19,20),-0.910823 # DEPENDENCYPART_ARC
(19,21),-1.89901 # DEPENDENCYPART_ARC
(19,23),-2.8029 # DEPENDENCYPART_ARC
(19,27),-2.57378 # DEPENDENCYPART_ARC
(20,1),0.449616 # DEPENDENCYPART_ARC
(20,2),-0.755071 # DEPENDENCYPART_ARC
(20,3),-2.1452 # DEPENDENCYPART_ARC
(20,4),-3.62372 # DEPENDENCYPART_ARC
(20,5),-2.01199 # DEPENDENCYPART_ARC
(20,6),-2.34773 # DEPENDENCYPART_ARC
(20,7),-1.71491 # DEPENDENCYPART_ARC
(20,8),-0.891213 # DEPENDENCYPART_ARC
(20,9),-0.826172 # DEPENDENCYPART_ARC
(20,10),-3.50112 # DEPENDENCYPART_ARC
(20,11),-3.46319 # DEPENDENCYPART_ARC
(20,12),-1.19002 # DEPENDENCYPART_ARC
(20,13),-0.778691 # DEPENDENCYPART_ARC
(20,14),-1.99853 # DEPENDENCYPART_ARC
(20,15),-0.863776 # DEPENDENCYPART_ARC
(20,16),-0.922179 # DEPENDENCYPART_ARC
(20,17),-0.689952 # DEPENDENCYPART_ARC
(20,18),0.355798 # DEPENDENCYPART_ARC
(20,19),-0.406938 # DEPENDENCYPART_ARC
(20,21),0.976107 # DEPENDENCYPART_ARC
(20,22),-0.70528 # DEPENDENCYPART_ARC
(20,23),0.50428 # DEPENDENCYPART_ARC
(20,24),-2.65255 # DEPENDENCYPART_ARC
(20,25),-1.98153 # DEPENDENCYPART_ARC
(20,26),-0.872147 # DEPENDENCYPART_ARC
(20,27),0.822441 # DEPENDENCYPART_ARC
(20,28),-1.2312 # DEPENDENCYPART_ARC
(21,22),1.61403 # DEPENDENCYPART_ARC
(21,23),-2.68354 # DEPENDENCYPART_ARC
(21,24),-2.07704 # DEPENDENCYPART_ARC
(21,25),-0.855904 # DEPENDENCYPART_ARC
(21,26),-1.50379 # DEPENDENCYPART_ARC
(21,27),-1.72712 # DEPENDENCYPART_ARC
(22,21),-1.64528 # DEPENDENCYPART_ARC
(22,23),-1.05311 # DEPENDENCYPART_ARC
(22,24),-1.3265 # DEPENDENCYPART_ARC
(22,25),-0.326551 # DEPENDENCYPART_ARC
(22,26),-1.12631 # DEPENDENCYPART_ARC
(22,27),-1.21786 # DEPENDENCYPART_ARC
(23,16),-0.889462 # DEPENDENCYPART_ARC
(23,21),-1.98997 # DEPENDENCYPART_ARC
(23,22),-2.05303 # DEPENDENCYPART_ARC
(23,24),-0.612137 # DEPENDENCYPART_ARC
(23,25),1.12217 # DEPENDENCYPART_ARC
(23,26),-1.0742 # DEPENDENCYPART_ARC
(23,27),-0.218307 # DEPENDENCYPART_ARC
(23,28),-1.17739 # DEPENDENCYPART_ARC
(24,21),-2.27358 # DEPENDENCYPART_ARC
(24,22),-1.8463 # DEPENDENCYPART_ARC
(24,23),-1.49168 # DEPENDENCYPART_ARC
(24,25),-1.26557 # DEPENDENCYPART_ARC
(24,26),-1.14141 # DEPENDENCYPART_ARC
(24,27),-0.601315 # DEPENDENCYPART_ARC
(25,21),-2.42758 # DEPENDENCYPART_ARC
(25,22),-2.56612 # DEPENDENCYPART_ARC
(25,23),-3.42635 # DEPENDENCYPART_ARC
(25,24),2.59555 # DEPENDENCYPART_ARC
(25,26),-0.573547 # DEPENDENCYPART_ARC
(25,27),-0.785382 # DEPENDENCYPART_ARC
(25,28),-0.884792 # DEPENDENCYPART_ARC
(26,21),-2.18463 # DEPENDENCYPART_ARC
(26,22),-2.09821 # DEPENDENCYPART_ARC
(26,23),-1.84603 # DEPENDENCYPART_ARC
(26,24),-1.5909 # DEPENDENCYPART_ARC
(26,25),-1.70373 # DEPENDENCYPART_ARC
(26,28),-1.05015 # DEPENDENCYPART_ARC
(27,1),-0.00365994 # DEPENDENCYPART_ARC
(27,2),-0.815264 # DEPENDENCYPART_ARC
(27,4),-2.47064 # DEPENDENCYPART_ARC
(27,7),-2.34499 # DEPENDENCYPART_ARC
(27,9),-1.75638 # DEPENDENCYPART_ARC
(27,10),-2.33188 # DEPENDENCYPART_ARC
(27,11),-3.04496 # DEPENDENCYPART_ARC
(27,12),-2.28373 # DEPENDENCYPART_ARC
(27,13),-2.10964 # DEPENDENCYPART_ARC
(27,15),0.20251 # DEPENDENCYPART_ARC
(27,16),-1.03765 # DEPENDENCYPART_ARC
(27,17),0.00665691 # DEPENDENCYPART_ARC
(27,18),-1.8311 # DEPENDENCYPART_ARC
(27,19),-2.20468 # DEPENDENCYPART_ARC
(27,20),-2.66106 # DEPENDENCYPART_ARC
(27,21),-1.44316 # DEPENDENCYPART_ARC
(27,22),-0.977046 # DEPENDENCYPART_ARC
(27,23),0.846446 # DEPENDENCYPART_ARC
(27,24),-2.05806 # DEPENDENCYPART_ARC
(27,25),-0.523896 # DEPENDENCYPART_ARC
(27,26),1.1051 # DEPENDENCYPART_ARC
(27,28),-0.798697 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0505887 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.887958 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.452491 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.8901 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.887958 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.452491 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.880432 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.887958 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.268893 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.477421 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.2298 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.464772 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.476952 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.2298 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.467962 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.476952 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.450326 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.311505 # DEPENDENCYPART_SIBL
(0,5),(0,14),-1.48009 # DEPENDENCYPART_SIBL
(0,5),(0,18),-1.47435 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.311505 # DEPENDENCYPART_SIBL
(0,5),(0,20),-1.46473 # DEPENDENCYPART_SIBL
(0,5),(0,27),-1.47435 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.0281076 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.423525 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.129028 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.372662 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,18),-1.48492 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.340461 # DEPENDENCYPART_SIBL
(0,14),(0,20),-1.47531 # DEPENDENCYPART_SIBL
(0,14),(0,27),-1.48492 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.049301 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.296463 # DEPENDENCYPART_SIBL
(0,18),(0,20),-1.45357 # DEPENDENCYPART_SIBL
(0,18),(0,27),-1.46319 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.00769122 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.372662 # DEPENDENCYPART_SIBL
(0,19),(0,27),-0.408609 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,27),-1.47154 # DEPENDENCYPART_SIBL
(0,20),(0,28),-0.00739738 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0158514 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0156958 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.459085 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.159316 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0877776 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.419611 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.457698 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0877776 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.46504 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0479931 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.351039 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.182212 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0507292 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.346751 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.354297 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0507292 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.359417 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.351025 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.182212 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0507019 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.346737 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.354283 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0507019 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.359403 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.335241 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0347786 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.809961 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.828313 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0347786 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.834926 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.11231 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.23065 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.248317 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.11231 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.259027 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.354039 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.361549 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.377195 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.35707 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.842304 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.0046248 # DEPENDENCYPART_SIBL
(1,14),(1,20),-0.848939 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0348228 # DEPENDENCYPART_SIBL
(1,18),(1,20),-0.834835 # DEPENDENCYPART_SIBL
(1,19),(1,20),-0.35707 # DEPENDENCYPART_SIBL
(2,3),(2,4),-1.45893 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.483212 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.483246 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.185762 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0802008 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0379655 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0264948 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0847463 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0214271 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0386407 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.114618 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.174531 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0245655 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0783518 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0110776 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0299768 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0698736 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.104001 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0151003 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00161836 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.10281 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0312341 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0364449 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.105848 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.185697 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.066902 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0376563 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0264949 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0850155 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0479732 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.114166 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.174388 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0246721 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00292832 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00217744 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0204214 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0151266 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00163499 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0312507 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0640548 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.055528 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0555607 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00736601 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0219299 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00242974 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0224926 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0197076 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0197076 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00220293 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0197076 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00400143 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00220293 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.0197442 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0226134 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0455691 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0456131 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.129182 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0357657 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0889423 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0063564 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00463065 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00463065 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0151379 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00463065 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0251435 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0151379 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.00472237 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0257912 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.196386 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0322912 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0189889 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0110503 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0373331 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0308972 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0308972 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0267499 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0308972 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0369714 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0267499 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0308463 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.022881 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0278656 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0192217 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0109262 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.037566 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0311301 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0311301 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0267194 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0311301 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0369248 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0267194 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.0310792 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.0229074 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.131274 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.135663 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.121462 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.120777 # DEPENDENCYPART_SIBL
