# _root_ " Chtěl jsem víc , ale v posledních třech závodech ME se mi motor Porsche rozsypával , " říká Bartoš .
#goldHeads=6,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,6,6,0,19,0,
#predictedHeads=2,19,2,2,6,2,16,10,10,7,10,16,16,16,14,6,2,2,0,19,0,
(17,5),-1.47951 # DEPENDENCYPART_ARC
(17,6),-0.880406 # DEPENDENCYPART_ARC
(17,9),-1.85099 # DEPENDENCYPART_ARC
(17,11),-1.71862 # DEPENDENCYPART_ARC
(17,14),-1.18491 # DEPENDENCYPART_ARC
(17,15),-1.49091 # DEPENDENCYPART_ARC
(17,16),-1.08788 # DEPENDENCYPART_ARC
(17,18),-1.21315 # DEPENDENCYPART_ARC
(17,19),-1.68339 # DEPENDENCYPART_ARC
(17,20),-2.18628 # DEPENDENCYPART_ARC
(18,2),-2.44693 # DEPENDENCYPART_ARC
(18,14),-2.72032 # DEPENDENCYPART_ARC
(18,15),-2.38648 # DEPENDENCYPART_ARC
(18,16),-2.06645 # DEPENDENCYPART_ARC
(18,17),-1.71131 # DEPENDENCYPART_ARC
(18,19),-1.62989 # DEPENDENCYPART_ARC
(18,20),-2.52283 # DEPENDENCYPART_ARC
(18,21),-2.18981 # DEPENDENCYPART_ARC
(19,1),-1.38317 # DEPENDENCYPART_ARC
(19,2),-1.30037 # DEPENDENCYPART_ARC
(19,3),-1.25292 # DEPENDENCYPART_ARC
(19,4),-2.12995 # DEPENDENCYPART_ARC
(19,5),-0.911727 # DEPENDENCYPART_ARC
(19,6),-0.865196 # DEPENDENCYPART_ARC
(19,7),-1.31166 # DEPENDENCYPART_ARC
(19,8),-4.09103 # DEPENDENCYPART_ARC
(19,9),-2.78868 # DEPENDENCYPART_ARC
(19,10),-3.01157 # DEPENDENCYPART_ARC
(19,11),-2.45845 # DEPENDENCYPART_ARC
(19,12),-1.33428 # DEPENDENCYPART_ARC
(19,13),-1.79931 # DEPENDENCYPART_ARC
(19,14),-0.767444 # DEPENDENCYPART_ARC
(19,15),-2.38277 # DEPENDENCYPART_ARC
(19,16),-1.13796 # DEPENDENCYPART_ARC
(19,17),-0.721621 # DEPENDENCYPART_ARC
(19,18),-0.41295 # DEPENDENCYPART_ARC
(19,20),1.09714 # DEPENDENCYPART_ARC
(19,21),-1.08012 # DEPENDENCYPART_ARC
(20,18),-1.1371 # DEPENDENCYPART_ARC
(20,21),-0.371409 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.444785 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.371454 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.202069 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.081086 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.191166 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.480789 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.216479 # DEPENDENCYPART_SIBL
(0,2),(0,3),-1.45762 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.245989 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.324277 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.834973 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.223662 # DEPENDENCYPART_SIBL
(0,2),(0,16),-1.47185 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.324277 # DEPENDENCYPART_SIBL
(0,2),(0,19),-1.51535 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0223601 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.272369 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.514756 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.901111 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.266895 # DEPENDENCYPART_SIBL
(0,3),(0,16),-1.45678 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.514756 # DEPENDENCYPART_SIBL
(0,3),(0,19),-1.50028 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.256024 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.17154 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0466271 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.318735 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.306578 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.17154 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.343845 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.138862 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0988373 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.100132 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.458431 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0167621 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.826154 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.188528 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.893338 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.233903 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.378725 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0495367 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.413443 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.00963574 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.296463 # DEPENDENCYPART_SIBL
(0,16),(0,19),-1.50669 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.00769122 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.458431 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.051402 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.361656 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0763324 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0441336 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.105164 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0534911 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0521824 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0183354 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0677562 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00162029 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0140712 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00149196 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00292413 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0917856 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.105164 # DEPENDENCYPART_SIBL
(2,1),(2,18),1.07245 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0402387 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.00160878 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.199757 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.217485 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0500369 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0302024 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.34045 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0733309 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.184418 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.241251 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.247965 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.239867 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.241251 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.118715 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0500369 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0840146 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.128464 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.241251 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0244113 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00498478 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0805675 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0199842 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00912433 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0404714 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.00870856 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00355056 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00940355 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0110106 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.038743 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00498478 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0202833 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0457522 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.00870856 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0943398 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0855407 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.230317 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.074089 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0973816 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.127574 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.122533 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.128265 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.130652 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0753185 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.103764 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0784667 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0785219 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.12757 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.101658 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0804795 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0665135 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0386488 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0472313 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0405174 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0479263 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0472371 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0201512 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.044719 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.129042 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0118176 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0472313 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.18037 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0408894 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.17518 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0239898 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0414674 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0232956 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0240107 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0401688 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0349441 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.000637511 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0443791 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.00815792 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0498718 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.117118 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.132327 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.12562 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.133722 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.133201 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0704446 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0391079 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.00756434 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.072021 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.132327 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.154478 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0960765 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.090859 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0967668 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0960718 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.00907563 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00189153 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0104814 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0117177 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0960718 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0743393 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.150905 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.154463 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.154 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0107099 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0268981 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00304391 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0225526 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.153744 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.150707 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.15556 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.155097 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0120457 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0329506 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00175895 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0238885 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.154841 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.155076 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.154 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0107449 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0268236 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.00308113 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0225876 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.153744 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.15067 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.013247 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0275388 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.00236693 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0250898 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.155324 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.151384 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0378062 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0554364 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.186431 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.00249888 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.00631376 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0784667 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0785219 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.12757 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.101658 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0254276 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.0251584 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0907086 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.0106775 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.017459 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.15067 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0994707 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.153304 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.291739 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.190214 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.161777 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.184223 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0528524 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.241695 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.257387 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.244808 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.24624 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.203568 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.291739 # DEPENDENCYPART_SIBL
(3,1),(3,18),1.27626 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0402306 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0457208 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0052938 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0132042 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0189351 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0600071 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0665971 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0667895 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0774451 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0656498 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.015117 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0457208 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0798567 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0715711 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00416918 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0893441 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0843885 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0982276 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.109979 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.115137 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.109284 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.107677 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0712285 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0715711 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.07899 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0744404 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.219072 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0676938 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0964644 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0920353 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0869944 # DEPENDENCYPART_SIBL
