# _root_ Na jídelním lístku je stále nejméně 20 hotových jídel , dále několik jídel z ryb , ale i jídla bezmasá a na objednávku .
#goldHeads=4,3,1,0,4,7,17,9,7,17,17,17,12,13,14,17,4,19,17,21,19,21,22,0,
#predictedHeads=4,3,1,10,4,7,4,9,7,17,12,17,12,13,14,17,0,19,17,21,19,21,22,0,
(4,3),(4,17),0.0607268 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0263427 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.00684113 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0776034 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.00815988 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0166602 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.00461851 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.123537 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.208661 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.135723 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.147969 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0819607 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.125541 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.147969 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.204273 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.147969 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0819607 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.00699579 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0808918 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.147871 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.135723 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.00863774 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.204043 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.148119 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.020257 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0457701 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00306916 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0446655 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0780381 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00306916 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0422114 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00306952 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0446655 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.118082 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.191072 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00316777 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0457701 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0976145 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0564538 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.00291893 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.128245 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.118128 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0473841 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0850336 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.118128 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.114209 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.118127 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0473841 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.150546 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.200148 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.118226 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.128245 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.162206 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0491234 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.117978 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0923553 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0259631 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.119421 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0923553 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0616191 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0923544 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0259631 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.122049 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.152538 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0924539 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.428754 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0391354 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.00498309 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0922079 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00734954 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.063154 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.136077 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.03846 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.133954 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00734954 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.198645 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.278417 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.134997 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0057704 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.275712 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0176922 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.134304 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0953115 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.115514 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.183705 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.115513 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.163659 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.118962 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.18382 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.115612 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.109295 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.134266 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.114037 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.115363 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0680861 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.137977 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0680858 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0737381 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0687005 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.136351 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0679875 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.00460199 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0240653 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.161866 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0682364 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.03846 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.133954 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00734954 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.198645 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.278417 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.134997 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0057704 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.275712 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0176922 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.134304 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0121182 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0955582 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.138783 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.235806 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0122177 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.057882 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.196158 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.186301 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.0110648 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00735803 # DEPENDENCYPART_SIBL
