# _root_ Nyní věnujme pozornost oblasti , která sice není středem pozornosti širší veřejnosti , přesto může podstatnou měrou ovlivnit rozvoj budoucích generací - mimoškolní činnosti dětí a žáků .
#goldHeads=2,0,2,22,14,14,14,14,8,9,12,10,14,4,14,17,18,15,18,21,19,2,24,22,26,24,26,0,
#predictedHeads=2,0,2,2,8,8,8,4,8,9,12,10,14,15,0,17,15,15,18,21,19,15,22,23,26,24,26,0,
(14,16),-2.38556 # DEPENDENCYPART_ARC
(14,17),-2.23347 # DEPENDENCYPART_ARC
(14,18),-1.1756 # DEPENDENCYPART_ARC
(14,19),-2.59189 # DEPENDENCYPART_ARC
(14,28),-1.47625 # DEPENDENCYPART_ARC
(15,1),-1.43667 # DEPENDENCYPART_ARC
(15,3),-1.65675 # DEPENDENCYPART_ARC
(15,4),-1.81832 # DEPENDENCYPART_ARC
(15,5),-1.44991 # DEPENDENCYPART_ARC
(15,6),-0.779192 # DEPENDENCYPART_ARC
(15,7),-1.33084 # DEPENDENCYPART_ARC
(15,8),-2.21075 # DEPENDENCYPART_ARC
(15,9),-0.726344 # DEPENDENCYPART_ARC
(15,10),-2.69821 # DEPENDENCYPART_ARC
(15,11),-3.02315 # DEPENDENCYPART_ARC
(15,12),-2.83679 # DEPENDENCYPART_ARC
(15,13),-0.268761 # DEPENDENCYPART_ARC
(15,14),0.985424 # DEPENDENCYPART_ARC
(15,16),-1.15976 # DEPENDENCYPART_ARC
(15,17),0.499366 # DEPENDENCYPART_ARC
(15,18),1.78925 # DEPENDENCYPART_ARC
(15,19),-0.166405 # DEPENDENCYPART_ARC
(15,20),-4.01569 # DEPENDENCYPART_ARC
(15,21),-2.47945 # DEPENDENCYPART_ARC
(15,22),-0.796256 # DEPENDENCYPART_ARC
(15,23),-3.25049 # DEPENDENCYPART_ARC
(15,24),-1.7058 # DEPENDENCYPART_ARC
(15,25),-3.51464 # DEPENDENCYPART_ARC
(15,26),-0.206722 # DEPENDENCYPART_ARC
(15,27),-4.23607 # DEPENDENCYPART_ARC
(16,14),-0.347748 # DEPENDENCYPART_ARC
(17,11),-1.78418 # DEPENDENCYPART_ARC
(17,14),-1.02763 # DEPENDENCYPART_ARC
(17,16),2.6159 # DEPENDENCYPART_ARC
(17,18),-0.126507 # DEPENDENCYPART_ARC
(17,19),-3.05999 # DEPENDENCYPART_ARC
(17,20),-1.97322 # DEPENDENCYPART_ARC
(17,21),-1.42418 # DEPENDENCYPART_ARC
(17,23),-3.04639 # DEPENDENCYPART_ARC
(18,3),-0.734886 # DEPENDENCYPART_ARC
(18,5),-1.44638 # DEPENDENCYPART_ARC
(18,6),-1.50692 # DEPENDENCYPART_ARC
(18,7),-1.48539 # DEPENDENCYPART_ARC
(18,8),-2.61127 # DEPENDENCYPART_ARC
(18,9),-0.633193 # DEPENDENCYPART_ARC
(18,10),-2.15228 # DEPENDENCYPART_ARC
(18,13),-0.822742 # DEPENDENCYPART_ARC
(18,14),0.365588 # DEPENDENCYPART_ARC
(18,15),-1.52799 # DEPENDENCYPART_ARC
(18,16),-1.28616 # DEPENDENCYPART_ARC
(18,17),0.428754 # DEPENDENCYPART_ARC
(18,19),1.99487 # DEPENDENCYPART_ARC
(18,20),-1.5609 # DEPENDENCYPART_ARC
(18,21),-0.923012 # DEPENDENCYPART_ARC
(18,22),-0.773547 # DEPENDENCYPART_ARC
(18,23),-2.72035 # DEPENDENCYPART_ARC
(18,24),-0.712289 # DEPENDENCYPART_ARC
(18,25),-1.99811 # DEPENDENCYPART_ARC
(18,26),-0.460729 # DEPENDENCYPART_ARC
(18,27),-2.94892 # DEPENDENCYPART_ARC
(19,16),-2.44898 # DEPENDENCYPART_ARC
(19,20),-1.9299 # DEPENDENCYPART_ARC
(19,21),0.628574 # DEPENDENCYPART_ARC
(19,22),-0.968605 # DEPENDENCYPART_ARC
(19,23),-3.81331 # DEPENDENCYPART_ARC
(19,24),-1.97099 # DEPENDENCYPART_ARC
(19,25),-0.815078 # DEPENDENCYPART_ARC
(19,26),-0.725295 # DEPENDENCYPART_ARC
(19,27),-1.91461 # DEPENDENCYPART_ARC
(20,19),-1.12308 # DEPENDENCYPART_ARC
(20,21),-1.36963 # DEPENDENCYPART_ARC
(20,24),-1.10538 # DEPENDENCYPART_ARC
(21,16),-1.92392 # DEPENDENCYPART_ARC
(21,19),-3.14747 # DEPENDENCYPART_ARC
(21,20),2.1221 # DEPENDENCYPART_ARC
(21,22),-1.03451 # DEPENDENCYPART_ARC
(21,23),-2.03939 # DEPENDENCYPART_ARC
(21,24),-2.88275 # DEPENDENCYPART_ARC
(21,25),-1.1087 # DEPENDENCYPART_ARC
(21,26),-1.19669 # DEPENDENCYPART_ARC
(21,27),-2.42264 # DEPENDENCYPART_ARC
(22,1),-1.87027 # DEPENDENCYPART_ARC
(22,5),-1.435 # DEPENDENCYPART_ARC
(22,8),-0.92436 # DEPENDENCYPART_ARC
(22,11),-2.24314 # DEPENDENCYPART_ARC
(22,12),-1.61721 # DEPENDENCYPART_ARC
(22,13),-1.0557 # DEPENDENCYPART_ARC
(22,15),-0.929275 # DEPENDENCYPART_ARC
(22,16),-1.55766 # DEPENDENCYPART_ARC
(22,17),-1.12962 # DEPENDENCYPART_ARC
(22,18),-0.620978 # DEPENDENCYPART_ARC
(22,19),-0.342404 # DEPENDENCYPART_ARC
(22,20),-0.984161 # DEPENDENCYPART_ARC
(22,21),0.361103 # DEPENDENCYPART_ARC
(22,23),-0.826248 # DEPENDENCYPART_ARC
(22,24),-0.482298 # DEPENDENCYPART_ARC
(22,25),-0.845788 # DEPENDENCYPART_ARC
(22,26),-0.310248 # DEPENDENCYPART_ARC
(22,27),-1.29329 # DEPENDENCYPART_ARC
(22,28),-1.03017 # DEPENDENCYPART_ARC
(23,21),-2.81414 # DEPENDENCYPART_ARC
(23,22),-0.417728 # DEPENDENCYPART_ARC
(23,24),0.743821 # DEPENDENCYPART_ARC
(23,25),-1.91203 # DEPENDENCYPART_ARC
(23,26),-0.748466 # DEPENDENCYPART_ARC
(23,27),-2.51172 # DEPENDENCYPART_ARC
(23,28),-1.37105 # DEPENDENCYPART_ARC
(24,20),-2.92297 # DEPENDENCYPART_ARC
(24,21),-4.50252 # DEPENDENCYPART_ARC
(24,22),-0.671456 # DEPENDENCYPART_ARC
(24,23),-1.68558 # DEPENDENCYPART_ARC
(24,25),1.84201 # DEPENDENCYPART_ARC
(24,26),-0.0632328 # DEPENDENCYPART_ARC
(24,27),-1.134 # DEPENDENCYPART_ARC
(24,28),-1.17584 # DEPENDENCYPART_ARC
(25,19),-4.23623 # DEPENDENCYPART_ARC
(25,21),-2.8587 # DEPENDENCYPART_ARC
(25,23),-1.40076 # DEPENDENCYPART_ARC
(25,24),-1.40999 # DEPENDENCYPART_ARC
(25,27),-1.67976 # DEPENDENCYPART_ARC
(26,1),-2.1972 # DEPENDENCYPART_ARC
(26,3),-1.45597 # DEPENDENCYPART_ARC
(26,4),-1.53072 # DEPENDENCYPART_ARC
(26,5),-1.034 # DEPENDENCYPART_ARC
(26,6),-0.569867 # DEPENDENCYPART_ARC
(26,7),-0.351457 # DEPENDENCYPART_ARC
(26,8),-2.82631 # DEPENDENCYPART_ARC
(26,9),-1.02217 # DEPENDENCYPART_ARC
(26,10),-1.44496 # DEPENDENCYPART_ARC
(26,12),-0.530365 # DEPENDENCYPART_ARC
(26,13),-0.750053 # DEPENDENCYPART_ARC
(26,14),-1.3641 # DEPENDENCYPART_ARC
(26,15),-0.971159 # DEPENDENCYPART_ARC
(26,16),-1.79077 # DEPENDENCYPART_ARC
(26,17),-0.818452 # DEPENDENCYPART_ARC
(26,18),-0.417796 # DEPENDENCYPART_ARC
(26,19),-0.330318 # DEPENDENCYPART_ARC
(26,20),-1.47539 # DEPENDENCYPART_ARC
(26,21),0.197456 # DEPENDENCYPART_ARC
(26,22),-0.777857 # DEPENDENCYPART_ARC
(26,23),-0.52175 # DEPENDENCYPART_ARC
(26,24),-0.187104 # DEPENDENCYPART_ARC
(26,25),1.97266 # DEPENDENCYPART_ARC
(26,27),2.28158 # DEPENDENCYPART_ARC
(26,28),-0.906124 # DEPENDENCYPART_ARC
(27,25),-5.12931 # DEPENDENCYPART_ARC
(27,28),-0.65771 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.316669 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.363775 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.361876 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.198069 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.326983 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.198069 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.122883 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.320306 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.316669 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.162494 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.15151 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0541968 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0529247 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.296463 # DEPENDENCYPART_SIBL
(0,2),(0,8),-1.48306 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.250044 # DEPENDENCYPART_SIBL
(0,2),(0,15),-1.4748 # DEPENDENCYPART_SIBL
(0,2),(0,18),-1.46319 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.962228 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.00769122 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0432694 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0275149 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.206822 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0275149 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.138586 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.183936 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.182143 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.18194 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.420702 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.000231196 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.206182 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.000231196 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.141234 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.183302 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.181503 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.182936 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.409109 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.414577 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0338247 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.400329 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.408617 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.140416 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.294792 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.25622 # DEPENDENCYPART_SIBL
(0,8),(0,15),-1.48291 # DEPENDENCYPART_SIBL
(0,8),(0,18),-1.4713 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.970676 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.0180418 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0338247 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.400329 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.408617 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.140416 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.207031 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.206877 # DEPENDENCYPART_SIBL
(0,14),(0,26),0.0202619 # DEPENDENCYPART_SIBL
(0,14),(0,28),0.34087 # DEPENDENCYPART_SIBL
(0,15),(0,18),-1.4895 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.99966 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.147857 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.963381 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.0116521 # DEPENDENCYPART_SIBL
(0,26),(0,28),0.0494213 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.10105 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0284986 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0417888 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00382414 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00550936 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0361342 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.048549 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0556672 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00382414 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0356064 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0935046 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00629752 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.000363453 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0642304 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0699188 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0868574 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00629752 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.041379 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0293858 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00257815 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.057187 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0628754 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.079814 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0293858 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0301359 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0440196 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.101478 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0963821 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.109256 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.124158 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0608161 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0119792 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0378144 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00344856 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0438945 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0476596 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0948249 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.111763 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0121559 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0377057 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.115764 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0136425 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0549673 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.00313566 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.0440651 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.0608161 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.284826 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0510156 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.114561 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0271929 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.054324 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0188241 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.109215 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0345786 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.12012 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0258853 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0127048 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0361769 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0224382 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0402896 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00335005 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.267572 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.161762 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.000637957 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.102927 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0269107 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0168317 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0468827 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.01281 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.241399 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0103255 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.109249 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0315335 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0332908 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.124292 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.010485 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0067768 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0466566 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0281029 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00218074 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00226208 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00674368 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0722851 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0640489 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.000997182 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.025135 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0237654 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00594083 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0243584 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0446674 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0107973 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0139728 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0606273 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0237335 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.000703767 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.253634 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0103007 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.154175 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0188286 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0156307 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.136183 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0492392 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.047344 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.677425 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00695089 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0191822 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00670179 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0180991 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.198413 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0164415 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0601092 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0588945 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0213155 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0204458 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0892966 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.152786 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.00376918 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0117884 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0242032 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.117696 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0313213 # DEPENDENCYPART_SIBL
