# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,16,13,16,5,16,19,16,19,22,20,22,0,
(8,1),-1.6344 # DEPENDENCYPART_ARC
(8,5),-0.909632 # DEPENDENCYPART_ARC
(8,6),-0.0185691 # DEPENDENCYPART_ARC
(8,7),-0.518739 # DEPENDENCYPART_ARC
(8,9),1.82152 # DEPENDENCYPART_ARC
(8,10),0.0997815 # DEPENDENCYPART_ARC
(8,11),-0.823825 # DEPENDENCYPART_ARC
(8,12),-1.15687 # DEPENDENCYPART_ARC
(8,13),-0.767829 # DEPENDENCYPART_ARC
(8,16),-2.32573 # DEPENDENCYPART_ARC
(8,20),-1.57634 # DEPENDENCYPART_ARC
(9,6),-0.598844 # DEPENDENCYPART_ARC
(9,7),-0.955749 # DEPENDENCYPART_ARC
(9,8),-2.90236 # DEPENDENCYPART_ARC
(9,10),1.65668 # DEPENDENCYPART_ARC
(9,11),-0.387339 # DEPENDENCYPART_ARC
(9,12),-1.04028 # DEPENDENCYPART_ARC
(9,13),-0.196804 # DEPENDENCYPART_ARC
(9,15),-1.08126 # DEPENDENCYPART_ARC
(9,16),-1.18338 # DEPENDENCYPART_ARC
(9,18),-3.09119 # DEPENDENCYPART_ARC
(9,20),-1.06186 # DEPENDENCYPART_ARC
(10,2),-5.56591 # DEPENDENCYPART_ARC
(10,3),-6.2317 # DEPENDENCYPART_ARC
(10,5),-1.34846 # DEPENDENCYPART_ARC
(10,6),-0.819849 # DEPENDENCYPART_ARC
(10,7),-1.79199 # DEPENDENCYPART_ARC
(10,8),-3.80504 # DEPENDENCYPART_ARC
(10,9),-3.79936 # DEPENDENCYPART_ARC
(10,11),1.10094 # DEPENDENCYPART_ARC
(10,12),-2.53488 # DEPENDENCYPART_ARC
(10,13),-1.71302 # DEPENDENCYPART_ARC
(10,15),-0.57003 # DEPENDENCYPART_ARC
(10,16),-2.70057 # DEPENDENCYPART_ARC
(10,18),-3.00995 # DEPENDENCYPART_ARC
(10,20),-2.13336 # DEPENDENCYPART_ARC
(11,8),-1.81588 # DEPENDENCYPART_ARC
(11,9),-2.11025 # DEPENDENCYPART_ARC
(11,10),-0.977056 # DEPENDENCYPART_ARC
(11,12),-1.17275 # DEPENDENCYPART_ARC
(12,1),-1.40893 # DEPENDENCYPART_ARC
(12,2),-4.27012 # DEPENDENCYPART_ARC
(12,3),-3.13453 # DEPENDENCYPART_ARC
(12,4),-1.16609 # DEPENDENCYPART_ARC
(12,5),-0.976578 # DEPENDENCYPART_ARC
(12,6),-0.845131 # DEPENDENCYPART_ARC
(12,7),-1.40012 # DEPENDENCYPART_ARC
(12,8),-3.08065 # DEPENDENCYPART_ARC
(12,9),-0.72683 # DEPENDENCYPART_ARC
(12,10),4.86605 # DEPENDENCYPART_ARC
(12,11),-0.756262 # DEPENDENCYPART_ARC
(12,13),-1.01603 # DEPENDENCYPART_ARC
(12,15),-1.21032 # DEPENDENCYPART_ARC
(12,16),-1.86339 # DEPENDENCYPART_ARC
(12,17),-2.86708 # DEPENDENCYPART_ARC
(12,18),-3.00154 # DEPENDENCYPART_ARC
(12,19),-5.15151 # DEPENDENCYPART_ARC
(12,20),-2.25854 # DEPENDENCYPART_ARC
(13,11),-1.27083 # DEPENDENCYPART_ARC
(13,12),-2.12817 # DEPENDENCYPART_ARC
(13,14),1.54822 # DEPENDENCYPART_ARC
(13,15),-0.661243 # DEPENDENCYPART_ARC
(13,17),-2.83499 # DEPENDENCYPART_ARC
(13,19),-1.00602 # DEPENDENCYPART_ARC
(15,1),-1.55719 # DEPENDENCYPART_ARC
(15,2),-2.13361 # DEPENDENCYPART_ARC
(15,4),-1.45076 # DEPENDENCYPART_ARC
(15,5),-1.08488 # DEPENDENCYPART_ARC
(15,8),-1.70696 # DEPENDENCYPART_ARC
(15,9),-1.67548 # DEPENDENCYPART_ARC
(15,10),-2.02679 # DEPENDENCYPART_ARC
(15,11),-1.41296 # DEPENDENCYPART_ARC
(15,12),-1.24654 # DEPENDENCYPART_ARC
(15,13),-1.31955 # DEPENDENCYPART_ARC
(15,16),-0.644119 # DEPENDENCYPART_ARC
(15,17),-1.66879 # DEPENDENCYPART_ARC
(15,18),-1.86242 # DEPENDENCYPART_ARC
(15,19),-2.39932 # DEPENDENCYPART_ARC
(15,23),-2.86035 # DEPENDENCYPART_ARC
(16,1),-0.417617 # DEPENDENCYPART_ARC
(16,2),-1.92379 # DEPENDENCYPART_ARC
(16,3),-4.14594 # DEPENDENCYPART_ARC
(16,4),-1.25327 # DEPENDENCYPART_ARC
(16,5),-1.01857 # DEPENDENCYPART_ARC
(16,6),-1.58822 # DEPENDENCYPART_ARC
(16,7),-0.978613 # DEPENDENCYPART_ARC
(16,8),-1.40559 # DEPENDENCYPART_ARC
(16,9),-2.86462 # DEPENDENCYPART_ARC
(16,10),-2.99193 # DEPENDENCYPART_ARC
(16,11),-0.698454 # DEPENDENCYPART_ARC
(16,12),-3.33222 # DEPENDENCYPART_ARC
(16,13),-0.735291 # DEPENDENCYPART_ARC
(16,15),-0.0827404 # DEPENDENCYPART_ARC
(16,17),1.87168 # DEPENDENCYPART_ARC
(16,18),-1.17745 # DEPENDENCYPART_ARC
(16,19),1.00738 # DEPENDENCYPART_ARC
(16,20),0.12226 # DEPENDENCYPART_ARC
(16,21),-2.94819 # DEPENDENCYPART_ARC
(16,22),-1.47031 # DEPENDENCYPART_ARC
(16,23),-1.57477 # DEPENDENCYPART_ARC
(16,24),-0.79387 # DEPENDENCYPART_ARC
(17,13),-1.09207 # DEPENDENCYPART_ARC
(17,15),-1.39615 # DEPENDENCYPART_ARC
(17,18),-1.56893 # DEPENDENCYPART_ARC
(17,19),-2.1162 # DEPENDENCYPART_ARC
(17,20),0.0351797 # DEPENDENCYPART_ARC
(17,21),-2.1444 # DEPENDENCYPART_ARC
(17,22),-1.44763 # DEPENDENCYPART_ARC
(17,23),-0.836042 # DEPENDENCYPART_ARC
(17,24),-1.74399 # DEPENDENCYPART_ARC
(18,13),-1.07216 # DEPENDENCYPART_ARC
(18,15),-1.27385 # DEPENDENCYPART_ARC
(18,17),-2.28552 # DEPENDENCYPART_ARC
(18,19),-1.14379 # DEPENDENCYPART_ARC
(18,20),-0.720518 # DEPENDENCYPART_ARC
(18,22),-2.32812 # DEPENDENCYPART_ARC
(18,23),-3.06425 # DEPENDENCYPART_ARC
(18,24),-1.36169 # DEPENDENCYPART_ARC
(19,17),-2.93238 # DEPENDENCYPART_ARC
(19,18),2.66392 # DEPENDENCYPART_ARC
(19,20),0.757744 # DEPENDENCYPART_ARC
(19,21),-1.47825 # DEPENDENCYPART_ARC
(19,22),-1.4408 # DEPENDENCYPART_ARC
(19,23),-0.66642 # DEPENDENCYPART_ARC
(19,24),-1.32514 # DEPENDENCYPART_ARC
(20,17),-3.31154 # DEPENDENCYPART_ARC
(20,19),-2.56165 # DEPENDENCYPART_ARC
(20,21),-0.316139 # DEPENDENCYPART_ARC
(20,22),1.86054 # DEPENDENCYPART_ARC
(20,23),-2.83591 # DEPENDENCYPART_ARC
(20,24),-1.63319 # DEPENDENCYPART_ARC
(21,19),-2.52465 # DEPENDENCYPART_ARC
(21,22),-1.85326 # DEPENDENCYPART_ARC
(21,23),-2.11516 # DEPENDENCYPART_ARC
(21,24),-1.16923 # DEPENDENCYPART_ARC
(22,17),-3.26286 # DEPENDENCYPART_ARC
(22,18),-1.80653 # DEPENDENCYPART_ARC
(22,19),-2.77526 # DEPENDENCYPART_ARC
(22,20),-1.20198 # DEPENDENCYPART_ARC
(22,21),2.00531 # DEPENDENCYPART_ARC
(22,23),2.22451 # DEPENDENCYPART_ARC
(22,24),-0.825602 # DEPENDENCYPART_ARC
(23,17),-4.17086 # DEPENDENCYPART_ARC
(23,18),-2.40364 # DEPENDENCYPART_ARC
(23,19),-3.83902 # DEPENDENCYPART_ARC
(23,21),-2.06733 # DEPENDENCYPART_ARC
(23,22),-2.8436 # DEPENDENCYPART_ARC
(23,24),-0.979786 # DEPENDENCYPART_ARC
(0,1),(0,2),0.310176 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.307094 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.00924634 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0302558 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.17825 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.29341 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.226482 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.31026 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.00924634 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.371854 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.226482 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0338578 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.02039 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0859527 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.117381 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0232987 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.416921 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0367018 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.02039 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.187503 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.416921 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0247543 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0859654 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.117208 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0226926 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.41919 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0360958 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0247543 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.188569 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.41919 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0988373 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0200603 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0556644 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0665233 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.412586 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0798647 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.132777 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.233903 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.144385 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.188528 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.829483 # DEPENDENCYPART_SIBL
(0,5),(0,24),0.233903 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.255704 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.204712 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.270058 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.24599 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.338435 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.204712 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.416385 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0786873 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0163923 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.178257 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.416385 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.102251 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.375943 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.606204 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.147083 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0203621 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.187535 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.416911 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.412586 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0368224 # DEPENDENCYPART_SIBL
(1,2),(1,3),-1.42673 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.283586 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.293019 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0249585 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0692801 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0684694 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0822027 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0988329 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0282503 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0279721 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0457806 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.105883 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.123048 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.105883 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0434261 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.119265 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0306226 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0455433 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0635288 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0657231 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0744927 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.101775 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.00654766 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.101775 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.011095 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0308307 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0256844 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00757774 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0116089 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0303332 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0327245 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0156704 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0327245 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0622647 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00129164 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0279473 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0294396 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0414039 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0071125 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0229764 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0071125 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0460234 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0216477 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0231216 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.036325 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00911008 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0161561 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.00911008 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.181352 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.179546 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.161482 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.124573 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.00642534 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.124573 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0630489 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0718185 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.103883 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.010082 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.103883 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0762265 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0843938 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.00477085 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0843938 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0482881 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0149908 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0482881 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00873386 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0343795 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.00325107 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0555069 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0747833 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0730086 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0933617 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.128555 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0193147 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0078632 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0982321 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00752491 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0125798 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0225039 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0171699 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0003762 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0229701 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0064303 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0731871 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0730488 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0296313 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.569217 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0301963 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0100984 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0593478 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.103888 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0217752 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0683315 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.112881 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0148506 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0190814 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0756148 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.10963 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0857375 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0858124 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0698419 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0416176 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.697586 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0475067 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.042652 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0464844 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.137292 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.046869 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.341786 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0195534 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.126076 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0318332 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00496489 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0429876 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.137292 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0341766 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.209671 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0726459 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.155368 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.149034 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.149962 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.114093 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0976038 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.150636 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0578086 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0421581 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0168347 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.176845 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0168041 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.158428 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0976038 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.215094 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0710515 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.153765 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.147935 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.148864 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.112995 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0960707 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.149538 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0562122 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0406732 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0125165 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.175672 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.015187 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.157097 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0960707 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0362163 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0103411 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0598932 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0561979 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0813217 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.072809 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0604576 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0380652 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.011006 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0280022 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0941036 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.122464 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0546649 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.072809 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0228148 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.000171953 # DEPENDENCYPART_SIBL
