# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
(6,2),-1.01944 # DEPENDENCYPART_ARC
(6,3),0.818789 # DEPENDENCYPART_ARC
(6,4),1.59921 # DEPENDENCYPART_ARC
(6,5),2.23104 # DEPENDENCYPART_ARC
(6,7),1.03446 # DEPENDENCYPART_ARC
(6,8),-1.56334 # DEPENDENCYPART_ARC
(6,9),-0.245092 # DEPENDENCYPART_ARC
(6,11),-0.628637 # DEPENDENCYPART_ARC
(6,12),-2.778 # DEPENDENCYPART_ARC
(6,13),-1.28835 # DEPENDENCYPART_ARC
(6,14),-2.02177 # DEPENDENCYPART_ARC
(6,15),-3.15128 # DEPENDENCYPART_ARC
(6,16),-1.84394 # DEPENDENCYPART_ARC
(6,17),-1.45062 # DEPENDENCYPART_ARC
(7,3),-1.25983 # DEPENDENCYPART_ARC
(7,8),2.80259 # DEPENDENCYPART_ARC
(7,9),-1.05254 # DEPENDENCYPART_ARC
(7,13),-3.0634 # DEPENDENCYPART_ARC
(7,14),-4.63605 # DEPENDENCYPART_ARC
(8,1),-1.60374 # DEPENDENCYPART_ARC
(8,2),-3.21534 # DEPENDENCYPART_ARC
(8,3),-1.7798 # DEPENDENCYPART_ARC
(8,5),-4.45689 # DEPENDENCYPART_ARC
(8,6),-2.9054 # DEPENDENCYPART_ARC
(8,7),-0.784846 # DEPENDENCYPART_ARC
(8,9),-1.49045 # DEPENDENCYPART_ARC
(8,10),-3.46187 # DEPENDENCYPART_ARC
(8,11),-2.11066 # DEPENDENCYPART_ARC
(8,13),-4.23186 # DEPENDENCYPART_ARC
(8,14),-2.1435 # DEPENDENCYPART_ARC
(8,15),-1.79921 # DEPENDENCYPART_ARC
(8,16),-6.46115 # DEPENDENCYPART_ARC
(9,1),-1.98608 # DEPENDENCYPART_ARC
(9,2),-1.84368 # DEPENDENCYPART_ARC
(9,3),-0.801239 # DEPENDENCYPART_ARC
(9,5),-1.84995 # DEPENDENCYPART_ARC
(9,6),-0.757707 # DEPENDENCYPART_ARC
(9,7),-1.31451 # DEPENDENCYPART_ARC
(9,8),-1.40424 # DEPENDENCYPART_ARC
(9,10),-1.15266 # DEPENDENCYPART_ARC
(9,11),-1.03105 # DEPENDENCYPART_ARC
(9,12),-1.46104 # DEPENDENCYPART_ARC
(9,13),-1.62522 # DEPENDENCYPART_ARC
(9,14),-2.00577 # DEPENDENCYPART_ARC
(9,15),-1.4619 # DEPENDENCYPART_ARC
(9,16),-2.33906 # DEPENDENCYPART_ARC
(10,6),-1.64394 # DEPENDENCYPART_ARC
(10,8),-2.59878 # DEPENDENCYPART_ARC
(10,9),-0.917868 # DEPENDENCYPART_ARC
(10,11),-0.98244 # DEPENDENCYPART_ARC
(10,13),-2.16595 # DEPENDENCYPART_ARC
(10,14),-2.65608 # DEPENDENCYPART_ARC
(10,16),-2.31886 # DEPENDENCYPART_ARC
(11,9),-0.793232 # DEPENDENCYPART_ARC
(11,12),0.23367 # DEPENDENCYPART_ARC
(11,13),2.31386 # DEPENDENCYPART_ARC
(11,14),-1.57498 # DEPENDENCYPART_ARC
(11,16),-1.83638 # DEPENDENCYPART_ARC
(12,8),-2.01719 # DEPENDENCYPART_ARC
(12,10),-0.650403 # DEPENDENCYPART_ARC
(12,11),-1.13121 # DEPENDENCYPART_ARC
(12,13),-0.832456 # DEPENDENCYPART_ARC
(12,14),-3.24966 # DEPENDENCYPART_ARC
(12,15),-2.09845 # DEPENDENCYPART_ARC
(12,16),-3.27199 # DEPENDENCYPART_ARC
(12,17),-1.56954 # DEPENDENCYPART_ARC
(13,1),-1.3906 # DEPENDENCYPART_ARC
(13,2),-3.64591 # DEPENDENCYPART_ARC
(13,6),-3.89334 # DEPENDENCYPART_ARC
(13,7),-1.46463 # DEPENDENCYPART_ARC
(13,8),-3.09501 # DEPENDENCYPART_ARC
(13,9),-1.07181 # DEPENDENCYPART_ARC
(13,10),-2.72673 # DEPENDENCYPART_ARC
(13,11),-1.1246 # DEPENDENCYPART_ARC
(13,12),1.5832 # DEPENDENCYPART_ARC
(13,14),0.181922 # DEPENDENCYPART_ARC
(13,15),-2.38697 # DEPENDENCYPART_ARC
(13,16),-3.78577 # DEPENDENCYPART_ARC
(13,17),-1.31732 # DEPENDENCYPART_ARC
(14,1),-1.63107 # DEPENDENCYPART_ARC
(14,7),-2.14746 # DEPENDENCYPART_ARC
(14,8),-4.52247 # DEPENDENCYPART_ARC
(14,10),-4.50881 # DEPENDENCYPART_ARC
(14,11),-1.25059 # DEPENDENCYPART_ARC
(14,12),-0.506276 # DEPENDENCYPART_ARC
(14,13),-3.58744 # DEPENDENCYPART_ARC
(14,15),-1.30846 # DEPENDENCYPART_ARC
(14,16),-4.99948 # DEPENDENCYPART_ARC
(14,17),-1.30309 # DEPENDENCYPART_ARC
(15,1),0.323618 # DEPENDENCYPART_ARC
(15,2),-1.98894 # DEPENDENCYPART_ARC
(15,3),0.417183 # DEPENDENCYPART_ARC
(15,4),0.189896 # DEPENDENCYPART_ARC
(15,5),-0.0791373 # DEPENDENCYPART_ARC
(15,6),-1.52926 # DEPENDENCYPART_ARC
(15,7),0.0770921 # DEPENDENCYPART_ARC
(15,8),-2.66819 # DEPENDENCYPART_ARC
(15,9),0.758675 # DEPENDENCYPART_ARC
(15,10),1.78422 # DEPENDENCYPART_ARC
(15,11),0.984548 # DEPENDENCYPART_ARC
(15,12),-0.88193 # DEPENDENCYPART_ARC
(15,13),-0.0852684 # DEPENDENCYPART_ARC
(15,14),0.491679 # DEPENDENCYPART_ARC
(15,16),1.9677 # DEPENDENCYPART_ARC
(15,17),-1.14562 # DEPENDENCYPART_ARC
(16,1),-1.52694 # DEPENDENCYPART_ARC
(16,10),-4.51246 # DEPENDENCYPART_ARC
(16,11),-0.973025 # DEPENDENCYPART_ARC
(16,12),-1.13491 # DEPENDENCYPART_ARC
(16,13),-2.86611 # DEPENDENCYPART_ARC
(16,14),-2.4048 # DEPENDENCYPART_ARC
(16,17),-0.432694 # DEPENDENCYPART_ARC
(17,1),-4.01129 # DEPENDENCYPART_ARC
(17,15),-2.75815 # DEPENDENCYPART_ARC
(17,16),-2.97074 # DEPENDENCYPART_ARC
(0,1),(0,2),0.16456 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0805515 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.141714 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.327076 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.163557 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0805515 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.151371 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.213983 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.330033 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.211521 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00322126 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.213573 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.363528 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.344064 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.00322126 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.247479 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.235498 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.363744 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.00774574 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0680893 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.408993 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.042719 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.129028 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0913693 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0307082 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.409957 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.323687 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.486477 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0807558 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.340051 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.292885 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.323914 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.137651 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.115339 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.236168 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.199233 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0453498 # DEPENDENCYPART_SIBL
(0,6),(0,15),-1.43721 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0839583 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.093583 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.114573 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.229655 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.373738 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.396679 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0913693 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0307082 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.409957 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.175453 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.395968 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0253922 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.382522 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.251363 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.02464 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.267992 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.388492 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.968051 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0850579 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.544605 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.514688 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.156672 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00896434 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0232179 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0865464 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0384089 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00938146 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0344903 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.167977 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0124781 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.156513 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0341379 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0543256 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.033906 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00915305 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.340857 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0105147 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0904769 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0275049 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0384089 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00938146 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0258538 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0050848 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0380259 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0154979 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.2677 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0149994 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00999533 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0579643 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0407963 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0172412 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0194986 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0468933 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0956345 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.123919 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0316513 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.095812 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0110094 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0442489 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.367196 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0509675 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.073584 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0439847 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.302026 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.136508 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.24033 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0616652 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00141104 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00855497 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0141536 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.203946 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.196651 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00655453 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0628771 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0424469 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00403128 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0259602 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.136075 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0879527 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0393462 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.010356 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0340686 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0681916 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.299947 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.302544 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.13285 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00661957 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.046223 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.02449 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0226496 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0363307 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0311163 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0386359 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00785565 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0560539 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.146142 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0600018 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0755347 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0459763 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0326267 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.14394 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0386101 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0486014 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0226944 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0377158 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0440723 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0445316 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0658066 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0278432 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00708137 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0449459 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.205866 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00403199 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0602965 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0317503 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0318626 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0494571 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0547768 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.127115 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0491547 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.01456 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0934274 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00914418 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0813399 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00213332 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00782675 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.024042 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0243975 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.127106 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0461265 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0022383 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.15985 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.199042 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0665715 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0442486 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00282128 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0658152 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0665558 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0281135 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00838112 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.000973738 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0864416 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.11329 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0229315 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0953446 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.142009 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.12108 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0896122 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0955723 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.118783 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.108659 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0985102 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.126212 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0335867 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0266054 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.00633497 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0183713 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0267514 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0362244 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0534787 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.069483 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.009641 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0550618 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0758639 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.128852 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0317315 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.110978 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.143765 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.00991452 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0686137 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.154602 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0492636 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0238162 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.145068 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0244809 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.469531 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0132861 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0205655 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.139204 # DEPENDENCYPART_SIBL
(7,8),(7,13),-1.40358 # DEPENDENCYPART_SIBL
(7,8),(7,14),-1.39717 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.560082 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.558834 # DEPENDENCYPART_SIBL
(7,13),(7,14),-1.4022 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.00663675 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.106781 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.052975 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.135488 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.174238 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0565521 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0999112 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.124113 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0109059 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0176915 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0793482 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.021925 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0266169 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.00432281 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.347711 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00898463 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0242261 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0442289 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0462863 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0751545 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0597546 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0278095 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0676603 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00199179 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.296296 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.103732 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0601219 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0440119 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0256602 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.00146263 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.00819112 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0128881 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.00455366 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.329968 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0143802 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0569907 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0783088 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0467681 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0812884 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0650434 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.047928 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0724575 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0835249 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0121535 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.077462 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.102761 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0654556 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0655905 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.00468673 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0639765 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0171094 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0786118 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.152302 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.127801 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.112885 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0799703 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.109446 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0532876 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0145277 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.00801874 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.00695533 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.011451 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.00757176 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.128431 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0397791 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0349588 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.00691089 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0374425 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.00346614 # DEPENDENCYPART_SIBL
