# _root_ Psaní je pro mne paralelní život - i když hlubší než můj život veřejný , a navíc si myslím , že být spisovatelem z povolání je nebezpečné . . .
#goldHeads=2,16,2,3,6,2,9,9,5,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
#predictedHeads=2,16,2,3,6,2,9,9,2,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
(8,11),-1.40307 # DEPENDENCYPART_ARC
(8,13),-2.37961 # DEPENDENCYPART_ARC
(8,14),-2.79521 # DEPENDENCYPART_ARC
(8,15),-1.26927 # DEPENDENCYPART_ARC
(8,16),-1.5179 # DEPENDENCYPART_ARC
(8,19),-1.77366 # DEPENDENCYPART_ARC
(8,20),-1.72562 # DEPENDENCYPART_ARC
(9,2),-1.30527 # DEPENDENCYPART_ARC
(9,6),-0.690411 # DEPENDENCYPART_ARC
(9,7),-0.0960484 # DEPENDENCYPART_ARC
(9,8),1.31171 # DEPENDENCYPART_ARC
(9,10),0.0812926 # DEPENDENCYPART_ARC
(9,11),-0.44703 # DEPENDENCYPART_ARC
(9,13),-2.13445 # DEPENDENCYPART_ARC
(9,15),-0.138927 # DEPENDENCYPART_ARC
(9,16),-0.984629 # DEPENDENCYPART_ARC
(9,17),-1.80933 # DEPENDENCYPART_ARC
(9,19),-0.711019 # DEPENDENCYPART_ARC
(9,20),-0.795068 # DEPENDENCYPART_ARC
(9,21),-2.33395 # DEPENDENCYPART_ARC
(9,22),-1.96221 # DEPENDENCYPART_ARC
(9,26),-1.95431 # DEPENDENCYPART_ARC
(9,29),-2.33631 # DEPENDENCYPART_ARC
(10,4),-2.71074 # DEPENDENCYPART_ARC
(10,8),-1.43134 # DEPENDENCYPART_ARC
(10,9),-0.771336 # DEPENDENCYPART_ARC
(10,11),0.688749 # DEPENDENCYPART_ARC
(10,13),-2.93003 # DEPENDENCYPART_ARC
(11,2),-1.75576 # DEPENDENCYPART_ARC
(11,7),-1.91367 # DEPENDENCYPART_ARC
(11,10),-1.36842 # DEPENDENCYPART_ARC
(11,13),-0.481842 # DEPENDENCYPART_ARC
(11,14),-0.875642 # DEPENDENCYPART_ARC
(11,15),-0.468268 # DEPENDENCYPART_ARC
(11,16),-0.60085 # DEPENDENCYPART_ARC
(11,17),-1.38787 # DEPENDENCYPART_ARC
(11,19),-0.545118 # DEPENDENCYPART_ARC
(11,20),-0.763454 # DEPENDENCYPART_ARC
(11,21),-1.78767 # DEPENDENCYPART_ARC
(11,22),-2.11732 # DEPENDENCYPART_ARC
(13,4),-4.6994 # DEPENDENCYPART_ARC
(13,8),-1.01924 # DEPENDENCYPART_ARC
(13,10),-1.04334 # DEPENDENCYPART_ARC
(13,11),-0.606805 # DEPENDENCYPART_ARC
(13,12),2.51927 # DEPENDENCYPART_ARC
(13,14),0.268527 # DEPENDENCYPART_ARC
(13,15),-1.20573 # DEPENDENCYPART_ARC
(13,16),-0.730562 # DEPENDENCYPART_ARC
(13,17),-1.18177 # DEPENDENCYPART_ARC
(13,19),-1.3305 # DEPENDENCYPART_ARC
(13,20),-1.10203 # DEPENDENCYPART_ARC
(13,21),-1.26547 # DEPENDENCYPART_ARC
(13,22),-1.78865 # DEPENDENCYPART_ARC
(13,23),-3.35696 # DEPENDENCYPART_ARC
(14,3),-0.277462 # DEPENDENCYPART_ARC
(14,5),-2.56856 # DEPENDENCYPART_ARC
(14,10),-2.18292 # DEPENDENCYPART_ARC
(14,11),-0.55421 # DEPENDENCYPART_ARC
(14,12),-0.89152 # DEPENDENCYPART_ARC
(14,13),-0.591288 # DEPENDENCYPART_ARC
(14,15),-0.847001 # DEPENDENCYPART_ARC
(14,16),-1.26522 # DEPENDENCYPART_ARC
(14,17),-1.53286 # DEPENDENCYPART_ARC
(14,19),-2.6297 # DEPENDENCYPART_ARC
(14,21),-1.65284 # DEPENDENCYPART_ARC
(14,24),-2.05927 # DEPENDENCYPART_ARC
(15,2),-1.14972 # DEPENDENCYPART_ARC
(15,12),-1.49076 # DEPENDENCYPART_ARC
(15,13),-1.54689 # DEPENDENCYPART_ARC
(15,14),-1.14987 # DEPENDENCYPART_ARC
(15,19),-1.8888 # DEPENDENCYPART_ARC
(16,1),-1.43328 # DEPENDENCYPART_ARC
(16,2),0.642189 # DEPENDENCYPART_ARC
(16,3),-1.09236 # DEPENDENCYPART_ARC
(16,4),-1.46959 # DEPENDENCYPART_ARC
(16,5),-2.37759 # DEPENDENCYPART_ARC
(16,6),-1.57738 # DEPENDENCYPART_ARC
(16,7),-0.798245 # DEPENDENCYPART_ARC
(16,8),-0.731163 # DEPENDENCYPART_ARC
(16,9),-0.614615 # DEPENDENCYPART_ARC
(16,10),-1.49096 # DEPENDENCYPART_ARC
(16,11),-0.626756 # DEPENDENCYPART_ARC
(16,12),-0.618955 # DEPENDENCYPART_ARC
(16,13),-0.397092 # DEPENDENCYPART_ARC
(16,14),-0.183594 # DEPENDENCYPART_ARC
(16,15),1.3106 # DEPENDENCYPART_ARC
(16,17),-0.159857 # DEPENDENCYPART_ARC
(16,18),-0.96116 # DEPENDENCYPART_ARC
(16,19),1.12456 # DEPENDENCYPART_ARC
(16,20),-0.356644 # DEPENDENCYPART_ARC
(16,21),-0.93261 # DEPENDENCYPART_ARC
(16,22),-1.33261 # DEPENDENCYPART_ARC
(16,23),-2.07283 # DEPENDENCYPART_ARC
(16,24),-1.36233 # DEPENDENCYPART_ARC
(16,26),-1.71732 # DEPENDENCYPART_ARC
(16,27),-2.1557 # DEPENDENCYPART_ARC
(16,28),-1.16667 # DEPENDENCYPART_ARC
(16,29),-1.20221 # DEPENDENCYPART_ARC
(16,30),-1.44103 # DEPENDENCYPART_ARC
(17,21),-1.65085 # DEPENDENCYPART_ARC
(19,1),-1.98812 # DEPENDENCYPART_ARC
(19,2),-2.7921 # DEPENDENCYPART_ARC
(19,3),-1.85441 # DEPENDENCYPART_ARC
(19,7),-1.24061 # DEPENDENCYPART_ARC
(19,9),-1.12254 # DEPENDENCYPART_ARC
(19,10),-1.61381 # DEPENDENCYPART_ARC
(19,11),-1.19773 # DEPENDENCYPART_ARC
(19,13),-1.15144 # DEPENDENCYPART_ARC
(19,14),-2.04709 # DEPENDENCYPART_ARC
(19,15),-0.716254 # DEPENDENCYPART_ARC
(19,16),-0.798994 # DEPENDENCYPART_ARC
(19,17),1.00214 # DEPENDENCYPART_ARC
(19,18),1.57627 # DEPENDENCYPART_ARC
(19,20),-0.00864901 # DEPENDENCYPART_ARC
(19,21),0.59812 # DEPENDENCYPART_ARC
(19,22),0.660889 # DEPENDENCYPART_ARC
(19,23),-1.63706 # DEPENDENCYPART_ARC
(19,24),-1.44685 # DEPENDENCYPART_ARC
(19,26),-3.07535 # DEPENDENCYPART_ARC
(19,27),-2.11205 # DEPENDENCYPART_ARC
(19,28),-0.965974 # DEPENDENCYPART_ARC
(19,29),-0.893715 # DEPENDENCYPART_ARC
(20,2),-1.38289 # DEPENDENCYPART_ARC
(20,18),-1.22628 # DEPENDENCYPART_ARC
(20,22),-1.56562 # DEPENDENCYPART_ARC
(21,15),-0.791959 # DEPENDENCYPART_ARC
(21,17),-1.31215 # DEPENDENCYPART_ARC
(21,19),-0.562991 # DEPENDENCYPART_ARC
(21,20),1.84942 # DEPENDENCYPART_ARC
(21,22),1.73687 # DEPENDENCYPART_ARC
(21,23),-1.35934 # DEPENDENCYPART_ARC
(21,24),-1.41813 # DEPENDENCYPART_ARC
(21,26),0.613476 # DEPENDENCYPART_ARC
(21,28),-0.844413 # DEPENDENCYPART_ARC
(21,29),-0.766873 # DEPENDENCYPART_ARC
(21,30),-0.960494 # DEPENDENCYPART_ARC
(22,17),-1.95032 # DEPENDENCYPART_ARC
(22,18),-0.952401 # DEPENDENCYPART_ARC
(22,23),1.28511 # DEPENDENCYPART_ARC
(22,24),-0.0361731 # DEPENDENCYPART_ARC
(22,25),-1.96464 # DEPENDENCYPART_ARC
(22,26),-1.54426 # DEPENDENCYPART_ARC
(22,27),-1.03658 # DEPENDENCYPART_ARC
(22,28),-1.41806 # DEPENDENCYPART_ARC
(22,29),-1.5052 # DEPENDENCYPART_ARC
(23,18),-4.72016 # DEPENDENCYPART_ARC
(23,22),-1.95411 # DEPENDENCYPART_ARC
(23,24),0.537008 # DEPENDENCYPART_ARC
(23,25),0.0224362 # DEPENDENCYPART_ARC
(23,26),-1.74726 # DEPENDENCYPART_ARC
(23,27),-2.63137 # DEPENDENCYPART_ARC
(23,28),-1.1039 # DEPENDENCYPART_ARC
(23,29),-1.45205 # DEPENDENCYPART_ARC
(24,23),-2.26641 # DEPENDENCYPART_ARC
(24,25),2.75524 # DEPENDENCYPART_ARC
(24,27),-2.82747 # DEPENDENCYPART_ARC
(25,23),-2.46771 # DEPENDENCYPART_ARC
(25,24),-0.472933 # DEPENDENCYPART_ARC
(25,26),-1.1939 # DEPENDENCYPART_ARC
(25,27),-2.094 # DEPENDENCYPART_ARC
(25,28),-1.05607 # DEPENDENCYPART_ARC
(26,1),-1.2014 # DEPENDENCYPART_ARC
(26,9),-0.498187 # DEPENDENCYPART_ARC
(26,11),-1.26456 # DEPENDENCYPART_ARC
(26,13),-0.620544 # DEPENDENCYPART_ARC
(26,14),-1.89366 # DEPENDENCYPART_ARC
(26,17),-0.770668 # DEPENDENCYPART_ARC
(26,18),-1.01989 # DEPENDENCYPART_ARC
(26,20),-1.66166 # DEPENDENCYPART_ARC
(26,21),-1.52628 # DEPENDENCYPART_ARC
(26,22),1.66001 # DEPENDENCYPART_ARC
(26,23),0.12712 # DEPENDENCYPART_ARC
(26,24),-0.814669 # DEPENDENCYPART_ARC
(26,25),-1.62076 # DEPENDENCYPART_ARC
(26,27),2.38501 # DEPENDENCYPART_ARC
(26,28),-0.854651 # DEPENDENCYPART_ARC
(26,29),-0.700883 # DEPENDENCYPART_ARC
(26,30),-1.12181 # DEPENDENCYPART_ARC
(27,23),-1.14393 # DEPENDENCYPART_ARC
(27,24),-0.940882 # DEPENDENCYPART_ARC
(27,25),-2.57848 # DEPENDENCYPART_ARC
(27,28),-0.172732 # DEPENDENCYPART_ARC
(27,29),-1.12026 # DEPENDENCYPART_ARC
(27,30),-1.41666 # DEPENDENCYPART_ARC
(28,26),-2.2111 # DEPENDENCYPART_ARC
(28,27),-1.57238 # DEPENDENCYPART_ARC
(28,29),-1.23998 # DEPENDENCYPART_ARC
(29,21),-2.24613 # DEPENDENCYPART_ARC
(29,23),-2.70409 # DEPENDENCYPART_ARC
(29,24),-2.3701 # DEPENDENCYPART_ARC
(29,26),-1.96213 # DEPENDENCYPART_ARC
(29,27),-2.2736 # DEPENDENCYPART_ARC
(29,28),-1.61132 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.222017 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0386194 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.138016 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0566104 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.112306 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0261028 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.00695355 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.178714 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.177306 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.00695355 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.190521 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.222017 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.396808 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.396808 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.396808 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.108916 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.164068 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.784474 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.683106 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.800175 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.327514 # DEPENDENCYPART_SIBL
(0,2),(0,16),-1.05835 # DEPENDENCYPART_SIBL
(0,2),(0,19),-1.56118 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.327514 # DEPENDENCYPART_SIBL
(0,2),(0,22),-1.55625 # DEPENDENCYPART_SIBL
(0,2),(0,26),-1.65888 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0527541 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.0527541 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.0527541 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.202696 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.025146 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.14349 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.00536154 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0555076 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.144086 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.135694 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0555076 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.148909 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.180405 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.308604 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.308604 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.308604 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0279246 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.00845162 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0955934 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.227369 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.103927 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.456025 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.227369 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.475316 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.525507 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.277536 # DEPENDENCYPART_SIBL
(0,7),(0,29),-0.277536 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.277536 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.494782 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.589567 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.72795 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.820605 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.987234 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.72795 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.98622 # DEPENDENCYPART_SIBL
(0,8),(0,26),-1.03539 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.648967 # DEPENDENCYPART_SIBL
(0,8),(0,29),-0.648967 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.648967 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.319339 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.216065 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.552257 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.716317 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.216065 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.715212 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.764419 # DEPENDENCYPART_SIBL
(0,9),(0,28),0.0600488 # DEPENDENCYPART_SIBL
(0,9),(0,29),0.0600488 # DEPENDENCYPART_SIBL
(0,9),(0,30),0.0600488 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.62994 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.7833 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.927723 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.62994 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.926618 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.977494 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.434631 # DEPENDENCYPART_SIBL
(0,11),(0,29),-0.434631 # DEPENDENCYPART_SIBL
(0,11),(0,30),-0.434631 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.389268 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.129028 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.414654 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.4829 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,29),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.894009 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.238729 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.892955 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.943713 # DEPENDENCYPART_SIBL
(0,16),(0,28),0.0494213 # DEPENDENCYPART_SIBL
(0,16),(0,29),0.0494213 # DEPENDENCYPART_SIBL
(0,16),(0,30),0.0494213 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.352238 # DEPENDENCYPART_SIBL
(0,19),(0,22),-1.48106 # DEPENDENCYPART_SIBL
(0,19),(0,26),-1.57183 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.0933963 # DEPENDENCYPART_SIBL
(0,19),(0,29),-0.0933963 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.0933963 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.414654 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.4829 # DEPENDENCYPART_SIBL
(0,20),(0,28),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,22),(0,26),-1.58741 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.0646886 # DEPENDENCYPART_SIBL
(0,22),(0,29),-0.0646886 # DEPENDENCYPART_SIBL
(0,22),(0,30),-0.0646886 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.0527541 # DEPENDENCYPART_SIBL
(0,26),(0,29),-0.0527541 # DEPENDENCYPART_SIBL
(0,26),(0,30),-0.0527541 # DEPENDENCYPART_SIBL
(0,28),(0,29),-0.147083 # DEPENDENCYPART_SIBL
(0,28),(0,30),-0.147083 # DEPENDENCYPART_SIBL
(0,29),(0,30),-0.147083 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00571022 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.032532 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0144562 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00653988 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0142257 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0303177 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0437106 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0413657 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0166661 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0251657 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.019373 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.109598 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.069237 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0211344 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0095046 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0263581 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0562875 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0782563 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0211344 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.07912 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0037569 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00817529 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0150863 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0037569 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0175344 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.0813379 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.127421 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.232252 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.161486 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0262229 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.103736 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.2061 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.238993 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.161486 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.239005 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0138376 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0657094 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.180796 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0138376 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0117926 # DEPENDENCYPART_SIBL
(2,3),(2,27),0.236247 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.169781 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0182159 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.131735 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.134965 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.068513 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.1716 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0182159 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.171598 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0333661 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.10777 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0439962 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0333661 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0066643 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.174356 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0666596 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0465133 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.152538 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.110021 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.428837 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0666596 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.428754 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0259631 # DEPENDENCYPART_SIBL
