# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(20,22),-3.08439 # DEPENDENCYPART_ARC
(20,23),-0.929332 # DEPENDENCYPART_ARC
(20,24),-1.25577 # DEPENDENCYPART_ARC
(20,25),-1.6597 # DEPENDENCYPART_ARC
(21,19),-3.23371 # DEPENDENCYPART_ARC
(21,20),-0.098641 # DEPENDENCYPART_ARC
(21,22),1.71766 # DEPENDENCYPART_ARC
(21,23),-0.737567 # DEPENDENCYPART_ARC
(21,24),-1.00888 # DEPENDENCYPART_ARC
(21,25),-1.52093 # DEPENDENCYPART_ARC
(22,16),-5.25134 # DEPENDENCYPART_ARC
(22,19),-3.94123 # DEPENDENCYPART_ARC
(22,20),-1.46555 # DEPENDENCYPART_ARC
(22,21),-2.3101 # DEPENDENCYPART_ARC
(22,23),-0.302897 # DEPENDENCYPART_ARC
(22,24),-0.995266 # DEPENDENCYPART_ARC
(22,25),-1.58052 # DEPENDENCYPART_ARC
(23,12),-2.97703 # DEPENDENCYPART_ARC
(23,14),-2.94104 # DEPENDENCYPART_ARC
(23,19),-2.80038 # DEPENDENCYPART_ARC
(23,21),-2.74071 # DEPENDENCYPART_ARC
(23,22),-2.27385 # DEPENDENCYPART_ARC
(24,20),-2.28266 # DEPENDENCYPART_ARC
(24,21),-2.38952 # DEPENDENCYPART_ARC
(24,22),-2.57808 # DEPENDENCYPART_ARC
(24,25),-1.63093 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.176308 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0615411 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0615446 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.206286 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0615372 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.152102 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.967419 # DEPENDENCYPART_SIBL
(0,1),(0,11),-1.47259 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.233181 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.321131 # DEPENDENCYPART_SIBL
(0,1),(0,15),-1.47259 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.321131 # DEPENDENCYPART_SIBL
(0,1),(0,18),-1.47259 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0416493 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0416493 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0416493 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.208019 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.207884 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.132197 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.20825 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.131846 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.221198 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.476952 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0622563 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.2298 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.476952 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.2298 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.476952 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.450326 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.450326 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.450326 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0365321 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.149171 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0367248 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.164362 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.182065 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.183781 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0991244 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.02138 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.183781 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.02138 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.183781 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.41791 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.41791 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.41791 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.152717 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0326336 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.173009 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.182589 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.183763 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0991286 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0203409 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.183763 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0203409 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.183763 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.416889 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.416889 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.31026 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.251732 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.145119 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.368525 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.160311 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.00924634 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.368525 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.00924634 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.368525 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.226482 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.226482 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.226482 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.164466 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.182061 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.183763 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0991286 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0203409 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.183763 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0203409 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.183763 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.416889 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.416889 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.416889 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.207652 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.372218 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.117307 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.093583 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.372218 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.093583 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.372218 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.396679 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.396679 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.396679 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0523526 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.0494213 # DEPENDENCYPART_SIBL
(0,10),(0,24),0.0494213 # DEPENDENCYPART_SIBL
(0,10),(0,25),0.0494213 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.223775 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,11),(0,15),-1.46319 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.296463 # DEPENDENCYPART_SIBL
(0,11),(0,18),-1.46319 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.00769122 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.00769122 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0801148 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.409088 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0801148 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.409088 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0306995 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0306995 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0306995 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.296463 # DEPENDENCYPART_SIBL
(0,15),(0,18),-1.46319 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.00769122 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.00769122 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.00769122 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.00769122 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.147083 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.147083 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.147083 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0623089 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0627649 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0386693 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0620478 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.040275 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0630238 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.231337 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.116361 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0232652 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.116361 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0620478 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0232652 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.116361 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.00810597 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.126642 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00716463 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.126274 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0295436 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.124555 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.260999 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0191233 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00396707 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0191233 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.126274 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.00396707 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0191233 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0461319 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0106891 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.130379 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0381686 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.128661 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.261534 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.019117 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.00293901 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.019117 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.130379 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00293901 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.019117 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0496748 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.07319 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.101431 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0741737 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.216051 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.137175 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0580843 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.137175 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.07319 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0580843 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.137175 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.11196 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0296539 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.12406 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.260992 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0191031 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00292517 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0191031 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.125779 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.00292517 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0191031 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.0462336 # DEPENDENCYPART_SIBL
(1,8),(1,9),-7.19544e-05 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.147537 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0167849 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.00330386 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0167849 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.000939957 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.00330386 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0167849 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.0543708 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.251341 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.00681749 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0188165 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00681749 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.112441 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0188165 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.00681749 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0825394 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0371262 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0151785 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0371262 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.027201 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0151785 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0371262 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.0158324 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0255661 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.236431 # DEPENDENCYPART_SIBL
