# _root_ avšak hlavním důvodem , proč se nekonají oba špičkové jazzové festivaly , je nedostatek peněz .
#goldHeads=0,3,13,7,7,7,3,11,11,11,7,7,1,13,14,0,
#predictedHeads=3,3,13,7,7,7,3,11,11,11,7,7,0,13,14,0,
(11,3),-4.00807 # DEPENDENCYPART_ARC
(11,4),-0.713936 # DEPENDENCYPART_ARC
(11,5),-1.08752 # DEPENDENCYPART_ARC
(11,6),-3.62795 # DEPENDENCYPART_ARC
(11,7),-2.05416 # DEPENDENCYPART_ARC
(11,8),2.07416 # DEPENDENCYPART_ARC
(11,9),1.91671 # DEPENDENCYPART_ARC
(11,10),2.60427 # DEPENDENCYPART_ARC
(11,12),-1.39071 # DEPENDENCYPART_ARC
(11,13),-2.37514 # DEPENDENCYPART_ARC
(11,14),-2.89189 # DEPENDENCYPART_ARC
(11,15),-1.63966 # DEPENDENCYPART_ARC
(12,1),-1.12821 # DEPENDENCYPART_ARC
(12,2),-2.50616 # DEPENDENCYPART_ARC
(12,3),-2.35376 # DEPENDENCYPART_ARC
(12,4),-1.10465 # DEPENDENCYPART_ARC
(12,7),-0.76307 # DEPENDENCYPART_ARC
(12,8),-1.62228 # DEPENDENCYPART_ARC
(12,9),-1.64083 # DEPENDENCYPART_ARC
(12,10),-1.52776 # DEPENDENCYPART_ARC
(12,11),-1.49466 # DEPENDENCYPART_ARC
(12,13),-0.884965 # DEPENDENCYPART_ARC
(12,14),-1.60179 # DEPENDENCYPART_ARC
(12,15),-1.73355 # DEPENDENCYPART_ARC
(12,16),-1.22127 # DEPENDENCYPART_ARC
(13,1),-0.583891 # DEPENDENCYPART_ARC
(13,2),-2.90466 # DEPENDENCYPART_ARC
(13,3),-1.75584 # DEPENDENCYPART_ARC
(13,4),-1.03064 # DEPENDENCYPART_ARC
(13,5),-0.517232 # DEPENDENCYPART_ARC
(13,6),-1.06552 # DEPENDENCYPART_ARC
(13,7),-2.4745 # DEPENDENCYPART_ARC
(13,8),-1.2279 # DEPENDENCYPART_ARC
(13,9),-1.77593 # DEPENDENCYPART_ARC
(13,10),-1.62122 # DEPENDENCYPART_ARC
(13,11),-0.933778 # DEPENDENCYPART_ARC
(13,12),-0.756269 # DEPENDENCYPART_ARC
(13,14),1.65699 # DEPENDENCYPART_ARC
(13,15),-0.856208 # DEPENDENCYPART_ARC
(13,16),-0.795712 # DEPENDENCYPART_ARC
(14,1),-2.15426 # DEPENDENCYPART_ARC
(14,15),1.83418 # DEPENDENCYPART_ARC
(14,16),-0.63597 # DEPENDENCYPART_ARC
(15,8),-1.49072 # DEPENDENCYPART_ARC
(15,10),-3.09143 # DEPENDENCYPART_ARC
(15,11),-3.76948 # DEPENDENCYPART_ARC
(15,14),-1.70865 # DEPENDENCYPART_ARC
(15,16),-0.861463 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0549556 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.134236 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.134858 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0550511 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.744627 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.013178 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.134858 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.78792 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.214407 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0742185 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0782891 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.159952 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.360572 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0192854 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0782891 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.42 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.303497 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0241295 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.138529 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.185527 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.127841 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0241295 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.227886 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.420597 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0793639 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.054595 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.4829 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.259327 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.188828 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.113121 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.334709 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0565924 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0744693 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.296463 # DEPENDENCYPART_SIBL
(0,7),(0,13),-1.54471 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.00769122 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0355503 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.422094 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.251496 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.4829 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0527541 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.134136 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.040873 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0394098 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.365109 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.250231 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.250228 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.134134 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.040873 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.412154 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.134821 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.13964 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0568596 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0388277 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.347328 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0158438 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0158371 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0636543 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0568596 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.396479 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0630747 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.206383 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0344534 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.325198 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0489 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.048898 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0583169 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.33863 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.356982 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0594783 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.155546 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.249443 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0367392 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0367366 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0150963 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0840974 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.2896 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00826332 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.114674 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.10298 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.102977 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0075154 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0334082 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.844036 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.00821053 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0377989 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.250227 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.134122 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0402685 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.412148 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.134809 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.139038 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.134131 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0402713 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.412151 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.134817 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.139041 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0543145 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.392663 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0622174 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.204179 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.356982 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0594783 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.155546 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0169637 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.0167667 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.2074 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00453461 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0124142 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.100818 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.20683 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0289517 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.041811 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0145682 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0785411 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0174273 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0174088 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0419167 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0289517 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00587346 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0384693 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0307137 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0137946 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0165326 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00527242 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0346059 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0912345 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0912196 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0113334 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0137946 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0205858 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00953074 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0185208 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0675362 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0142395 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0256848 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0190359 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0190353 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00764368 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00540879 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0329753 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0101655 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0100401 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00340425 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0218978 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0662637 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0662637 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0473732 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0581588 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0331737 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.052414 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0416441 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0218384 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0138272 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0138272 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00214267 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0226856 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.280259 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.00527299 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.000685683 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0374365 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0374365 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0146945 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0743705 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0131836 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0146852 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0132475 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.108939 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0281076 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0154962 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0153264 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0281699 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0295546 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0281043 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0154902 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0153204 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0281667 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0295514 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.040522 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00470967 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0627178 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.06581 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0329753 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0101655 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0100401 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.000676127 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00390238 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0621141 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0427002 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0126005 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00832736 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0235313 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00873411 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00146979 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0014734 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0477621 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.023162 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0402891 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0340185 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0455784 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0632337 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0137942 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0217624 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0129353 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0217908 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.567979 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.567955 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00429014 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0340885 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0415702 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0147033 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.000277778 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00280979 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0109835 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0128722 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0856622 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.000813177 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.000817567 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.183992 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0100814 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0185514 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.145166 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.175628 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0276465 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0489094 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.132728 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0191097 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0191067 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0947965 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00709973 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0759069 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0998462 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0901963 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0255442 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0747302 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0234463 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0234493 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0218049 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0471175 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.379417 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.018662 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0220472 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.132306 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0896591 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0896561 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0679112 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.091247 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.043993 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0679101 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0676773 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00276769 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.117028 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0373668 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0154095 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0651566 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.037421 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0376007 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.106077 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0373695 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0154095 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0651566 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0374237 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0376035 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.106077 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0352269 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0321632 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0187058 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0198012 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.121919 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0526179 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0615763 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.059772 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00696691 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00447556 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.00785412 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.18415 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0293097 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.15121 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.123554 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.030031 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0253003 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0571856 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.000658555 # DEPENDENCYPART_SIBL
