# _root_ Cigarety v nákupní hodnotě asi 6 miliónů korun budou pravděpodobně dodatečně procleny , čímž se jejich prodejní cena zvýší asi o jeden milión korun , a prodány v Praze a Bratislavě .
#goldHeads=26,1,4,2,6,4,6,7,26,26,12,26,19,19,19,18,18,19,12,23,19,23,21,23,19,0,26,27,30,28,30,0,
#predictedHeads=12,1,4,2,6,4,6,7,12,12,12,13,26,19,19,18,18,19,26,23,19,23,21,23,26,0,26,27,30,28,30,0,
(7,3),-4.57855 # DEPENDENCYPART_ARC
(7,4),-4.80013 # DEPENDENCYPART_ARC
(7,5),-0.399497 # DEPENDENCYPART_ARC
(7,6),-0.596502 # DEPENDENCYPART_ARC
(7,8),1.81471 # DEPENDENCYPART_ARC
(7,9),-1.66751 # DEPENDENCYPART_ARC
(7,10),-1.07477 # DEPENDENCYPART_ARC
(7,11),-1.10523 # DEPENDENCYPART_ARC
(7,12),-1.54191 # DEPENDENCYPART_ARC
(7,26),-1.35214 # DEPENDENCYPART_ARC
(7,30),-1.18259 # DEPENDENCYPART_ARC
(8,3),-3.57982 # DEPENDENCYPART_ARC
(8,4),-4.3319 # DEPENDENCYPART_ARC
(8,5),-0.990598 # DEPENDENCYPART_ARC
(8,6),-1.48899 # DEPENDENCYPART_ARC
(8,7),-1.29606 # DEPENDENCYPART_ARC
(8,9),-1.82099 # DEPENDENCYPART_ARC
(9,1),-0.99105 # DEPENDENCYPART_ARC
(9,2),-2.06127 # DEPENDENCYPART_ARC
(9,4),-3.07668 # DEPENDENCYPART_ARC
(9,5),-1.33359 # DEPENDENCYPART_ARC
(9,6),-1.41305 # DEPENDENCYPART_ARC
(9,7),-2.34411 # DEPENDENCYPART_ARC
(9,8),-2.67525 # DEPENDENCYPART_ARC
(9,10),0.00919426 # DEPENDENCYPART_ARC
(9,11),-0.313894 # DEPENDENCYPART_ARC
(9,12),-1.05836 # DEPENDENCYPART_ARC
(9,13),-1.15527 # DEPENDENCYPART_ARC
(9,17),-2.50072 # DEPENDENCYPART_ARC
(9,18),-3.10475 # DEPENDENCYPART_ARC
(9,19),-3.5474 # DEPENDENCYPART_ARC
(9,20),-1.98902 # DEPENDENCYPART_ARC
(9,23),-2.6663 # DEPENDENCYPART_ARC
(9,24),-3.92462 # DEPENDENCYPART_ARC
(9,26),-1.66305 # DEPENDENCYPART_ARC
(10,7),-1.44213 # DEPENDENCYPART_ARC
(10,8),-1.33623 # DEPENDENCYPART_ARC
(10,9),-1.38258 # DEPENDENCYPART_ARC
(10,11),-1.00789 # DEPENDENCYPART_ARC
(11,9),-1.64055 # DEPENDENCYPART_ARC
(11,10),0.834704 # DEPENDENCYPART_ARC
(12,1),0.691273 # DEPENDENCYPART_ARC
(12,2),-0.289168 # DEPENDENCYPART_ARC
(12,3),-4.91358 # DEPENDENCYPART_ARC
(12,4),-1.30681 # DEPENDENCYPART_ARC
(12,5),-0.516166 # DEPENDENCYPART_ARC
(12,6),-0.572744 # DEPENDENCYPART_ARC
(12,7),-1.15347 # DEPENDENCYPART_ARC
(12,8),-1.38212 # DEPENDENCYPART_ARC
(12,9),2.68053 # DEPENDENCYPART_ARC
(12,10),1.18628 # DEPENDENCYPART_ARC
(12,11),2.30774 # DEPENDENCYPART_ARC
(12,13),-0.560091 # DEPENDENCYPART_ARC
(12,18),-2.99228 # DEPENDENCYPART_ARC
(12,19),-2.50282 # DEPENDENCYPART_ARC
(12,21),-1.44066 # DEPENDENCYPART_ARC
(12,23),-2.97433 # DEPENDENCYPART_ARC
(12,24),-3.40721 # DEPENDENCYPART_ARC
(12,26),-1.68592 # DEPENDENCYPART_ARC
(12,30),-1.77692 # DEPENDENCYPART_ARC
(13,2),-0.91442 # DEPENDENCYPART_ARC
(13,5),-0.816468 # DEPENDENCYPART_ARC
(13,6),-1.29118 # DEPENDENCYPART_ARC
(13,9),-0.550736 # DEPENDENCYPART_ARC
(13,10),-0.595321 # DEPENDENCYPART_ARC
(13,11),-0.670964 # DEPENDENCYPART_ARC
(13,12),-0.189142 # DEPENDENCYPART_ARC
(13,17),-1.37227 # DEPENDENCYPART_ARC
(13,18),-2.09271 # DEPENDENCYPART_ARC
(13,19),-1.41279 # DEPENDENCYPART_ARC
(13,25),-0.697882 # DEPENDENCYPART_ARC
(13,27),-2.69212 # DEPENDENCYPART_ARC
(17,15),-1.63466 # DEPENDENCYPART_ARC
(17,16),-1.17129 # DEPENDENCYPART_ARC
(18,10),-2.12872 # DEPENDENCYPART_ARC
(18,11),-2.12237 # DEPENDENCYPART_ARC
(18,12),-2.3048 # DEPENDENCYPART_ARC
(18,13),-1.49522 # DEPENDENCYPART_ARC
(18,15),-3.38359 # DEPENDENCYPART_ARC
(18,16),2.02686 # DEPENDENCYPART_ARC
(18,17),2.55933 # DEPENDENCYPART_ARC
(18,19),-1.83918 # DEPENDENCYPART_ARC
(18,20),-1.75009 # DEPENDENCYPART_ARC
(18,21),-1.34586 # DEPENDENCYPART_ARC
(18,22),-3.56852 # DEPENDENCYPART_ARC
(19,1),-0.0545754 # DEPENDENCYPART_ARC
(19,2),-0.930529 # DEPENDENCYPART_ARC
(19,4),-1.75128 # DEPENDENCYPART_ARC
(19,5),-0.802204 # DEPENDENCYPART_ARC
(19,6),-0.963112 # DEPENDENCYPART_ARC
(19,7),-3.02773 # DEPENDENCYPART_ARC
(19,8),-3.21879 # DEPENDENCYPART_ARC
(19,9),-2.36601 # DEPENDENCYPART_ARC
(19,10),-0.883734 # DEPENDENCYPART_ARC
(19,11),-0.69783 # DEPENDENCYPART_ARC
(19,12),-1.47036 # DEPENDENCYPART_ARC
(19,13),0.470839 # DEPENDENCYPART_ARC
(19,14),-0.644665 # DEPENDENCYPART_ARC
(19,15),0.751983 # DEPENDENCYPART_ARC
(19,17),-0.300275 # DEPENDENCYPART_ARC
(19,18),1.2584 # DEPENDENCYPART_ARC
(19,20),-0.170516 # DEPENDENCYPART_ARC
(19,21),0.926298 # DEPENDENCYPART_ARC
(19,22),-1.33316 # DEPENDENCYPART_ARC
(19,23),0.609183 # DEPENDENCYPART_ARC
(19,24),-1.24369 # DEPENDENCYPART_ARC
(19,25),-0.571368 # DEPENDENCYPART_ARC
(19,26),-0.38793 # DEPENDENCYPART_ARC
(19,27),-0.663594 # DEPENDENCYPART_ARC
(19,28),-0.718106 # DEPENDENCYPART_ARC
(19,29),-2.9018 # DEPENDENCYPART_ARC
(19,30),-0.703904 # DEPENDENCYPART_ARC
(19,31),-2.85312 # DEPENDENCYPART_ARC
(20,18),-1.76192 # DEPENDENCYPART_ARC
(20,19),-0.814114 # DEPENDENCYPART_ARC
(20,21),-1.32665 # DEPENDENCYPART_ARC
(20,22),-1.69206 # DEPENDENCYPART_ARC
(20,25),-1.46922 # DEPENDENCYPART_ARC
(20,27),-1.8959 # DEPENDENCYPART_ARC
(21,18),-3.22128 # DEPENDENCYPART_ARC
(21,20),-0.956591 # DEPENDENCYPART_ARC
(21,22),1.21288 # DEPENDENCYPART_ARC
(21,23),1.78466 # DEPENDENCYPART_ARC
(21,24),-3.37396 # DEPENDENCYPART_ARC
(21,25),-0.763218 # DEPENDENCYPART_ARC
(21,26),-0.501694 # DEPENDENCYPART_ARC
(21,30),-0.376337 # DEPENDENCYPART_ARC
(22,20),0.227928 # DEPENDENCYPART_ARC
(22,21),-1.18588 # DEPENDENCYPART_ARC
(22,23),-1.34185 # DEPENDENCYPART_ARC
(22,24),-1.01034 # DEPENDENCYPART_ARC
(22,28),-0.857426 # DEPENDENCYPART_ARC
(23,15),-4.15339 # DEPENDENCYPART_ARC
(23,16),0.0731037 # DEPENDENCYPART_ARC
(23,17),-3.88871 # DEPENDENCYPART_ARC
(23,18),-3.52637 # DEPENDENCYPART_ARC
(23,20),5.24421e-05 # DEPENDENCYPART_ARC
(23,21),-0.899069 # DEPENDENCYPART_ARC
(23,22),2.72192 # DEPENDENCYPART_ARC
(23,24),1.82612 # DEPENDENCYPART_ARC
(23,25),-1.16273 # DEPENDENCYPART_ARC
(23,26),-0.753945 # DEPENDENCYPART_ARC
(23,27),-1.03068 # DEPENDENCYPART_ARC
(23,28),-1.55476 # DEPENDENCYPART_ARC
(23,30),-0.699561 # DEPENDENCYPART_ARC
(23,31),-2.25391 # DEPENDENCYPART_ARC
(24,16),-1.18269 # DEPENDENCYPART_ARC
(24,20),-1.06136 # DEPENDENCYPART_ARC
(24,22),-2.12244 # DEPENDENCYPART_ARC
(24,23),-2.22089 # DEPENDENCYPART_ARC
(24,25),-1.4796 # DEPENDENCYPART_ARC
(24,26),-1.37588 # DEPENDENCYPART_ARC
(24,27),-1.21727 # DEPENDENCYPART_ARC
(24,28),-2.36829 # DEPENDENCYPART_ARC
(24,30),-1.87144 # DEPENDENCYPART_ARC
(25,12),-1.89506 # DEPENDENCYPART_ARC
(25,13),-1.48129 # DEPENDENCYPART_ARC
(25,19),-1.1676 # DEPENDENCYPART_ARC
(25,21),-1.55233 # DEPENDENCYPART_ARC
(25,22),-1.60622 # DEPENDENCYPART_ARC
(25,23),-1.77391 # DEPENDENCYPART_ARC
(25,24),-1.56788 # DEPENDENCYPART_ARC
(25,27),-1.97372 # DEPENDENCYPART_ARC
(25,28),-2.09789 # DEPENDENCYPART_ARC
(26,1),-1.61063 # DEPENDENCYPART_ARC
(26,2),-1.45117 # DEPENDENCYPART_ARC
(26,5),-1.30423 # DEPENDENCYPART_ARC
(26,6),-1.80806 # DEPENDENCYPART_ARC
(26,8),-1.73515 # DEPENDENCYPART_ARC
(26,9),-0.618638 # DEPENDENCYPART_ARC
(26,10),-1.35752 # DEPENDENCYPART_ARC
(26,11),-1.24156 # DEPENDENCYPART_ARC
(26,12),-0.196253 # DEPENDENCYPART_ARC
(26,13),0.25846 # DEPENDENCYPART_ARC
(26,15),-1.34541 # DEPENDENCYPART_ARC
(26,17),-1.91281 # DEPENDENCYPART_ARC
(26,18),-0.33361 # DEPENDENCYPART_ARC
(26,19),1.18464 # DEPENDENCYPART_ARC
(26,20),-0.615843 # DEPENDENCYPART_ARC
(26,21),-0.460891 # DEPENDENCYPART_ARC
(26,22),-0.93844 # DEPENDENCYPART_ARC
(26,23),-0.424473 # DEPENDENCYPART_ARC
(26,24),-0.682551 # DEPENDENCYPART_ARC
(26,25),0.940907 # DEPENDENCYPART_ARC
(26,27),1.69307 # DEPENDENCYPART_ARC
(26,28),-0.475782 # DEPENDENCYPART_ARC
(26,29),-1.15916 # DEPENDENCYPART_ARC
(26,30),-0.533793 # DEPENDENCYPART_ARC
(26,31),-1.50026 # DEPENDENCYPART_ARC
(26,32),-0.789532 # DEPENDENCYPART_ARC
(27,1),-1.26418 # DEPENDENCYPART_ARC
(27,13),-1.42091 # DEPENDENCYPART_ARC
(27,18),-2.24773 # DEPENDENCYPART_ARC
(27,19),-0.978642 # DEPENDENCYPART_ARC
(27,20),-1.55287 # DEPENDENCYPART_ARC
(27,21),-1.12566 # DEPENDENCYPART_ARC
(27,22),-1.85578 # DEPENDENCYPART_ARC
(27,23),-1.80797 # DEPENDENCYPART_ARC
(27,24),-3.10371 # DEPENDENCYPART_ARC
(27,25),-0.919002 # DEPENDENCYPART_ARC
(27,26),-0.751887 # DEPENDENCYPART_ARC
(27,28),0.854466 # DEPENDENCYPART_ARC
(27,29),-1.76829 # DEPENDENCYPART_ARC
(27,30),-0.427356 # DEPENDENCYPART_ARC
(27,31),-1.85884 # DEPENDENCYPART_ARC
(28,29),2.89462 # DEPENDENCYPART_ARC
(28,30),-0.506464 # DEPENDENCYPART_ARC
(28,31),-0.802394 # DEPENDENCYPART_ARC
(29,27),-2.40863 # DEPENDENCYPART_ARC
(29,28),-1.43116 # DEPENDENCYPART_ARC
(29,31),-2.35074 # DEPENDENCYPART_ARC
(30,1),-2.35096 # DEPENDENCYPART_ARC
(30,10),-1.67378 # DEPENDENCYPART_ARC
(30,11),-1.61293 # DEPENDENCYPART_ARC
(30,12),-1.88663 # DEPENDENCYPART_ARC
(30,13),-0.496566 # DEPENDENCYPART_ARC
(30,15),-1.76947 # DEPENDENCYPART_ARC
(30,17),-1.74665 # DEPENDENCYPART_ARC
(30,18),-1.38893 # DEPENDENCYPART_ARC
(30,19),-0.570594 # DEPENDENCYPART_ARC
(30,20),-0.958249 # DEPENDENCYPART_ARC
(30,21),-1.33504 # DEPENDENCYPART_ARC
(30,23),-1.24359 # DEPENDENCYPART_ARC
(30,24),-0.23774 # DEPENDENCYPART_ARC
(30,25),-0.43852 # DEPENDENCYPART_ARC
(30,26),-0.451718 # DEPENDENCYPART_ARC
(30,27),0.487909 # DEPENDENCYPART_ARC
(30,28),-0.698006 # DEPENDENCYPART_ARC
(30,29),2.29972 # DEPENDENCYPART_ARC
(30,31),2.24942 # DEPENDENCYPART_ARC
(30,32),-0.950232 # DEPENDENCYPART_ARC
(31,28),-2.47364 # DEPENDENCYPART_ARC
(31,29),-2.64209 # DEPENDENCYPART_ARC
(31,32),-0.82558 # DEPENDENCYPART_ARC
(0,1),(0,2),0.164461 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0357334 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0805792 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.204551 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.183776 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0209479 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.185036 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.101649 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0209479 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.182835 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.183832 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.182835 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.417193 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.109231 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.208777 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.382346 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.372218 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.093583 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.373766 # DEPENDENCYPART_SIBL
(0,2),(0,22),0.223298 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.093583 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.207652 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.372218 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.207652 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.396679 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.079103 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.205955 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.185179 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0204808 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.18644 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.100173 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0204808 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.183475 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.185236 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.183475 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.417501 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.316887 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.308201 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.000598282 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.308201 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.0483948 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.000598282 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.131362 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.308201 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.131362 # DEPENDENCYPART_SIBL
(0,6),(0,32),-0.218436 # DEPENDENCYPART_SIBL
(0,9),(0,12),-1.47402 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.300672 # DEPENDENCYPART_SIBL
(0,9),(0,19),-1.47402 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0844613 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.300672 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.959219 # DEPENDENCYPART_SIBL
(0,9),(0,27),-1.47402 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.959219 # DEPENDENCYPART_SIBL
(0,9),(0,32),-0.00609848 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,12),(0,19),-1.46319 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0802408 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.296463 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.962228 # DEPENDENCYPART_SIBL
(0,12),(0,27),-1.46319 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.962228 # DEPENDENCYPART_SIBL
(0,12),(0,32),-0.00769122 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.408724 # DEPENDENCYPART_SIBL
(0,13),(0,22),0.0369566 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.129028 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.140416 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,30),-0.140416 # DEPENDENCYPART_SIBL
(0,13),(0,32),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0830349 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.300685 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.965029 # DEPENDENCYPART_SIBL
(0,19),(0,27),-1.46598 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.965029 # DEPENDENCYPART_SIBL
(0,19),(0,32),-0.015163 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0421514 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.181833 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.404215 # DEPENDENCYPART_SIBL
(0,22),(0,30),-0.181833 # DEPENDENCYPART_SIBL
(0,22),(0,32),-0.279052 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.140416 # DEPENDENCYPART_SIBL
(0,25),(0,27),-0.408609 # DEPENDENCYPART_SIBL
(0,25),(0,30),-0.140416 # DEPENDENCYPART_SIBL
(0,25),(0,32),-0.133324 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.898665 # DEPENDENCYPART_SIBL
(0,26),(0,30),-0.747338 # DEPENDENCYPART_SIBL
(0,26),(0,32),0.0494213 # DEPENDENCYPART_SIBL
(0,27),(0,30),-0.960225 # DEPENDENCYPART_SIBL
(0,27),(0,32),-0.000679055 # DEPENDENCYPART_SIBL
(0,30),(0,32),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0250003 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0151995 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0342241 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.139383 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0139028 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0279016 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0283072 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0284374 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0148385 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0304566 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0392991 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0325174 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0176351 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0616256 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0978773 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0204751 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00291513 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00873783 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0131047 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.027761 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.122336 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0865743 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0885201 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.109471 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.722624 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.722856 # DEPENDENCYPART_SIBL
(2,4),(2,7),-1.39011 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.131035 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.128562 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0672411 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0612051 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0184117 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0535515 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00360496 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.029764 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0998814 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.021204 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00199301 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00984454 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0141021 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0289429 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.125068 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00202175 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0508134 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0308531 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0858262 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0805777 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00859464 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0328923 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0198089 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.000109814 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0513589 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0200028 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0612446 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0267818 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0168766 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0231173 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0226445 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0300387 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0160271 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0159147 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0731293 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0421952 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0161625 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0269909 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0322063 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0334214 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0279282 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0116169 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0832724 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0780195 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00844423 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0329026 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0198192 # DEPENDENCYPART_SIBL
(5,4),(5,12),4.06032e-05 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0514378 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.177179 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.047554 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0387988 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0405841 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0417201 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0294543 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0514887 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0213541 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0231394 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0456548 # DEPENDENCYPART_SIBL
