# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(12,2),-2.27467 # DEPENDENCYPART_ARC
(12,3),-3.31568 # DEPENDENCYPART_ARC
(12,4),-2.14551 # DEPENDENCYPART_ARC
(12,5),-2.68585 # DEPENDENCYPART_ARC
(12,6),0.662905 # DEPENDENCYPART_ARC
(12,7),1.04868 # DEPENDENCYPART_ARC
(12,8),1.15919 # DEPENDENCYPART_ARC
(12,9),1.45234 # DEPENDENCYPART_ARC
(12,11),0.392664 # DEPENDENCYPART_ARC
(12,13),-0.511212 # DEPENDENCYPART_ARC
(12,14),-0.763554 # DEPENDENCYPART_ARC
(12,15),-1.23262 # DEPENDENCYPART_ARC
(12,16),-3.92141 # DEPENDENCYPART_ARC
(12,17),-2.6772 # DEPENDENCYPART_ARC
(12,18),-2.45135 # DEPENDENCYPART_ARC
(12,19),-2.61016 # DEPENDENCYPART_ARC
(12,20),-2.49943 # DEPENDENCYPART_ARC
(12,21),-3.42193 # DEPENDENCYPART_ARC
(12,22),-1.87093 # DEPENDENCYPART_ARC
(12,24),-3.57257 # DEPENDENCYPART_ARC
(12,25),-3.01132 # DEPENDENCYPART_ARC
(12,26),-3.00188 # DEPENDENCYPART_ARC
(13,1),-0.667258 # DEPENDENCYPART_ARC
(13,2),-2.10619 # DEPENDENCYPART_ARC
(13,4),-1.75246 # DEPENDENCYPART_ARC
(13,5),-1.90703 # DEPENDENCYPART_ARC
(13,6),-0.612957 # DEPENDENCYPART_ARC
(13,7),-1.40424 # DEPENDENCYPART_ARC
(13,9),-0.590304 # DEPENDENCYPART_ARC
(13,10),-1.01136 # DEPENDENCYPART_ARC
(13,11),-1.17079 # DEPENDENCYPART_ARC
(13,12),-0.507356 # DEPENDENCYPART_ARC
(13,14),-0.480182 # DEPENDENCYPART_ARC
(13,15),-1.3082 # DEPENDENCYPART_ARC
(13,16),-1.4609 # DEPENDENCYPART_ARC
(13,17),-1.97122 # DEPENDENCYPART_ARC
(13,19),-1.44317 # DEPENDENCYPART_ARC
(13,23),-1.97926 # DEPENDENCYPART_ARC
(14,13),-0.283427 # DEPENDENCYPART_ARC
(14,15),2.2671 # DEPENDENCYPART_ARC
(14,16),-2.50968 # DEPENDENCYPART_ARC
(14,17),-2.38444 # DEPENDENCYPART_ARC
(15,1),-1.30812 # DEPENDENCYPART_ARC
(15,9),-1.72544 # DEPENDENCYPART_ARC
(15,10),-0.665514 # DEPENDENCYPART_ARC
(15,12),-1.71227 # DEPENDENCYPART_ARC
(15,13),-1.08645 # DEPENDENCYPART_ARC
(15,14),-0.738114 # DEPENDENCYPART_ARC
(15,16),-1.69801 # DEPENDENCYPART_ARC
(15,17),1.10409 # DEPENDENCYPART_ARC
(15,18),-2.33551 # DEPENDENCYPART_ARC
(15,19),-1.83631 # DEPENDENCYPART_ARC
(15,20),-3.45188 # DEPENDENCYPART_ARC
(15,21),-0.810499 # DEPENDENCYPART_ARC
(15,22),-3.22703 # DEPENDENCYPART_ARC
(15,23),-2.34045 # DEPENDENCYPART_ARC
(15,24),-1.3027 # DEPENDENCYPART_ARC
(15,25),-4.22472 # DEPENDENCYPART_ARC
(15,26),-4.75678 # DEPENDENCYPART_ARC
(16,9),-1.43895 # DEPENDENCYPART_ARC
(16,12),-3.28051 # DEPENDENCYPART_ARC
(16,13),-1.35718 # DEPENDENCYPART_ARC
(16,14),-0.599679 # DEPENDENCYPART_ARC
(16,15),-0.368684 # DEPENDENCYPART_ARC
(16,17),-1.47633 # DEPENDENCYPART_ARC
(16,18),-2.64842 # DEPENDENCYPART_ARC
(17,1),-0.823148 # DEPENDENCYPART_ARC
(17,10),-0.586273 # DEPENDENCYPART_ARC
(17,14),-0.781252 # DEPENDENCYPART_ARC
(17,15),-3.32026 # DEPENDENCYPART_ARC
(17,16),2.42044 # DEPENDENCYPART_ARC
(17,18),-1.775 # DEPENDENCYPART_ARC
(17,19),-1.45275 # DEPENDENCYPART_ARC
(17,20),-2.25667 # DEPENDENCYPART_ARC
(17,21),-0.68021 # DEPENDENCYPART_ARC
(17,22),-1.97155 # DEPENDENCYPART_ARC
(17,23),-1.91785 # DEPENDENCYPART_ARC
(17,24),-1.65636 # DEPENDENCYPART_ARC
(17,25),-3.59562 # DEPENDENCYPART_ARC
(17,26),-3.68461 # DEPENDENCYPART_ARC
(18,11),-1.98085 # DEPENDENCYPART_ARC
(18,12),-1.61873 # DEPENDENCYPART_ARC
(18,15),-1.50205 # DEPENDENCYPART_ARC
(18,16),-1.8081 # DEPENDENCYPART_ARC
(18,17),-0.548217 # DEPENDENCYPART_ARC
(18,20),-1.57554 # DEPENDENCYPART_ARC
(19,1),-0.259696 # DEPENDENCYPART_ARC
(19,2),-3.31125 # DEPENDENCYPART_ARC
(19,4),-4.5615 # DEPENDENCYPART_ARC
(19,5),-5.35127 # DEPENDENCYPART_ARC
(19,6),-0.00738265 # DEPENDENCYPART_ARC
(19,7),-2.72814 # DEPENDENCYPART_ARC
(19,8),-1.49934 # DEPENDENCYPART_ARC
(19,9),-0.384718 # DEPENDENCYPART_ARC
(19,11),-2.34831 # DEPENDENCYPART_ARC
(19,12),-2.19383 # DEPENDENCYPART_ARC
(19,13),-0.305812 # DEPENDENCYPART_ARC
(19,14),0.147464 # DEPENDENCYPART_ARC
(19,15),-1.39675 # DEPENDENCYPART_ARC
(19,16),-3.63574 # DEPENDENCYPART_ARC
(19,17),-2.06357 # DEPENDENCYPART_ARC
(19,18),0.840633 # DEPENDENCYPART_ARC
(19,20),0.950566 # DEPENDENCYPART_ARC
(19,21),-1.30078 # DEPENDENCYPART_ARC
(19,22),0.1935 # DEPENDENCYPART_ARC
(19,23),-3.50308 # DEPENDENCYPART_ARC
(19,24),-2.4813 # DEPENDENCYPART_ARC
(19,25),-1.5996 # DEPENDENCYPART_ARC
(19,26),-0.885624 # DEPENDENCYPART_ARC
(19,27),-1.04377 # DEPENDENCYPART_ARC
(20,16),-3.7689 # DEPENDENCYPART_ARC
(20,18),-2.93974 # DEPENDENCYPART_ARC
(20,21),1.83986 # DEPENDENCYPART_ARC
(20,22),-0.6928 # DEPENDENCYPART_ARC
(20,23),-2.42058 # DEPENDENCYPART_ARC
(20,24),-0.87132 # DEPENDENCYPART_ARC
(20,25),-2.54101 # DEPENDENCYPART_ARC
(20,26),-3.48473 # DEPENDENCYPART_ARC
(21,15),-4.62123 # DEPENDENCYPART_ARC
(21,16),-1.31435 # DEPENDENCYPART_ARC
(21,17),-2.81694 # DEPENDENCYPART_ARC
(21,18),-3.25511 # DEPENDENCYPART_ARC
(21,20),-1.88809 # DEPENDENCYPART_ARC
(21,22),0.652065 # DEPENDENCYPART_ARC
(21,23),-0.954923 # DEPENDENCYPART_ARC
(21,24),-0.559639 # DEPENDENCYPART_ARC
(21,25),-2.15087 # DEPENDENCYPART_ARC
(21,26),-2.52316 # DEPENDENCYPART_ARC
(22,1),0.188016 # DEPENDENCYPART_ARC
(22,15),-4.35652 # DEPENDENCYPART_ARC
(22,17),-4.07122 # DEPENDENCYPART_ARC
(22,18),-4.085 # DEPENDENCYPART_ARC
(22,20),-0.173183 # DEPENDENCYPART_ARC
(22,21),-2.52854 # DEPENDENCYPART_ARC
(22,23),-1.89747 # DEPENDENCYPART_ARC
(22,24),0.880568 # DEPENDENCYPART_ARC
(22,25),-1.15179 # DEPENDENCYPART_ARC
(22,26),-1.66001 # DEPENDENCYPART_ARC
(22,27),-1.62301 # DEPENDENCYPART_ARC
(23,14),-0.775891 # DEPENDENCYPART_ARC
(23,18),-2.59759 # DEPENDENCYPART_ARC
(23,21),-1.8337 # DEPENDENCYPART_ARC
(23,22),-1.59266 # DEPENDENCYPART_ARC
(23,24),-1.45052 # DEPENDENCYPART_ARC
(23,25),-2.36685 # DEPENDENCYPART_ARC
(23,26),-2.48388 # DEPENDENCYPART_ARC
(24,18),-4.44993 # DEPENDENCYPART_ARC
(24,20),-3.48585 # DEPENDENCYPART_ARC
(24,21),-2.86619 # DEPENDENCYPART_ARC
(24,22),-3.47818 # DEPENDENCYPART_ARC
(24,23),1.99487 # DEPENDENCYPART_ARC
(24,25),-0.89104 # DEPENDENCYPART_ARC
(24,26),-1.87256 # DEPENDENCYPART_ARC
(24,27),-1.30098 # DEPENDENCYPART_ARC
(25,20),-0.368401 # DEPENDENCYPART_ARC
(25,21),-4.1734 # DEPENDENCYPART_ARC
(25,22),-2.92958 # DEPENDENCYPART_ARC
(25,23),-5.31466 # DEPENDENCYPART_ARC
(25,24),-4.50659 # DEPENDENCYPART_ARC
(25,26),-1.19273 # DEPENDENCYPART_ARC
(25,27),-1.14403 # DEPENDENCYPART_ARC
(26,4),-3.31261 # DEPENDENCYPART_ARC
(26,15),-3.1161 # DEPENDENCYPART_ARC
(26,17),-2.78858 # DEPENDENCYPART_ARC
(26,20),1.67274 # DEPENDENCYPART_ARC
(26,21),-2.13335 # DEPENDENCYPART_ARC
(26,22),-1.9502 # DEPENDENCYPART_ARC
(26,23),-5.07466 # DEPENDENCYPART_ARC
(26,24),-3.11154 # DEPENDENCYPART_ARC
(26,25),3.88853 # DEPENDENCYPART_ARC
(26,27),-0.605203 # DEPENDENCYPART_ARC
(0,1),(0,2),0.206334 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.205421 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.206335 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0481408 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.478215 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.547556 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.450326 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.029736 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0316265 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0364664 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0819285 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.193473 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0364664 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.279454 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.435398 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0232091 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0480579 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0785478 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.192341 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0480579 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.278321 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.440721 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0242781 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0861769 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.189966 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0242781 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.275946 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.418654 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0988608 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.503235 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.420129 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.101014 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.491817 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.052753 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.288364 # DEPENDENCYPART_SIBL
(0,12),(0,19),-1.55761 # DEPENDENCYPART_SIBL
(0,12),(0,27),0.003734 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.503235 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,27),0.168426 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.485522 # DEPENDENCYPART_SIBL
(1,2),(1,4),-1.46198 # DEPENDENCYPART_SIBL
(1,2),(1,5),-1.46277 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.757042 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.758701 # DEPENDENCYPART_SIBL
(1,4),(1,5),-1.46766 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.174172 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0431031 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0209223 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00299717 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0276547 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0354249 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0966993 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.114968 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.100281 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0322392 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0336693 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0125258 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0288935 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0265591 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00237961 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0605958 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.00157165 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0792832 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0461094 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0776965 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0692548 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00378847 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0403198 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0086114 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0147886 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.123345 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.043796 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0119939 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0895637 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00717092 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0426733 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00723877 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0220187 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0292938 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0309349 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0224622 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0133938 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.00437902 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0102001 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.00276091 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0612219 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.00206202 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0227782 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.274951 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0161251 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0338647 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0146049 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0143625 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0704665 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.212503 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0105693 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0313514 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.019394 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0285491 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0901277 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0232185 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.115621 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0907749 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00659111 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.11278 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0993521 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0233444 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.11101 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0717741 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0103074 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0363358 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0058745 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0190845 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.032053 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0545377 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.11618 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00505511 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00229474 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0475521 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00504515 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0390993 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0115639 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.114294 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0778548 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00686204 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00139885 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0712005 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.006895 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0327661 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0102823 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.133853 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0547991 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00406994 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0980795 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.000752998 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0740928 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0336199 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00857651 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0192398 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0191646 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.028156 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.124199 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0225475 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0251205 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0924776 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.025756 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0311637 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0026752 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0171848 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.00586891 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.005163 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0697378 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.00998594 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0131161 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.27291 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0333502 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0122997 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00483615 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0381019 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0536403 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.10196 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00618054 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0127973 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0381019 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00520181 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0155477 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.179333 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0110462 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.102808 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.035113 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00143677 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0077821 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0110462 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.107629 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0160759 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.028253 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0529639 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.109506 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0100234 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00971654 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.028253 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00524459 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0124785 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.073199 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.033011 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00961513 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0200595 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00158771 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0170905 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0289756 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.126366 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.022672 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.025092 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0285965 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0333913 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0257274 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.033986 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0056587 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0498714 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.01003 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.00885241 # DEPENDENCYPART_SIBL
