# _root_ Je to ale otázka úhlu pohledu : nejde o žádné zničení - jde o směr , směřování , které se - je - li upřímné a zásadní - brzy ztratí z dohledu .
#goldHeads=7,1,0,1,4,5,3,12,8,11,9,7,12,13,16,14,16,30,30,30,24,24,24,30,26,22,26,24,30,17,30,31,0,
#predictedHeads=3,1,0,1,4,5,3,12,8,11,9,0,12,13,14,14,16,24,22,22,24,24,24,17,26,22,26,24,30,28,30,31,0,
(16,6),-1.19597 # DEPENDENCYPART_ARC
(16,7),-0.522046 # DEPENDENCYPART_ARC
(16,8),-0.611834 # DEPENDENCYPART_ARC
(16,9),-1.08836 # DEPENDENCYPART_ARC
(16,11),-0.788019 # DEPENDENCYPART_ARC
(16,12),-0.805219 # DEPENDENCYPART_ARC
(16,13),-0.197486 # DEPENDENCYPART_ARC
(16,14),-0.80856 # DEPENDENCYPART_ARC
(16,15),0.141336 # DEPENDENCYPART_ARC
(16,17),0.188977 # DEPENDENCYPART_ARC
(16,18),-0.512513 # DEPENDENCYPART_ARC
(16,21),-0.959911 # DEPENDENCYPART_ARC
(16,22),-2.34793 # DEPENDENCYPART_ARC
(16,23),-1.34525 # DEPENDENCYPART_ARC
(17,9),-1.33159 # DEPENDENCYPART_ARC
(17,14),-1.5629 # DEPENDENCYPART_ARC
(17,15),-2.38905 # DEPENDENCYPART_ARC
(17,16),-0.526781 # DEPENDENCYPART_ARC
(17,18),-0.741023 # DEPENDENCYPART_ARC
(17,19),-2.02417 # DEPENDENCYPART_ARC
(17,21),-1.5793 # DEPENDENCYPART_ARC
(17,22),-1.07963 # DEPENDENCYPART_ARC
(17,23),-1.76324 # DEPENDENCYPART_ARC
(17,24),-1.54611 # DEPENDENCYPART_ARC
(17,25),-2.66303 # DEPENDENCYPART_ARC
(17,26),-1.41127 # DEPENDENCYPART_ARC
(17,27),-2.95238 # DEPENDENCYPART_ARC
(17,29),-2.15077 # DEPENDENCYPART_ARC
(17,30),-2.0173 # DEPENDENCYPART_ARC
(18,1),-2.18023 # DEPENDENCYPART_ARC
(18,13),-1.07518 # DEPENDENCYPART_ARC
(18,14),-1.46976 # DEPENDENCYPART_ARC
(18,15),-1.85066 # DEPENDENCYPART_ARC
(18,16),-0.525844 # DEPENDENCYPART_ARC
(18,17),-1.38397 # DEPENDENCYPART_ARC
(18,21),-0.89813 # DEPENDENCYPART_ARC
(21,1),-1.43662 # DEPENDENCYPART_ARC
(21,13),-0.663257 # DEPENDENCYPART_ARC
(21,17),-1.44494 # DEPENDENCYPART_ARC
(21,19),-1.32794 # DEPENDENCYPART_ARC
(21,20),-0.96421 # DEPENDENCYPART_ARC
(21,22),-0.371107 # DEPENDENCYPART_ARC
(21,23),-0.786785 # DEPENDENCYPART_ARC
(21,25),-1.6822 # DEPENDENCYPART_ARC
(21,28),-0.665856 # DEPENDENCYPART_ARC
(21,31),-2.07434 # DEPENDENCYPART_ARC
(22,2),-2.05443 # DEPENDENCYPART_ARC
(22,3),-1.3917 # DEPENDENCYPART_ARC
(22,4),-0.534283 # DEPENDENCYPART_ARC
(22,5),-3.50649 # DEPENDENCYPART_ARC
(22,6),-3.89663 # DEPENDENCYPART_ARC
(22,11),-1.86753 # DEPENDENCYPART_ARC
(22,14),-2.76502 # DEPENDENCYPART_ARC
(22,15),-1.99582 # DEPENDENCYPART_ARC
(22,16),-1.0333 # DEPENDENCYPART_ARC
(22,17),-1.5282 # DEPENDENCYPART_ARC
(22,18),-0.13412 # DEPENDENCYPART_ARC
(22,19),0.41928 # DEPENDENCYPART_ARC
(22,20),0.340278 # DEPENDENCYPART_ARC
(22,21),-0.421777 # DEPENDENCYPART_ARC
(22,23),-0.176401 # DEPENDENCYPART_ARC
(22,24),-0.86783 # DEPENDENCYPART_ARC
(22,25),0.210528 # DEPENDENCYPART_ARC
(22,26),-0.495653 # DEPENDENCYPART_ARC
(22,27),-0.263379 # DEPENDENCYPART_ARC
(22,28),-1.26208 # DEPENDENCYPART_ARC
(22,29),-1.7968 # DEPENDENCYPART_ARC
(22,30),-1.90922 # DEPENDENCYPART_ARC
(22,31),-1.4727 # DEPENDENCYPART_ARC
(22,32),-3.67937 # DEPENDENCYPART_ARC
(22,33),-1.61109 # DEPENDENCYPART_ARC
(23,19),-1.27075 # DEPENDENCYPART_ARC
(23,20),-1.17669 # DEPENDENCYPART_ARC
(23,21),-0.704346 # DEPENDENCYPART_ARC
(23,22),-0.663509 # DEPENDENCYPART_ARC
(23,24),-0.724896 # DEPENDENCYPART_ARC
(23,25),-1.22828 # DEPENDENCYPART_ARC
(23,26),-0.505574 # DEPENDENCYPART_ARC
(23,27),-1.66862 # DEPENDENCYPART_ARC
(23,28),-0.557978 # DEPENDENCYPART_ARC
(23,29),-1.89484 # DEPENDENCYPART_ARC
(23,30),-1.6374 # DEPENDENCYPART_ARC
(23,31),-1.85378 # DEPENDENCYPART_ARC
(23,32),-2.12282 # DEPENDENCYPART_ARC
(24,11),-1.49346 # DEPENDENCYPART_ARC
(24,15),-1.25084 # DEPENDENCYPART_ARC
(24,17),-1.15489 # DEPENDENCYPART_ARC
(24,18),0.143781 # DEPENDENCYPART_ARC
(24,21),0.630474 # DEPENDENCYPART_ARC
(24,22),1.23496 # DEPENDENCYPART_ARC
(24,23),1.76882 # DEPENDENCYPART_ARC
(24,25),-0.831112 # DEPENDENCYPART_ARC
(24,26),-1.04409 # DEPENDENCYPART_ARC
(24,27),-1.82443 # DEPENDENCYPART_ARC
(24,28),-0.498197 # DEPENDENCYPART_ARC
(24,29),-1.70557 # DEPENDENCYPART_ARC
(24,30),-1.3114 # DEPENDENCYPART_ARC
(24,33),-1.03299 # DEPENDENCYPART_ARC
(25,20),-2.48581 # DEPENDENCYPART_ARC
(25,23),-1.19176 # DEPENDENCYPART_ARC
(25,24),-0.304747 # DEPENDENCYPART_ARC
(25,31),-2.01109 # DEPENDENCYPART_ARC
(26,6),-2.06816 # DEPENDENCYPART_ARC
(26,7),-0.809897 # DEPENDENCYPART_ARC
(26,9),-1.54757 # DEPENDENCYPART_ARC
(26,11),-1.63605 # DEPENDENCYPART_ARC
(26,14),-1.44435 # DEPENDENCYPART_ARC
(26,15),-1.32964 # DEPENDENCYPART_ARC
(26,16),-0.425357 # DEPENDENCYPART_ARC
(26,17),-1.08692 # DEPENDENCYPART_ARC
(26,18),-0.650946 # DEPENDENCYPART_ARC
(26,19),-1.33049 # DEPENDENCYPART_ARC
(26,20),-1.45493 # DEPENDENCYPART_ARC
(26,21),-1.04308 # DEPENDENCYPART_ARC
(26,22),-0.156252 # DEPENDENCYPART_ARC
(26,23),-0.650719 # DEPENDENCYPART_ARC
(26,24),-0.505615 # DEPENDENCYPART_ARC
(26,25),1.4374 # DEPENDENCYPART_ARC
(26,27),2.0611 # DEPENDENCYPART_ARC
(26,28),-0.5945 # DEPENDENCYPART_ARC
(26,29),-1.07051 # DEPENDENCYPART_ARC
(26,30),-0.314852 # DEPENDENCYPART_ARC
(26,31),-1.21372 # DEPENDENCYPART_ARC
(26,32),-1.97364 # DEPENDENCYPART_ARC
(26,33),-1.18516 # DEPENDENCYPART_ARC
(27,25),-2.43799 # DEPENDENCYPART_ARC
(27,28),-0.506615 # DEPENDENCYPART_ARC
(27,29),-1.34969 # DEPENDENCYPART_ARC
(27,30),-2.96619 # DEPENDENCYPART_ARC
(27,31),-1.40035 # DEPENDENCYPART_ARC
(27,32),-2.96106 # DEPENDENCYPART_ARC
(28,1),-1.70675 # DEPENDENCYPART_ARC
(28,12),-1.337 # DEPENDENCYPART_ARC
(28,13),-0.953882 # DEPENDENCYPART_ARC
(28,18),-0.898876 # DEPENDENCYPART_ARC
(28,19),-1.38541 # DEPENDENCYPART_ARC
(28,21),-0.835129 # DEPENDENCYPART_ARC
(28,22),-0.74439 # DEPENDENCYPART_ARC
(28,23),-0.784527 # DEPENDENCYPART_ARC
(28,24),-0.876716 # DEPENDENCYPART_ARC
(28,25),-1.36702 # DEPENDENCYPART_ARC
(28,26),-0.835729 # DEPENDENCYPART_ARC
(28,27),-0.645941 # DEPENDENCYPART_ARC
(28,29),-0.891072 # DEPENDENCYPART_ARC
(28,30),-0.499514 # DEPENDENCYPART_ARC
(28,31),-1.15412 # DEPENDENCYPART_ARC
(28,32),-1.38048 # DEPENDENCYPART_ARC
(28,33),-1.29995 # DEPENDENCYPART_ARC
(29,19),-1.98768 # DEPENDENCYPART_ARC
(29,27),-1.9211 # DEPENDENCYPART_ARC
(29,28),-0.286072 # DEPENDENCYPART_ARC
(29,31),-1.48245 # DEPENDENCYPART_ARC
(29,32),-1.41804 # DEPENDENCYPART_ARC
(29,33),-1.13617 # DEPENDENCYPART_ARC
(30,11),-2.5982 # DEPENDENCYPART_ARC
(30,18),-1.45324 # DEPENDENCYPART_ARC
(30,19),-0.684606 # DEPENDENCYPART_ARC
(30,20),-1.37149 # DEPENDENCYPART_ARC
(30,23),-1.15953 # DEPENDENCYPART_ARC
(30,24),-0.357302 # DEPENDENCYPART_ARC
(30,25),-0.728961 # DEPENDENCYPART_ARC
(30,26),-1.13432 # DEPENDENCYPART_ARC
(30,27),-0.489532 # DEPENDENCYPART_ARC
(30,28),-0.171959 # DEPENDENCYPART_ARC
(30,29),1.35958 # DEPENDENCYPART_ARC
(30,31),1.54765 # DEPENDENCYPART_ARC
(30,32),-1.00004 # DEPENDENCYPART_ARC
(30,33),-0.644662 # DEPENDENCYPART_ARC
(31,28),-0.960556 # DEPENDENCYPART_ARC
(31,32),1.98107 # DEPENDENCYPART_ARC
(31,33),-0.894267 # DEPENDENCYPART_ARC
(32,20),-4.81757 # DEPENDENCYPART_ARC
(32,27),-3.94074 # DEPENDENCYPART_ARC
(32,29),-1.50844 # DEPENDENCYPART_ARC
(32,31),-0.870662 # DEPENDENCYPART_ARC
(32,33),-0.590367 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.932857 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.110614 # DEPENDENCYPART_SIBL
(0,1),(0,8),-1.56553 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.164068 # DEPENDENCYPART_SIBL
(0,1),(0,13),-1.57301 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.297828 # DEPENDENCYPART_SIBL
(0,1),(0,22),-1.65888 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.164068 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.164068 # DEPENDENCYPART_SIBL
(0,1),(0,30),-1.5655 # DEPENDENCYPART_SIBL
(0,1),(0,33),-0.0527541 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.153382 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.826168 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0390089 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.831568 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.000687052 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.869513 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0390089 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.0390089 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.826154 # DEPENDENCYPART_SIBL
(0,3),(0,33),0.233903 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.627281 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00954874 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.633694 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0248968 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.691161 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.00954874 # DEPENDENCYPART_SIBL
(0,7),(0,28),0.00954874 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.627279 # DEPENDENCYPART_SIBL
(0,7),(0,33),-0.138136 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0801598 # DEPENDENCYPART_SIBL
(0,8),(0,13),-1.45311 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.215841 # DEPENDENCYPART_SIBL
(0,8),(0,22),-1.52712 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0801598 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.0801598 # DEPENDENCYPART_SIBL
(0,8),(0,30),-1.4456 # DEPENDENCYPART_SIBL
(0,8),(0,33),0.07419 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.476028 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0626109 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.525507 # DEPENDENCYPART_SIBL
(0,12),(0,23),0.0671112 # DEPENDENCYPART_SIBL
(0,12),(0,28),0.0671112 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.469612 # DEPENDENCYPART_SIBL
(0,12),(0,33),-0.277536 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.250155 # DEPENDENCYPART_SIBL
(0,13),(0,22),-1.56546 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.131685 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.131685 # DEPENDENCYPART_SIBL
(0,13),(0,30),-1.48394 # DEPENDENCYPART_SIBL
(0,13),(0,33),-0.0134098 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.484516 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0275319 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.0275319 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.420035 # DEPENDENCYPART_SIBL
(0,19),(0,33),-0.052753 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.164068 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.164068 # DEPENDENCYPART_SIBL
(0,22),(0,30),-1.5655 # DEPENDENCYPART_SIBL
(0,22),(0,33),-0.0527541 # DEPENDENCYPART_SIBL
(0,23),(0,28),0.0671112 # DEPENDENCYPART_SIBL
(0,23),(0,30),-0.469612 # DEPENDENCYPART_SIBL
(0,23),(0,33),-0.277536 # DEPENDENCYPART_SIBL
(0,28),(0,30),-0.469612 # DEPENDENCYPART_SIBL
(0,28),(0,33),-0.277536 # DEPENDENCYPART_SIBL
(0,30),(0,33),-0.00651154 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.159227 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.16417 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.160283 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.158217 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0171565 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.108466 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.167368 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0577847 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.13829 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.168934 # DEPENDENCYPART_SIBL
(1,2),(1,27),-0.165083 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0106997 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00642267 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0044204 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0172017 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0593975 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00878427 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0634385 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0736811 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.0420846 # DEPENDENCYPART_SIBL
(1,3),(1,27),-0.0381841 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.104236 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.106289 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.139475 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0276809 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.101875 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0215163 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0743391 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.044421 # DEPENDENCYPART_SIBL
(1,4),(1,27),0.0569467 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.135898 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.194048 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0068911 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.131483 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0763984 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.00734954 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.0057704 # DEPENDENCYPART_SIBL
(1,5),(1,27),0.00675527 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.19299 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00943677 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.135486 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0715435 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.00647888 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.00917843 # DEPENDENCYPART_SIBL
(1,6),(1,27),0.00334724 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0505521 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0486298 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.141753 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.115321 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.0803779 # DEPENDENCYPART_SIBL
(1,7),(1,27),-0.0764658 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0427821 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0312014 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.00236099 # DEPENDENCYPART_SIBL
(1,8),(1,25),-0.127396 # DEPENDENCYPART_SIBL
(1,8),(1,27),-0.123586 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0791781 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.010125 # DEPENDENCYPART_SIBL
(1,11),(1,25),-0.00853058 # DEPENDENCYPART_SIBL
(1,11),(1,27),0.00399509 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.102935 # DEPENDENCYPART_SIBL
(1,12),(1,25),-0.057389 # DEPENDENCYPART_SIBL
(1,12),(1,27),-0.0534768 # DEPENDENCYPART_SIBL
(1,16),(1,25),-0.109295 # DEPENDENCYPART_SIBL
(1,16),(1,27),-0.105383 # DEPENDENCYPART_SIBL
(1,25),(1,27),-0.424841 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0343306 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0338521 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0488898 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0545418 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0545545 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0561368 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0797553 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.026801 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00378312 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.243514 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0901651 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0612437 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0612535 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.165862 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0576906 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.123898 # DEPENDENCYPART_SIBL
