# _root_ Za prvé bych chtěl připomenout to , že má být prodloužení věkové hranice postupné , že je rozloženo v čase a že k němu má dojít úplně až v roce 2007 .
#goldHeads=4,1,4,0,4,5,21,15,8,9,15,13,11,10,21,15,16,17,18,19,6,21,26,23,22,25,26,30,25,29,30,0,
#predictedHeads=4,1,4,0,4,5,21,21,8,9,9,13,11,10,16,21,16,17,18,19,6,21,26,23,22,25,26,30,26,29,30,0,
(8,9),1.53287 # DEPENDENCYPART_ARC
(8,10),0.367001 # DEPENDENCYPART_ARC
(8,12),-2.03506 # DEPENDENCYPART_ARC
(8,15),-0.260794 # DEPENDENCYPART_ARC
(8,16),-1.8136 # DEPENDENCYPART_ARC
(8,17),-1.41839 # DEPENDENCYPART_ARC
(8,18),-2.0653 # DEPENDENCYPART_ARC
(8,21),-0.412214 # DEPENDENCYPART_ARC
(8,25),-3.01381 # DEPENDENCYPART_ARC
(8,26),-3.23607 # DEPENDENCYPART_ARC
(9,1),-1.8131 # DEPENDENCYPART_ARC
(9,2),-2.92295 # DEPENDENCYPART_ARC
(9,5),-0.824783 # DEPENDENCYPART_ARC
(9,6),-1.73754 # DEPENDENCYPART_ARC
(9,7),-0.655718 # DEPENDENCYPART_ARC
(9,8),-0.975078 # DEPENDENCYPART_ARC
(9,10),2.70831 # DEPENDENCYPART_ARC
(9,11),0.588554 # DEPENDENCYPART_ARC
(9,12),-3.01882 # DEPENDENCYPART_ARC
(9,13),-1.48394 # DEPENDENCYPART_ARC
(9,14),-0.484027 # DEPENDENCYPART_ARC
(9,15),-0.837953 # DEPENDENCYPART_ARC
(9,16),-0.957492 # DEPENDENCYPART_ARC
(9,18),-0.746994 # DEPENDENCYPART_ARC
(9,21),-1.01822 # DEPENDENCYPART_ARC
(9,26),-1.76888 # DEPENDENCYPART_ARC
(9,27),-2.94515 # DEPENDENCYPART_ARC
(9,28),-1.2688 # DEPENDENCYPART_ARC
(9,31),-2.1693 # DEPENDENCYPART_ARC
(10,1),-1.53965 # DEPENDENCYPART_ARC
(10,2),-1.44833 # DEPENDENCYPART_ARC
(10,5),-2.34767 # DEPENDENCYPART_ARC
(10,6),-0.479405 # DEPENDENCYPART_ARC
(10,7),-1.66132 # DEPENDENCYPART_ARC
(10,8),-1.51442 # DEPENDENCYPART_ARC
(10,9),-0.756644 # DEPENDENCYPART_ARC
(10,11),-0.528132 # DEPENDENCYPART_ARC
(10,12),-1.21665 # DEPENDENCYPART_ARC
(10,13),-1.34427 # DEPENDENCYPART_ARC
(10,14),-0.686479 # DEPENDENCYPART_ARC
(10,15),-1.19719 # DEPENDENCYPART_ARC
(10,16),-1.06161 # DEPENDENCYPART_ARC
(10,21),-1.29741 # DEPENDENCYPART_ARC
(11,1),-1.36842 # DEPENDENCYPART_ARC
(11,10),-2.09387 # DEPENDENCYPART_ARC
(11,12),-0.948036 # DEPENDENCYPART_ARC
(11,13),0.808305 # DEPENDENCYPART_ARC
(11,14),-0.892123 # DEPENDENCYPART_ARC
(11,15),-1.23544 # DEPENDENCYPART_ARC
(11,16),-0.951997 # DEPENDENCYPART_ARC
(11,17),-2.18678 # DEPENDENCYPART_ARC
(11,18),-2.56818 # DEPENDENCYPART_ARC
(11,19),-1.87726 # DEPENDENCYPART_ARC
(11,20),-2.21691 # DEPENDENCYPART_ARC
(11,21),-1.08294 # DEPENDENCYPART_ARC
(12,6),-3.24917 # DEPENDENCYPART_ARC
(12,11),-2.32279 # DEPENDENCYPART_ARC
(12,13),-1.18329 # DEPENDENCYPART_ARC
(12,14),-3.16784 # DEPENDENCYPART_ARC
(12,16),-0.989983 # DEPENDENCYPART_ARC
(13,11),-3.52242 # DEPENDENCYPART_ARC
(13,12),2.4516 # DEPENDENCYPART_ARC
(13,14),-1.27189 # DEPENDENCYPART_ARC
(13,16),-0.430809 # DEPENDENCYPART_ARC
(13,17),-1.63766 # DEPENDENCYPART_ARC
(13,18),-2.07017 # DEPENDENCYPART_ARC
(13,20),-2.35039 # DEPENDENCYPART_ARC
(13,21),-0.886935 # DEPENDENCYPART_ARC
(13,22),-1.53226 # DEPENDENCYPART_ARC
(14,11),-1.28995 # DEPENDENCYPART_ARC
(14,12),-2.24679 # DEPENDENCYPART_ARC
(14,13),-1.39403 # DEPENDENCYPART_ARC
(14,15),-0.861563 # DEPENDENCYPART_ARC
(14,16),-1.16289 # DEPENDENCYPART_ARC
(14,17),-3.00939 # DEPENDENCYPART_ARC
(14,18),-2.10164 # DEPENDENCYPART_ARC
(14,19),-1.99717 # DEPENDENCYPART_ARC
(14,22),-1.64169 # DEPENDENCYPART_ARC
(14,25),-3.32673 # DEPENDENCYPART_ARC
(14,26),-2.01142 # DEPENDENCYPART_ARC
(15,4),-2.02993 # DEPENDENCYPART_ARC
(15,5),-1.71784 # DEPENDENCYPART_ARC
(15,7),-0.753404 # DEPENDENCYPART_ARC
(15,8),-0.610673 # DEPENDENCYPART_ARC
(15,9),-1.34557 # DEPENDENCYPART_ARC
(15,10),-1.03728 # DEPENDENCYPART_ARC
(15,12),-1.73054 # DEPENDENCYPART_ARC
(15,14),-1.10007 # DEPENDENCYPART_ARC
(15,17),-1.27062 # DEPENDENCYPART_ARC
(15,18),-1.5663 # DEPENDENCYPART_ARC
(16,9),-1.3747 # DEPENDENCYPART_ARC
(16,11),-1.80241 # DEPENDENCYPART_ARC
(16,13),-1.74347 # DEPENDENCYPART_ARC
(16,14),-1.68436 # DEPENDENCYPART_ARC
(16,15),1.38543 # DEPENDENCYPART_ARC
(16,17),1.42345 # DEPENDENCYPART_ARC
(16,18),0.271455 # DEPENDENCYPART_ARC
(16,19),-1.832 # DEPENDENCYPART_ARC
(16,21),-0.576928 # DEPENDENCYPART_ARC
(16,22),-1.77403 # DEPENDENCYPART_ARC
(16,25),-1.88404 # DEPENDENCYPART_ARC
(16,26),-2.30862 # DEPENDENCYPART_ARC
(17,2),-3.29227 # DEPENDENCYPART_ARC
(17,13),-3.35433 # DEPENDENCYPART_ARC
(17,18),2.5799 # DEPENDENCYPART_ARC
(17,19),-0.181305 # DEPENDENCYPART_ARC
(17,20),-1.5543 # DEPENDENCYPART_ARC
(17,21),-0.448722 # DEPENDENCYPART_ARC
(17,22),-1.23372 # DEPENDENCYPART_ARC
(17,23),-1.75173 # DEPENDENCYPART_ARC
(17,25),-2.55652 # DEPENDENCYPART_ARC
(17,26),-0.658195 # DEPENDENCYPART_ARC
(17,27),-2.36999 # DEPENDENCYPART_ARC
(17,28),-1.90817 # DEPENDENCYPART_ARC
(17,29),-2.21336 # DEPENDENCYPART_ARC
(17,31),-2.14805 # DEPENDENCYPART_ARC
(18,1),-1.14772 # DEPENDENCYPART_ARC
(18,4),-1.30194 # DEPENDENCYPART_ARC
(18,5),-0.267751 # DEPENDENCYPART_ARC
(18,9),-1.67608 # DEPENDENCYPART_ARC
(18,10),0.660005 # DEPENDENCYPART_ARC
(18,11),-0.744918 # DEPENDENCYPART_ARC
(18,12),-5.27053 # DEPENDENCYPART_ARC
(18,13),-2.82894 # DEPENDENCYPART_ARC
(18,14),-2.25652 # DEPENDENCYPART_ARC
(18,15),-1.15011 # DEPENDENCYPART_ARC
(18,16),-0.821122 # DEPENDENCYPART_ARC
(18,17),1.56555 # DEPENDENCYPART_ARC
(18,19),0.767112 # DEPENDENCYPART_ARC
(18,20),-0.941301 # DEPENDENCYPART_ARC
(18,21),-0.32821 # DEPENDENCYPART_ARC
(18,22),-0.477123 # DEPENDENCYPART_ARC
(18,23),-1.17119 # DEPENDENCYPART_ARC
(18,25),-2.71707 # DEPENDENCYPART_ARC
(18,26),-0.449206 # DEPENDENCYPART_ARC
(18,27),-2.10087 # DEPENDENCYPART_ARC
(18,29),-2.08058 # DEPENDENCYPART_ARC
(19,20),2.19318 # DEPENDENCYPART_ARC
(19,21),-0.871241 # DEPENDENCYPART_ARC
(19,22),-1.95026 # DEPENDENCYPART_ARC
(20,19),-0.126682 # DEPENDENCYPART_ARC
(20,22),-1.68387 # DEPENDENCYPART_ARC
(21,1),-0.738909 # DEPENDENCYPART_ARC
(21,2),-3.43552 # DEPENDENCYPART_ARC
(21,4),-3.12087 # DEPENDENCYPART_ARC
(21,5),-2.38149 # DEPENDENCYPART_ARC
(21,6),-1.28551 # DEPENDENCYPART_ARC
(21,7),-0.372118 # DEPENDENCYPART_ARC
(21,8),0.104264 # DEPENDENCYPART_ARC
(21,9),-1.87126 # DEPENDENCYPART_ARC
(21,10),-1.72296 # DEPENDENCYPART_ARC
(21,11),-1.25892 # DEPENDENCYPART_ARC
(21,12),-2.31921 # DEPENDENCYPART_ARC
(21,13),-1.39762 # DEPENDENCYPART_ARC
(21,14),-1.99841 # DEPENDENCYPART_ARC
(21,15),-0.0307919 # DEPENDENCYPART_ARC
(21,16),0.469582 # DEPENDENCYPART_ARC
(21,17),-0.0406721 # DEPENDENCYPART_ARC
(21,18),0.747801 # DEPENDENCYPART_ARC
(21,19),-0.160922 # DEPENDENCYPART_ARC
(21,20),0.231082 # DEPENDENCYPART_ARC
(21,22),0.746154 # DEPENDENCYPART_ARC
(21,23),0.170711 # DEPENDENCYPART_ARC
(21,25),0.292763 # DEPENDENCYPART_ARC
(21,26),-0.539674 # DEPENDENCYPART_ARC
(21,27),-1.15149 # DEPENDENCYPART_ARC
(21,29),-1.22724 # DEPENDENCYPART_ARC
(21,31),-1.63636 # DEPENDENCYPART_ARC
(22,19),-1.4394 # DEPENDENCYPART_ARC
(22,23),-0.6423 # DEPENDENCYPART_ARC
(22,25),0.874411 # DEPENDENCYPART_ARC
(22,26),0.135859 # DEPENDENCYPART_ARC
(22,27),-1.55477 # DEPENDENCYPART_ARC
(22,29),-2.20516 # DEPENDENCYPART_ARC
(23,24),2.24346 # DEPENDENCYPART_ARC
(23,25),-2.12728 # DEPENDENCYPART_ARC
(23,27),-1.96291 # DEPENDENCYPART_ARC
(23,30),-0.890395 # DEPENDENCYPART_ARC
(25,1),-1.72615 # DEPENDENCYPART_ARC
(25,10),-1.06267 # DEPENDENCYPART_ARC
(25,11),-1.15359 # DEPENDENCYPART_ARC
(25,12),-3.95031 # DEPENDENCYPART_ARC
(25,13),-3.42137 # DEPENDENCYPART_ARC
(25,14),-1.31126 # DEPENDENCYPART_ARC
(25,17),-2.01167 # DEPENDENCYPART_ARC
(25,18),-0.975428 # DEPENDENCYPART_ARC
(25,19),-1.19342 # DEPENDENCYPART_ARC
(25,20),-1.69364 # DEPENDENCYPART_ARC
(25,22),-0.982551 # DEPENDENCYPART_ARC
(25,23),0.153705 # DEPENDENCYPART_ARC
(25,26),2.91998 # DEPENDENCYPART_ARC
(25,27),-0.500362 # DEPENDENCYPART_ARC
(25,28),-0.947477 # DEPENDENCYPART_ARC
(25,29),-0.55449 # DEPENDENCYPART_ARC
(25,30),-1.05515 # DEPENDENCYPART_ARC
(25,31),-1.22101 # DEPENDENCYPART_ARC
(26,6),-1.94091 # DEPENDENCYPART_ARC
(26,17),-3.03709 # DEPENDENCYPART_ARC
(26,19),-1.57263 # DEPENDENCYPART_ARC
(26,20),-1.77053 # DEPENDENCYPART_ARC
(26,22),-1.67205 # DEPENDENCYPART_ARC
(26,23),0.319623 # DEPENDENCYPART_ARC
(26,25),-1.14144 # DEPENDENCYPART_ARC
(26,27),0.423218 # DEPENDENCYPART_ARC
(26,28),-0.992533 # DEPENDENCYPART_ARC
(26,29),-0.0925675 # DEPENDENCYPART_ARC
(26,30),-0.595216 # DEPENDENCYPART_ARC
(26,31),-0.896024 # DEPENDENCYPART_ARC
(27,23),-1.54534 # DEPENDENCYPART_ARC
(27,26),-1.00079 # DEPENDENCYPART_ARC
(27,29),-1.26435 # DEPENDENCYPART_ARC
(27,30),-2.44393 # DEPENDENCYPART_ARC
(28,23),-1.07563 # DEPENDENCYPART_ARC
(28,25),-0.942933 # DEPENDENCYPART_ARC
(28,27),-0.389552 # DEPENDENCYPART_ARC
(28,29),-1.02201 # DEPENDENCYPART_ARC
(28,30),-1.65832 # DEPENDENCYPART_ARC
(29,28),-1.19508 # DEPENDENCYPART_ARC
(29,30),2.64361 # DEPENDENCYPART_ARC
(29,31),-1.57215 # DEPENDENCYPART_ARC
(30,23),-1.24696 # DEPENDENCYPART_ARC
(30,27),-0.819454 # DEPENDENCYPART_ARC
(30,28),0.219786 # DEPENDENCYPART_ARC
(30,29),-0.565578 # DEPENDENCYPART_ARC
(30,31),0.615484 # DEPENDENCYPART_ARC
(30,32),-0.807753 # DEPENDENCYPART_ARC
(31,23),-1.45452 # DEPENDENCYPART_ARC
(31,29),-1.283 # DEPENDENCYPART_ARC
(31,30),-1.26026 # DEPENDENCYPART_ARC
(31,32),-0.272792 # DEPENDENCYPART_ARC
(32,31),-2.57343 # DEPENDENCYPART_ARC
(0,1),(0,2),0.10476 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.333939 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.324318 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.16456 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0805515 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.147372 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.211521 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.365889 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.358284 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0461521 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0694178 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0110738 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.298973 # DEPENDENCYPART_SIBL
(0,4),(0,5),-1.46765 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.208431 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.324277 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.647878 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.0223601 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.199778 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.292 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.644025 # DEPENDENCYPART_SIBL
(0,5),(0,32),-0.00246073 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00322126 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.164979 # DEPENDENCYPART_SIBL
(0,6),(0,32),0.00774574 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00123668 # DEPENDENCYPART_SIBL
(0,7),(0,32),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,32),-0.107484 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.119992 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.068795 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.397621 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0455515 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.423332 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.31813 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0751879 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0782733 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0529061 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0946867 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.331238 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0322643 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.154729 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0316201 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.158884 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0194329 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0691731 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.08246 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0305175 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.02843 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0259013 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.120482 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0395582 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.140764 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0259013 # DEPENDENCYPART_SIBL
(4,1),(4,31),0.0982163 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0614769 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.056318 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0708723 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00263497 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0816263 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0825872 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.18065 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00263497 # DEPENDENCYPART_SIBL
(4,2),(4,31),-0.0629386 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0357411 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0795385 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0267938 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.103164 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0409406 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.16962 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0267938 # DEPENDENCYPART_SIBL
(4,3),(4,31),-0.0991488 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0106459 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0503946 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0968064 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.200492 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.175788 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0503946 # DEPENDENCYPART_SIBL
(4,5),(4,31),0.0206444 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.113976 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.047004 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0375859 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0479088 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.113976 # DEPENDENCYPART_SIBL
(4,6),(4,31),0.0213391 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.037712 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.079466 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0868234 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.103764 # DEPENDENCYPART_SIBL
(4,7),(4,31),-0.097379 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.157958 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.146069 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0108685 # DEPENDENCYPART_SIBL
(4,8),(4,31),-0.140659 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.196718 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0274586 # DEPENDENCYPART_SIBL
(4,9),(4,31),0.00551181 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.018949 # DEPENDENCYPART_SIBL
(4,10),(4,31),-0.0514529 # DEPENDENCYPART_SIBL
(4,15),(4,31),-0.097379 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0669862 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0883865 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0262026 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0165835 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0200538 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.111651 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0250813 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.129317 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0200538 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0617082 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00379321 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0799686 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0390498 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0844603 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0919097 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.193003 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0390498 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.183954 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0683178 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0195832 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0777669 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0332827 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.164945 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0195832 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0337486 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00526186 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.040002 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0186701 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.126008 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00526186 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.108499 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0596034 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0498715 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0622302 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.108499 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0340324 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.103739 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.113132 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.124163 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.171757 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.161903 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00994853 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.239197 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.00999532 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0480171 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.043858 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0458355 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.046497 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.098526 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.051637 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0868774 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.19494 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.098526 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.00491751 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0486884 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00538005 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.179792 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0284262 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0525128 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0859198 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.179792 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0901008 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.011237 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.175899 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0319281 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0490145 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0774599 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.175899 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0840036 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0544417 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00773264 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0175002 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0503602 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0544417 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0654365 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.138784 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.135753 # DEPENDENCYPART_SIBL
