# _root_ Zjistil , že se guma dobře váže s kukuřičným sirupem , který je schopen absorbovat prakticky jakoukoliv chuťovou esenci .
#goldHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,17,19,19,15,0,
#predictedHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,15,19,19,15,0,
(15,16),0.505902 # DEPENDENCYPART_ARC
(15,17),0.18405 # DEPENDENCYPART_ARC
(15,18),-1.2047 # DEPENDENCYPART_ARC
(15,19),0.990602 # DEPENDENCYPART_ARC
(15,20),-0.971583 # DEPENDENCYPART_ARC
(16,7),-2.12809 # DEPENDENCYPART_ARC
(16,12),-2.05279 # DEPENDENCYPART_ARC
(16,15),-0.634576 # DEPENDENCYPART_ARC
(16,18),-3.26816 # DEPENDENCYPART_ARC
(16,19),-2.98043 # DEPENDENCYPART_ARC
(16,20),-1.40853 # DEPENDENCYPART_ARC
(17,16),0.166093 # DEPENDENCYPART_ARC
(17,18),-0.0957755 # DEPENDENCYPART_ARC
(17,19),-1.82173 # DEPENDENCYPART_ARC
(17,20),-1.04748 # DEPENDENCYPART_ARC
(18,16),0.0639536 # DEPENDENCYPART_ARC
(18,17),-0.776527 # DEPENDENCYPART_ARC
(19,8),-0.250047 # DEPENDENCYPART_ARC
(19,9),-2.26672 # DEPENDENCYPART_ARC
(19,12),-2.59617 # DEPENDENCYPART_ARC
(19,15),-1.82062 # DEPENDENCYPART_ARC
(19,16),-0.839999 # DEPENDENCYPART_ARC
(19,17),2.02221 # DEPENDENCYPART_ARC
(19,18),2.62008 # DEPENDENCYPART_ARC
(19,20),-0.689657 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.302164 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.641885 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.237082 # DEPENDENCYPART_SIBL
(0,1),(0,7),-1.46538 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.302164 # DEPENDENCYPART_SIBL
(0,1),(0,13),-1.5469 # DEPENDENCYPART_SIBL
(0,1),(0,15),-1.46767 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0154756 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00123668 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0431128 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.408626 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.129028 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.4829 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0320246 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.861016 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.326921 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.909118 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.86203 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.107484 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.313791 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.18345 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.391282 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.313791 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.12934 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.30525 # DEPENDENCYPART_SIBL
(0,7),(0,13),-1.54822 # DEPENDENCYPART_SIBL
(0,7),(0,15),-1.46899 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0199897 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.4829 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,15),-1.56779 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0527541 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.00769738 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0297587 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0664552 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.106905 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0522463 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0998577 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0708972 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.106897 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.125796 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0741121 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.029246 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.183218 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.18165 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.127461 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.167567 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.23309 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.181636 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0111553 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.169316 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.104743 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0757075 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0926978 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.102515 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.222193 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0757138 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00678987 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0248469 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.117275 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00805132 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0176346 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0229209 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.113811 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0143855 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.00209552 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.00967551 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00863621 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0414771 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0215531 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.058344 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0256483 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00438192 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0193999 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0322634 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00501713 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.090205 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.018735 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0426805 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0553008 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.10126 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0203116 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0143835 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.00202637 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.00967355 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0741121 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.029246 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0935599 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00998299 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0178746 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.65876 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0288403 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0604339 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0210353 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.308367 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.296318 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.127878 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.119533 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0789242 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.189092 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.118506 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.365393 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0879481 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0269883 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0681205 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00867451 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0080757 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0330309 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.496963 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.041905 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.559 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.486437 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.378979 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0609147 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.434854 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.378979 # DEPENDENCYPART_SIBL
(3,7),(3,11),-5.80862e-05 # DEPENDENCYPART_SIBL
(3,7),(3,13),-1.18337 # DEPENDENCYPART_SIBL
(3,7),(3,15),-1.12256 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.513146 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.466133 # DEPENDENCYPART_SIBL
(3,13),(3,15),-1.15644 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.03294 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.102207 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.13632 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0335115 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0165168 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.100034 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.117962 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.066537 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.01001 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.112134 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0183015 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0923243 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00198979 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0104609 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00201176 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00517521 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0208959 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0082917 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0147767 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0284971 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0164612 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.102495 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0957053 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.128119 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.136593 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0868962 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.177417 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.123809 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.092881 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.127253 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0185803 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0414258 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0278795 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.142332 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0738743 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0500248 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.14191 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0497907 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0171931 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.105041 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0611172 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0171585 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0482791 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0626002 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00662306 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0118549 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0137687 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00232161 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.280129 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.00599457 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.252037 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0342346 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.181458 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0271553 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0319081 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0148681 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0280185 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0152357 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.109963 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0139 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00821915 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0404663 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0411855 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.00482828 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.271902 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00637376 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.141269 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0512167 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0380659 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.185484 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.000945932 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0438723 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.150138 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.139807 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0192335 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.336131 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.162522 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.141436 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.301652 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0407268 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0625451 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.015639 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0816751 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0921797 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00129707 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0735742 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.105626 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0273396 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0245523 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0378092 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.325055 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0336983 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.10722 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0176942 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.104397 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.086771 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0422338 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0107924 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0523048 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0215113 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0192215 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0181686 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0159267 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0498477 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.00128969 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.020657 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00783383 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0181686 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00401501 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0520126 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00560847 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.033994 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00616624 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0347113 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0123711 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.173254 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0436383 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.00356107 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0252045 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0795689 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0123711 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0891071 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.111068 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0728055 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.152592 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.139115 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.193015 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.122657 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.185097 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.134655 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.171277 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.134034 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.193015 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0302359 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0491088 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0872775 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.311237 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0599261 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0316104 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.030597 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.293992 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.013485 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0741259 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0599261 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0235626 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0132644 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0304576 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0380635 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00789586 # DEPENDENCYPART_SIBL
