# _root_ Sociální demokraté namítají , že vláda se školným přichází v době , kdy rostou náklady na základní životní potřeby .
#goldHeads=2,3,0,5,3,9,9,7,5,9,10,14,14,11,14,15,19,19,16,0,
#predictedHeads=2,3,0,5,3,9,6,7,5,9,10,14,14,11,14,15,19,19,16,0,
(14,9),-1.66255 # DEPENDENCYPART_ARC
(14,10),-0.427806 # DEPENDENCYPART_ARC
(14,11),-2.25052 # DEPENDENCYPART_ARC
(14,12),0.0138236 # DEPENDENCYPART_ARC
(14,13),1.56803 # DEPENDENCYPART_ARC
(14,15),2.10945 # DEPENDENCYPART_ARC
(14,16),0.496761 # DEPENDENCYPART_ARC
(14,17),-1.98274 # DEPENDENCYPART_ARC
(14,18),-2.36274 # DEPENDENCYPART_ARC
(14,19),0.456337 # DEPENDENCYPART_ARC
(14,20),-0.880482 # DEPENDENCYPART_ARC
(15,10),-1.80292 # DEPENDENCYPART_ARC
(15,13),-1.15766 # DEPENDENCYPART_ARC
(15,16),1.30729 # DEPENDENCYPART_ARC
(15,17),-2.43473 # DEPENDENCYPART_ARC
(15,18),-2.66268 # DEPENDENCYPART_ARC
(15,19),-3.65928 # DEPENDENCYPART_ARC
(15,20),-1.07011 # DEPENDENCYPART_ARC
(16,11),-2.5456 # DEPENDENCYPART_ARC
(16,12),-1.22753 # DEPENDENCYPART_ARC
(16,15),-2.38831 # DEPENDENCYPART_ARC
(16,17),-0.136718 # DEPENDENCYPART_ARC
(16,18),-1.03302 # DEPENDENCYPART_ARC
(16,19),0.998449 # DEPENDENCYPART_ARC
(16,20),-0.905359 # DEPENDENCYPART_ARC
(17,13),-1.76826 # DEPENDENCYPART_ARC
(17,15),-3.44233 # DEPENDENCYPART_ARC
(17,16),-1.23436 # DEPENDENCYPART_ARC
(17,18),-2.02744 # DEPENDENCYPART_ARC
(17,19),-2.21325 # DEPENDENCYPART_ARC
(17,20),-1.12789 # DEPENDENCYPART_ARC
(18,13),-1.68049 # DEPENDENCYPART_ARC
(18,15),-3.28455 # DEPENDENCYPART_ARC
(18,16),-1.21798 # DEPENDENCYPART_ARC
(18,17),-1.86509 # DEPENDENCYPART_ARC
(18,19),-1.69659 # DEPENDENCYPART_ARC
(18,20),-1.13795 # DEPENDENCYPART_ARC
(19,10),-1.64646 # DEPENDENCYPART_ARC
(19,13),-1.32572 # DEPENDENCYPART_ARC
(19,15),-3.30305 # DEPENDENCYPART_ARC
(19,16),-1.56949 # DEPENDENCYPART_ARC
(19,17),2.11655 # DEPENDENCYPART_ARC
(19,18),2.70938 # DEPENDENCYPART_ARC
(19,20),-0.62628 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0734732 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.361305 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.07825 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0116597 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.361308 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.07825 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.364042 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.303403 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.1838 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.023081 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0254385 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.183801 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.023081 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.188515 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.41874 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.295349 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.63853 # DEPENDENCYPART_SIBL
(0,3),(0,9),-1.46274 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.295349 # DEPENDENCYPART_SIBL
(0,3),(0,14),-1.46774 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.00613115 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00123668 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.41315 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.861016 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.326921 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.864013 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.107484 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.268598 # DEPENDENCYPART_SIBL
(0,9),(0,14),-1.45665 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0267012 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.41315 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.0520341 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00309329 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.143199 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.153844 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.010249 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0640615 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.271591 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.104176 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0270532 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00621465 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0238281 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.15258 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00954278 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0126996 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.259585 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0109215 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0125873 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.01926 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0154719 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0670102 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0810933 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0570367 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0563983 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0196978 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0368136 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0649473 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0499291 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0776516 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.10993 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.10173 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0789393 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0812379 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0499291 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0847539 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0120426 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00687656 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0686196 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0639595 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0146408 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00377314 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0120426 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0207452 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0340273 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.098156 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.165951 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0995847 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.209144 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.124158 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.105395 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.175266 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.273506 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.16892 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.233925 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00994844 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.173489 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00941415 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0353722 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0623179 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0665134 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0305119 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0926226 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0866753 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0140947 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.08206 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.144168 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00511677 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.239324 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00748637 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0101731 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.105395 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0200446 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0731151 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0360941 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0286608 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0394346 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.000341104 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.142813 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0150823 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.163001 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0103094 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0173445 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0163528 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0244037 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0719292 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.663789 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0303129 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0634296 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0604075 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0103576 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0113196 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0908289 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0154419 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.142709 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0609568 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.152389 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.127138 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0193457 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.135273 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.28991 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.307351 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.211993 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.131888 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0803462 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.143127 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.34058 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.231974 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00623708 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0681205 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00203713 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.051705 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.485023 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0189003 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.487731 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.558616 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.107492 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.563808 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00496665 # DEPENDENCYPART_SIBL
(5,9),(5,14),-1.12338 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.471631 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0233421 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00541047 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0642837 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0249132 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00599158 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.111092 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0126341 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0178067 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0293326 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0035697 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.130015 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0874407 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0041093 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00734696 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00755941 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0153667 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00868943 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0548232 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00228825 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00854943 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0245264 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0922712 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.177657 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.128581 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.175293 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.186151 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.044492 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0959908 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.127574 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.215942 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.101912 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0348685 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.19285 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0933214 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0531434 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0730838 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0311222 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.155991 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0107411 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.130545 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0630263 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0403955 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0125316 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0095386 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.100795 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0793006 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00323899 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0168661 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.01269 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.259267 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.00357058 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0239607 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0608796 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00901605 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0105081 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0452503 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0527239 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0129504 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.00878149 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.100281 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.04024 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0193961 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0361697 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0149535 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0565171 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.00357171 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.315672 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0692583 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0900432 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0240305 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.03787 # DEPENDENCYPART_SIBL
(7,8),(7,11),-1.31496 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.102222 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.244214 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0172884 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0935288 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0700228 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0119359 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.016555 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.127495 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.161399 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.18209 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.126488 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0151808 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0887273 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00648867 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0127589 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0792466 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.00150672 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.260615 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0220023 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.00854235 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.00968717 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0679093 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.00532042 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0335889 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.042972 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0579721 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.123498 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0693463 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0962204 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.096087 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0249191 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0944906 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0850426 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0787112 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.108256 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0690396 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.098353 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0975691 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.012755 # DEPENDENCYPART_SIBL
