# _root_ Milionový poplatek za vydání osvědčení , které umožňuje vést lékárnu , zakázalo vybírat Ministerstvo pro hospodářskou soutěž .
#goldHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
#predictedHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
(8,4),-1.22842 # DEPENDENCYPART_ARC
(8,5),-3.33003 # DEPENDENCYPART_ARC
(8,6),0.656426 # DEPENDENCYPART_ARC
(8,7),1.41844 # DEPENDENCYPART_ARC
(8,9),2.94747 # DEPENDENCYPART_ARC
(8,10),0.37359 # DEPENDENCYPART_ARC
(8,11),0.0888375 # DEPENDENCYPART_ARC
(8,12),-2.14589 # DEPENDENCYPART_ARC
(8,13),0.210772 # DEPENDENCYPART_ARC
(8,14),-1.74191 # DEPENDENCYPART_ARC
(8,15),-1.59969 # DEPENDENCYPART_ARC
(8,17),-2.03666 # DEPENDENCYPART_ARC
(8,18),-1.34555 # DEPENDENCYPART_ARC
(9,1),-1.84783 # DEPENDENCYPART_ARC
(9,2),-0.472378 # DEPENDENCYPART_ARC
(9,3),-1.43265 # DEPENDENCYPART_ARC
(9,4),-0.425884 # DEPENDENCYPART_ARC
(9,5),-2.8725 # DEPENDENCYPART_ARC
(9,6),-0.6026 # DEPENDENCYPART_ARC
(9,7),-0.242559 # DEPENDENCYPART_ARC
(9,8),-1.13764 # DEPENDENCYPART_ARC
(9,10),2.17464 # DEPENDENCYPART_ARC
(9,11),-0.319115 # DEPENDENCYPART_ARC
(9,12),-1.38637 # DEPENDENCYPART_ARC
(9,13),-0.819233 # DEPENDENCYPART_ARC
(9,14),-2.59363 # DEPENDENCYPART_ARC
(9,15),-1.24924 # DEPENDENCYPART_ARC
(9,17),-1.27663 # DEPENDENCYPART_ARC
(10,7),-3.02319 # DEPENDENCYPART_ARC
(10,9),-1.32238 # DEPENDENCYPART_ARC
(10,11),-1.25645 # DEPENDENCYPART_ARC
(10,12),-1.53752 # DEPENDENCYPART_ARC
(10,13),-0.186844 # DEPENDENCYPART_ARC
(10,14),-2.91803 # DEPENDENCYPART_ARC
(10,15),-1.26318 # DEPENDENCYPART_ARC
(11,1),-2.5486 # DEPENDENCYPART_ARC
(11,2),-1.75447 # DEPENDENCYPART_ARC
(11,3),-1.57508 # DEPENDENCYPART_ARC
(11,4),-1.6836 # DEPENDENCYPART_ARC
(11,5),-1.96603 # DEPENDENCYPART_ARC
(11,6),-0.796218 # DEPENDENCYPART_ARC
(11,7),-1.24263 # DEPENDENCYPART_ARC
(11,8),-0.46373 # DEPENDENCYPART_ARC
(11,9),-0.437646 # DEPENDENCYPART_ARC
(11,10),-1.17768 # DEPENDENCYPART_ARC
(11,12),-0.837166 # DEPENDENCYPART_ARC
(11,13),-1.44424 # DEPENDENCYPART_ARC
(11,14),-2.12262 # DEPENDENCYPART_ARC
(11,15),-1.47532 # DEPENDENCYPART_ARC
(11,18),-1.03615 # DEPENDENCYPART_ARC
(12,1),-3.80951 # DEPENDENCYPART_ARC
(12,2),-1.97282 # DEPENDENCYPART_ARC
(12,3),-2.0621 # DEPENDENCYPART_ARC
(12,4),-1.26725 # DEPENDENCYPART_ARC
(12,5),-3.02903 # DEPENDENCYPART_ARC
(12,6),-1.29269 # DEPENDENCYPART_ARC
(12,7),-0.411378 # DEPENDENCYPART_ARC
(12,8),-1.5635 # DEPENDENCYPART_ARC
(12,9),0.201148 # DEPENDENCYPART_ARC
(12,10),-1.40064 # DEPENDENCYPART_ARC
(12,11),-0.591691 # DEPENDENCYPART_ARC
(12,13),3.31855 # DEPENDENCYPART_ARC
(12,14),0.538173 # DEPENDENCYPART_ARC
(12,15),-0.0886766 # DEPENDENCYPART_ARC
(12,16),-2.51032 # DEPENDENCYPART_ARC
(12,17),-0.410318 # DEPENDENCYPART_ARC
(12,18),-0.901642 # DEPENDENCYPART_ARC
(13,2),-0.672534 # DEPENDENCYPART_ARC
(13,3),-1.96935 # DEPENDENCYPART_ARC
(13,4),-0.833613 # DEPENDENCYPART_ARC
(13,5),-3.35828 # DEPENDENCYPART_ARC
(13,6),-2.10336 # DEPENDENCYPART_ARC
(13,7),-1.88932 # DEPENDENCYPART_ARC
(13,8),-3.00859 # DEPENDENCYPART_ARC
(13,9),-1.48327 # DEPENDENCYPART_ARC
(13,10),-0.532188 # DEPENDENCYPART_ARC
(13,11),-1.52903 # DEPENDENCYPART_ARC
(13,12),-0.988499 # DEPENDENCYPART_ARC
(13,14),0.164422 # DEPENDENCYPART_ARC
(13,15),0.372779 # DEPENDENCYPART_ARC
(13,16),-1.36775 # DEPENDENCYPART_ARC
(13,17),0.602662 # DEPENDENCYPART_ARC
(13,18),-1.08739 # DEPENDENCYPART_ARC
(14,10),-4.81187 # DEPENDENCYPART_ARC
(14,15),1.44121 # DEPENDENCYPART_ARC
(14,16),-1.87179 # DEPENDENCYPART_ARC
(14,17),-3.14229 # DEPENDENCYPART_ARC
(14,18),-0.715233 # DEPENDENCYPART_ARC
(15,11),-1.81679 # DEPENDENCYPART_ARC
(15,14),-2.71157 # DEPENDENCYPART_ARC
(15,16),0.00518086 # DEPENDENCYPART_ARC
(15,17),2.01999 # DEPENDENCYPART_ARC
(15,18),-1.041 # DEPENDENCYPART_ARC
(16,14),-3.42612 # DEPENDENCYPART_ARC
(16,15),-1.05636 # DEPENDENCYPART_ARC
(17,14),-3.50835 # DEPENDENCYPART_ARC
(17,15),-1.3589 # DEPENDENCYPART_ARC
(17,16),2.6049 # DEPENDENCYPART_ARC
(17,18),-0.593909 # DEPENDENCYPART_ARC
(0,1),(0,2),0.074285 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0684288 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0742826 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.074285 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0776574 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0186477 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.360706 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.360576 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0776574 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.360541 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.360541 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.302867 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.1696 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0416686 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0371462 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0213373 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0865135 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.185777 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.187393 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0213373 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.183962 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.188458 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.4175 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.242188 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.243812 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0805515 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.139903 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.33058 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.326799 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0805515 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.328824 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.328911 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.211521 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0398149 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0223164 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0865131 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.185999 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.187616 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0223164 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.184184 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.18868 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.417934 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0214995 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0865138 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.185579 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.187195 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0214995 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.183763 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.188259 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.418048 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0988608 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.408927 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.408621 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.420191 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.420042 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.101014 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.420035 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.420045 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.052753 # DEPENDENCYPART_SIBL
(0,8),(0,9),-1.44749 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.253402 # DEPENDENCYPART_SIBL
(0,8),(0,12),-1.44749 # DEPENDENCYPART_SIBL
(0,8),(0,13),-1.44749 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0577296 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.293843 # DEPENDENCYPART_SIBL
(0,9),(0,12),-1.46523 # DEPENDENCYPART_SIBL
(0,9),(0,13),-1.46523 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0111347 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.408609 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,13),-1.46319 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.00192353 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.071757 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00248808 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00204886 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0436386 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00844562 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00910819 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00908566 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00439757 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00602777 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0318993 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0391702 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0380838 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0379898 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.058139 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00469355 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00584454 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0100724 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00556523 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0059771 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00712808 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0113559 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00684878 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.261176 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.260571 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.260578 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.259668 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.259674 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.259669 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.102059 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.107669 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0760935 # DEPENDENCYPART_SIBL
(3,4),(3,5),-1.35648 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.240262 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.239293 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.184514 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0810757 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00121175 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0149402 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.11321 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0395375 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00434449 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00121173 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0149402 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00500705 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00498453 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0415606 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.154801 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.013555 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0296933 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0520575 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.017199 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0121558 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0174666 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0296933 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00525416 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00190128 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0853296 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0167883 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0568052 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.106898 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0708467 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0815686 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0167883 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0568052 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0802226 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0712219 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.123703 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0380534 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0166301 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00608031 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00723129 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0535831 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0380534 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0114592 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00695198 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0397208 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0748157 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0180435 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0154434 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00481369 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00510707 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0148189 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0148254 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0267334 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.024429 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0220855 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0194645 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.027038 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0214719 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0214884 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.119649 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.261598 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00348414 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0181888 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.260993 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.261 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.011316 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0109319 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0161642 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.26009 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.260096 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0131083 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0368948 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0114591 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00695192 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0394929 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0148189 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0148254 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0267334 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.260091 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0112424 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0112623 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.18452 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.184508 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0118257 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.109582 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0435456 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.00835261 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00206943 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0118257 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00901518 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00899265 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0119011 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0295323 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0518318 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0177898 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.011565 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0134486 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0295323 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00584495 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00249208 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0250513 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0519275 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0174584 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0118864 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0205378 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0250513 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00552355 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00217067 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0748898 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0173988 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0147988 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00756143 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00505464 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0141743 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0141808 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0239003 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0215567 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0223161 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0271633 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0209432 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0209597 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.261069 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.000631839 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0183155 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.260465 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.260472 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00807964 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0162909 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.259562 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.259568 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0375024 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0116567 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00714958 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0141743 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0141808 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.259563 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0127988 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0714893 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0127204 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0127138 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0207645 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0113873 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00181513 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0322455 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.011229 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.011242 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0218672 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00921937 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0107237 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0481949 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00227116 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.159932 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00401371 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0147359 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.011385 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00846967 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00824016 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0168199 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00362681 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0021745 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0149994 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00267011 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00633262 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00965218 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0482667 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00218946 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.167465 # DEPENDENCYPART_SIBL
