# _root_ V rámci pomoci Spojenců byl na území Slovenska přepravován vojenský , zdravotnický , spojovací a technický materiál .
#goldHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
#predictedHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
(4,1),-1.69202 # DEPENDENCYPART_ARC
(4,2),-3.73677 # DEPENDENCYPART_ARC
(4,3),-2.12598 # DEPENDENCYPART_ARC
(4,5),-1.87868 # DEPENDENCYPART_ARC
(4,9),-2.34665 # DEPENDENCYPART_ARC
(5,1),0.320953 # DEPENDENCYPART_ARC
(5,2),-0.709715 # DEPENDENCYPART_ARC
(5,3),-2.15031 # DEPENDENCYPART_ARC
(5,4),-2.21191 # DEPENDENCYPART_ARC
(5,6),1.01147 # DEPENDENCYPART_ARC
(5,7),0.164591 # DEPENDENCYPART_ARC
(5,8),-2.07225 # DEPENDENCYPART_ARC
(5,9),-0.476548 # DEPENDENCYPART_ARC
(5,10),-0.268669 # DEPENDENCYPART_ARC
(5,11),-1.12941 # DEPENDENCYPART_ARC
(5,12),-1.38865 # DEPENDENCYPART_ARC
(5,13),-1.35761 # DEPENDENCYPART_ARC
(5,14),-2.00615 # DEPENDENCYPART_ARC
(5,15),-1.29021 # DEPENDENCYPART_ARC
(5,17),-1.65633 # DEPENDENCYPART_ARC
(6,7),2.4107 # DEPENDENCYPART_ARC
(6,8),-2.26194 # DEPENDENCYPART_ARC
(6,10),-3.441 # DEPENDENCYPART_ARC
(6,15),-1.53218 # DEPENDENCYPART_ARC
(7,5),-2.78722 # DEPENDENCYPART_ARC
(7,6),-0.758739 # DEPENDENCYPART_ARC
(7,8),2.51287 # DEPENDENCYPART_ARC
(7,9),-1.09734 # DEPENDENCYPART_ARC
(7,10),-2.55577 # DEPENDENCYPART_ARC
(7,11),-1.15194 # DEPENDENCYPART_ARC
(7,12),-2.77977 # DEPENDENCYPART_ARC
(7,13),-1.32427 # DEPENDENCYPART_ARC
(7,14),-3.1128 # DEPENDENCYPART_ARC
(7,15),-0.989199 # DEPENDENCYPART_ARC
(7,17),-2.58614 # DEPENDENCYPART_ARC
(8,2),-4.9825 # DEPENDENCYPART_ARC
(8,3),-3.9214 # DEPENDENCYPART_ARC
(8,4),-2.75632 # DEPENDENCYPART_ARC
(8,5),-3.65873 # DEPENDENCYPART_ARC
(8,7),-1.72577 # DEPENDENCYPART_ARC
(8,9),-1.32735 # DEPENDENCYPART_ARC
(8,10),-3.52646 # DEPENDENCYPART_ARC
(8,12),-3.93583 # DEPENDENCYPART_ARC
(8,14),-4.37976 # DEPENDENCYPART_ARC
(9,1),0.511768 # DEPENDENCYPART_ARC
(9,2),-0.686626 # DEPENDENCYPART_ARC
(9,3),-2.16102 # DEPENDENCYPART_ARC
(9,4),-2.50893 # DEPENDENCYPART_ARC
(9,5),2.52195 # DEPENDENCYPART_ARC
(9,6),1.15904 # DEPENDENCYPART_ARC
(9,7),-0.521931 # DEPENDENCYPART_ARC
(9,8),-1.72806 # DEPENDENCYPART_ARC
(9,10),0.382466 # DEPENDENCYPART_ARC
(9,11),-0.743978 # DEPENDENCYPART_ARC
(9,12),-1.65866 # DEPENDENCYPART_ARC
(9,13),-0.86973 # DEPENDENCYPART_ARC
(9,15),-1.18377 # DEPENDENCYPART_ARC
(9,17),-1.48977 # DEPENDENCYPART_ARC
(9,18),-1.6079 # DEPENDENCYPART_ARC
(10,1),-1.42613 # DEPENDENCYPART_ARC
(10,6),-0.409028 # DEPENDENCYPART_ARC
(10,7),-1.91536 # DEPENDENCYPART_ARC
(10,8),-2.01145 # DEPENDENCYPART_ARC
(10,11),-0.842678 # DEPENDENCYPART_ARC
(10,12),-2.64895 # DEPENDENCYPART_ARC
(10,13),-1.70799 # DEPENDENCYPART_ARC
(11,1),-1.2992 # DEPENDENCYPART_ARC
(11,2),-1.15352 # DEPENDENCYPART_ARC
(11,3),-1.14619 # DEPENDENCYPART_ARC
(11,4),-1.18897 # DEPENDENCYPART_ARC
(11,5),-0.633221 # DEPENDENCYPART_ARC
(11,6),-1.00583 # DEPENDENCYPART_ARC
(11,7),-0.77247 # DEPENDENCYPART_ARC
(11,8),-0.774924 # DEPENDENCYPART_ARC
(11,9),-0.690304 # DEPENDENCYPART_ARC
(11,10),0.288519 # DEPENDENCYPART_ARC
(11,12),0.111636 # DEPENDENCYPART_ARC
(11,13),-0.508944 # DEPENDENCYPART_ARC
(11,14),-1.28314 # DEPENDENCYPART_ARC
(11,15),-0.580423 # DEPENDENCYPART_ARC
(11,16),-1.17582 # DEPENDENCYPART_ARC
(11,17),-1.68826 # DEPENDENCYPART_ARC
(11,18),-1.14313 # DEPENDENCYPART_ARC
(12,6),-1.04096 # DEPENDENCYPART_ARC
(12,10),-2.2096 # DEPENDENCYPART_ARC
(12,11),-0.447684 # DEPENDENCYPART_ARC
(12,13),-0.524308 # DEPENDENCYPART_ARC
(12,14),-2.56465 # DEPENDENCYPART_ARC
(12,17),-3.6721 # DEPENDENCYPART_ARC
(12,18),-1.77503 # DEPENDENCYPART_ARC
(13,1),-1.36586 # DEPENDENCYPART_ARC
(13,2),-1.59508 # DEPENDENCYPART_ARC
(13,3),-1.45367 # DEPENDENCYPART_ARC
(13,4),-1.46346 # DEPENDENCYPART_ARC
(13,5),-0.754956 # DEPENDENCYPART_ARC
(13,6),-1.02424 # DEPENDENCYPART_ARC
(13,7),-1.06874 # DEPENDENCYPART_ARC
(13,8),-1.30381 # DEPENDENCYPART_ARC
(13,9),-0.765741 # DEPENDENCYPART_ARC
(13,10),-0.743113 # DEPENDENCYPART_ARC
(13,11),0.267103 # DEPENDENCYPART_ARC
(13,12),-0.0310916 # DEPENDENCYPART_ARC
(13,14),-0.27184 # DEPENDENCYPART_ARC
(13,15),-0.798924 # DEPENDENCYPART_ARC
(13,16),-1.04698 # DEPENDENCYPART_ARC
(13,17),-1.52783 # DEPENDENCYPART_ARC
(13,18),-1.26868 # DEPENDENCYPART_ARC
(14,11),-1.66164 # DEPENDENCYPART_ARC
(14,12),-2.46095 # DEPENDENCYPART_ARC
(14,13),-0.657876 # DEPENDENCYPART_ARC
(14,18),-1.58931 # DEPENDENCYPART_ARC
(15,1),-1.14919 # DEPENDENCYPART_ARC
(15,2),-1.14747 # DEPENDENCYPART_ARC
(15,3),-1.33699 # DEPENDENCYPART_ARC
(15,4),-1.16534 # DEPENDENCYPART_ARC
(15,5),-0.979665 # DEPENDENCYPART_ARC
(15,6),-0.823489 # DEPENDENCYPART_ARC
(15,7),-0.866088 # DEPENDENCYPART_ARC
(15,8),-0.881068 # DEPENDENCYPART_ARC
(15,9),-0.367238 # DEPENDENCYPART_ARC
(15,10),-0.741764 # DEPENDENCYPART_ARC
(15,11),0.506466 # DEPENDENCYPART_ARC
(15,12),-0.069782 # DEPENDENCYPART_ARC
(15,13),1.05222 # DEPENDENCYPART_ARC
(15,14),2.02543 # DEPENDENCYPART_ARC
(15,16),3.00619 # DEPENDENCYPART_ARC
(15,17),-0.439963 # DEPENDENCYPART_ARC
(15,18),-0.805209 # DEPENDENCYPART_ARC
(16,17),-1.90117 # DEPENDENCYPART_ARC
(16,18),-1.2516 # DEPENDENCYPART_ARC
(17,10),-0.857129 # DEPENDENCYPART_ARC
(17,11),-0.473445 # DEPENDENCYPART_ARC
(17,12),-0.624966 # DEPENDENCYPART_ARC
(17,13),-0.360415 # DEPENDENCYPART_ARC
(17,14),-0.573028 # DEPENDENCYPART_ARC
(17,15),0.877191 # DEPENDENCYPART_ARC
(17,16),2.21879 # DEPENDENCYPART_ARC
(17,18),-0.692936 # DEPENDENCYPART_ARC
(18,17),-3.32873 # DEPENDENCYPART_ARC
(0,1),(0,2),0.110367 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.110683 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.114585 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.378518 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.207652 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.120073 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.396679 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0478733 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0460834 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.201515 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.177144 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0167777 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0167777 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.159874 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.047525 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.4162 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0247927 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.223195 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.198824 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0423902 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0423902 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.183713 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0262343 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.441856 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.208137 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.183766 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0203434 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0203434 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.182063 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0377541 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.416892 # DEPENDENCYPART_SIBL
(0,5),(0,9),-1.48476 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.359258 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.359258 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.985977 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0606431 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.119466 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.962228 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0477528 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.140416 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0653551 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.140416 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0653551 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.031352 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.431255 # DEPENDENCYPART_SIBL
(1,2),(1,3),-1.39166 # DEPENDENCYPART_SIBL
(1,2),(1,4),-1.39291 # DEPENDENCYPART_SIBL
(1,3),(1,4),-1.40917 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.426221 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.441585 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.026078 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0505589 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.437091 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.407755 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0453151 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00611961 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.138813 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.117634 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0306424 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0524779 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.117467 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.121478 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0284216 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00727696 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.331601 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0151484 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0762738 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.109343 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.113354 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0129275 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0142097 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.32952 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0127123 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0163906 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0173947 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.270357 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00330792 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.262933 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0149729 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0124837 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00549661 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00560086 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.168704 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.119866 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0185438 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00899077 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.336177 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0116123 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.01547 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.32855 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0144743 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.253066 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.118035 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0527013 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.180281 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0715917 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.161969 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.175787 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.146451 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0523546 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.118612 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0158919 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0658158 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00201677 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.139752 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0501654 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0533582 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0155879 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.008991 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0381131 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0113316 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.104751 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0699889 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0739996 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0135525 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0342546 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.308913 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0102265 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00889493 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0098991 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.26795 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00410829 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.263281 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0218419 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0193526 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00694977 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00439725 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.169852 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0805115 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00793611 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0290356 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.315569 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0148676 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0355149 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.307942 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0152746 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.253414 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.118224 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0564809 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0344392 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0995639 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0803268 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00256347 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00936382 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00824089 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0140264 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00358395 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.267642 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0511092 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0258329 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.011608 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.105533 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.120907 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.101421 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.100154 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0831733 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0759908 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0831736 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0759908 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0831736 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0548967 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.127954 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.194151 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.212788 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0834596 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.184555 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.184792 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0637466 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.223739 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0719694 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.223737 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0719694 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.223741 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.121764 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.193777 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.22577 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0951805 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0865799 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0868176 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0196473 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.16668 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0383931 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.166677 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0383931 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.166681 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0261555 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0958024 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0467133 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0675445 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0677815 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0109517 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.155132 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0287507 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.155129 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0287507 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.155133 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.019004 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0767662 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0962285 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0810034 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0585043 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0755573 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0879122 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0755573 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0879122 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0755573 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.130323 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.089158 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0897331 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0536698 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0491266 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00387416 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0491266 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00387416 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0491266 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.269499 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.087235 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0501615 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.052388 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0121593 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.052388 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0121593 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.052388 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.265112 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0800523 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00693227 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0601097 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00693227 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0601097 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00693227 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.105198 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0934618 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0332117 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.253057 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0332117 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.253057 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0187733 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0588007 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0164249 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.087634 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0164249 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.139033 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.092684 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0332272 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.253056 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0187732 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0588004 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0164249 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.139033 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.092684 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0187732 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0588004 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0048527 # DEPENDENCYPART_SIBL
(6,7),(6,8),-1.46445 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.485713 # DEPENDENCYPART_SIBL
(6,7),(6,15),-1.40082 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.483988 # DEPENDENCYPART_SIBL
(6,8),(6,15),-1.39581 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.589959 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.130495 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0661767 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00669094 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.11602 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0132614 # DEPENDENCYPART_SIBL
