# _root_ Najednou nebylo žádné místo mezi mým vozem a zdí , byla slova nešťastného Fittipaldiho , s nimiž však Mansell nesouhlasil :
#goldHeads=2,10,4,2,2,7,8,5,8,0,10,11,14,12,20,20,16,20,20,14,0,
#predictedHeads=2,18,4,2,4,7,8,5,8,18,18,11,14,12,18,20,16,0,20,18,0,
(4,1),-1.06325 # DEPENDENCYPART_ARC
(4,2),-2.35647 # DEPENDENCYPART_ARC
(4,3),1.77457 # DEPENDENCYPART_ARC
(4,5),0.673486 # DEPENDENCYPART_ARC
(4,7),-1.82969 # DEPENDENCYPART_ARC
(4,8),-0.997703 # DEPENDENCYPART_ARC
(4,11),-2.5395 # DEPENDENCYPART_ARC
(5,4),-2.15989 # DEPENDENCYPART_ARC
(5,6),0.649425 # DEPENDENCYPART_ARC
(5,7),0.735757 # DEPENDENCYPART_ARC
(5,8),0.360889 # DEPENDENCYPART_ARC
(5,9),-1.26232 # DEPENDENCYPART_ARC
(5,10),-1.30913 # DEPENDENCYPART_ARC
(7,1),-2.13309 # DEPENDENCYPART_ARC
(7,3),-2.64478 # DEPENDENCYPART_ARC
(7,4),-3.65756 # DEPENDENCYPART_ARC
(7,5),-1.78434 # DEPENDENCYPART_ARC
(7,6),2.28527 # DEPENDENCYPART_ARC
(7,9),-2.74245 # DEPENDENCYPART_ARC
(8,1),-0.903566 # DEPENDENCYPART_ARC
(8,2),-0.0237495 # DEPENDENCYPART_ARC
(8,4),-0.222515 # DEPENDENCYPART_ARC
(8,5),-0.861964 # DEPENDENCYPART_ARC
(8,6),0.243718 # DEPENDENCYPART_ARC
(8,7),2.40516 # DEPENDENCYPART_ARC
(8,9),2.34609 # DEPENDENCYPART_ARC
(8,10),-0.698824 # DEPENDENCYPART_ARC
(8,11),-0.654994 # DEPENDENCYPART_ARC
(8,12),-1.37352 # DEPENDENCYPART_ARC
(8,13),-2.0677 # DEPENDENCYPART_ARC
(8,14),-1.67255 # DEPENDENCYPART_ARC
(8,15),-1.16789 # DEPENDENCYPART_ARC
(8,16),-2.04738 # DEPENDENCYPART_ARC
(8,19),-2.21412 # DEPENDENCYPART_ARC
(8,20),-2.34614 # DEPENDENCYPART_ARC
(8,21),-1.5315 # DEPENDENCYPART_ARC
(9,6),-0.905156 # DEPENDENCYPART_ARC
(9,7),-2.89839 # DEPENDENCYPART_ARC
(9,11),-2.07549 # DEPENDENCYPART_ARC
(9,12),-3.01304 # DEPENDENCYPART_ARC
(9,13),-2.33856 # DEPENDENCYPART_ARC
(9,20),-2.42489 # DEPENDENCYPART_ARC
(10,1),-1.50288 # DEPENDENCYPART_ARC
(10,2),-0.77182 # DEPENDENCYPART_ARC
(10,4),-1.25185 # DEPENDENCYPART_ARC
(10,5),-1.60054 # DEPENDENCYPART_ARC
(10,7),-1.03546 # DEPENDENCYPART_ARC
(10,8),-0.798163 # DEPENDENCYPART_ARC
(10,9),-1.28198 # DEPENDENCYPART_ARC
(10,11),-0.821957 # DEPENDENCYPART_ARC
(10,12),-1.40786 # DEPENDENCYPART_ARC
(10,13),-2.04171 # DEPENDENCYPART_ARC
(10,14),-1.82967 # DEPENDENCYPART_ARC
(10,15),-0.783157 # DEPENDENCYPART_ARC
(11,1),-1.57614 # DEPENDENCYPART_ARC
(11,2),-1.63938 # DEPENDENCYPART_ARC
(11,3),-2.16308 # DEPENDENCYPART_ARC
(11,4),-1.24484 # DEPENDENCYPART_ARC
(11,5),-2.00565 # DEPENDENCYPART_ARC
(11,7),-1.42417 # DEPENDENCYPART_ARC
(11,8),-1.45983 # DEPENDENCYPART_ARC
(11,9),-0.621442 # DEPENDENCYPART_ARC
(11,10),-1.2409 # DEPENDENCYPART_ARC
(11,12),1.01738 # DEPENDENCYPART_ARC
(11,13),-1.76348 # DEPENDENCYPART_ARC
(11,14),-2.54526 # DEPENDENCYPART_ARC
(11,15),-0.862143 # DEPENDENCYPART_ARC
(11,16),-1.12699 # DEPENDENCYPART_ARC
(11,18),-0.902276 # DEPENDENCYPART_ARC
(11,19),-2.90931 # DEPENDENCYPART_ARC
(11,20),-3.65077 # DEPENDENCYPART_ARC
(11,21),-1.65982 # DEPENDENCYPART_ARC
(12,6),-4.30679 # DEPENDENCYPART_ARC
(12,10),-1.50446 # DEPENDENCYPART_ARC
(12,13),-1.52811 # DEPENDENCYPART_ARC
(12,14),0.659837 # DEPENDENCYPART_ARC
(12,15),-0.980382 # DEPENDENCYPART_ARC
(12,16),-0.637699 # DEPENDENCYPART_ARC
(12,18),-0.97233 # DEPENDENCYPART_ARC
(12,19),-2.73505 # DEPENDENCYPART_ARC
(12,20),-2.15805 # DEPENDENCYPART_ARC
(12,21),-1.44544 # DEPENDENCYPART_ARC
(13,10),-1.36603 # DEPENDENCYPART_ARC
(13,12),-3.24486 # DEPENDENCYPART_ARC
(13,14),-1.44974 # DEPENDENCYPART_ARC
(13,16),-1.82007 # DEPENDENCYPART_ARC
(14,6),-2.77722 # DEPENDENCYPART_ARC
(14,9),-3.53253 # DEPENDENCYPART_ARC
(14,12),-4.81985 # DEPENDENCYPART_ARC
(14,13),2.19901 # DEPENDENCYPART_ARC
(14,15),-1.46312 # DEPENDENCYPART_ARC
(14,16),-2.29929 # DEPENDENCYPART_ARC
(14,18),-1.56466 # DEPENDENCYPART_ARC
(14,19),-4.51806 # DEPENDENCYPART_ARC
(14,20),-1.24144 # DEPENDENCYPART_ARC
(15,1),-1.66162 # DEPENDENCYPART_ARC
(15,2),-1.53398 # DEPENDENCYPART_ARC
(15,4),-1.98248 # DEPENDENCYPART_ARC
(15,5),-1.62251 # DEPENDENCYPART_ARC
(15,7),-1.90222 # DEPENDENCYPART_ARC
(15,8),-0.98468 # DEPENDENCYPART_ARC
(15,9),-1.96387 # DEPENDENCYPART_ARC
(15,10),-0.637686 # DEPENDENCYPART_ARC
(15,11),-0.574498 # DEPENDENCYPART_ARC
(15,12),-1.28702 # DEPENDENCYPART_ARC
(15,13),-1.48316 # DEPENDENCYPART_ARC
(15,14),-1.4658 # DEPENDENCYPART_ARC
(15,16),-0.7428 # DEPENDENCYPART_ARC
(15,18),-0.971448 # DEPENDENCYPART_ARC
(15,19),-2.02084 # DEPENDENCYPART_ARC
(15,20),-1.36688 # DEPENDENCYPART_ARC
(15,21),-0.892146 # DEPENDENCYPART_ARC
(16,14),-3.33271 # DEPENDENCYPART_ARC
(16,15),-0.765486 # DEPENDENCYPART_ARC
(16,17),1.65618 # DEPENDENCYPART_ARC
(16,18),-0.589063 # DEPENDENCYPART_ARC
(16,19),-2.01981 # DEPENDENCYPART_ARC
(16,21),-1.2374 # DEPENDENCYPART_ARC
(18,1),-2.10954 # DEPENDENCYPART_ARC
(18,2),-1.17012 # DEPENDENCYPART_ARC
(18,4),-2.16193 # DEPENDENCYPART_ARC
(18,7),-1.45213 # DEPENDENCYPART_ARC
(18,8),-1.46022 # DEPENDENCYPART_ARC
(18,9),-1.62036 # DEPENDENCYPART_ARC
(18,10),-0.944337 # DEPENDENCYPART_ARC
(18,11),-1.04435 # DEPENDENCYPART_ARC
(18,12),-1.68685 # DEPENDENCYPART_ARC
(18,13),-2.15058 # DEPENDENCYPART_ARC
(18,14),-1.53658 # DEPENDENCYPART_ARC
(18,15),-0.0332604 # DEPENDENCYPART_ARC
(18,16),-1.60438 # DEPENDENCYPART_ARC
(18,19),-0.700126 # DEPENDENCYPART_ARC
(18,20),-0.0651797 # DEPENDENCYPART_ARC
(18,21),-0.620891 # DEPENDENCYPART_ARC
(19,16),-1.76526 # DEPENDENCYPART_ARC
(19,18),-0.252536 # DEPENDENCYPART_ARC
(19,21),-1.6131 # DEPENDENCYPART_ARC
(20,1),-1.1277 # DEPENDENCYPART_ARC
(20,2),-1.65294 # DEPENDENCYPART_ARC
(20,4),0.0442135 # DEPENDENCYPART_ARC
(20,5),-1.22468 # DEPENDENCYPART_ARC
(20,7),-0.923683 # DEPENDENCYPART_ARC
(20,8),-0.748648 # DEPENDENCYPART_ARC
(20,9),-1.65918 # DEPENDENCYPART_ARC
(20,10),-1.55422 # DEPENDENCYPART_ARC
(20,11),-2.59722 # DEPENDENCYPART_ARC
(20,12),-0.975223 # DEPENDENCYPART_ARC
(20,13),-3.35482 # DEPENDENCYPART_ARC
(20,14),-3.00094 # DEPENDENCYPART_ARC
(20,15),0.198823 # DEPENDENCYPART_ARC
(20,16),1.26074 # DEPENDENCYPART_ARC
(20,18),0.073129 # DEPENDENCYPART_ARC
(20,19),1.56914 # DEPENDENCYPART_ARC
(20,21),-0.862238 # DEPENDENCYPART_ARC
(21,2),-1.8942 # DEPENDENCYPART_ARC
(21,11),-1.56646 # DEPENDENCYPART_ARC
(21,18),-1.18289 # DEPENDENCYPART_ARC
(21,19),-1.88907 # DEPENDENCYPART_ARC
(21,20),-1.63516 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.29039 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.306249 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.341238 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.258021 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.161247 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.158886 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.291739 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.158886 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.200941 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.292688 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.100281 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.228611 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.037999 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.139953 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.950954 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.282091 # DEPENDENCYPART_SIBL
(0,2),(0,11),-1.44916 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.282091 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.919754 # DEPENDENCYPART_SIBL
(0,2),(0,20),-1.45976 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.13617 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.227372 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.327458 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.11065 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0871112 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.414264 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0871112 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.154809 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.414523 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0623621 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.161291 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.169621 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0201046 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.163729 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0201046 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.224938 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.177476 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.230023 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0966227 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0188303 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.307725 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0188303 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.112052 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.307588 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0547351 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.238729 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.886061 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.238729 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.63495 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.898665 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.171199 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.409453 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.276897 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0833005 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.370587 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.955222 # DEPENDENCYPART_SIBL
(0,11),(0,20),-1.4965 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.223066 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.276897 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0833005 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.921091 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0641356 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.14704 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0521661 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0728773 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0201919 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0278267 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0472518 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0284496 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0484326 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0369622 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0141877 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0489802 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.027974 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0484326 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.11252 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0101765 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0115837 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0261392 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0451704 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0563037 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00736157 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0722648 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0607817 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0790299 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0685711 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0512738 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0582827 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0811128 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0801667 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0685711 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0469238 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0510938 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0795065 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0496299 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.071146 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0408568 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0846539 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.24805 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0914181 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0410396 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0186106 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0571894 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00063363 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0920197 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0410396 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0165771 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0332695 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0919821 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0176573 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.150222 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0516442 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.128942 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0284112 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0757967 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0468662 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0538952 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0156079 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0271483 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0757967 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0743592 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0137959 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0278774 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0451571 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0663 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.244152 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.115778 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0370214 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0071499 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0815497 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0025767 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.11638 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0370214 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0229485 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0294562 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.116342 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00620465 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.148173 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0180267 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0186459 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.013669 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00124656 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0314816 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0186282 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0186459 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0257242 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.045487 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0191325 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0246621 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0518639 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0370205 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00713965 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0813694 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00257756 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.1162 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0370205 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0229494 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0294553 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.116162 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0061944 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.148172 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.093824 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0852838 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0574596 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.109688 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.145559 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0691258 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0346559 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.109563 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0914025 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.110449 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0847857 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0641417 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0502222 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0577914 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0392601 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.00758602 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0502274 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.223609 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0847505 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.00303361 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.126896 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0419824 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0203852 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0382838 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.126858 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0134222 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.155204 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0947159 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0542737 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0326337 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.00290619 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.094591 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0986046 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0937902 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0370205 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0229494 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0294553 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.116162 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.00619476 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.148172 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0691258 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0346559 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.109563 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0914025 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.110449 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0630318 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0364695 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.10006 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0476335 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0196013 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.00631523 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.00274234 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.00634932 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.150221 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0692869 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.108426 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.291682 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.125803 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0402829 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0282856 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.036468 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0393889 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.151016 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0757959 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0482743 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0525557 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0265902 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0447103 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0349907 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0299322 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.01842 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.064639 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.149909 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.021432 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.326522 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.018178 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0133583 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0532649 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0635565 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0170631 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0631209 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0870378 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.967498 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.729647 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.967498 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.244109 # DEPENDENCYPART_SIBL
(5,7),(5,8),-1.29034 # DEPENDENCYPART_SIBL
(5,7),(5,9),-1.31663 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.167613 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.607856 # DEPENDENCYPART_SIBL
