# _root_ Na to , jaké právní prostředky nápravy bude nutno v konkrétním případě předem vyčerpat , mohou vznikat nejrůznější názory .
#goldHeads=19,1,8,6,6,14,6,2,8,8,12,10,14,8,8,0,16,19,16,0,
#predictedHeads=14,1,8,6,6,14,6,2,8,14,12,10,14,16,14,0,16,19,16,0,
(2,3),(2,7),0.0505022 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00947546 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0232179 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00835131 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00711339 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0899634 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.104297 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.115208 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0252 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.114765 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0226942 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0984768 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0560713 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0101712 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0637682 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0024149 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.10556 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0243192 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.000907507 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0233049 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0218058 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.130463 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.107973 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0275852 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0534063 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0194986 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0571737 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0525251 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0397848 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0491692 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0414957 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0154527 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0278074 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0424327 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0438554 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0217121 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0278451 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.00208688 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0221805 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.374063 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.00306459 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.370825 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.374063 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0470592 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.359491 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.362729 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0187305 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0433673 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.36712 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.135171 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.202291 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.204823 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.139285 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0235545 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0223166 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.116629 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.123845 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00429521 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0042853 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0436321 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.120978 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0107636 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0006449 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0393534 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.318196 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00303631 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.135544 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0795733 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0339388 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0308797 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.104355 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.167973 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.11407 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.159532 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0310512 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0281084 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.02582 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0959229 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0400424 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0368967 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0185872 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0464476 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0147076 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0341402 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0561786 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0837062 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0137697 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00760768 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0326641 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0403448 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0336574 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0595872 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.111177 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0490839 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00066748 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.040437 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0199438 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0365575 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0414268 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00701033 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.017731 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0980916 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0807315 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.101561 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0180373 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00822248 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0309522 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.166303 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0326723 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0476313 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00266675 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.115163 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00266009 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0408835 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.089293 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0906961 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00676123 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0280987 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0226251 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00418828 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0179605 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0784986 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.118597 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0207372 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0584487 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0554344 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0903033 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.102209 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.018519 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0818121 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0642345 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.189277 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00548345 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0572393 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0430314 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.000198797 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0148161 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0145423 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.000846 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0277682 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0276839 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.103694 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.281781 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0542607 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0654001 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0350658 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0261555 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0244309 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.059678 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00687203 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.100325 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0640311 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0537399 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0199029 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0763035 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0374734 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0963206 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.267049 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0962458 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0613559 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0300337 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0208541 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.06991 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.105857 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0914913 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.105602 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.150627 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.00526965 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0354315 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0186046 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.00416246 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0952629 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0125481 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0123094 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.00969622 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.00881295 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.146377 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0635263 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.163476 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.231013 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0787691 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.00999077 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.208062 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0138517 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0195278 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.146241 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0519812 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0346203 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0254421 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0230368 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0262509 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00145548 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0631641 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0203586 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0621638 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.107464 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0753328 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0527317 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.047862 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0445651 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0364291 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.187612 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0483318 # DEPENDENCYPART_SIBL
