# _root_ Světová návrhářská smetánka se totiž rozhodla všem , které jsou nevšímavé vůči kouzlu negližé , vyhlásit nelítostný boj a ve svých kolekcích povýšit prádlo do řad oficiálního svrchního ošacení .
#goldHeads=3,3,6,6,6,0,16,10,10,7,10,11,12,13,10,19,18,16,6,23,22,20,19,23,23,25,29,29,26,0,
#predictedHeads=3,3,6,6,6,0,6,10,10,7,10,11,12,13,10,19,18,16,10,23,22,20,19,23,24,25,29,29,26,0,
(6,15),-0.705884 # DEPENDENCYPART_ARC
(6,16),-0.188584 # DEPENDENCYPART_ARC
(6,18),-1.6674 # DEPENDENCYPART_ARC
(6,19),-1.21701 # DEPENDENCYPART_ARC
(6,22),-3.66831 # DEPENDENCYPART_ARC
(6,23),-0.524222 # DEPENDENCYPART_ARC
(6,25),-1.53603 # DEPENDENCYPART_ARC
(6,29),-4.6199 # DEPENDENCYPART_ARC
(7,5),-0.796934 # DEPENDENCYPART_ARC
(7,8),-0.686251 # DEPENDENCYPART_ARC
(7,10),-0.490096 # DEPENDENCYPART_ARC
(7,12),-1.71327 # DEPENDENCYPART_ARC
(8,3),-2.53546 # DEPENDENCYPART_ARC
(8,4),-2.21423 # DEPENDENCYPART_ARC
(8,6),-1.54776 # DEPENDENCYPART_ARC
(8,7),-1.60504 # DEPENDENCYPART_ARC
(8,10),-1.13513 # DEPENDENCYPART_ARC
(8,11),-1.98678 # DEPENDENCYPART_ARC
(8,16),-2.44396 # DEPENDENCYPART_ARC
(9,8),-1.1335 # DEPENDENCYPART_ARC
(9,10),-1.2987 # DEPENDENCYPART_ARC
(9,11),-1.59078 # DEPENDENCYPART_ARC
(10,1),-2.50334 # DEPENDENCYPART_ARC
(10,2),-2.65369 # DEPENDENCYPART_ARC
(10,3),-2.08741 # DEPENDENCYPART_ARC
(10,4),-2.06114 # DEPENDENCYPART_ARC
(10,5),-1.00722 # DEPENDENCYPART_ARC
(10,6),-3.50109 # DEPENDENCYPART_ARC
(10,7),-1.48268 # DEPENDENCYPART_ARC
(10,8),0.647693 # DEPENDENCYPART_ARC
(10,9),1.06802 # DEPENDENCYPART_ARC
(10,11),1.3177 # DEPENDENCYPART_ARC
(10,12),0.379908 # DEPENDENCYPART_ARC
(10,13),-0.760423 # DEPENDENCYPART_ARC
(10,14),-0.679591 # DEPENDENCYPART_ARC
(10,15),0.036423 # DEPENDENCYPART_ARC
(10,16),0.0625675 # DEPENDENCYPART_ARC
(10,17),-3.18924 # DEPENDENCYPART_ARC
(10,18),-1.08774 # DEPENDENCYPART_ARC
(10,19),-0.473527 # DEPENDENCYPART_ARC
(10,20),-1.53408 # DEPENDENCYPART_ARC
(10,22),-2.32398 # DEPENDENCYPART_ARC
(10,23),-0.374557 # DEPENDENCYPART_ARC
(10,24),-1.99429 # DEPENDENCYPART_ARC
(10,25),-1.2039 # DEPENDENCYPART_ARC
(10,27),-4.24532 # DEPENDENCYPART_ARC
(10,29),-3.80923 # DEPENDENCYPART_ARC
(11,5),-1.76093 # DEPENDENCYPART_ARC
(11,7),-1.70779 # DEPENDENCYPART_ARC
(11,8),-1.27553 # DEPENDENCYPART_ARC
(11,12),0.416269 # DEPENDENCYPART_ARC
(11,13),0.496193 # DEPENDENCYPART_ARC
(11,14),-1.50964 # DEPENDENCYPART_ARC
(11,15),-0.702125 # DEPENDENCYPART_ARC
(11,16),-0.500998 # DEPENDENCYPART_ARC
(11,19),-0.773756 # DEPENDENCYPART_ARC
(12,11),-2.25311 # DEPENDENCYPART_ARC
(12,13),2.4356 # DEPENDENCYPART_ARC
(12,14),-0.875543 # DEPENDENCYPART_ARC
(12,15),-0.93048 # DEPENDENCYPART_ARC
(12,17),-2.9641 # DEPENDENCYPART_ARC
(12,19),-1.45849 # DEPENDENCYPART_ARC
(13,7),-1.74832 # DEPENDENCYPART_ARC
(13,9),-3.39909 # DEPENDENCYPART_ARC
(13,11),-5.01667 # DEPENDENCYPART_ARC
(13,12),-0.757528 # DEPENDENCYPART_ARC
(13,14),0.807529 # DEPENDENCYPART_ARC
(13,15),-1.31408 # DEPENDENCYPART_ARC
(13,16),-0.711001 # DEPENDENCYPART_ARC
(13,17),-2.30806 # DEPENDENCYPART_ARC
(13,18),-3.27246 # DEPENDENCYPART_ARC
(13,19),-0.728051 # DEPENDENCYPART_ARC
(13,22),-2.87779 # DEPENDENCYPART_ARC
(13,23),-1.30349 # DEPENDENCYPART_ARC
(13,27),-1.55273 # DEPENDENCYPART_ARC
(14,7),-1.81194 # DEPENDENCYPART_ARC
(14,9),-2.13979 # DEPENDENCYPART_ARC
(14,11),-2.95072 # DEPENDENCYPART_ARC
(14,12),-1.14252 # DEPENDENCYPART_ARC
(14,13),0.0968984 # DEPENDENCYPART_ARC
(14,15),-1.0296 # DEPENDENCYPART_ARC
(14,16),-1.06049 # DEPENDENCYPART_ARC
(14,17),-2.9509 # DEPENDENCYPART_ARC
(14,18),-3.17601 # DEPENDENCYPART_ARC
(14,19),-1.05327 # DEPENDENCYPART_ARC
(14,23),-1.37818 # DEPENDENCYPART_ARC
(15,1),-2.62334 # DEPENDENCYPART_ARC
(15,3),-2.21518 # DEPENDENCYPART_ARC
(15,5),-1.62288 # DEPENDENCYPART_ARC
(15,6),-0.654568 # DEPENDENCYPART_ARC
(15,8),-1.00131 # DEPENDENCYPART_ARC
(15,9),-1.46196 # DEPENDENCYPART_ARC
(15,10),-0.607197 # DEPENDENCYPART_ARC
(15,11),-1.58196 # DEPENDENCYPART_ARC
(15,12),-0.871488 # DEPENDENCYPART_ARC
(15,13),-1.2323 # DEPENDENCYPART_ARC
(15,14),-1.25714 # DEPENDENCYPART_ARC
(15,16),-0.660451 # DEPENDENCYPART_ARC
(15,17),-1.80201 # DEPENDENCYPART_ARC
(15,18),-1.60258 # DEPENDENCYPART_ARC
(15,19),-0.725507 # DEPENDENCYPART_ARC
(15,20),-1.67898 # DEPENDENCYPART_ARC
(15,23),-2.2609 # DEPENDENCYPART_ARC
(16,3),-2.84087 # DEPENDENCYPART_ARC
(16,4),-1.93465 # DEPENDENCYPART_ARC
(16,5),-1.79033 # DEPENDENCYPART_ARC
(16,6),-3.81676 # DEPENDENCYPART_ARC
(16,7),-1.49504 # DEPENDENCYPART_ARC
(16,8),-1.1209 # DEPENDENCYPART_ARC
(16,9),-1.60381 # DEPENDENCYPART_ARC
(16,10),-2.38578 # DEPENDENCYPART_ARC
(16,11),-2.30731 # DEPENDENCYPART_ARC
(16,12),-0.705694 # DEPENDENCYPART_ARC
(16,13),-0.420287 # DEPENDENCYPART_ARC
(16,14),-1.67195 # DEPENDENCYPART_ARC
(16,15),-1.02732 # DEPENDENCYPART_ARC
(16,17),-0.196307 # DEPENDENCYPART_ARC
(16,18),1.36686 # DEPENDENCYPART_ARC
(16,19),-0.291904 # DEPENDENCYPART_ARC
(16,20),-0.286643 # DEPENDENCYPART_ARC
(16,22),-1.23426 # DEPENDENCYPART_ARC
(16,23),-0.516321 # DEPENDENCYPART_ARC
(16,24),-0.456594 # DEPENDENCYPART_ARC
(16,25),-0.297587 # DEPENDENCYPART_ARC
(16,26),-2.64677 # DEPENDENCYPART_ARC
(16,29),-1.86571 # DEPENDENCYPART_ARC
(17,18),-1.38971 # DEPENDENCYPART_ARC
(17,20),-1.51408 # DEPENDENCYPART_ARC
(18,9),-4.82171 # DEPENDENCYPART_ARC
(18,13),-3.10114 # DEPENDENCYPART_ARC
(18,14),-1.67338 # DEPENDENCYPART_ARC
(18,17),1.9401 # DEPENDENCYPART_ARC
(18,20),-1.56689 # DEPENDENCYPART_ARC
(18,22),-2.80649 # DEPENDENCYPART_ARC
(18,23),-0.696769 # DEPENDENCYPART_ARC
(19,1),-3.28319 # DEPENDENCYPART_ARC
(19,2),-3.10951 # DEPENDENCYPART_ARC
(19,3),-2.2356 # DEPENDENCYPART_ARC
(19,4),-2.18707 # DEPENDENCYPART_ARC
(19,5),-1.43855 # DEPENDENCYPART_ARC
(19,6),-1.24552 # DEPENDENCYPART_ARC
(19,8),-0.23554 # DEPENDENCYPART_ARC
(19,9),-1.06874 # DEPENDENCYPART_ARC
(19,10),-0.727152 # DEPENDENCYPART_ARC
(19,11),-1.96159 # DEPENDENCYPART_ARC
(19,12),-0.131426 # DEPENDENCYPART_ARC
(19,13),-1.23477 # DEPENDENCYPART_ARC
(19,14),-0.937394 # DEPENDENCYPART_ARC
(19,15),0.0936923 # DEPENDENCYPART_ARC
(19,16),0.931661 # DEPENDENCYPART_ARC
(19,17),-0.377159 # DEPENDENCYPART_ARC
(19,18),-0.486309 # DEPENDENCYPART_ARC
(19,20),0.553139 # DEPENDENCYPART_ARC
(19,22),-0.547318 # DEPENDENCYPART_ARC
(19,23),0.225629 # DEPENDENCYPART_ARC
(19,24),-1.34243 # DEPENDENCYPART_ARC
(19,25),-1.13726 # DEPENDENCYPART_ARC
(19,26),-2.38936 # DEPENDENCYPART_ARC
(19,27),-2.54143 # DEPENDENCYPART_ARC
(19,29),-2.06279 # DEPENDENCYPART_ARC
(20,21),0.301434 # DEPENDENCYPART_ARC
(20,22),1.94441 # DEPENDENCYPART_ARC
(20,24),-2.95649 # DEPENDENCYPART_ARC
(20,26),-4.11212 # DEPENDENCYPART_ARC
(22,17),-3.54629 # DEPENDENCYPART_ARC
(22,18),-2.83796 # DEPENDENCYPART_ARC
(22,20),-1.32742 # DEPENDENCYPART_ARC
(22,21),2.05367 # DEPENDENCYPART_ARC
(22,23),-0.711733 # DEPENDENCYPART_ARC
(22,24),-3.48202 # DEPENDENCYPART_ARC
(22,25),-1.22578 # DEPENDENCYPART_ARC
(22,27),-3.37227 # DEPENDENCYPART_ARC
(23,3),-2.75623 # DEPENDENCYPART_ARC
(23,6),-4.07925 # DEPENDENCYPART_ARC
(23,8),-1.29258 # DEPENDENCYPART_ARC
(23,9),-1.69906 # DEPENDENCYPART_ARC
(23,10),-2.63187 # DEPENDENCYPART_ARC
(23,12),-1.09616 # DEPENDENCYPART_ARC
(23,13),-1.13232 # DEPENDENCYPART_ARC
(23,14),-2.78853 # DEPENDENCYPART_ARC
(23,15),-1.91857 # DEPENDENCYPART_ARC
(23,16),-1.23738 # DEPENDENCYPART_ARC
(23,17),-1.87377 # DEPENDENCYPART_ARC
(23,18),-0.114447 # DEPENDENCYPART_ARC
(23,19),-1.07258 # DEPENDENCYPART_ARC
(23,20),0.578286 # DEPENDENCYPART_ARC
(23,22),0.201926 # DEPENDENCYPART_ARC
(23,24),2.28402 # DEPENDENCYPART_ARC
(23,25),0.689938 # DEPENDENCYPART_ARC
(23,26),-1.38968 # DEPENDENCYPART_ARC
(23,27),-1.46508 # DEPENDENCYPART_ARC
(23,28),-2.27711 # DEPENDENCYPART_ARC
(23,29),-1.56516 # DEPENDENCYPART_ARC
(24,20),-1.59855 # DEPENDENCYPART_ARC
(24,21),-2.55555 # DEPENDENCYPART_ARC
(24,22),-5.11141 # DEPENDENCYPART_ARC
(24,25),0.614221 # DEPENDENCYPART_ARC
(24,26),-0.263137 # DEPENDENCYPART_ARC
(24,27),-0.995059 # DEPENDENCYPART_ARC
(24,28),-1.24073 # DEPENDENCYPART_ARC
(24,29),-0.97269 # DEPENDENCYPART_ARC
(25,24),-2.06587 # DEPENDENCYPART_ARC
(25,26),1.92759 # DEPENDENCYPART_ARC
(25,27),-1.53868 # DEPENDENCYPART_ARC
(25,29),-1.22057 # DEPENDENCYPART_ARC
(26,24),-3.96851 # DEPENDENCYPART_ARC
(26,25),-0.208824 # DEPENDENCYPART_ARC
(26,27),-1.5041 # DEPENDENCYPART_ARC
(26,28),-2.29607 # DEPENDENCYPART_ARC
(26,29),-0.0633289 # DEPENDENCYPART_ARC
(26,30),-1.34497 # DEPENDENCYPART_ARC
(27,20),-1.42343 # DEPENDENCYPART_ARC
(27,22),-3.6675 # DEPENDENCYPART_ARC
(27,24),-2.3717 # DEPENDENCYPART_ARC
(27,25),-1.06822 # DEPENDENCYPART_ARC
(27,26),-2.01103 # DEPENDENCYPART_ARC
(27,28),-2.38775 # DEPENDENCYPART_ARC
(27,29),-2.20582 # DEPENDENCYPART_ARC
(28,26),-2.78238 # DEPENDENCYPART_ARC
(28,27),-1.77932 # DEPENDENCYPART_ARC
(28,29),-2.11341 # DEPENDENCYPART_ARC
(29,24),-3.40775 # DEPENDENCYPART_ARC
(29,25),-1.31784 # DEPENDENCYPART_ARC
(29,26),-3.77852 # DEPENDENCYPART_ARC
(29,27),2.03116 # DEPENDENCYPART_ARC
(29,28),2.70015 # DEPENDENCYPART_ARC
(29,30),-0.760505 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.105661 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0734113 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.149583 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.363548 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0340859 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0804552 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0183322 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.344036 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0804552 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.360861 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.227362 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.360861 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.304711 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0741049 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.149899 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.363228 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0344015 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0186477 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.343715 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0776571 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.360541 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.227047 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.360541 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.302867 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.128241 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.183945 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.101746 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0113639 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0865138 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.123806 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0113639 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.183839 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.182579 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.183832 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.412401 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.325837 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.2953 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.232685 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.273521 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.309276 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.232685 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.323336 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.188569 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.323335 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.191868 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.227565 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.3016 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.241249 # DEPENDENCYPART_SIBL
(0,6),(0,10),-1.47199 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.3016 # DEPENDENCYPART_SIBL
(0,6),(0,16),-1.47455 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.966105 # DEPENDENCYPART_SIBL
(0,6),(0,23),-1.47455 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.0114075 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0809515 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.159978 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.398444 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0809515 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.410547 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.107364 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.410547 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.0317429 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0988608 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.374026 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.140416 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.407934 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.101014 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.420035 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.115877 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.420035 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.052753 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.277015 # DEPENDENCYPART_SIBL
(0,10),(0,16),-1.48821 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.958664 # DEPENDENCYPART_SIBL
(0,10),(0,23),-1.48821 # DEPENDENCYPART_SIBL
(0,10),(0,30),0.0831844 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,30),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.963295 # DEPENDENCYPART_SIBL
(0,16),(0,23),-1.46481 # DEPENDENCYPART_SIBL
(0,16),(0,30),-0.00835333 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.898665 # DEPENDENCYPART_SIBL
(0,19),(0,30),0.0494213 # DEPENDENCYPART_SIBL
(0,23),(0,30),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0533466 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00248736 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00236606 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00177005 # DEPENDENCYPART_SIBL
(1,3),(1,6),9.94936e-05 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0221353 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0118207 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0195134 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0142756 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.012507 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00543408 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0963798 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0523637 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0173765 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.016894 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00689204 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0932789 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0509057 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.070301 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0114061 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0984475 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0119222 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00394998 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0340446 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.000862421 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0285384 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.260608 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0114481 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0430264 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00272965 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0269556 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0313045 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.063494 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00127905 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0170113 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0627078 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00433624 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0540729 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.100942 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0292881 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0698849 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0826664 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.101003 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0633115 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0633115 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0292881 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.053678 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0555704 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.00611994 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0633115 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0586947 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.134591 # DEPENDENCYPART_SIBL
(6,1),(6,29),-0.0649374 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0625928 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00433624 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0540729 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.100942 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0326371 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0707008 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.083569 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.099014 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0662957 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0662957 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0326371 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0544939 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0585547 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0061421 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0662957 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0595107 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.132602 # DEPENDENCYPART_SIBL
(6,2),(6,29),-0.0679217 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0382928 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0806318 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0872611 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00823626 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0126827 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0448032 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0381066 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0650175 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0650175 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00823626 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0150764 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0680597 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00753687 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0650175 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0135425 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.0208628 # DEPENDENCYPART_SIBL
(6,3),(6,29),-0.0749747 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0987154 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.137201 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0735362 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0488837 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.287085 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0030221 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0445155 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0445155 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0735362 # DEPENDENCYPART_SIBL
