# _root_ A míra exportního výkonu , vztahující objem vývozu na jednoho obyvatele , je žalostná :
#goldHeads=0,13,4,2,6,2,6,7,6,11,9,6,1,13,0,
#predictedHeads=2,13,4,2,6,2,6,7,6,11,9,6,0,13,0,
(5,1),-0.80131 # DEPENDENCYPART_ARC
(5,2),-0.813291 # DEPENDENCYPART_ARC
(5,3),-1.16215 # DEPENDENCYPART_ARC
(5,4),-0.147744 # DEPENDENCYPART_ARC
(5,6),-1.2818 # DEPENDENCYPART_ARC
(5,7),-0.816216 # DEPENDENCYPART_ARC
(5,8),-1.40328 # DEPENDENCYPART_ARC
(5,9),-1.06397 # DEPENDENCYPART_ARC
(5,11),-1.72017 # DEPENDENCYPART_ARC
(5,12),-0.429816 # DEPENDENCYPART_ARC
(5,13),-1.94839 # DEPENDENCYPART_ARC
(5,14),-2.3981 # DEPENDENCYPART_ARC
(5,15),-1.43944 # DEPENDENCYPART_ARC
(6,2),-1.90971 # DEPENDENCYPART_ARC
(6,4),-2.30372 # DEPENDENCYPART_ARC
(6,5),-0.0816751 # DEPENDENCYPART_ARC
(6,7),0.772798 # DEPENDENCYPART_ARC
(6,8),-0.44752 # DEPENDENCYPART_ARC
(6,9),-0.455917 # DEPENDENCYPART_ARC
(6,11),-1.23526 # DEPENDENCYPART_ARC
(6,12),-0.287141 # DEPENDENCYPART_ARC
(6,13),-2.09041 # DEPENDENCYPART_ARC
(6,15),-1.01798 # DEPENDENCYPART_ARC
(7,1),-0.607157 # DEPENDENCYPART_ARC
(7,3),-0.76726 # DEPENDENCYPART_ARC
(7,5),-0.665199 # DEPENDENCYPART_ARC
(7,6),-1.96106 # DEPENDENCYPART_ARC
(7,8),2.30126 # DEPENDENCYPART_ARC
(7,9),0.465253 # DEPENDENCYPART_ARC
(7,10),-2.23543 # DEPENDENCYPART_ARC
(7,11),-2.49937 # DEPENDENCYPART_ARC
(7,12),-0.943268 # DEPENDENCYPART_ARC
(7,13),-1.69204 # DEPENDENCYPART_ARC
(7,14),-3.35666 # DEPENDENCYPART_ARC
(7,15),-1.2959 # DEPENDENCYPART_ARC
(8,1),-0.863665 # DEPENDENCYPART_ARC
(8,2),-4.36238 # DEPENDENCYPART_ARC
(8,3),-0.831851 # DEPENDENCYPART_ARC
(8,4),-3.18575 # DEPENDENCYPART_ARC
(8,6),-2.77347 # DEPENDENCYPART_ARC
(8,7),-1.84353 # DEPENDENCYPART_ARC
(8,9),0.512529 # DEPENDENCYPART_ARC
(8,10),-2.61771 # DEPENDENCYPART_ARC
(8,11),-3.94193 # DEPENDENCYPART_ARC
(8,13),-1.99955 # DEPENDENCYPART_ARC
(8,14),-3.66452 # DEPENDENCYPART_ARC
(9,5),-1.67202 # DEPENDENCYPART_ARC
(9,8),-1.73211 # DEPENDENCYPART_ARC
(9,10),1.27173 # DEPENDENCYPART_ARC
(9,11),1.58572 # DEPENDENCYPART_ARC
(9,12),-0.953638 # DEPENDENCYPART_ARC
(9,14),-2.97735 # DEPENDENCYPART_ARC
(9,15),-1.15191 # DEPENDENCYPART_ARC
(10,11),-0.778399 # DEPENDENCYPART_ARC
(10,15),-2.0176 # DEPENDENCYPART_ARC
(11,1),-0.297774 # DEPENDENCYPART_ARC
(11,2),-5.29084 # DEPENDENCYPART_ARC
(11,3),-3.00273 # DEPENDENCYPART_ARC
(11,4),-3.95303 # DEPENDENCYPART_ARC
(11,5),-0.67177 # DEPENDENCYPART_ARC
(11,6),-4.04259 # DEPENDENCYPART_ARC
(11,7),-1.90771 # DEPENDENCYPART_ARC
(11,8),-2.88999 # DEPENDENCYPART_ARC
(11,9),-1.03599 # DEPENDENCYPART_ARC
(11,10),2.8429 # DEPENDENCYPART_ARC
(11,13),-2.09678 # DEPENDENCYPART_ARC
(11,14),-3.32438 # DEPENDENCYPART_ARC
(12,1),-1.18639 # DEPENDENCYPART_ARC
(12,2),-1.92598 # DEPENDENCYPART_ARC
(12,3),-2.53395 # DEPENDENCYPART_ARC
(12,4),-2.15001 # DEPENDENCYPART_ARC
(12,5),-0.931437 # DEPENDENCYPART_ARC
(12,7),-1.40209 # DEPENDENCYPART_ARC
(12,8),-1.54785 # DEPENDENCYPART_ARC
(12,9),-1.256 # DEPENDENCYPART_ARC
(12,10),-1.3734 # DEPENDENCYPART_ARC
(12,11),-1.4966 # DEPENDENCYPART_ARC
(12,13),-0.872033 # DEPENDENCYPART_ARC
(12,14),-1.88434 # DEPENDENCYPART_ARC
(12,15),-0.658134 # DEPENDENCYPART_ARC
(13,1),-0.883715 # DEPENDENCYPART_ARC
(13,2),-0.377762 # DEPENDENCYPART_ARC
(13,3),-4.90699 # DEPENDENCYPART_ARC
(13,4),-3.31353 # DEPENDENCYPART_ARC
(13,5),-1.10139 # DEPENDENCYPART_ARC
(13,6),-1.61932 # DEPENDENCYPART_ARC
(13,7),-1.19336 # DEPENDENCYPART_ARC
(13,8),-2.5141 # DEPENDENCYPART_ARC
(13,9),-1.67366 # DEPENDENCYPART_ARC
(13,10),-1.46473 # DEPENDENCYPART_ARC
(13,11),-1.16413 # DEPENDENCYPART_ARC
(13,12),-0.667866 # DEPENDENCYPART_ARC
(13,14),1.594 # DEPENDENCYPART_ARC
(13,15),-0.470187 # DEPENDENCYPART_ARC
(14,9),-1.01834 # DEPENDENCYPART_ARC
(14,11),-1.80703 # DEPENDENCYPART_ARC
(14,12),-1.1276 # DEPENDENCYPART_ARC
(14,15),-1.15242 # DEPENDENCYPART_ARC
(15,10),-1.88992 # DEPENDENCYPART_ARC
(15,12),-1.21475 # DEPENDENCYPART_ARC
(15,13),-1.4508 # DEPENDENCYPART_ARC
(15,14),-1.07881 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0308671 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0314136 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.238729 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.238729 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.943713 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.171199 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0324331 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0243647 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0243647 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.225561 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.233722 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0196169 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0196169 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.226219 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.229182 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.4829 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0833005 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.4829 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0833005 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.110614 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00582034 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0422551 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0574679 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00575469 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0414241 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0408911 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0574679 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.552198 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.202755 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.193956 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0173418 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.294797 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.19329 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.193283 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0173418 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.534004 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.107081 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0543143 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0029964 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0373853 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0368523 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0543143 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.554399 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.199621 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0480531 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0221974 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0353391 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.235972 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.32637 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.129866 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.19329 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.193283 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0175124 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.534004 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.107166 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.035753 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0500131 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.554623 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.196381 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0522639 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.548648 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.199042 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.32637 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.129866 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0607856 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00736406 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00545047 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0435627 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00191934 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00246099 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00530259 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0817199 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0797506 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00512815 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0435627 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00722313 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0312792 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0155812 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.113 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0150001 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0303409 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.012257 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0308535 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0304029 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0155812 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.112921 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0366618 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.02726 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0501032 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0646214 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.111694 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00645249 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0646695 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0366618 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0274179 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0142822 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0259876 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0102269 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0260908 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0126029 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.010289 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00497434 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0143588 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0150527 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0303935 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0126617 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0309061 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0304555 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0158045 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.112973 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0453988 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.145135 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0414388 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0454469 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00651141 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0423563 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.101879 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0041819 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.067532 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0398983 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0250855 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0686355 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0272533 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0521876 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00133977 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0275407 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0995199 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0240538 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0337615 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.03113 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0143588 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00716676 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0137668 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.014465 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00961902 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.000543792 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.110307 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0171412 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.337892 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0421034 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00341825 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0146959 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0224595 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0874895 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0857022 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.000263173 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00188554 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.006224 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0264442 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00274995 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0206274 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0208411 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.119046 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0126775 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0390292 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00334292 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00867101 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0868462 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00955093 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0161465 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0752114 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0266215 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0176877 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0925613 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0158235 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0252192 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0109952 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0422114 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0151047 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0362724 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0159001 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0130382 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.028379 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0259728 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.030623 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.015534 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.108989 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0469181 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.117105 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0364317 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0186857 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0441162 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0738483 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.000825186 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00394708 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0268454 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0619916 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0220834 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00068235 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0135378 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0280152 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.012611 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0149832 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0682941 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00804822 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00845225 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0532643 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0576405 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0370195 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0576414 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0159761 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0785866 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00831246 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0657907 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0294799 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00530828 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00389307 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.189511 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.206209 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0285784 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.206647 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0195704 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00393203 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00500091 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0204315 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0130806 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.568131 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00311272 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00147143 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0155709 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00172407 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0313935 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.039717 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.568664 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.038608 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00998295 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.139095 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.155793 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0425943 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.156231 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0179503 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0197774 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00887511 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0288895 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0373739 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0373668 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.102933 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0374402 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0155802 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0651566 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.117025 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0615837 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.030301 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0214613 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0303662 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0248466 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.046011 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.016414 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0860264 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0164204 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0198491 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0351583 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0300614 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0299818 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0761248 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0798257 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00120992 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.125589 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00103438 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.000724656 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.035134 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0322334 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0299212 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.076183 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0526179 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00274649 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0310782 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.00428517 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.16358 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0617013 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.116434 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0713392 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00222721 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0065586 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.104452 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00699721 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.029751 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00644811 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0527703 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0698465 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0229199 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0141341 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.104213 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0136955 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0169522 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0167369 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0468099 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.318896 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.317173 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.250253 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.306306 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.395365 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.180921 # DEPENDENCYPART_SIBL
