# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,15,15,12,15,6,0,20,18,20,21,22,0,
(10,9),-0.379584 # DEPENDENCYPART_ARC
(10,11),0.123885 # DEPENDENCYPART_ARC
(10,12),1.09582 # DEPENDENCYPART_ARC
(10,13),-2.08038 # DEPENDENCYPART_ARC
(10,14),-2.15808 # DEPENDENCYPART_ARC
(10,15),-0.496714 # DEPENDENCYPART_ARC
(10,16),-1.2688 # DEPENDENCYPART_ARC
(10,17),-0.518391 # DEPENDENCYPART_ARC
(10,18),-2.09514 # DEPENDENCYPART_ARC
(10,19),-1.72247 # DEPENDENCYPART_ARC
(10,20),-2.01049 # DEPENDENCYPART_ARC
(10,22),-1.35747 # DEPENDENCYPART_ARC
(10,23),-3.65491 # DEPENDENCYPART_ARC
(11,8),-0.946371 # DEPENDENCYPART_ARC
(11,9),-1.77129 # DEPENDENCYPART_ARC
(11,12),-1.0944 # DEPENDENCYPART_ARC
(12,2),-0.896201 # DEPENDENCYPART_ARC
(12,7),-4.09669 # DEPENDENCYPART_ARC
(12,8),-0.34768 # DEPENDENCYPART_ARC
(12,9),-3.57007 # DEPENDENCYPART_ARC
(12,10),-2.82526 # DEPENDENCYPART_ARC
(12,11),1.99019 # DEPENDENCYPART_ARC
(12,13),-0.233236 # DEPENDENCYPART_ARC
(12,14),-1.16499 # DEPENDENCYPART_ARC
(12,15),-0.336242 # DEPENDENCYPART_ARC
(12,16),-0.176258 # DEPENDENCYPART_ARC
(12,17),-1.40096 # DEPENDENCYPART_ARC
(12,18),-2.41507 # DEPENDENCYPART_ARC
(12,19),-1.32464 # DEPENDENCYPART_ARC
(12,20),-2.95773 # DEPENDENCYPART_ARC
(12,21),-1.5426 # DEPENDENCYPART_ARC
(12,22),-1.59965 # DEPENDENCYPART_ARC
(12,23),-0.954203 # DEPENDENCYPART_ARC
(13,1),-3.70143 # DEPENDENCYPART_ARC
(13,2),-1.78509 # DEPENDENCYPART_ARC
(13,7),-2.12845 # DEPENDENCYPART_ARC
(13,8),-1.30386 # DEPENDENCYPART_ARC
(13,10),-2.81665 # DEPENDENCYPART_ARC
(13,12),-2.16085 # DEPENDENCYPART_ARC
(13,14),-2.35082 # DEPENDENCYPART_ARC
(13,15),-2.25848 # DEPENDENCYPART_ARC
(13,16),-3.00057 # DEPENDENCYPART_ARC
(13,17),-1.06123 # DEPENDENCYPART_ARC
(13,18),-2.34953 # DEPENDENCYPART_ARC
(13,19),-1.48083 # DEPENDENCYPART_ARC
(13,21),-0.518315 # DEPENDENCYPART_ARC
(13,22),-1.62375 # DEPENDENCYPART_ARC
(14,13),-0.790775 # DEPENDENCYPART_ARC
(14,15),-0.00131714 # DEPENDENCYPART_ARC
(14,16),-1.87076 # DEPENDENCYPART_ARC
(14,21),-0.320902 # DEPENDENCYPART_ARC
(15,11),0.372623 # DEPENDENCYPART_ARC
(15,12),-1.15468 # DEPENDENCYPART_ARC
(15,13),0.0296341 # DEPENDENCYPART_ARC
(15,14),1.66772 # DEPENDENCYPART_ARC
(15,16),1.91027 # DEPENDENCYPART_ARC
(15,17),-1.45925 # DEPENDENCYPART_ARC
(15,18),-2.73487 # DEPENDENCYPART_ARC
(15,19),-1.24494 # DEPENDENCYPART_ARC
(15,20),-2.72175 # DEPENDENCYPART_ARC
(15,21),-1.50534 # DEPENDENCYPART_ARC
(15,22),-2.15627 # DEPENDENCYPART_ARC
(15,23),-1.09099 # DEPENDENCYPART_ARC
(16,11),-1.55175 # DEPENDENCYPART_ARC
(16,12),-3.43277 # DEPENDENCYPART_ARC
(16,13),0.255215 # DEPENDENCYPART_ARC
(16,14),0.607683 # DEPENDENCYPART_ARC
(16,15),-1.19798 # DEPENDENCYPART_ARC
(16,17),-1.31645 # DEPENDENCYPART_ARC
(16,18),-1.7952 # DEPENDENCYPART_ARC
(16,19),-1.52811 # DEPENDENCYPART_ARC
(16,20),-3.6585 # DEPENDENCYPART_ARC
(16,21),-1.67568 # DEPENDENCYPART_ARC
(17,1),-2.47397 # DEPENDENCYPART_ARC
(17,2),-2.07651 # DEPENDENCYPART_ARC
(17,5),-1.64504 # DEPENDENCYPART_ARC
(17,6),-1.08897 # DEPENDENCYPART_ARC
(17,8),-1.66762 # DEPENDENCYPART_ARC
(17,9),-1.71393 # DEPENDENCYPART_ARC
(17,10),-0.750682 # DEPENDENCYPART_ARC
(17,12),-1.55268 # DEPENDENCYPART_ARC
(17,13),-1.98598 # DEPENDENCYPART_ARC
(17,14),-1.76876 # DEPENDENCYPART_ARC
(17,15),-1.44879 # DEPENDENCYPART_ARC
(17,16),-1.47742 # DEPENDENCYPART_ARC
(17,18),-0.904414 # DEPENDENCYPART_ARC
(17,19),-1.43414 # DEPENDENCYPART_ARC
(17,20),-2.07481 # DEPENDENCYPART_ARC
(17,21),-1.09464 # DEPENDENCYPART_ARC
(17,22),-1.76827 # DEPENDENCYPART_ARC
(18,1),0.219182 # DEPENDENCYPART_ARC
(18,2),-2.10868 # DEPENDENCYPART_ARC
(18,4),-2.44176 # DEPENDENCYPART_ARC
(18,5),-1.544 # DEPENDENCYPART_ARC
(18,6),-0.319156 # DEPENDENCYPART_ARC
(18,7),-0.840769 # DEPENDENCYPART_ARC
(18,8),-0.976207 # DEPENDENCYPART_ARC
(18,9),-1.86659 # DEPENDENCYPART_ARC
(18,10),-1.60711 # DEPENDENCYPART_ARC
(18,12),-0.310765 # DEPENDENCYPART_ARC
(18,13),-4.02026 # DEPENDENCYPART_ARC
(18,14),-2.23837 # DEPENDENCYPART_ARC
(18,15),-0.502602 # DEPENDENCYPART_ARC
(18,16),-2.47725 # DEPENDENCYPART_ARC
(18,17),-0.643136 # DEPENDENCYPART_ARC
(18,19),0.362267 # DEPENDENCYPART_ARC
(18,20),1.61614 # DEPENDENCYPART_ARC
(18,21),-0.400652 # DEPENDENCYPART_ARC
(18,22),-0.616261 # DEPENDENCYPART_ARC
(18,23),-2.36687 # DEPENDENCYPART_ARC
(18,24),-0.733012 # DEPENDENCYPART_ARC
(19,16),-1.67362 # DEPENDENCYPART_ARC
(19,20),-1.71769 # DEPENDENCYPART_ARC
(19,21),-0.512774 # DEPENDENCYPART_ARC
(19,22),-2.03345 # DEPENDENCYPART_ARC
(19,23),-2.42708 # DEPENDENCYPART_ARC
(20,1),-3.10451 # DEPENDENCYPART_ARC
(20,8),-1.15808 # DEPENDENCYPART_ARC
(20,13),-3.71 # DEPENDENCYPART_ARC
(20,14),-2.14606 # DEPENDENCYPART_ARC
(20,15),-2.37115 # DEPENDENCYPART_ARC
(20,16),-3.18097 # DEPENDENCYPART_ARC
(20,17),-0.777817 # DEPENDENCYPART_ARC
(20,19),0.80469 # DEPENDENCYPART_ARC
(20,21),0.974411 # DEPENDENCYPART_ARC
(20,22),-0.423155 # DEPENDENCYPART_ARC
(20,23),-1.34787 # DEPENDENCYPART_ARC
(20,24),-0.535023 # DEPENDENCYPART_ARC
(21,10),-2.28662 # DEPENDENCYPART_ARC
(21,15),-3.20753 # DEPENDENCYPART_ARC
(21,16),-3.22153 # DEPENDENCYPART_ARC
(21,17),-1.05594 # DEPENDENCYPART_ARC
(21,18),-1.32692 # DEPENDENCYPART_ARC
(21,19),-1.70864 # DEPENDENCYPART_ARC
(21,20),-1.61678 # DEPENDENCYPART_ARC
(21,22),0.228844 # DEPENDENCYPART_ARC
(21,23),-0.674932 # DEPENDENCYPART_ARC
(21,24),-0.57589 # DEPENDENCYPART_ARC
(22,23),2.06662 # DEPENDENCYPART_ARC
(22,24),-0.986256 # DEPENDENCYPART_ARC
(23,11),-2.63617 # DEPENDENCYPART_ARC
(23,19),-0.929022 # DEPENDENCYPART_ARC
(23,20),-4.00961 # DEPENDENCYPART_ARC
(23,21),-0.263581 # DEPENDENCYPART_ARC
(23,22),-0.994945 # DEPENDENCYPART_ARC
(23,24),-0.505578 # DEPENDENCYPART_ARC
(0,1),(0,2),0.189605 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0291802 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0327782 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0455861 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.195615 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0944334 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0327782 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.230057 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.432185 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.208206 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.2298 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0283616 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.48073 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0685158 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.2298 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.521016 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.450326 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0203614 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0370913 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.192124 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.102204 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0203614 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.226513 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.4169 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0856969 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.412382 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0216704 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.4829 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.862394 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.110776 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.424263 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.901913 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.207963 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0880771 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.306647 # DEPENDENCYPART_SIBL
(0,10),(0,18),-1.54877 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.021917 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.115887 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.454368 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.346861 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.4829 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.0527541 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00116543 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0269628 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.055301 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00508432 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0064146 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0254135 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0128583 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0259376 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0154676 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0436082 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0804273 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00483026 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00429716 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0131166 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00769452 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0233672 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00605059 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0486852 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0485445 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.755364 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.109319 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.410528 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.26273 # DEPENDENCYPART_SIBL
(2,4),(2,6),-1.00381 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.339298 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.052685 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0608492 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0074953 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.037868 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0472716 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00421038 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0320942 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0110628 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0615792 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.105393 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0088914 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0374148 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0160979 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.004201 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0119578 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00645388 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0122429 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0316113 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00981021 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0359982 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0398963 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.000963325 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0489569 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0389327 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0427065 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0286153 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00298329 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.392027 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0263463 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0117238 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.013605 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0127249 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0291929 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00971393 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00619674 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0270023 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.039717 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0189745 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0313114 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0233814 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.062967 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0165125 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0294222 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0328922 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0713611 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.035915 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0724119 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.303089 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0821329 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0559625 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.379417 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0740536 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0500059 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.165756 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0215423 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.120176 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0814486 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0593034 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0664522 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0646313 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0534143 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.100849 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0608154 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0599777 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0746092 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.329957 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0788545 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.11602 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0765579 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00244324 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.164604 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.011756 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.192401 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00854123 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.067568 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.197423 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0666131 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0328925 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.260647 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.10994 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0844967 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0521372 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0561286 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.057465 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.036596 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0905236 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0569689 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00181825 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.110724 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.000605953 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.11201 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.11635 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0215949 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.414817 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0123339 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.031021 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.446722 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.344391 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0634147 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0138473 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.39236 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00608588 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0734583 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.843473 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0235914 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.392346 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.36728 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0485592 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0964309 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0256028 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.000427299 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.582577 # DEPENDENCYPART_SIBL
(8,9),(8,12),-1.39644 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.430425 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.719402 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0853398 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.439699 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0449078 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.209032 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0710446 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0639345 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0193772 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0639267 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0226802 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0149579 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.133138 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0730282 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.143027 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0743277 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.148725 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.107698 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.111148 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.141106 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.10986 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.134121 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0340643 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0257976 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0321823 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0260663 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0340545 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0664123 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.0334163 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0303406 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.111001 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.0334425 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.02614 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.167479 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.122039 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0694479 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0360792 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0453718 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.163556 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0259253 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0268827 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0112973 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0112046 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0365919 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0340091 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00323655 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0405958 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.149585 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.00510728 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.0356723 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0366127 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0425438 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.288157 # DEPENDENCYPART_SIBL
