# _root_ Za karty bude chybět Novotný a o tom , zda nastoupí Chovanec , rozhodne lékař až po dnešním tréninku .
#goldHeads=4,1,4,6,4,0,14,7,10,8,10,11,10,6,14,19,14,19,17,0,
#predictedHeads=4,1,4,6,4,0,6,7,10,8,10,11,10,0,14,19,14,19,17,0,
(11,15),-0.839102 # DEPENDENCYPART_ARC
(11,16),-1.21074 # DEPENDENCYPART_ARC
(11,17),-0.829861 # DEPENDENCYPART_ARC
(11,19),-2.01992 # DEPENDENCYPART_ARC
(12,7),-1.30217 # DEPENDENCYPART_ARC
(12,8),-2.53009 # DEPENDENCYPART_ARC
(12,10),-0.494445 # DEPENDENCYPART_ARC
(12,13),-1.22445 # DEPENDENCYPART_ARC
(12,14),-1.93666 # DEPENDENCYPART_ARC
(12,15),-2.94193 # DEPENDENCYPART_ARC
(12,16),-1.62873 # DEPENDENCYPART_ARC
(12,17),-2.18752 # DEPENDENCYPART_ARC
(13,1),-1.96314 # DEPENDENCYPART_ARC
(13,3),-1.05083 # DEPENDENCYPART_ARC
(13,4),-0.793832 # DEPENDENCYPART_ARC
(13,5),-1.49539 # DEPENDENCYPART_ARC
(13,6),-0.855173 # DEPENDENCYPART_ARC
(13,8),-1.63381 # DEPENDENCYPART_ARC
(13,9),-0.904265 # DEPENDENCYPART_ARC
(13,10),-0.413677 # DEPENDENCYPART_ARC
(13,11),-0.526927 # DEPENDENCYPART_ARC
(13,12),-1.1256 # DEPENDENCYPART_ARC
(13,14),-0.61553 # DEPENDENCYPART_ARC
(13,15),-1.3585 # DEPENDENCYPART_ARC
(13,16),-1.40605 # DEPENDENCYPART_ARC
(13,17),-1.28253 # DEPENDENCYPART_ARC
(13,19),-2.00088 # DEPENDENCYPART_ARC
(14,1),-0.683272 # DEPENDENCYPART_ARC
(14,3),-3.20228 # DEPENDENCYPART_ARC
(14,4),-1.13917 # DEPENDENCYPART_ARC
(14,5),-1.87867 # DEPENDENCYPART_ARC
(14,6),-1.511 # DEPENDENCYPART_ARC
(14,7),-0.897322 # DEPENDENCYPART_ARC
(14,8),-3.49492 # DEPENDENCYPART_ARC
(14,9),-1.29418 # DEPENDENCYPART_ARC
(14,10),-0.742104 # DEPENDENCYPART_ARC
(14,11),-0.709123 # DEPENDENCYPART_ARC
(14,12),-0.786101 # DEPENDENCYPART_ARC
(14,13),-0.692583 # DEPENDENCYPART_ARC
(14,15),1.54771 # DEPENDENCYPART_ARC
(14,16),-0.830898 # DEPENDENCYPART_ARC
(14,17),0.248325 # DEPENDENCYPART_ARC
(14,18),-2.71017 # DEPENDENCYPART_ARC
(14,19),-0.371285 # DEPENDENCYPART_ARC
(14,20),-0.772201 # DEPENDENCYPART_ARC
(15,12),-0.833611 # DEPENDENCYPART_ARC
(15,14),-2.14694 # DEPENDENCYPART_ARC
(15,16),-0.625553 # DEPENDENCYPART_ARC
(15,17),-1.33233 # DEPENDENCYPART_ARC
(15,18),-2.00246 # DEPENDENCYPART_ARC
(15,19),-2.23528 # DEPENDENCYPART_ARC
(15,20),-1.29049 # DEPENDENCYPART_ARC
(16,11),-1.31199 # DEPENDENCYPART_ARC
(16,12),-1.48638 # DEPENDENCYPART_ARC
(16,13),-0.909801 # DEPENDENCYPART_ARC
(16,14),-0.63219 # DEPENDENCYPART_ARC
(16,15),-0.574137 # DEPENDENCYPART_ARC
(16,17),-0.865208 # DEPENDENCYPART_ARC
(16,18),-1.55055 # DEPENDENCYPART_ARC
(16,19),-2.10684 # DEPENDENCYPART_ARC
(16,20),-1.15132 # DEPENDENCYPART_ARC
(17,15),-3.26396 # DEPENDENCYPART_ARC
(17,16),-0.986556 # DEPENDENCYPART_ARC
(17,18),-0.0812444 # DEPENDENCYPART_ARC
(17,19),2.08447 # DEPENDENCYPART_ARC
(17,20),-1.03629 # DEPENDENCYPART_ARC
(18,15),-2.64551 # DEPENDENCYPART_ARC
(18,16),-0.69824 # DEPENDENCYPART_ARC
(19,15),-1.20683 # DEPENDENCYPART_ARC
(19,16),0.0258094 # DEPENDENCYPART_ARC
(19,17),-0.835385 # DEPENDENCYPART_ARC
(19,18),2.11767 # DEPENDENCYPART_ARC
(19,20),-0.633618 # DEPENDENCYPART_ARC
(0,1),(0,2),0.235634 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.34363 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.333441 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0918597 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.195627 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.151166 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0805515 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0688038 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.329117 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0805515 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.329899 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.211521 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.211547 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.188003 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.182156 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.150846 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0983516 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0216767 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0312707 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.18733 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0216767 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.184896 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.41951 # DEPENDENCYPART_SIBL
(0,3),(0,4),-1.48043 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.967178 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.181233 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.240705 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.347357 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.73075 # DEPENDENCYPART_SIBL
(0,3),(0,11),-1.48022 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.347357 # DEPENDENCYPART_SIBL
(0,3),(0,14),-1.48004 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.107215 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.929746 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.164483 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.208504 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.259908 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.696673 # DEPENDENCYPART_SIBL
(0,4),(0,11),-1.44784 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.259908 # DEPENDENCYPART_SIBL
(0,4),(0,14),-1.44766 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0457444 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00444807 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0533034 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.426722 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.898808 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.899308 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0494213 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.132075 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0665988 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0156245 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.413295 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0665988 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.414806 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.316417 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0857761 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0093583 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.407787 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0857761 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.411155 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0373078 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0896132 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.408661 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.898219 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.507573 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.898645 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.338484 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.337723 # DEPENDENCYPART_SIBL
(0,11),(0,14),-1.47424 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0521404 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.00473972 # DEPENDENCYPART_SIBL
(1,2),(1,5),-1.36469 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0762306 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.078888 # DEPENDENCYPART_SIBL
(2,1),(2,6),-8.06751e-05 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.257243 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.236919 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.233935 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.000699699 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0206479 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.174716 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.131338 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0390424 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0286669 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0506036 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.104186 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0506036 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0549408 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00368691 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0952063 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.123767 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0836485 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.021264 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0933475 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.156139 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0933475 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0593953 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.015451 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.139175 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0541539 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00962399 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.014169 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0788737 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.014169 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0332728 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.205266 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0531044 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0199408 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.074509 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0268094 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.074509 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0278808 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0247694 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0402809 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0563771 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0218234 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0563771 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0164468 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0806126 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0515842 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0930968 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0515842 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0588365 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0221681 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00552361 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0221681 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0669308 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0891548 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.112578 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0704468 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0682511 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0149984 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0704468 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0310639 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.262737 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0653229 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.062078 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0154464 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0297273 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00921151 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0256214 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00892164 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00921151 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0192038 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.315967 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.000516097 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0187655 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0111574 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.101064 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0115023 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0561298 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00732159 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0115023 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0334126 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.106789 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0545858 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00571828 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0113312 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.135437 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0802254 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0732496 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.135437 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.047034 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.234965 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00842032 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0165215 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0303438 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0725579 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0136228 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0303438 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0919354 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.050685 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0537419 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0108438 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0391562 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0308675 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0108438 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0245797 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.150094 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.125243 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.179475 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.264833 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.125243 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.17907 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.030325 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00706031 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0186524 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.030325 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0327224 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0811892 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.093205 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.13533 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0893352 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00234445 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00242724 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0289146 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0280241 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0263812 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0893352 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.133662 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00363974 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0864824 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0504175 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.11918 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0283497 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0627135 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0113384 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0366715 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0626743 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.270134 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0510579 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0404829 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0400923 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0285297 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0562997 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0404829 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0352624 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0556569 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.100104 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0457142 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0346266 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0193991 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0674249 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00210205 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0317368 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0150633 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0370067 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0494375 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0317368 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0424021 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0415397 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0601199 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0178694 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0983828 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00402727 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0286535 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0173727 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0110091 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.495335 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.133722 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0173727 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.463293 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.119684 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0578478 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.131922 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0129608 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0341496 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0113901 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00289732 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.491844 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.16051 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0113901 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.461308 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.151993 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0585846 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0765697 # DEPENDENCYPART_SIBL
