# _root_ " I když se Taliban dostal těsně ke Kábulu , nevěříme , že na něj zaútočí .
#goldHeads=3,3,11,6,6,3,6,7,8,3,0,13,11,16,14,13,0,
#predictedHeads=11,3,11,6,6,3,6,6,8,3,0,13,11,16,14,13,0,
(7,11),-2.18773 # DEPENDENCYPART_ARC
(7,13),-1.27252 # DEPENDENCYPART_ARC
(7,14),-2.12006 # DEPENDENCYPART_ARC
(7,16),-2.43938 # DEPENDENCYPART_ARC
(8,7),-1.00534 # DEPENDENCYPART_ARC
(8,9),3.19686 # DEPENDENCYPART_ARC
(8,10),-0.636924 # DEPENDENCYPART_ARC
(8,12),-1.38977 # DEPENDENCYPART_ARC
(9,2),-1.47283 # DEPENDENCYPART_ARC
(9,4),-4.67054 # DEPENDENCYPART_ARC
(9,5),-2.81852 # DEPENDENCYPART_ARC
(9,7),-0.823008 # DEPENDENCYPART_ARC
(9,8),-1.2996 # DEPENDENCYPART_ARC
(9,11),-2.60443 # DEPENDENCYPART_ARC
(9,13),-1.52361 # DEPENDENCYPART_ARC
(9,16),-2.67962 # DEPENDENCYPART_ARC
(10,1),-1.19541 # DEPENDENCYPART_ARC
(10,2),-1.02331 # DEPENDENCYPART_ARC
(10,3),-0.669859 # DEPENDENCYPART_ARC
(10,5),-1.26342 # DEPENDENCYPART_ARC
(10,6),-0.22142 # DEPENDENCYPART_ARC
(10,7),-0.701475 # DEPENDENCYPART_ARC
(10,8),-0.997881 # DEPENDENCYPART_ARC
(10,9),-1.1596 # DEPENDENCYPART_ARC
(10,11),-0.605064 # DEPENDENCYPART_ARC
(10,12),-0.672951 # DEPENDENCYPART_ARC
(10,13),-1.13398 # DEPENDENCYPART_ARC
(10,14),-1.51029 # DEPENDENCYPART_ARC
(10,16),-2.2863 # DEPENDENCYPART_ARC
(11,1),-0.869503 # DEPENDENCYPART_ARC
(11,2),-1.23192 # DEPENDENCYPART_ARC
(11,3),0.073282 # DEPENDENCYPART_ARC
(11,4),-1.00519 # DEPENDENCYPART_ARC
(11,5),-2.2408 # DEPENDENCYPART_ARC
(11,6),-2.55461 # DEPENDENCYPART_ARC
(11,7),-0.413359 # DEPENDENCYPART_ARC
(11,8),-0.486475 # DEPENDENCYPART_ARC
(11,9),-1.69309 # DEPENDENCYPART_ARC
(11,10),-0.387475 # DEPENDENCYPART_ARC
(11,12),-0.218711 # DEPENDENCYPART_ARC
(11,13),0.269255 # DEPENDENCYPART_ARC
(11,14),-1.67991 # DEPENDENCYPART_ARC
(11,16),-1.32683 # DEPENDENCYPART_ARC
(11,17),-1.75042 # DEPENDENCYPART_ARC
(12,1),-1.2636 # DEPENDENCYPART_ARC
(12,3),-0.648615 # DEPENDENCYPART_ARC
(12,5),-1.75365 # DEPENDENCYPART_ARC
(12,6),-1.24025 # DEPENDENCYPART_ARC
(12,8),-1.04189 # DEPENDENCYPART_ARC
(12,9),-1.31415 # DEPENDENCYPART_ARC
(12,10),-0.35382 # DEPENDENCYPART_ARC
(12,11),-0.833763 # DEPENDENCYPART_ARC
(12,14),-1.33975 # DEPENDENCYPART_ARC
(12,16),-1.51025 # DEPENDENCYPART_ARC
(13,6),-1.84081 # DEPENDENCYPART_ARC
(13,9),-2.37379 # DEPENDENCYPART_ARC
(13,10),-0.33687 # DEPENDENCYPART_ARC
(13,11),-1.11656 # DEPENDENCYPART_ARC
(13,12),1.73076 # DEPENDENCYPART_ARC
(13,14),-0.773885 # DEPENDENCYPART_ARC
(13,16),0.891925 # DEPENDENCYPART_ARC
(13,17),-0.834858 # DEPENDENCYPART_ARC
(14,12),-1.30223 # DEPENDENCYPART_ARC
(14,15),1.887 # DEPENDENCYPART_ARC
(14,17),-0.845318 # DEPENDENCYPART_ARC
(16,1),-1.26966 # DEPENDENCYPART_ARC
(16,2),-1.4537 # DEPENDENCYPART_ARC
(16,3),-0.296888 # DEPENDENCYPART_ARC
(16,4),-1.74338 # DEPENDENCYPART_ARC
(16,5),-0.833858 # DEPENDENCYPART_ARC
(16,6),-2.43274 # DEPENDENCYPART_ARC
(16,7),-1.23428 # DEPENDENCYPART_ARC
(16,8),-1.35672 # DEPENDENCYPART_ARC
(16,9),-1.80018 # DEPENDENCYPART_ARC
(16,10),-1.43764 # DEPENDENCYPART_ARC
(16,11),-1.18391 # DEPENDENCYPART_ARC
(16,12),-0.679727 # DEPENDENCYPART_ARC
(16,13),-0.739375 # DEPENDENCYPART_ARC
(16,14),0.907994 # DEPENDENCYPART_ARC
(16,17),-0.59473 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00899203 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0325539 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0938422 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.41558 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.210255 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0571981 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.159905 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0265409 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.434769 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.216479 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.494782 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.078165 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.985381 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.196901 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.191304 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.72795 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.992041 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.72795 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.370771 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.992041 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.648967 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.161098 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.714465 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.188116 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.085123 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.216065 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.721124 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.216065 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0956683 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.721124 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0600488 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.178581 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.140784 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.168126 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0231809 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.184875 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0231809 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.025165 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.1849 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.419826 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.256937 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.195038 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.341091 # DEPENDENCYPART_SIBL
(0,6),(0,11),-1.48321 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.341091 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.659331 # DEPENDENCYPART_SIBL
(0,6),(0,16),-1.4835 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0691949 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.241557 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.158459 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.295475 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.158459 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.283278 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.295601 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.107102 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.117494 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.385325 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.117494 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0517009 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.385325 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.343305 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.00123668 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.296463 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.638976 # DEPENDENCYPART_SIBL
(0,11),(0,16),-1.46348 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.00769122 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.00123668 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.861016 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.107484 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0216158 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.125519 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.199454 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0325482 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00476226 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0153467 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0597151 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.127945 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00352789 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00887604 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0197425 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00887604 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0874539 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.106291 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0177565 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0725585 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0140306 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.156319 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0918124 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0592449 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0149745 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0610883 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.156022 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0610883 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.061146 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0555253 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.156313 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.023485 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.299933 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0142852 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.12394 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0225411 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.115692 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.298646 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.115692 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0501602 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0885275 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.298937 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.253974 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0157785 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0776215 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0157689 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0035594 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.253149 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0035594 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.149034 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.120612 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.253465 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0706662 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0230984 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0066424 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.02151 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.770258 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.02151 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.379436 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.026736 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.771129 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0819221 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0196912 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0439013 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.204323 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0439013 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00458486 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0377984 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.204739 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0483123 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0053149 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.34594 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0053149 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.107469 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0384621 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.34623 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00294984 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.255145 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00294984 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.149034 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.120689 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.255461 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.313303 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.345418 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.163523 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0720619 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.313594 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0342593 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.376324 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0230817 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.767257 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.163523 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0720619 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.313594 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0764006 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.255041 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.381928 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.184279 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.296624 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0734054 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.169011 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.29539 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.202728 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.108713 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.202728 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.16436 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.200734 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.106727 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.132466 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0172883 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.268644 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.104354 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0184639 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.053976 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.264731 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.053976 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.41395 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.127088 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.263401 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0256917 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.383376 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0485255 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0750141 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0830447 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.382552 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0830447 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.212379 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0397937 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.382867 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.245033 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.105876 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0343321 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0236755 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.87051 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0236755 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.418856 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0569343 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.871382 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0936453 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00627658 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0596992 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.248664 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0596992 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0122613 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0369805 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.24908 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.116538 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0824351 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.384548 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0824351 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.212379 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0398711 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.384863 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.244354 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.432042 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.524042 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.243349 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.143198 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.432332 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.331906 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0354814 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.416215 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0537518 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.867982 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0764616 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.243349 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.143198 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.432332 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.331906 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0842509 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.306122 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0317933 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.459465 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.151416 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0807326 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0108829 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0995829 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00428594 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0258391 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0225981 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0856361 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0558218 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0093421 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.156917 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0387783 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00290776 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00273313 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.106454 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0522901 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0143152 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0484117 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0615112 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.032887 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0391696 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0345283 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00412827 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0471606 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0137566 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0188186 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.153089 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0620082 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.031622 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0969523 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0250334 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.251013 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.079304 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0276596 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0398871 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0599142 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0497135 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0477532 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0153226 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0477532 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0299533 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0627265 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0168961 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.139324 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0660026 # DEPENDENCYPART_SIBL
