# _root_ Kdo má nad žáky dozor , nese odpovědnost i za eventuální zranění žáka nebo za škodu , která by žákovi vznikla .
#goldHeads=2,7,5,3,2,2,0,7,12,14,12,10,12,8,14,15,21,21,21,21,16,0,
#predictedHeads=2,7,2,3,2,2,0,7,12,14,12,10,12,7,14,15,21,21,21,21,16,0,
(8,4),-3.72404 # DEPENDENCYPART_ARC
(8,5),-2.42552 # DEPENDENCYPART_ARC
(8,7),-0.981505 # DEPENDENCYPART_ARC
(8,9),-0.703591 # DEPENDENCYPART_ARC
(8,10),-0.412417 # DEPENDENCYPART_ARC
(8,11),-1.51211 # DEPENDENCYPART_ARC
(8,12),-2.554 # DEPENDENCYPART_ARC
(8,13),-0.874942 # DEPENDENCYPART_ARC
(8,15),-0.863015 # DEPENDENCYPART_ARC
(8,21),-2.67572 # DEPENDENCYPART_ARC
(9,1),-1.80273 # DEPENDENCYPART_ARC
(9,2),-1.82089 # DEPENDENCYPART_ARC
(9,3),-0.683981 # DEPENDENCYPART_ARC
(9,4),-2.1613 # DEPENDENCYPART_ARC
(9,5),-1.77331 # DEPENDENCYPART_ARC
(9,6),-0.680636 # DEPENDENCYPART_ARC
(9,7),-0.746751 # DEPENDENCYPART_ARC
(9,8),-1.00976 # DEPENDENCYPART_ARC
(9,10),-0.120859 # DEPENDENCYPART_ARC
(9,11),-1.98743 # DEPENDENCYPART_ARC
(9,12),-1.3143 # DEPENDENCYPART_ARC
(9,13),-1.43455 # DEPENDENCYPART_ARC
(9,14),-1.4502 # DEPENDENCYPART_ARC
(9,15),-1.79252 # DEPENDENCYPART_ARC
(9,16),-2.6571 # DEPENDENCYPART_ARC
(9,17),-1.30128 # DEPENDENCYPART_ARC
(9,20),-2.95023 # DEPENDENCYPART_ARC
(9,21),-2.38449 # DEPENDENCYPART_ARC
(10,6),-1.01451 # DEPENDENCYPART_ARC
(10,8),-2.9415 # DEPENDENCYPART_ARC
(10,9),-0.93549 # DEPENDENCYPART_ARC
(10,11),0.925403 # DEPENDENCYPART_ARC
(10,12),2.17846 # DEPENDENCYPART_ARC
(10,13),-3.17304 # DEPENDENCYPART_ARC
(10,14),-0.672653 # DEPENDENCYPART_ARC
(10,16),-1.41331 # DEPENDENCYPART_ARC
(10,17),-0.94768 # DEPENDENCYPART_ARC
(11,13),-2.64558 # DEPENDENCYPART_ARC
(12,9),-0.0708783 # DEPENDENCYPART_ARC
(12,10),-1.49272 # DEPENDENCYPART_ARC
(12,11),2.24034 # DEPENDENCYPART_ARC
(12,13),1.82791 # DEPENDENCYPART_ARC
(12,14),-0.423977 # DEPENDENCYPART_ARC
(12,15),-0.58026 # DEPENDENCYPART_ARC
(12,16),-2.68326 # DEPENDENCYPART_ARC
(12,20),-3.43058 # DEPENDENCYPART_ARC
(12,21),-2.51956 # DEPENDENCYPART_ARC
(13,8),-5.43099 # DEPENDENCYPART_ARC
(13,9),-0.776279 # DEPENDENCYPART_ARC
(13,11),-1.56089 # DEPENDENCYPART_ARC
(13,12),-2.38065 # DEPENDENCYPART_ARC
(13,14),-1.05887 # DEPENDENCYPART_ARC
(13,15),-1.73166 # DEPENDENCYPART_ARC
(13,16),-4.34518 # DEPENDENCYPART_ARC
(14,1),-1.65625 # DEPENDENCYPART_ARC
(14,2),-1.0876 # DEPENDENCYPART_ARC
(14,3),-0.638384 # DEPENDENCYPART_ARC
(14,4),-1.48001 # DEPENDENCYPART_ARC
(14,5),-1.17622 # DEPENDENCYPART_ARC
(14,6),-0.147086 # DEPENDENCYPART_ARC
(14,7),-0.0926706 # DEPENDENCYPART_ARC
(14,8),-0.973435 # DEPENDENCYPART_ARC
(14,9),-0.214918 # DEPENDENCYPART_ARC
(14,10),0.0280962 # DEPENDENCYPART_ARC
(14,11),-1.29369 # DEPENDENCYPART_ARC
(14,12),-0.743269 # DEPENDENCYPART_ARC
(14,13),-0.577116 # DEPENDENCYPART_ARC
(14,15),0.884201 # DEPENDENCYPART_ARC
(14,16),-0.000673119 # DEPENDENCYPART_ARC
(14,17),-0.506042 # DEPENDENCYPART_ARC
(14,18),-1.4291 # DEPENDENCYPART_ARC
(14,20),-1.58747 # DEPENDENCYPART_ARC
(14,21),-1.16744 # DEPENDENCYPART_ARC
(14,22),-1.27299 # DEPENDENCYPART_ARC
(15,16),2.54652 # DEPENDENCYPART_ARC
(15,17),-0.53041 # DEPENDENCYPART_ARC
(15,20),-2.24624 # DEPENDENCYPART_ARC
(16,9),-0.755616 # DEPENDENCYPART_ARC
(16,11),-2.08752 # DEPENDENCYPART_ARC
(16,12),-2.64964 # DEPENDENCYPART_ARC
(16,13),-3.09354 # DEPENDENCYPART_ARC
(16,14),-0.199243 # DEPENDENCYPART_ARC
(16,15),-0.958357 # DEPENDENCYPART_ARC
(16,17),-1.08087 # DEPENDENCYPART_ARC
(16,18),-1.66238 # DEPENDENCYPART_ARC
(16,19),-0.303281 # DEPENDENCYPART_ARC
(16,20),-3.05712 # DEPENDENCYPART_ARC
(16,21),-1.51711 # DEPENDENCYPART_ARC
(16,22),-1.80073 # DEPENDENCYPART_ARC
(17,2),-1.95431 # DEPENDENCYPART_ARC
(17,6),-1.22006 # DEPENDENCYPART_ARC
(17,7),-1.10996 # DEPENDENCYPART_ARC
(17,12),-1.89103 # DEPENDENCYPART_ARC
(17,15),-1.6712 # DEPENDENCYPART_ARC
(17,16),-1.62423 # DEPENDENCYPART_ARC
(17,20),-2.33414 # DEPENDENCYPART_ARC
(17,21),-1.80162 # DEPENDENCYPART_ARC
(18,17),-1.19648 # DEPENDENCYPART_ARC
(18,20),-1.25432 # DEPENDENCYPART_ARC
(18,22),-1.06101 # DEPENDENCYPART_ARC
(20,18),-1.54603 # DEPENDENCYPART_ARC
(20,21),-1.8363 # DEPENDENCYPART_ARC
(20,22),-1.26491 # DEPENDENCYPART_ARC
(21,2),-1.97388 # DEPENDENCYPART_ARC
(21,3),-0.388163 # DEPENDENCYPART_ARC
(21,4),-2.00979 # DEPENDENCYPART_ARC
(21,5),-1.52747 # DEPENDENCYPART_ARC
(21,7),-0.992247 # DEPENDENCYPART_ARC
(21,8),-0.112559 # DEPENDENCYPART_ARC
(21,9),-0.515951 # DEPENDENCYPART_ARC
(21,10),0.152123 # DEPENDENCYPART_ARC
(21,11),-3.32664 # DEPENDENCYPART_ARC
(21,12),-0.429913 # DEPENDENCYPART_ARC
(21,13),-3.18427 # DEPENDENCYPART_ARC
(21,14),-0.190956 # DEPENDENCYPART_ARC
(21,15),0.0353257 # DEPENDENCYPART_ARC
(21,16),-0.30287 # DEPENDENCYPART_ARC
(21,17),0.200358 # DEPENDENCYPART_ARC
(21,18),1.41567 # DEPENDENCYPART_ARC
(21,19),1.97494 # DEPENDENCYPART_ARC
(21,20),1.26072 # DEPENDENCYPART_ARC
(21,22),-0.821465 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.469001 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.239205 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.138387 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.433393 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.273193 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.00616393 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.138387 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.434883 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0979738 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.188113 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.265752 # DEPENDENCYPART_SIBL
(0,2),(0,7),-1.47445 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.18943 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.706059 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.265752 # DEPENDENCYPART_SIBL
(0,2),(0,21),-1.47594 # DEPENDENCYPART_SIBL
(0,2),(0,22),0.0534672 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.149855 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.403227 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.162814 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0139935 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.149855 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.404952 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.393063 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.00155058 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0931539 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.410234 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.181286 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.697205 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.271386 # DEPENDENCYPART_SIBL
(0,7),(0,21),-1.45465 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0274198 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0809242 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0805515 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.330563 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.211521 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.368067 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.847062 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.166193 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.410234 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.133324 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0474838 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0033903 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00339029 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.124621 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0215137 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.054872 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0501965 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.303493 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0568271 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0490348 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.146117 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0164179 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.16293 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0399079 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0729221 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0553655 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0164179 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0503449 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.303493 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0550372 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0420742 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0421535 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.051741 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0298303 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0276814 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.123448 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.067765 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00976201 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0531066 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0413625 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.050683 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.067765 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0421006 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.051741 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0421535 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.13889 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.039006 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0138827 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.145373 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.228355 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0282003 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0469003 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.120158 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.139976 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.132171 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0282003 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.138937 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.039006 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.13889 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00686975 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0233095 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.154013 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.236995 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0244694 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0555402 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.128798 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.148616 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.140811 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0244694 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.147577 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00686975 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.14753 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.122789 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.169012 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.170402 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.178133 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.11497 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.147421 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.155581 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.160271 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.178133 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.155161 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.117803 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.155121 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00962435 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.103561 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0135102 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.106572 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0012965 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0035917 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0959073 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0135102 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00315594 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0840317 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00306384 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.252239 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0430903 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0665476 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.140334 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.160153 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.156055 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0430903 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.159113 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0186683 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.159066 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0922724 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.108867 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0636383 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0685739 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.193177 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0922724 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0681538 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.071221 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0681141 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00215954 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0982368 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0871024 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0117689 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.133137 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0878405 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0154194 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0878934 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.126332 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.130916 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.137518 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0594634 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.130496 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0398859 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.130456 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.150194 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.141215 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0188609 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.149154 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0219829 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.149108 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.138281 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.030832 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.145048 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0162155 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.145002 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0156833 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0399694 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.00685339 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0399297 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0878405 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0154194 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.0878934 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0105771 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.145083 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.155121 # DEPENDENCYPART_SIBL
(3,4),(3,5),-1.3083 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.198412 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.210155 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.126351 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0498965 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00296144 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0430741 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.05085 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.059492 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.11123 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0110326 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0456744 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0462248 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0913468 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0567913 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0569596 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.156961 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0098205 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0410443 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0111685 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0604946 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.099501 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0719766 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.115317 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0141773 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0124169 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00202782 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0228836 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0421336 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00185106 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.101647 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0108939 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.143143 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.101723 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0434441 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.117539 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0107642 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.116447 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0325513 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.126352 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.222706 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0029616 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0430735 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0508356 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0349173 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0292695 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0462223 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0913441 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.056772 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0902258 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0241203 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0052912 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0255584 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.012925 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0141816 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0123495 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0151868 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00192262 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.260423 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.00811708 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0917279 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0948985 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0955143 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.580346 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.011522 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0109097 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0354285 # DEPENDENCYPART_SIBL
