# _root_ Za současného stavu , kdy se léčebna potýká s obrovskými finančními potížemi , by ráda znovu obnovila svoji farmu .
#goldHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,17,17,0,19,17,0,
#predictedHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,8,17,0,19,17,0,
(12,7),-2.63255 # DEPENDENCYPART_ARC
(12,8),-0.99295 # DEPENDENCYPART_ARC
(12,9),-0.692618 # DEPENDENCYPART_ARC
(12,10),2.29921 # DEPENDENCYPART_ARC
(12,11),2.88007 # DEPENDENCYPART_ARC
(12,13),-1.45732 # DEPENDENCYPART_ARC
(12,14),-1.4732 # DEPENDENCYPART_ARC
(12,15),-3.07692 # DEPENDENCYPART_ARC
(12,16),-1.79444 # DEPENDENCYPART_ARC
(12,17),-3.03497 # DEPENDENCYPART_ARC
(12,19),-5.21008 # DEPENDENCYPART_ARC
(13,1),-1.46949 # DEPENDENCYPART_ARC
(13,3),-2.32272 # DEPENDENCYPART_ARC
(13,4),-1.08938 # DEPENDENCYPART_ARC
(13,5),-1.31446 # DEPENDENCYPART_ARC
(13,7),-1.32433 # DEPENDENCYPART_ARC
(13,8),-0.63595 # DEPENDENCYPART_ARC
(13,9),-0.896625 # DEPENDENCYPART_ARC
(13,10),-1.504 # DEPENDENCYPART_ARC
(13,11),-1.44646 # DEPENDENCYPART_ARC
(13,12),-1.41361 # DEPENDENCYPART_ARC
(13,16),-1.22941 # DEPENDENCYPART_ARC
(13,17),-1.77142 # DEPENDENCYPART_ARC
(13,19),-1.86595 # DEPENDENCYPART_ARC
(13,20),-0.6321 # DEPENDENCYPART_ARC
(15,6),-0.884983 # DEPENDENCYPART_ARC
(15,9),-1.31108 # DEPENDENCYPART_ARC
(15,12),-1.61743 # DEPENDENCYPART_ARC
(15,13),-0.919401 # DEPENDENCYPART_ARC
(15,16),-0.270262 # DEPENDENCYPART_ARC
(15,19),-0.437254 # DEPENDENCYPART_ARC
(15,20),-0.817319 # DEPENDENCYPART_ARC
(16,8),-1.93922 # DEPENDENCYPART_ARC
(16,12),-2.00952 # DEPENDENCYPART_ARC
(16,19),-2.55735 # DEPENDENCYPART_ARC
(17,1),-0.0004968 # DEPENDENCYPART_ARC
(17,3),-3.59704 # DEPENDENCYPART_ARC
(17,4),-1.56464 # DEPENDENCYPART_ARC
(17,5),-0.416598 # DEPENDENCYPART_ARC
(17,6),-0.804631 # DEPENDENCYPART_ARC
(17,7),-0.0585679 # DEPENDENCYPART_ARC
(17,8),-1.69206 # DEPENDENCYPART_ARC
(17,9),-0.605628 # DEPENDENCYPART_ARC
(17,10),-2.83 # DEPENDENCYPART_ARC
(17,11),-2.74891 # DEPENDENCYPART_ARC
(17,12),-1.21091 # DEPENDENCYPART_ARC
(17,13),-1.17233 # DEPENDENCYPART_ARC
(17,14),1.07903 # DEPENDENCYPART_ARC
(17,15),-1.08377 # DEPENDENCYPART_ARC
(17,16),1.16736 # DEPENDENCYPART_ARC
(17,18),0.083998 # DEPENDENCYPART_ARC
(17,19),1.65201 # DEPENDENCYPART_ARC
(17,20),-0.793779 # DEPENDENCYPART_ARC
(19,10),-3.19752 # DEPENDENCYPART_ARC
(19,16),-0.969704 # DEPENDENCYPART_ARC
(19,18),1.9228 # DEPENDENCYPART_ARC
(19,20),-0.482826 # DEPENDENCYPART_ARC
(20,15),-3.64609 # DEPENDENCYPART_ARC
(20,19),-3.24003 # DEPENDENCYPART_ARC
(0,1),(0,3),0.24098 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0805515 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.145241 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.329711 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0805515 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.105069 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.328824 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.211521 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0208924 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0903005 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.188034 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0208924 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.158913 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.186962 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.415324 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0313585 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0253107 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.262343 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.091718 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.24002 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.264923 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0429877 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.280452 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.271042 # DEPENDENCYPART_SIBL
(0,8),(0,17),-1.45678 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.014735 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0253107 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.375722 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.350328 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.00911481 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.717399 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0983935 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.192107 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.717387 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.239715 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.548868 # DEPENDENCYPART_SIBL
(1,3),(1,7),-1.36833 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.116501 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.544032 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.547793 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0500562 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0610749 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.05908 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0241737 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0733672 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.12025 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.12025 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0610749 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.117068 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0751242 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0171682 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.011541 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00429605 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0225174 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0914986 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0914979 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0171682 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.101046 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0174552 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0391264 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0133121 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00994967 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0246998 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0246984 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00413642 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0318454 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.00799006 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.000405497 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0117544 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0651882 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0651882 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0504398 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0685424 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0123749 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0133337 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0483935 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0483934 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0510391 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.062495 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0174379 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00893338 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00893338 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0284135 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.00458203 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.257001 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.103224 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0230693 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0960739 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0112999 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0220246 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0950291 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0123446 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0318454 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.00799006 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0109024 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00438966 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00370563 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0312137 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00726087 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00267016 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.194633 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0224679 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0021935 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0149994 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.064284 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00270483 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0036612 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00887525 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0584935 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00152301 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00976694 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0254852 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.568579 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00153316 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0314516 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0269822 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0114542 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00152301 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0579378 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.16355 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00410338 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.106689 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0109096 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.158111 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00322093 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0131892 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00668017 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.16118 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0324841 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0816935 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0627111 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.01044 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0368482 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.015103 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0445003 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0842732 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0324841 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0218323 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0065299 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0299924 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0205528 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0302971 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0673514 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0207599 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0226377 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0610327 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0234589 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0219021 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0502779 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0199921 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.362478 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0218175 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0167996 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.157045 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00576426 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.158804 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.109213 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.157064 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0373711 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0154095 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0187405 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.041441 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0373667 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.035218 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0673514 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0199389 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0205484 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0312175 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0429737 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0590634 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.062672 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0772145 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0218049 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0487885 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0795503 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0344589 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0872009 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0321163 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.152866 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0821205 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0917451 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0300169 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0321163 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.041577 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.37212 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00362752 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.000173642 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0869653 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00362759 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00774158 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00741346 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.00147891 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.192736 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0946787 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0129902 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0778896 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0892566 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0582232 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0268378 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0103788 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0818528 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.277865 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.1201 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0818514 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0353987 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0263474 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.278499 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0093994 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00111794 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.109001 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0403595 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0042333 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.00832697 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0247164 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0376512 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.163325 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.00588572 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.309625 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0336485 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0648495 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.020285 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0918747 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0452803 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0042333 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.00750597 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0241843 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0508681 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.046402 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0462131 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0316948 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.106781 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.108669 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.052975 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0781521 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.127428 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.118504 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.118504 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.020944 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.115321 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.1867 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0290017 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.018655 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0211578 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0217546 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0602308 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.101623 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.101622 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0067563 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.11117 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0273152 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0115653 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0543768 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.000520669 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.102684 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00302854 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.00302854 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0154028 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.00621081 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.300245 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00199179 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00440751 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00609838 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0214881 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0214881 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00829734 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0242868 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.123335 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00859957 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0058963 # DEPENDENCYPART_SIBL
