# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,0,13,11,15,13,15,18,16,22,22,20,18,24,22,24,27,25,27,27,29,0,
(7,5),-2.17538 # DEPENDENCYPART_ARC
(7,6),-0.594752 # DEPENDENCYPART_ARC
(7,8),-1.97328 # DEPENDENCYPART_ARC
(7,9),-2.11357 # DEPENDENCYPART_ARC
(7,11),-0.953582 # DEPENDENCYPART_ARC
(7,16),-1.72693 # DEPENDENCYPART_ARC
(8,3),-4.2456 # DEPENDENCYPART_ARC
(8,4),0.455312 # DEPENDENCYPART_ARC
(8,5),-1.10488 # DEPENDENCYPART_ARC
(8,6),-0.686849 # DEPENDENCYPART_ARC
(8,7),2.3327 # DEPENDENCYPART_ARC
(8,9),2.09423 # DEPENDENCYPART_ARC
(8,10),1.19227 # DEPENDENCYPART_ARC
(8,11),-0.809509 # DEPENDENCYPART_ARC
(8,13),-1.35367 # DEPENDENCYPART_ARC
(8,15),-2.97882 # DEPENDENCYPART_ARC
(8,16),-1.5527 # DEPENDENCYPART_ARC
(8,22),-1.4642 # DEPENDENCYPART_ARC
(9,4),-1.36579 # DEPENDENCYPART_ARC
(9,5),-2.54931 # DEPENDENCYPART_ARC
(9,7),-0.94873 # DEPENDENCYPART_ARC
(9,10),1.42835 # DEPENDENCYPART_ARC
(9,11),-1.49156 # DEPENDENCYPART_ARC
(9,12),-2.43827 # DEPENDENCYPART_ARC
(9,13),-1.37468 # DEPENDENCYPART_ARC
(9,16),-1.49144 # DEPENDENCYPART_ARC
(9,22),-1.58128 # DEPENDENCYPART_ARC
(10,1),-4.74451 # DEPENDENCYPART_ARC
(10,3),-6.11579 # DEPENDENCYPART_ARC
(10,4),-2.83034 # DEPENDENCYPART_ARC
(10,5),-4.06012 # DEPENDENCYPART_ARC
(10,7),-2.95018 # DEPENDENCYPART_ARC
(10,8),-2.55402 # DEPENDENCYPART_ARC
(10,9),-2.37208 # DEPENDENCYPART_ARC
(10,11),-0.887004 # DEPENDENCYPART_ARC
(10,12),-2.46438 # DEPENDENCYPART_ARC
(10,13),-1.7411 # DEPENDENCYPART_ARC
(10,15),-4.19277 # DEPENDENCYPART_ARC
(10,22),-2.01576 # DEPENDENCYPART_ARC
(11,1),-1.01354 # DEPENDENCYPART_ARC
(11,2),-0.777313 # DEPENDENCYPART_ARC
(11,4),-1.69526 # DEPENDENCYPART_ARC
(11,5),-1.90062 # DEPENDENCYPART_ARC
(11,7),-1.675 # DEPENDENCYPART_ARC
(11,8),-1.25013 # DEPENDENCYPART_ARC
(11,9),-1.58145 # DEPENDENCYPART_ARC
(11,10),-1.23439 # DEPENDENCYPART_ARC
(11,13),-0.813727 # DEPENDENCYPART_ARC
(11,15),-2.10353 # DEPENDENCYPART_ARC
(11,18),-2.20997 # DEPENDENCYPART_ARC
(11,19),-0.906994 # DEPENDENCYPART_ARC
(11,22),-1.22183 # DEPENDENCYPART_ARC
(12,15),-2.03686 # DEPENDENCYPART_ARC
(13,1),-2.40097 # DEPENDENCYPART_ARC
(13,2),-1.23912 # DEPENDENCYPART_ARC
(13,3),-2.30283 # DEPENDENCYPART_ARC
(13,4),-3.32362 # DEPENDENCYPART_ARC
(13,5),-4.24827 # DEPENDENCYPART_ARC
(13,6),-0.782826 # DEPENDENCYPART_ARC
(13,7),-3.72754 # DEPENDENCYPART_ARC
(13,8),-3.19985 # DEPENDENCYPART_ARC
(13,9),-2.97233 # DEPENDENCYPART_ARC
(13,10),-1.94194 # DEPENDENCYPART_ARC
(13,11),0.61396 # DEPENDENCYPART_ARC
(13,12),1.13906 # DEPENDENCYPART_ARC
(13,14),-0.154891 # DEPENDENCYPART_ARC
(13,15),1.45313 # DEPENDENCYPART_ARC
(13,16),0.183307 # DEPENDENCYPART_ARC
(13,17),-1.59708 # DEPENDENCYPART_ARC
(13,18),0.365556 # DEPENDENCYPART_ARC
(13,19),-0.493267 # DEPENDENCYPART_ARC
(13,20),-1.1335 # DEPENDENCYPART_ARC
(13,22),-1.48409 # DEPENDENCYPART_ARC
(13,23),-3.06747 # DEPENDENCYPART_ARC
(13,24),-1.13038 # DEPENDENCYPART_ARC
(13,25),-1.33919 # DEPENDENCYPART_ARC
(13,26),-3.66475 # DEPENDENCYPART_ARC
(13,27),-2.1187 # DEPENDENCYPART_ARC
(13,28),-3.84989 # DEPENDENCYPART_ARC
(13,29),-1.9367 # DEPENDENCYPART_ARC
(13,30),-3.48667 # DEPENDENCYPART_ARC
(13,31),-0.87657 # DEPENDENCYPART_ARC
(15,12),-0.200219 # DEPENDENCYPART_ARC
(15,14),1.92614 # DEPENDENCYPART_ARC
(15,16),0.820073 # DEPENDENCYPART_ARC
(15,17),-1.38401 # DEPENDENCYPART_ARC
(15,18),-3.42015 # DEPENDENCYPART_ARC
(15,19),-0.837542 # DEPENDENCYPART_ARC
(15,20),-0.916612 # DEPENDENCYPART_ARC
(15,22),-1.49823 # DEPENDENCYPART_ARC
(15,23),-3.50353 # DEPENDENCYPART_ARC
(15,25),-1.20769 # DEPENDENCYPART_ARC
(15,29),-1.33516 # DEPENDENCYPART_ARC
(16,15),-2.00731 # DEPENDENCYPART_ARC
(16,17),-0.162866 # DEPENDENCYPART_ARC
(16,18),2.01099 # DEPENDENCYPART_ARC
(16,19),-0.77084 # DEPENDENCYPART_ARC
(16,24),-0.970225 # DEPENDENCYPART_ARC
(17,14),-2.97947 # DEPENDENCYPART_ARC
(17,20),-1.0952 # DEPENDENCYPART_ARC
(18,12),-2.21769 # DEPENDENCYPART_ARC
(18,14),-1.49377 # DEPENDENCYPART_ARC
(18,15),-3.15748 # DEPENDENCYPART_ARC
(18,16),-0.949022 # DEPENDENCYPART_ARC
(18,17),2.67251 # DEPENDENCYPART_ARC
(18,19),-1.38287 # DEPENDENCYPART_ARC
(18,20),-1.08464 # DEPENDENCYPART_ARC
(18,22),-0.717994 # DEPENDENCYPART_ARC
(18,23),-2.15307 # DEPENDENCYPART_ARC
(18,24),-3.415 # DEPENDENCYPART_ARC
(18,25),-1.7808 # DEPENDENCYPART_ARC
(19,1),-2.02902 # DEPENDENCYPART_ARC
(19,2),-1.58583 # DEPENDENCYPART_ARC
(19,6),-0.882073 # DEPENDENCYPART_ARC
(19,11),-0.860377 # DEPENDENCYPART_ARC
(19,12),-1.94682 # DEPENDENCYPART_ARC
(19,13),-1.05643 # DEPENDENCYPART_ARC
(19,15),-1.60693 # DEPENDENCYPART_ARC
(19,16),-0.748467 # DEPENDENCYPART_ARC
(19,17),-1.42199 # DEPENDENCYPART_ARC
(19,18),-1.48529 # DEPENDENCYPART_ARC
(19,20),-0.657537 # DEPENDENCYPART_ARC
(19,22),-0.978536 # DEPENDENCYPART_ARC
(19,23),-1.93646 # DEPENDENCYPART_ARC
(19,24),-1.84812 # DEPENDENCYPART_ARC
(19,25),-1.65921 # DEPENDENCYPART_ARC
(19,27),-2.30509 # DEPENDENCYPART_ARC
(19,28),-2.29129 # DEPENDENCYPART_ARC
(19,29),-2.03135 # DEPENDENCYPART_ARC
(19,31),-1.27101 # DEPENDENCYPART_ARC
(20,18),-1.95653 # DEPENDENCYPART_ARC
(20,19),-0.961956 # DEPENDENCYPART_ARC
(20,21),2.73514 # DEPENDENCYPART_ARC
(20,23),-2.00071 # DEPENDENCYPART_ARC
(20,24),-0.802216 # DEPENDENCYPART_ARC
(20,27),-1.44909 # DEPENDENCYPART_ARC
(20,31),-0.909588 # DEPENDENCYPART_ARC
(22,1),-4.02482 # DEPENDENCYPART_ARC
(22,2),-1.62674 # DEPENDENCYPART_ARC
(22,3),-2.65102 # DEPENDENCYPART_ARC
(22,4),-4.07244 # DEPENDENCYPART_ARC
(22,6),-0.726127 # DEPENDENCYPART_ARC
(22,8),-3.80508 # DEPENDENCYPART_ARC
(22,9),-2.98398 # DEPENDENCYPART_ARC
(22,10),-3.5629 # DEPENDENCYPART_ARC
(22,11),0.072829 # DEPENDENCYPART_ARC
(22,12),-1.05608 # DEPENDENCYPART_ARC
(22,13),-1.73684 # DEPENDENCYPART_ARC
(22,15),-0.522044 # DEPENDENCYPART_ARC
(22,16),-1.087 # DEPENDENCYPART_ARC
(22,17),-3.02832 # DEPENDENCYPART_ARC
(22,18),-1.67733 # DEPENDENCYPART_ARC
(22,19),0.902354 # DEPENDENCYPART_ARC
(22,20),0.936734 # DEPENDENCYPART_ARC
(22,23),-1.23657 # DEPENDENCYPART_ARC
(22,24),0.799822 # DEPENDENCYPART_ARC
(22,25),0.0255736 # DEPENDENCYPART_ARC
(22,26),-2.76446 # DEPENDENCYPART_ARC
(22,27),-0.963093 # DEPENDENCYPART_ARC
(22,28),-3.03142 # DEPENDENCYPART_ARC
(22,29),-0.591691 # DEPENDENCYPART_ARC
(22,30),-3.04943 # DEPENDENCYPART_ARC
(22,31),-0.744231 # DEPENDENCYPART_ARC
(23,20),-0.811679 # DEPENDENCYPART_ARC
(23,24),-1.77121 # DEPENDENCYPART_ARC
(23,25),-0.935955 # DEPENDENCYPART_ARC
(23,27),-2.17421 # DEPENDENCYPART_ARC
(23,28),-2.65228 # DEPENDENCYPART_ARC
(24,14),-2.97506 # DEPENDENCYPART_ARC
(24,17),-1.57374 # DEPENDENCYPART_ARC
(24,20),-0.847289 # DEPENDENCYPART_ARC
(24,23),2.53381 # DEPENDENCYPART_ARC
(24,25),0.539205 # DEPENDENCYPART_ARC
(24,26),-1.9959 # DEPENDENCYPART_ARC
(24,27),-1.86125 # DEPENDENCYPART_ARC
(24,28),0.0204883 # DEPENDENCYPART_ARC
(24,29),-0.66498 # DEPENDENCYPART_ARC
(24,30),-2.52767 # DEPENDENCYPART_ARC
(25,24),-2.62092 # DEPENDENCYPART_ARC
(25,26),-0.569296 # DEPENDENCYPART_ARC
(25,27),2.12191 # DEPENDENCYPART_ARC
(25,28),-2.67217 # DEPENDENCYPART_ARC
(25,30),-0.660344 # DEPENDENCYPART_ARC
(26,28),-2.27584 # DEPENDENCYPART_ARC
(26,29),-1.0851 # DEPENDENCYPART_ARC
(27,20),-1.0478 # DEPENDENCYPART_ARC
(27,23),-1.58327 # DEPENDENCYPART_ARC
(27,25),-1.05181 # DEPENDENCYPART_ARC
(27,26),1.85959 # DEPENDENCYPART_ARC
(27,28),2.00287 # DEPENDENCYPART_ARC
(27,29),-0.575706 # DEPENDENCYPART_ARC
(27,30),-1.85462 # DEPENDENCYPART_ARC
(27,31),-1.06696 # DEPENDENCYPART_ARC
(28,23),-4.35746 # DEPENDENCYPART_ARC
(28,24),-4.00595 # DEPENDENCYPART_ARC
(28,26),-1.64843 # DEPENDENCYPART_ARC
(28,27),-2.02613 # DEPENDENCYPART_ARC
(28,29),-0.144176 # DEPENDENCYPART_ARC
(28,30),-0.83903 # DEPENDENCYPART_ARC
(28,31),-1.18769 # DEPENDENCYPART_ARC
(29,28),-3.06852 # DEPENDENCYPART_ARC
(29,30),2.92447 # DEPENDENCYPART_ARC
(29,31),-1.40414 # DEPENDENCYPART_ARC
(30,25),-1.86814 # DEPENDENCYPART_ARC
(30,26),-2.77828 # DEPENDENCYPART_ARC
(30,27),-2.78377 # DEPENDENCYPART_ARC
(30,28),-1.71477 # DEPENDENCYPART_ARC
(30,29),-1.16285 # DEPENDENCYPART_ARC
(30,31),-1.60111 # DEPENDENCYPART_ARC
(0,1),(0,2),-1.45134 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.253231 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0978986 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.211568 # DEPENDENCYPART_SIBL
(0,1),(0,13),-1.52739 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.253231 # DEPENDENCYPART_SIBL
(0,1),(0,31),0.207275 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.3622 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.205121 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.238207 # DEPENDENCYPART_SIBL
(0,2),(0,13),-1.55814 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.3622 # DEPENDENCYPART_SIBL
(0,2),(0,31),0.106174 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0833005 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0854152 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.4829 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,31),0.0600043 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0259314 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.691161 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.247035 # DEPENDENCYPART_SIBL
(0,11),(0,31),-0.098565 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.480347 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0906747 # DEPENDENCYPART_SIBL
(0,12),(0,31),0.178863 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.327514 # DEPENDENCYPART_SIBL
(0,13),(0,31),0.11891 # DEPENDENCYPART_SIBL
(0,19),(0,31),0.0600043 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.233496 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.260504 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.260504 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.173385 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.123299 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.253984 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.260483 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.254717 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.10473 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.280117 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.292953 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.260504 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.173385 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.185659 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.256368 # DEPENDENCYPART_SIBL
(1,2),(1,25),0.292953 # DEPENDENCYPART_SIBL
(1,2),(1,29),0.404107 # DEPENDENCYPART_SIBL
(1,2),(1,31),0.217045 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0895029 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0895029 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0259167 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00674225 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0824614 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0894794 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.083718 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0308075 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.115608 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.14476 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0895026 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0259167 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.146161 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0853752 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.14476 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.0976214 # DEPENDENCYPART_SIBL
(1,3),(1,31),-0.0327633 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.104923 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0226297 # DEPENDENCYPART_SIBL
(1,4),(1,7),9.45511e-06 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.112479 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.114731 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.110698 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.159842 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0884825 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0283886 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.104997 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0226297 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.00869808 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.11021 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.0283886 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.0607311 # DEPENDENCYPART_SIBL
(1,4),(1,31),-0.0487154 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0226297 # DEPENDENCYPART_SIBL
(1,5),(1,7),9.45511e-06 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.112479 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.114731 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.110698 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.159842 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0884825 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0283886 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.104997 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0226297 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.00869808 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.11021 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.0283886 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0607311 # DEPENDENCYPART_SIBL
(1,5),(1,31),-0.0487154 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0633189 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.10783 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.102399 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.11335 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.128302 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.080038 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.111636 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.102162 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.13325 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.116058 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.100562 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.111636 # DEPENDENCYPART_SIBL
(1,6),(1,29),-0.209343 # DEPENDENCYPART_SIBL
(1,6),(1,31),-0.0887311 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.109292 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.104981 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.11075 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.131716 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0507007 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0203967 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.104965 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0651627 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0834343 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.109093 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.0203967 # DEPENDENCYPART_SIBL
(1,7),(1,29),-0.0316667 # DEPENDENCYPART_SIBL
(1,7),(1,31),-0.0663526 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.124685 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.119378 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.158714 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0971627 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0359794 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.113677 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0172732 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.00441503 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.118891 # DEPENDENCYPART_SIBL
(1,8),(1,25),0.0359794 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.0711875 # DEPENDENCYPART_SIBL
(1,8),(1,31),-0.0475828 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.115078 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.159945 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0928631 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0274003 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.109377 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0227661 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.00700693 # DEPENDENCYPART_SIBL
(1,9),(1,24),-0.114591 # DEPENDENCYPART_SIBL
(1,9),(1,25),0.0274003 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.0670315 # DEPENDENCYPART_SIBL
(1,9),(1,31),-0.048819 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.190991 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.103473 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0390284 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.119987 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.0426669 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.00400399 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.125201 # DEPENDENCYPART_SIBL
(1,10),(1,25),0.0390284 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.0901769 # DEPENDENCYPART_SIBL
(1,10),(1,31),-0.067942 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.00142173 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.00667952 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0205593 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0608118 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.0325647 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.0189597 # DEPENDENCYPART_SIBL
(1,11),(1,25),-0.00667952 # DEPENDENCYPART_SIBL
(1,11),(1,29),-0.0721325 # DEPENDENCYPART_SIBL
(1,11),(1,31),-0.0636041 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0241566 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.117112 # DEPENDENCYPART_SIBL
(1,15),(1,19),-0.0206219 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.0129174 # DEPENDENCYPART_SIBL
(1,15),(1,24),-0.122325 # DEPENDENCYPART_SIBL
(1,15),(1,25),0.0241566 # DEPENDENCYPART_SIBL
(1,15),(1,29),0.0565118 # DEPENDENCYPART_SIBL
(1,15),(1,31),-0.0498663 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0234581 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0275404 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.0639417 # DEPENDENCYPART_SIBL
(1,16),(1,24),-0.0352472 # DEPENDENCYPART_SIBL
(1,16),(1,25),-0.0788533 # DEPENDENCYPART_SIBL
(1,16),(1,29),-0.00108576 # DEPENDENCYPART_SIBL
(1,16),(1,31),-0.0528286 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.0105444 # DEPENDENCYPART_SIBL
