# _root_ Ať už podnět ke změnám přišel zvenčí nebo ne , určitě vzbuzuje naději , že povede ke zchlazení výbušné atmosféry v zemi .
#goldHeads=8,1,6,3,4,1,6,10,8,0,12,10,12,15,13,15,16,17,20,18,20,21,0,
#predictedHeads=6,3,6,3,4,0,8,6,8,12,12,8,12,15,13,15,16,17,20,18,20,21,0,
(12,5),-0.867206 # DEPENDENCYPART_ARC
(12,6),-1.02422 # DEPENDENCYPART_ARC
(12,7),-0.513756 # DEPENDENCYPART_ARC
(12,8),-0.430157 # DEPENDENCYPART_ARC
(12,9),-0.292877 # DEPENDENCYPART_ARC
(12,10),0.319728 # DEPENDENCYPART_ARC
(12,11),1.68388 # DEPENDENCYPART_ARC
(12,13),1.81537 # DEPENDENCYPART_ARC
(12,14),-0.524796 # DEPENDENCYPART_ARC
(12,15),-0.213223 # DEPENDENCYPART_ARC
(12,16),-2.23716 # DEPENDENCYPART_ARC
(12,17),-1.34375 # DEPENDENCYPART_ARC
(12,18),-2.69253 # DEPENDENCYPART_ARC
(12,19),-4.39737 # DEPENDENCYPART_ARC
(12,20),-3.62069 # DEPENDENCYPART_ARC
(12,21),-1.4624 # DEPENDENCYPART_ARC
(13,9),-0.881332 # DEPENDENCYPART_ARC
(13,11),-1.2056 # DEPENDENCYPART_ARC
(13,14),-1.03701 # DEPENDENCYPART_ARC
(13,15),-0.519034 # DEPENDENCYPART_ARC
(13,16),-1.61989 # DEPENDENCYPART_ARC
(13,17),-1.38713 # DEPENDENCYPART_ARC
(13,18),-2.91081 # DEPENDENCYPART_ARC
(13,19),-2.15604 # DEPENDENCYPART_ARC
(14,6),-1.1319 # DEPENDENCYPART_ARC
(14,9),-1.29765 # DEPENDENCYPART_ARC
(14,10),-0.625502 # DEPENDENCYPART_ARC
(14,11),-1.00634 # DEPENDENCYPART_ARC
(14,12),-0.954587 # DEPENDENCYPART_ARC
(14,13),-1.04143 # DEPENDENCYPART_ARC
(14,15),-0.713274 # DEPENDENCYPART_ARC
(14,16),-1.27221 # DEPENDENCYPART_ARC
(14,17),-1.32849 # DEPENDENCYPART_ARC
(15,6),-1.19857 # DEPENDENCYPART_ARC
(15,10),-0.912495 # DEPENDENCYPART_ARC
(15,11),-1.25866 # DEPENDENCYPART_ARC
(15,12),-0.270113 # DEPENDENCYPART_ARC
(15,13),-1.46132 # DEPENDENCYPART_ARC
(15,14),1.40272 # DEPENDENCYPART_ARC
(15,16),1.67421 # DEPENDENCYPART_ARC
(15,17),-1.1708 # DEPENDENCYPART_ARC
(15,18),-2.35723 # DEPENDENCYPART_ARC
(15,19),-2.07616 # DEPENDENCYPART_ARC
(15,20),-2.70263 # DEPENDENCYPART_ARC
(15,21),-2.21789 # DEPENDENCYPART_ARC
(15,23),-1.0257 # DEPENDENCYPART_ARC
(16,1),-2.07841 # DEPENDENCYPART_ARC
(16,10),-1.93488 # DEPENDENCYPART_ARC
(16,11),-1.09226 # DEPENDENCYPART_ARC
(16,12),-2.00946 # DEPENDENCYPART_ARC
(16,13),-1.35803 # DEPENDENCYPART_ARC
(16,14),-0.955469 # DEPENDENCYPART_ARC
(16,15),-0.912621 # DEPENDENCYPART_ARC
(16,17),0.962231 # DEPENDENCYPART_ARC
(16,18),-0.00239801 # DEPENDENCYPART_ARC
(16,19),-2.3227 # DEPENDENCYPART_ARC
(16,20),-1.21441 # DEPENDENCYPART_ARC
(16,21),-0.169058 # DEPENDENCYPART_ARC
(16,22),-1.51805 # DEPENDENCYPART_ARC
(16,23),-1.16337 # DEPENDENCYPART_ARC
(17,18),2.43873 # DEPENDENCYPART_ARC
(17,19),-2.35721 # DEPENDENCYPART_ARC
(17,20),-2.0238 # DEPENDENCYPART_ARC
(17,22),-1.68798 # DEPENDENCYPART_ARC
(18,17),-0.47699 # DEPENDENCYPART_ARC
(18,19),-0.604083 # DEPENDENCYPART_ARC
(18,20),1.03497 # DEPENDENCYPART_ARC
(18,21),-0.522365 # DEPENDENCYPART_ARC
(18,22),-2.27417 # DEPENDENCYPART_ARC
(18,23),-1.61504 # DEPENDENCYPART_ARC
(19,17),-0.725113 # DEPENDENCYPART_ARC
(19,18),-0.914889 # DEPENDENCYPART_ARC
(19,20),-1.39819 # DEPENDENCYPART_ARC
(19,21),-0.657299 # DEPENDENCYPART_ARC
(19,22),-2.91554 # DEPENDENCYPART_ARC
(20,17),-1.24005 # DEPENDENCYPART_ARC
(20,18),-3.05038 # DEPENDENCYPART_ARC
(20,19),2.4683 # DEPENDENCYPART_ARC
(20,21),0.281798 # DEPENDENCYPART_ARC
(20,22),-2.06836 # DEPENDENCYPART_ARC
(20,23),-1.03476 # DEPENDENCYPART_ARC
(21,18),-2.81093 # DEPENDENCYPART_ARC
(21,20),-3.09468 # DEPENDENCYPART_ARC
(21,22),2.25184 # DEPENDENCYPART_ARC
(21,23),-1.51655 # DEPENDENCYPART_ARC
(22,17),-1.20208 # DEPENDENCYPART_ARC
(22,18),-2.42584 # DEPENDENCYPART_ARC
(22,19),-0.823065 # DEPENDENCYPART_ARC
(22,20),-1.38443 # DEPENDENCYPART_ARC
(22,21),-0.637269 # DEPENDENCYPART_ARC
(22,23),-0.659313 # DEPENDENCYPART_ARC
(0,1),(0,2),0.109216 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.094563 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0579429 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.479025 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0958682 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0935352 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0940453 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.206173 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0846607 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.478453 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0945592 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.206173 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.029123 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.479551 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.101763 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.333007 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.199565 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.290345 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0821897 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0997099 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.382753 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.137466 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0709679 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.289509 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.332181 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.137466 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.286808 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.287512 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0862666 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.168738 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.191568 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.138844 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0331376 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.11321 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0209073 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.127371 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.18433 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0351282 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0209073 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0256998 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.188083 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.417456 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.387427 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.13742 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.000680791 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.175528 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.117494 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.128114 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.385325 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.233906 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.117494 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0517009 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.387737 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.343305 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.244985 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.714708 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.161898 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.315056 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.256192 # DEPENDENCYPART_SIBL
(0,6),(0,12),-1.47066 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0602589 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.315056 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.646451 # DEPENDENCYPART_SIBL
(0,6),(0,16),-1.47176 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0317588 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0864366 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.349781 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.154304 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.132871 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.292766 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.337076 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.154304 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.286163 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.290768 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.102128 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0993914 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.368067 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0632822 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.845572 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0297175 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.368067 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.244049 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.84749 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.166193 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.219336 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0358694 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.492777 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0814681 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.219336 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0697162 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.493875 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0318372 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0176736 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.066514 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.00123668 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.409709 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.330816 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.297755 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.211955 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.247808 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.328818 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.177169 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0565417 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.304623 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.642834 # DEPENDENCYPART_SIBL
(0,12),(0,16),-1.46963 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0187184 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0332557 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.018156 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.193278 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.426826 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.00123668 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.409709 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.862934 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.107484 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.000550997 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0684872 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.197531 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0915502 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.1108 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00441186 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.00044447 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.051477 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0273566 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00262376 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0146849 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0120995 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0120449 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00985648 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00342124 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.000239643 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0210919 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00706026 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0811741 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00367591 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0289419 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00298684 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0577549 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00959091 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00155165 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00268085 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.11692 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0315699 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0188099 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0272252 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0805161 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0129902 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00732523 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0969918 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0132035 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00503818 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.115357 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0105087 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0115172 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.121333 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0141388 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.1437 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0190059 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.260157 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.15309 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.000395217 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0612716 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00278568 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0327866 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0367957 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0251028 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0845008 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00950452 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0344702 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.152568 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0807343 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0551878 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0731119 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.510542 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.960706 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.276548 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0146849 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.102171 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00898807 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0100866 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00342124 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.25732 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0386228 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00275673 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0577549 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.127854 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0104031 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0139769 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.092098 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0690668 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.014144 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0375529 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0203273 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0521244 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0200712 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00953115 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0132026 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0283931 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0652782 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0411531 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0510766 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0765441 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0652782 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.117818 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0583945 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0771542 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.007841 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0207504 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0067725 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0199082 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0603231 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.098463 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0812103 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0172279 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0289388 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0603583 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0296628 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0172279 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.110674 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0364373 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0329783 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.103887 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0299179 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.191962 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0116718 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0307949 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0350888 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0353696 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0339517 # DEPENDENCYPART_SIBL
