# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,18,22,24,24,20,24,25,0,
(5,15),-2.3375 # DEPENDENCYPART_ARC
(6,5),-2.7097 # DEPENDENCYPART_ARC
(6,7),0.254142 # DEPENDENCYPART_ARC
(6,8),1.80872 # DEPENDENCYPART_ARC
(6,9),-1.74131 # DEPENDENCYPART_ARC
(6,11),-4.00078 # DEPENDENCYPART_ARC
(6,12),-1.03814 # DEPENDENCYPART_ARC
(7,6),-1.16413 # DEPENDENCYPART_ARC
(7,9),-0.652915 # DEPENDENCYPART_ARC
(8,4),-0.720363 # DEPENDENCYPART_ARC
(8,6),-1.47705 # DEPENDENCYPART_ARC
(8,7),2.34249 # DEPENDENCYPART_ARC
(8,9),0.937927 # DEPENDENCYPART_ARC
(8,10),-0.0690281 # DEPENDENCYPART_ARC
(8,11),-0.799887 # DEPENDENCYPART_ARC
(8,13),-1.17127 # DEPENDENCYPART_ARC
(8,14),-1.76637 # DEPENDENCYPART_ARC
(8,15),-1.81494 # DEPENDENCYPART_ARC
(8,17),-1.4488 # DEPENDENCYPART_ARC
(9,1),-2.14196 # DEPENDENCYPART_ARC
(9,2),-2.33457 # DEPENDENCYPART_ARC
(9,4),-3.92691 # DEPENDENCYPART_ARC
(9,5),-3.58722 # DEPENDENCYPART_ARC
(9,7),-1.7477 # DEPENDENCYPART_ARC
(9,8),-0.998743 # DEPENDENCYPART_ARC
(9,10),0.210905 # DEPENDENCYPART_ARC
(9,11),-0.163215 # DEPENDENCYPART_ARC
(9,12),-1.12916 # DEPENDENCYPART_ARC
(9,13),-1.19739 # DEPENDENCYPART_ARC
(9,14),-2.26482 # DEPENDENCYPART_ARC
(9,15),-2.59369 # DEPENDENCYPART_ARC
(9,17),-1.60827 # DEPENDENCYPART_ARC
(9,18),-3.74585 # DEPENDENCYPART_ARC
(10,9),-2.49876 # DEPENDENCYPART_ARC
(10,11),2.07293 # DEPENDENCYPART_ARC
(10,12),-0.915324 # DEPENDENCYPART_ARC
(10,13),-1.53834 # DEPENDENCYPART_ARC
(11,7),-1.96322 # DEPENDENCYPART_ARC
(11,8),-3.01918 # DEPENDENCYPART_ARC
(11,9),-2.09981 # DEPENDENCYPART_ARC
(11,10),-0.720109 # DEPENDENCYPART_ARC
(11,12),-1.20261 # DEPENDENCYPART_ARC
(11,13),-1.36299 # DEPENDENCYPART_ARC
(11,14),-1.31616 # DEPENDENCYPART_ARC
(11,15),-1.62176 # DEPENDENCYPART_ARC
(11,16),-1.27168 # DEPENDENCYPART_ARC
(11,17),-1.29919 # DEPENDENCYPART_ARC
(11,18),-3.12449 # DEPENDENCYPART_ARC
(12,1),-2.17018 # DEPENDENCYPART_ARC
(12,2),-1.98176 # DEPENDENCYPART_ARC
(12,3),-1.08128 # DEPENDENCYPART_ARC
(12,4),-2.11887 # DEPENDENCYPART_ARC
(12,5),-1.80842 # DEPENDENCYPART_ARC
(12,6),-1.41457 # DEPENDENCYPART_ARC
(12,7),-1.99074 # DEPENDENCYPART_ARC
(12,8),-1.47754 # DEPENDENCYPART_ARC
(12,9),-1.28151 # DEPENDENCYPART_ARC
(12,10),-1.45603 # DEPENDENCYPART_ARC
(12,11),-1.15385 # DEPENDENCYPART_ARC
(12,13),-1.25509 # DEPENDENCYPART_ARC
(12,14),-1.25174 # DEPENDENCYPART_ARC
(12,15),-1.50244 # DEPENDENCYPART_ARC
(12,16),-0.741254 # DEPENDENCYPART_ARC
(12,17),-1.24755 # DEPENDENCYPART_ARC
(12,18),-2.71512 # DEPENDENCYPART_ARC
(13,3),-2.06401 # DEPENDENCYPART_ARC
(13,8),-2.16998 # DEPENDENCYPART_ARC
(13,10),-1.33099 # DEPENDENCYPART_ARC
(13,11),-1.43579 # DEPENDENCYPART_ARC
(13,12),-1.0556 # DEPENDENCYPART_ARC
(13,16),-1.13335 # DEPENDENCYPART_ARC
(13,17),-1.44442 # DEPENDENCYPART_ARC
(13,18),-2.13588 # DEPENDENCYPART_ARC
(14,1),-1.02707 # DEPENDENCYPART_ARC
(14,2),-1.50536 # DEPENDENCYPART_ARC
(14,3),-1.98408 # DEPENDENCYPART_ARC
(14,5),-1.57913 # DEPENDENCYPART_ARC
(14,6),-1.91209 # DEPENDENCYPART_ARC
(14,8),-1.66926 # DEPENDENCYPART_ARC
(14,9),-1.82967 # DEPENDENCYPART_ARC
(14,10),-1.74691 # DEPENDENCYPART_ARC
(14,11),-3.34391 # DEPENDENCYPART_ARC
(14,12),-0.754593 # DEPENDENCYPART_ARC
(14,13),0.467634 # DEPENDENCYPART_ARC
(14,15),1.2637 # DEPENDENCYPART_ARC
(14,16),-0.927208 # DEPENDENCYPART_ARC
(14,17),-0.606447 # DEPENDENCYPART_ARC
(14,18),-3.213 # DEPENDENCYPART_ARC
(14,19),-1.86554 # DEPENDENCYPART_ARC
(14,20),-1.73856 # DEPENDENCYPART_ARC
(15,1),-0.801533 # DEPENDENCYPART_ARC
(15,2),-0.625049 # DEPENDENCYPART_ARC
(15,3),-0.886763 # DEPENDENCYPART_ARC
(15,5),-1.11441 # DEPENDENCYPART_ARC
(15,6),-0.226414 # DEPENDENCYPART_ARC
(15,7),-3.84445 # DEPENDENCYPART_ARC
(15,8),-1.68757 # DEPENDENCYPART_ARC
(15,9),-0.565253 # DEPENDENCYPART_ARC
(15,10),-0.534511 # DEPENDENCYPART_ARC
(15,11),-2.79783 # DEPENDENCYPART_ARC
(15,12),-0.472022 # DEPENDENCYPART_ARC
(15,13),1.02187 # DEPENDENCYPART_ARC
(15,14),3.36707 # DEPENDENCYPART_ARC
(15,16),-0.524155 # DEPENDENCYPART_ARC
(15,17),-0.19887 # DEPENDENCYPART_ARC
(15,18),-1.4939 # DEPENDENCYPART_ARC
(15,19),-2.47987 # DEPENDENCYPART_ARC
(15,20),-1.07652 # DEPENDENCYPART_ARC
(15,22),-3.76035 # DEPENDENCYPART_ARC
(15,23),-4.09722 # DEPENDENCYPART_ARC
(15,24),-3.38791 # DEPENDENCYPART_ARC
(15,25),-2.06986 # DEPENDENCYPART_ARC
(16,3),-1.72116 # DEPENDENCYPART_ARC
(16,15),-0.964114 # DEPENDENCYPART_ARC
(16,18),-1.33634 # DEPENDENCYPART_ARC
(16,19),-2.37989 # DEPENDENCYPART_ARC
(16,20),-1.63552 # DEPENDENCYPART_ARC
(17,11),-2.09941 # DEPENDENCYPART_ARC
(17,12),-0.995059 # DEPENDENCYPART_ARC
(17,13),-0.910159 # DEPENDENCYPART_ARC
(17,14),-0.279092 # DEPENDENCYPART_ARC
(17,16),1.48043 # DEPENDENCYPART_ARC
(17,18),1.46422 # DEPENDENCYPART_ARC
(17,19),-1.15399 # DEPENDENCYPART_ARC
(17,20),-1.22965 # DEPENDENCYPART_ARC
(17,21),-1.91276 # DEPENDENCYPART_ARC
(17,22),-2.29195 # DEPENDENCYPART_ARC
(17,23),-2.67024 # DEPENDENCYPART_ARC
(17,24),-2.92921 # DEPENDENCYPART_ARC
(17,25),-2.26022 # DEPENDENCYPART_ARC
(18,1),-1.44459 # DEPENDENCYPART_ARC
(18,2),-1.76041 # DEPENDENCYPART_ARC
(18,3),-2.94023 # DEPENDENCYPART_ARC
(18,5),-1.6957 # DEPENDENCYPART_ARC
(18,13),-0.894632 # DEPENDENCYPART_ARC
(18,14),-1.96257 # DEPENDENCYPART_ARC
(18,15),-1.24835 # DEPENDENCYPART_ARC
(18,16),-0.812163 # DEPENDENCYPART_ARC
(18,17),-0.439568 # DEPENDENCYPART_ARC
(18,19),1.91638 # DEPENDENCYPART_ARC
(18,20),0.564114 # DEPENDENCYPART_ARC
(18,21),-1.78369 # DEPENDENCYPART_ARC
(18,22),-0.107723 # DEPENDENCYPART_ARC
(18,23),-0.606048 # DEPENDENCYPART_ARC
(18,24),-0.236862 # DEPENDENCYPART_ARC
(18,25),-0.605927 # DEPENDENCYPART_ARC
(18,26),-2.60456 # DEPENDENCYPART_ARC
(19,20),1.05125 # DEPENDENCYPART_ARC
(19,21),-0.357625 # DEPENDENCYPART_ARC
(19,22),-2.37042 # DEPENDENCYPART_ARC
(19,23),-2.88947 # DEPENDENCYPART_ARC
(19,24),-2.91808 # DEPENDENCYPART_ARC
(19,25),-0.259586 # DEPENDENCYPART_ARC
(20,16),-1.4544 # DEPENDENCYPART_ARC
(20,19),-2.48063 # DEPENDENCYPART_ARC
(20,21),0.671243 # DEPENDENCYPART_ARC
(20,22),1.79066 # DEPENDENCYPART_ARC
(20,23),-0.507954 # DEPENDENCYPART_ARC
(20,24),-1.03496 # DEPENDENCYPART_ARC
(21,20),-1.09024 # DEPENDENCYPART_ARC
(21,22),-1.92472 # DEPENDENCYPART_ARC
(21,23),-2.84463 # DEPENDENCYPART_ARC
(21,24),-3.14849 # DEPENDENCYPART_ARC
(21,25),-1.40154 # DEPENDENCYPART_ARC
(22,19),-2.43881 # DEPENDENCYPART_ARC
(22,20),-1.37177 # DEPENDENCYPART_ARC
(22,21),2.61828 # DEPENDENCYPART_ARC
(22,23),-1.16682 # DEPENDENCYPART_ARC
(22,24),-2.46183 # DEPENDENCYPART_ARC
(22,25),-0.902696 # DEPENDENCYPART_ARC
(22,26),-2.01689 # DEPENDENCYPART_ARC
(23,19),-2.30327 # DEPENDENCYPART_ARC
(23,21),-0.995066 # DEPENDENCYPART_ARC
(23,22),0.933853 # DEPENDENCYPART_ARC
(23,24),-1.73812 # DEPENDENCYPART_ARC
(23,25),-0.983134 # DEPENDENCYPART_ARC
(23,26),-2.20947 # DEPENDENCYPART_ARC
(23,27),-1.3566 # DEPENDENCYPART_ARC
(24,19),-1.29732 # DEPENDENCYPART_ARC
(24,20),-1.79389 # DEPENDENCYPART_ARC
(24,21),-0.386133 # DEPENDENCYPART_ARC
(24,22),2.69492 # DEPENDENCYPART_ARC
(24,23),4.01008 # DEPENDENCYPART_ARC
(24,25),-0.499268 # DEPENDENCYPART_ARC
(24,26),-1.19433 # DEPENDENCYPART_ARC
(24,27),-0.813838 # DEPENDENCYPART_ARC
(25,23),-3.68493 # DEPENDENCYPART_ARC
(25,24),-3.19267 # DEPENDENCYPART_ARC
(25,26),2.89268 # DEPENDENCYPART_ARC
(25,27),-1.4195 # DEPENDENCYPART_ARC
(26,19),-2.73034 # DEPENDENCYPART_ARC
(26,22),-1.72424 # DEPENDENCYPART_ARC
(26,23),-0.476375 # DEPENDENCYPART_ARC
(26,24),-0.883647 # DEPENDENCYPART_ARC
(26,25),-1.32304 # DEPENDENCYPART_ARC
(26,27),-0.817742 # DEPENDENCYPART_ARC
(0,1),(0,2),0.068727 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.173406 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0661532 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.183009 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0186503 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.192648 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.168277 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0186503 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.049386 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.168277 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.389091 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.188912 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0345586 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.171779 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0206951 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.208154 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.183783 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0206951 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.031818 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.183783 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.417244 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0672579 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.204714 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.329932 # DEPENDENCYPART_SIBL
(0,3),(0,14),-1.49809 # DEPENDENCYPART_SIBL
(0,3),(0,15),-1.47754 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.329932 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.680881 # DEPENDENCYPART_SIBL
(0,3),(0,18),-1.47754 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0530066 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.173827 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.00794663 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.191499 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.167128 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.00794663 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0358711 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.167128 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.399795 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0805515 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.333263 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.328824 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0805515 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0990822 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.328824 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.211521 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.424312 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0596916 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-1.48476 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.359258 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.690539 # DEPENDENCYPART_SIBL
(0,14),(0,18),-1.48476 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.119466 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.296463 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.667766 # DEPENDENCYPART_SIBL
(0,15),(0,18),-1.46319 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.00769122 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0596916 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.408609 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.827366 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.20532 # DEPENDENCYPART_SIBL
(0,18),(0,27),0.0138168 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0207546 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00642088 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.119648 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0325661 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00393964 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.121423 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0206324 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0144908 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0147544 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0175533 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0153169 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0158321 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0162219 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0484063 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.024937 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.111195 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0467903 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0204001 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00113251 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0123282 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.135621 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0571918 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00483937 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0088678 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0262645 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.046792 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0204003 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0206222 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00165218 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00731414 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.034182 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0990907 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0138654 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00297957 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0113162 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.029631 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0177654 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0383465 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.227078 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0730803 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00551685 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0561958 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0487776 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0510472 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0692644 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0554025 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0117328 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0717548 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00301211 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0275885 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0117328 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0455881 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0275885 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.00551685 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0249047 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0980982 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0163764 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0542875 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0677951 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0700647 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0567006 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.07442 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0216486 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0622029 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0105499 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0200733 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0216486 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0334984 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0200733 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0163764 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0156038 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.114325 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0298 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.11638 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.116762 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0116488 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.124989 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0208641 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0512628 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0380068 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.027741 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0208641 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00609804 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.027741 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.114325 # DEPENDENCYPART_SIBL
(3,5),(3,25),0.0591922 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0257158 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0203225 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0199379 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.164011 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0193403 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0130938 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00817901 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0443963 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0273775 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0130938 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.059933 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0273775 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.117496 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.128357 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.108508 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.10889 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0680211 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.109394 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0487545 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0972954 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0544964 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0515624 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0487545 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0117697 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0515624 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0104021 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0254459 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.103574 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0181401 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.111801 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00762534 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0258546 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0191033 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00883749 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.00762534 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0250697 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.00883749 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.138392 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.0873106 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0154264 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.114108 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.010752 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0281594 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0223514 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0120857 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.010752 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0191007 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0120857 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.135273 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0845938 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0447056 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0444509 # DEPENDENCYPART_SIBL
