# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,0,20,16,17,18,15,22,24,24,20,0,
(14,6),-1.87323 # DEPENDENCYPART_ARC
(14,7),1.19428 # DEPENDENCYPART_ARC
(14,8),0.00285441 # DEPENDENCYPART_ARC
(14,9),-2.98434 # DEPENDENCYPART_ARC
(14,10),-0.573175 # DEPENDENCYPART_ARC
(14,11),-1.93021 # DEPENDENCYPART_ARC
(14,12),2.15335 # DEPENDENCYPART_ARC
(14,13),1.86677 # DEPENDENCYPART_ARC
(14,15),-0.479501 # DEPENDENCYPART_ARC
(14,16),-0.391524 # DEPENDENCYPART_ARC
(14,17),-2.61117 # DEPENDENCYPART_ARC
(14,18),-0.650771 # DEPENDENCYPART_ARC
(14,19),-2.61866 # DEPENDENCYPART_ARC
(14,20),-3.23096 # DEPENDENCYPART_ARC
(14,21),-2.54038 # DEPENDENCYPART_ARC
(14,22),-2.50937 # DEPENDENCYPART_ARC
(14,23),-3.15306 # DEPENDENCYPART_ARC
(14,24),-2.58828 # DEPENDENCYPART_ARC
(15,1),-0.733967 # DEPENDENCYPART_ARC
(15,2),-1.98343 # DEPENDENCYPART_ARC
(15,3),-2.046 # DEPENDENCYPART_ARC
(15,4),-2.14559 # DEPENDENCYPART_ARC
(15,5),-0.764173 # DEPENDENCYPART_ARC
(15,7),-1.43492 # DEPENDENCYPART_ARC
(15,8),-0.530929 # DEPENDENCYPART_ARC
(15,9),-1.84012 # DEPENDENCYPART_ARC
(15,10),-1.37852 # DEPENDENCYPART_ARC
(15,11),-1.33016 # DEPENDENCYPART_ARC
(15,12),-0.918774 # DEPENDENCYPART_ARC
(15,13),-0.73727 # DEPENDENCYPART_ARC
(15,14),-0.505923 # DEPENDENCYPART_ARC
(15,16),-0.376486 # DEPENDENCYPART_ARC
(15,17),-1.16143 # DEPENDENCYPART_ARC
(15,18),-1.00522 # DEPENDENCYPART_ARC
(15,20),-0.765171 # DEPENDENCYPART_ARC
(15,21),-1.77606 # DEPENDENCYPART_ARC
(15,22),-2.49808 # DEPENDENCYPART_ARC
(15,23),-2.61884 # DEPENDENCYPART_ARC
(15,24),-2.673 # DEPENDENCYPART_ARC
(15,25),-1.35161 # DEPENDENCYPART_ARC
(16,15),-0.544118 # DEPENDENCYPART_ARC
(16,17),1.82339 # DEPENDENCYPART_ARC
(16,19),-1.21147 # DEPENDENCYPART_ARC
(16,21),-2.99211 # DEPENDENCYPART_ARC
(16,22),-5.14785 # DEPENDENCYPART_ARC
(17,13),-1.81215 # DEPENDENCYPART_ARC
(17,15),-1.35233 # DEPENDENCYPART_ARC
(17,16),-1.0322 # DEPENDENCYPART_ARC
(17,18),0.47241 # DEPENDENCYPART_ARC
(17,19),-2.44697 # DEPENDENCYPART_ARC
(17,20),-1.5103 # DEPENDENCYPART_ARC
(17,21),-2.47166 # DEPENDENCYPART_ARC
(17,22),-2.17694 # DEPENDENCYPART_ARC
(17,23),-3.17558 # DEPENDENCYPART_ARC
(17,24),-3.52038 # DEPENDENCYPART_ARC
(18,15),-0.925751 # DEPENDENCYPART_ARC
(18,16),-0.678851 # DEPENDENCYPART_ARC
(18,17),-0.461803 # DEPENDENCYPART_ARC
(18,19),3.1372 # DEPENDENCYPART_ARC
(18,21),-2.88646 # DEPENDENCYPART_ARC
(18,22),-2.96962 # DEPENDENCYPART_ARC
(18,23),-3.96382 # DEPENDENCYPART_ARC
(18,24),-4.87925 # DEPENDENCYPART_ARC
(19,16),-1.44957 # DEPENDENCYPART_ARC
(19,17),-3.78877 # DEPENDENCYPART_ARC
(19,20),-1.40926 # DEPENDENCYPART_ARC
(19,21),-2.9795 # DEPENDENCYPART_ARC
(19,22),-3.13322 # DEPENDENCYPART_ARC
(19,23),-3.75174 # DEPENDENCYPART_ARC
(19,24),-4.47324 # DEPENDENCYPART_ARC
(20,1),0.246098 # DEPENDENCYPART_ARC
(20,2),-2.8896 # DEPENDENCYPART_ARC
(20,3),-3.23362 # DEPENDENCYPART_ARC
(20,4),-3.65116 # DEPENDENCYPART_ARC
(20,5),-0.267083 # DEPENDENCYPART_ARC
(20,6),-2.75894 # DEPENDENCYPART_ARC
(20,7),-0.301493 # DEPENDENCYPART_ARC
(20,8),-0.851077 # DEPENDENCYPART_ARC
(20,10),-1.85582 # DEPENDENCYPART_ARC
(20,11),-2.82122 # DEPENDENCYPART_ARC
(20,12),0.120545 # DEPENDENCYPART_ARC
(20,13),-0.41801 # DEPENDENCYPART_ARC
(20,14),-2.17287 # DEPENDENCYPART_ARC
(20,15),-0.0269167 # DEPENDENCYPART_ARC
(20,16),0.858778 # DEPENDENCYPART_ARC
(20,17),-1.44767 # DEPENDENCYPART_ARC
(20,18),-0.0754038 # DEPENDENCYPART_ARC
(20,19),0.270581 # DEPENDENCYPART_ARC
(20,21),0.50036 # DEPENDENCYPART_ARC
(20,22),0.608456 # DEPENDENCYPART_ARC
(20,23),-0.333014 # DEPENDENCYPART_ARC
(20,24),0.362924 # DEPENDENCYPART_ARC
(20,25),-1.10546 # DEPENDENCYPART_ARC
(21,18),-0.996304 # DEPENDENCYPART_ARC
(21,22),-2.03594 # DEPENDENCYPART_ARC
(21,23),-2.76802 # DEPENDENCYPART_ARC
(21,24),-3.25918 # DEPENDENCYPART_ARC
(22,16),-0.90231 # DEPENDENCYPART_ARC
(22,17),-4.63352 # DEPENDENCYPART_ARC
(22,18),-0.822193 # DEPENDENCYPART_ARC
(22,21),2.65524 # DEPENDENCYPART_ARC
(22,23),-0.586161 # DEPENDENCYPART_ARC
(22,24),-2.17559 # DEPENDENCYPART_ARC
(22,25),-1.50854 # DEPENDENCYPART_ARC
(23,18),-1.4615 # DEPENDENCYPART_ARC
(23,21),-1.33031 # DEPENDENCYPART_ARC
(23,22),0.620812 # DEPENDENCYPART_ARC
(23,24),-1.19102 # DEPENDENCYPART_ARC
(23,25),-1.15613 # DEPENDENCYPART_ARC
(24,17),-2.56394 # DEPENDENCYPART_ARC
(24,18),-1.09894 # DEPENDENCYPART_ARC
(24,19),-2.03943 # DEPENDENCYPART_ARC
(24,21),-0.45247 # DEPENDENCYPART_ARC
(24,22),2.43704 # DEPENDENCYPART_ARC
(24,23),3.8357 # DEPENDENCYPART_ARC
(24,25),-0.583218 # DEPENDENCYPART_ARC
(25,24),-3.25529 # DEPENDENCYPART_ARC
(0,1),(0,2),0.230264 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.231004 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.230095 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0964751 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.373019 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0964751 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.376098 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.319356 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0271043 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0257402 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0227185 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.188143 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0227185 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.189375 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.418226 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0358746 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0203433 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.183772 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0203433 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.185004 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.416892 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0216272 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.182225 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0216272 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.183457 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.41812 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.40984 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.30194 # DEPENDENCYPART_SIBL
(0,14),(0,20),-1.46833 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.0192255 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.40984 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0162415 # DEPENDENCYPART_SIBL
(1,2),(1,3),-1.29783 # DEPENDENCYPART_SIBL
(1,2),(1,4),-1.29826 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.159313 # DEPENDENCYPART_SIBL
(1,3),(1,4),-1.28813 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.156952 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.157332 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0326278 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0356153 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.034716 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0385749 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.131764 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.124532 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0765527 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0765547 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0674588 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0433406 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0594649 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.087184 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0289631 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00381869 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.00381685 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0369912 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0527613 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.105262 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0346781 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0145816 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0145798 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00892408 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0394213 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0182785 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0169402 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0169407 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0682739 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0324553 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00644516 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.00644331 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00623992 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.00663485 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.00601848 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00648942 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.00648883 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.260965 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.026256 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0271592 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0334948 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0314062 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.132102 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.124504 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0245827 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0722022 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0722042 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0175369 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0163709 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0215686 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.127637 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00568109 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0302531 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0140154 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0140144 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0304385 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0462328 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.123567 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0409513 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0610264 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0227659 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0227641 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00795869 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0324408 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0190392 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0106297 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0141744 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0141749 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0858459 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0383618 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0697302 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0142627 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0142609 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0073994 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0280854 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00934916 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.00873279 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0311225 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.00789194 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00789135 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0163173 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0163154 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.259557 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0215947 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0168527 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0334947 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0314216 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.132124 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.124504 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0244953 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0636328 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0722372 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0722392 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0421564 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0163993 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0215001 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.127688 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00565221 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.020146 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.000947997 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0139477 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0139467 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0245349 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0196166 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.117827 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00322685 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0182625 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00328622 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00535894 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.00535792 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00795913 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0324474 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0190392 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00756187 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.103585 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0142341 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0142346 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0858393 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0383618 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0616711 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00374389 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.014203 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0142011 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00733182 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0292075 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0806497 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.00916211 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.00854574 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0280155 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0010684 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0078322 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.00783161 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00169573 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.011597 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0115952 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0196004 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0195998 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.259616 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0479976 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0475318 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.047537 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0100696 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.281676 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0321416 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00340467 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.00806062 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.00922957 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00224031 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.00922859 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0167307 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0129012 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.156237 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0485289 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00894895 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.165438 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0291369 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0171425 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.010965 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0171425 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00985062 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.156414 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0412933 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00812865 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.165616 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0282597 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.014972 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00930883 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.014972 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.156406 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0414775 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00821426 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.165607 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0282728 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0149344 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00913729 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0149344 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00527219 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0333725 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0213154 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0603562 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0175828 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0363552 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0175834 # DEPENDENCYPART_SIBL
