# _root_ Povstání zkomplikovalo plány nacistů na obranu Karpat , připoutalo nemalé nacistické jednotky na Slovensko , rozrušilo komunikační systém v týlu fronty a vytvořilo nebezpečné ohnisko nepokojů .
#goldHeads=22,22,2,3,3,5,6,22,22,12,12,9,9,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
#predictedHeads=2,8,2,3,3,5,6,22,22,12,12,9,12,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
(9,20),-2.74062 # DEPENDENCYPART_ARC
(9,21),-3.15809 # DEPENDENCYPART_ARC
(9,22),-0.681837 # DEPENDENCYPART_ARC
(9,23),-4.13102 # DEPENDENCYPART_ARC
(9,25),-1.75993 # DEPENDENCYPART_ARC
(9,26),-3.62319 # DEPENDENCYPART_ARC
(10,8),-0.85054 # DEPENDENCYPART_ARC
(10,11),-1.53008 # DEPENDENCYPART_ARC
(10,12),-1.97885 # DEPENDENCYPART_ARC
(10,13),-0.745525 # DEPENDENCYPART_ARC
(10,14),-1.74214 # DEPENDENCYPART_ARC
(10,15),-1.12925 # DEPENDENCYPART_ARC
(10,16),-3.12848 # DEPENDENCYPART_ARC
(11,10),-2.23781 # DEPENDENCYPART_ARC
(12,7),-2.90742 # DEPENDENCYPART_ARC
(12,8),-1.30452 # DEPENDENCYPART_ARC
(12,10),1.52559 # DEPENDENCYPART_ARC
(12,11),2.5531 # DEPENDENCYPART_ARC
(12,13),0.929805 # DEPENDENCYPART_ARC
(12,14),-2.19103 # DEPENDENCYPART_ARC
(12,15),-1.2247 # DEPENDENCYPART_ARC
(12,16),-2.06441 # DEPENDENCYPART_ARC
(12,17),-2.93028 # DEPENDENCYPART_ARC
(12,19),-1.03491 # DEPENDENCYPART_ARC
(12,22),-1.09846 # DEPENDENCYPART_ARC
(12,23),-3.1498 # DEPENDENCYPART_ARC
(13,12),-3.07927 # DEPENDENCYPART_ARC
(13,14),2.62503 # DEPENDENCYPART_ARC
(13,15),-0.835051 # DEPENDENCYPART_ARC
(13,17),-1.95009 # DEPENDENCYPART_ARC
(13,18),-1.02547 # DEPENDENCYPART_ARC
(14,10),-4.29966 # DEPENDENCYPART_ARC
(14,11),-3.64618 # DEPENDENCYPART_ARC
(14,12),-4.03518 # DEPENDENCYPART_ARC
(14,13),-1.37302 # DEPENDENCYPART_ARC
(14,15),-1.69254 # DEPENDENCYPART_ARC
(14,16),-1.69631 # DEPENDENCYPART_ARC
(14,17),-2.65466 # DEPENDENCYPART_ARC
(14,18),-3.93068 # DEPENDENCYPART_ARC
(14,22),-1.51227 # DEPENDENCYPART_ARC
(14,23),-2.65169 # DEPENDENCYPART_ARC
(15,1),-1.85045 # DEPENDENCYPART_ARC
(15,2),-0.672852 # DEPENDENCYPART_ARC
(15,3),-1.85305 # DEPENDENCYPART_ARC
(15,4),-2.00535 # DEPENDENCYPART_ARC
(15,6),-1.70013 # DEPENDENCYPART_ARC
(15,8),-0.626995 # DEPENDENCYPART_ARC
(15,9),-0.247549 # DEPENDENCYPART_ARC
(15,11),-1.73172 # DEPENDENCYPART_ARC
(15,12),-1.00566 # DEPENDENCYPART_ARC
(15,13),-1.23405 # DEPENDENCYPART_ARC
(15,14),-1.2962 # DEPENDENCYPART_ARC
(15,16),-0.805404 # DEPENDENCYPART_ARC
(15,17),-1.94989 # DEPENDENCYPART_ARC
(15,18),-1.88323 # DEPENDENCYPART_ARC
(15,20),-2.51477 # DEPENDENCYPART_ARC
(15,23),-2.52107 # DEPENDENCYPART_ARC
(16,1),-0.312164 # DEPENDENCYPART_ARC
(16,2),-1.97069 # DEPENDENCYPART_ARC
(16,3),-1.9875 # DEPENDENCYPART_ARC
(16,4),-3.67679 # DEPENDENCYPART_ARC
(16,5),-1.86323 # DEPENDENCYPART_ARC
(16,6),-1.62268 # DEPENDENCYPART_ARC
(16,7),-4.22607 # DEPENDENCYPART_ARC
(16,9),-1.306 # DEPENDENCYPART_ARC
(16,10),-3.72842 # DEPENDENCYPART_ARC
(16,11),-3.46264 # DEPENDENCYPART_ARC
(16,12),-1.45499 # DEPENDENCYPART_ARC
(16,13),-0.99692 # DEPENDENCYPART_ARC
(16,14),-1.01062 # DEPENDENCYPART_ARC
(16,15),-0.474512 # DEPENDENCYPART_ARC
(16,17),-0.725187 # DEPENDENCYPART_ARC
(16,18),1.29116 # DEPENDENCYPART_ARC
(16,19),0.0513185 # DEPENDENCYPART_ARC
(16,20),-1.33787 # DEPENDENCYPART_ARC
(16,21),-1.91318 # DEPENDENCYPART_ARC
(16,22),-0.302255 # DEPENDENCYPART_ARC
(16,23),-3.24867 # DEPENDENCYPART_ARC
(16,24),-2.22229 # DEPENDENCYPART_ARC
(16,25),-0.920582 # DEPENDENCYPART_ARC
(16,26),-2.79141 # DEPENDENCYPART_ARC
(16,27),-1.11137 # DEPENDENCYPART_ARC
(17,18),-1.79949 # DEPENDENCYPART_ARC
(17,19),-0.950133 # DEPENDENCYPART_ARC
(17,20),-3.13368 # DEPENDENCYPART_ARC
(18,10),-3.98743 # DEPENDENCYPART_ARC
(18,14),-1.88984 # DEPENDENCYPART_ARC
(18,17),2.71323 # DEPENDENCYPART_ARC
(18,19),0.36505 # DEPENDENCYPART_ARC
(18,20),-1.24676 # DEPENDENCYPART_ARC
(18,21),-0.535924 # DEPENDENCYPART_ARC
(18,22),-0.801088 # DEPENDENCYPART_ARC
(18,23),-2.08329 # DEPENDENCYPART_ARC
(18,24),-2.3378 # DEPENDENCYPART_ARC
(18,25),-3.43439 # DEPENDENCYPART_ARC
(18,26),-2.04367 # DEPENDENCYPART_ARC
(19,20),1.78983 # DEPENDENCYPART_ARC
(19,21),-2.74622 # DEPENDENCYPART_ARC
(20,17),-1.18261 # DEPENDENCYPART_ARC
(20,19),0.186519 # DEPENDENCYPART_ARC
(20,21),1.87408 # DEPENDENCYPART_ARC
(20,22),-0.335356 # DEPENDENCYPART_ARC
(20,23),-1.67055 # DEPENDENCYPART_ARC
(20,24),-2.91283 # DEPENDENCYPART_ARC
(20,25),-3.25568 # DEPENDENCYPART_ARC
(20,26),-0.965146 # DEPENDENCYPART_ARC
(21,14),-4.13745 # DEPENDENCYPART_ARC
(21,17),-3.30435 # DEPENDENCYPART_ARC
(21,18),-3.59131 # DEPENDENCYPART_ARC
(21,19),-1.23177 # DEPENDENCYPART_ARC
(21,20),-2.37695 # DEPENDENCYPART_ARC
(21,23),-2.24321 # DEPENDENCYPART_ARC
(21,25),-4.2019 # DEPENDENCYPART_ARC
(21,26),-2.01033 # DEPENDENCYPART_ARC
(22,1),-0.448898 # DEPENDENCYPART_ARC
(22,2),-0.697184 # DEPENDENCYPART_ARC
(22,3),-0.998468 # DEPENDENCYPART_ARC
(22,4),-1.2436 # DEPENDENCYPART_ARC
(22,5),-0.896647 # DEPENDENCYPART_ARC
(22,6),-1.34141 # DEPENDENCYPART_ARC
(22,7),-1.23406 # DEPENDENCYPART_ARC
(22,8),-0.262233 # DEPENDENCYPART_ARC
(22,9),0.384664 # DEPENDENCYPART_ARC
(22,11),-2.35388 # DEPENDENCYPART_ARC
(22,12),-0.520552 # DEPENDENCYPART_ARC
(22,13),-0.846793 # DEPENDENCYPART_ARC
(22,14),-0.770013 # DEPENDENCYPART_ARC
(22,15),0.145339 # DEPENDENCYPART_ARC
(22,16),1.35001 # DEPENDENCYPART_ARC
(22,17),-1.4271 # DEPENDENCYPART_ARC
(22,18),-0.142348 # DEPENDENCYPART_ARC
(22,19),-0.448546 # DEPENDENCYPART_ARC
(22,20),-0.313761 # DEPENDENCYPART_ARC
(22,21),-0.427687 # DEPENDENCYPART_ARC
(22,23),1.62948 # DEPENDENCYPART_ARC
(22,24),-1.16237 # DEPENDENCYPART_ARC
(22,25),-0.529115 # DEPENDENCYPART_ARC
(22,26),-0.894709 # DEPENDENCYPART_ARC
(22,27),-1.19151 # DEPENDENCYPART_ARC
(23,1),-0.88328 # DEPENDENCYPART_ARC
(23,2),-2.75657 # DEPENDENCYPART_ARC
(23,12),-2.34272 # DEPENDENCYPART_ARC
(23,16),-1.78749 # DEPENDENCYPART_ARC
(23,18),-1.33763 # DEPENDENCYPART_ARC
(23,19),-1.11465 # DEPENDENCYPART_ARC
(23,20),-1.50947 # DEPENDENCYPART_ARC
(23,21),-2.65445 # DEPENDENCYPART_ARC
(23,24),0.191352 # DEPENDENCYPART_ARC
(23,25),1.08733 # DEPENDENCYPART_ARC
(23,26),-1.37291 # DEPENDENCYPART_ARC
(23,27),-0.848532 # DEPENDENCYPART_ARC
(24,21),-3.56601 # DEPENDENCYPART_ARC
(24,25),-1.6066 # DEPENDENCYPART_ARC
(24,26),-2.12683 # DEPENDENCYPART_ARC
(25,24),1.78877 # DEPENDENCYPART_ARC
(25,26),1.81538 # DEPENDENCYPART_ARC
(25,27),-1.01129 # DEPENDENCYPART_ARC
(26,20),-4.55583 # DEPENDENCYPART_ARC
(26,21),-4.38659 # DEPENDENCYPART_ARC
(26,24),-2.62842 # DEPENDENCYPART_ARC
(26,25),-2.14875 # DEPENDENCYPART_ARC
(26,27),-0.721517 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.15805 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.053021 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.00245945 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.158034 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.00245945 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.158034 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.169987 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.158034 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.38716 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0618061 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.31913 # DEPENDENCYPART_SIBL
(0,2),(0,9),-1.47226 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.31913 # DEPENDENCYPART_SIBL
(0,2),(0,16),-1.47226 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.971295 # DEPENDENCYPART_SIBL
(0,2),(0,23),-1.47226 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0394248 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0204325 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.18377 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0204325 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.18377 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.182068 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.18377 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.416978 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.140416 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,16),-1.46319 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.962228 # DEPENDENCYPART_SIBL
(0,9),(0,23),-1.46319 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.00769122 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.140416 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.962228 # DEPENDENCYPART_SIBL
(0,16),(0,23),-1.46319 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.00769122 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.898665 # DEPENDENCYPART_SIBL
(0,22),(0,27),0.0494213 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.0139278 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00139672 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00139409 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0035002 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0603114 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.110402 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.10475 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0355808 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0321991 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00645202 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0335071 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0316373 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00481901 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0163375 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0417476 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00645202 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0275712 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00481901 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0340051 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0113632 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0303762 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0096843 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0316373 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0316373 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0948338 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0439226 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0999044 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0947246 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00351314 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00755366 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0894361 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0439226 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.101198 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00351314 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0964396 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0762364 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0952985 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.238644 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0947246 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.0947246 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0270548 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.10548 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.1003 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00892677 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0131248 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0950113 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0270548 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.106773 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00892677 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.102015 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0593685 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.100874 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.244215 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.1003 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.1003 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0278328 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.021447 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0112341 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0983306 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0130757 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0776243 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0236825 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0112341 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0185013 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.000121957 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0216777 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.199764 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.021447 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.021447 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.111709 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0286808 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0244536 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.106421 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0194018 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.118183 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0286808 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.113424 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0514516 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.112283 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.251768 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.111709 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.111709 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00892677 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0131248 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0950072 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0270548 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.106769 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.00892677 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.102011 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0593685 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.10087 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.244215 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.100296 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.100296 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0999961 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0976039 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.1122 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.104969 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.124158 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.108099 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.209923 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.101882 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.139006 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.101825 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.101825 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0432063 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0302453 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0355518 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.000479969 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0334237 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.143224 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0390224 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.140509 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0390812 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0390812 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0271271 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.108972 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0115356 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.104213 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0637333 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.103072 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.245968 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.102498 # DEPENDENCYPART_SIBL
(2,12),(2,26),-0.102498 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0236825 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0112341 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0185013 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.000121957 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0216777 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.199764 # DEPENDENCYPART_SIBL
(2,13),(2,25),-0.021447 # DEPENDENCYPART_SIBL
(2,13),(2,26),-0.021447 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.00974892 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0957282 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0812931 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0945871 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.23559 # DEPENDENCYPART_SIBL
(2,14),(2,25),-0.0940132 # DEPENDENCYPART_SIBL
(2,14),(2,26),-0.0940132 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.108099 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.209923 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.101882 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.139006 # DEPENDENCYPART_SIBL
(2,15),(2,25),-0.101825 # DEPENDENCYPART_SIBL
(2,15),(2,26),-0.101825 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.040174 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.100141 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.2525 # DEPENDENCYPART_SIBL
(2,18),(2,25),-0.0995675 # DEPENDENCYPART_SIBL
(2,18),(2,26),-0.0995675 # DEPENDENCYPART_SIBL
