# _root_ Tím , že Schumpeter opouští abstraktní schéma tržní ekonomiky a zkoumá kapitalistický systém , je blíž klasické škole a Marxovi než Marshallovi a Walrasovi .
#goldHeads=15,3,1,10,10,7,5,9,7,3,10,13,11,3,0,15,18,19,16,19,16,23,21,23,0,
#predictedHeads=15,3,1,5,10,7,5,9,7,3,10,13,11,3,0,15,18,19,15,19,16,23,21,23,0,
(3,5),(3,10),-0.816395 # DEPENDENCYPART_SIBL
(3,5),(3,11),-1.12027 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.000255148 # DEPENDENCYPART_SIBL
(3,5),(3,15),-1.18337 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.816395 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.816395 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.27748 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.502023 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0050173 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.566119 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.27748 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.27748 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.405601 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0175821 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.437711 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.444821 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.444821 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00164572 # DEPENDENCYPART_SIBL
(3,11),(3,15),-1.18337 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.816395 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.816395 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.513146 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.344411 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.344411 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.863536 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.863536 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.444821 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0106244 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0118238 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00825489 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.06463 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0625716 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0646221 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0401864 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0977735 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00150521 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.026777 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.013324 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0247926 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00270112 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.126893 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.08685 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.17776 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0872586 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.14721 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0138049 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0016465 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0138018 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00524458 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.028062 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.109131 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0354186 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0344279 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0780537 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0354377 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.264555 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0640871 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0448035 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.125446 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0032197 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.125441 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.00530564 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0267728 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0145661 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.125438 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00685401 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0447445 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0488338 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00455028 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0267728 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0267728 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0143325 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0246583 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0275642 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0119935 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0295503 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0037575 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0106025 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.000584513 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0274263 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0205193 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.171392 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0122651 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00980591 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0106025 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0106025 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.117754 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.13917 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.18145 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.139593 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.175894 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.118544 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.162883 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.13909 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.17755 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.131269 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.120321 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.181062 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.118544 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.118544 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0443721 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0402948 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0443022 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0365328 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0405757 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0111289 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0442661 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0460486 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0076669 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.021545 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0353117 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0405757 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0405757 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.104485 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.345795 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.110029 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0674824 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0505988 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.345669 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.111864 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0495211 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0808421 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.109558 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0674824 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0674824 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0168991 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.121408 # DEPENDENCYPART_SIBL
