# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,10,15,15,17,25,19,25,25,24,25,17,0,
(15,4),-2.0229 # DEPENDENCYPART_ARC
(15,5),-1.29201 # DEPENDENCYPART_ARC
(15,6),-1.20982 # DEPENDENCYPART_ARC
(15,7),-0.283656 # DEPENDENCYPART_ARC
(15,8),-0.0791079 # DEPENDENCYPART_ARC
(15,9),-0.32817 # DEPENDENCYPART_ARC
(15,10),-0.151542 # DEPENDENCYPART_ARC
(15,11),-0.39713 # DEPENDENCYPART_ARC
(15,12),0.875549 # DEPENDENCYPART_ARC
(15,13),1.76822 # DEPENDENCYPART_ARC
(15,14),2.5045 # DEPENDENCYPART_ARC
(15,16),2.3488 # DEPENDENCYPART_ARC
(15,17),0.0103977 # DEPENDENCYPART_ARC
(15,18),-0.192581 # DEPENDENCYPART_ARC
(15,19),-0.76992 # DEPENDENCYPART_ARC
(15,21),-0.576226 # DEPENDENCYPART_ARC
(15,22),-1.47486 # DEPENDENCYPART_ARC
(15,24),-1.86849 # DEPENDENCYPART_ARC
(15,25),-1.38988 # DEPENDENCYPART_ARC
(16,14),-3.3978 # DEPENDENCYPART_ARC
(16,15),-1.35484 # DEPENDENCYPART_ARC
(16,18),-3.0507 # DEPENDENCYPART_ARC
(17,1),-1.85458 # DEPENDENCYPART_ARC
(17,2),-2.23718 # DEPENDENCYPART_ARC
(17,3),-1.50519 # DEPENDENCYPART_ARC
(17,4),-2.66701 # DEPENDENCYPART_ARC
(17,6),-1.82972 # DEPENDENCYPART_ARC
(17,7),-0.883356 # DEPENDENCYPART_ARC
(17,8),-0.747724 # DEPENDENCYPART_ARC
(17,9),-0.968909 # DEPENDENCYPART_ARC
(17,10),-0.406247 # DEPENDENCYPART_ARC
(17,11),-1.20337 # DEPENDENCYPART_ARC
(17,12),0.161593 # DEPENDENCYPART_ARC
(17,13),0.484923 # DEPENDENCYPART_ARC
(17,14),0.588009 # DEPENDENCYPART_ARC
(17,15),-0.253964 # DEPENDENCYPART_ARC
(17,16),1.83642 # DEPENDENCYPART_ARC
(17,18),2.18105 # DEPENDENCYPART_ARC
(17,19),-0.195829 # DEPENDENCYPART_ARC
(17,21),0.259858 # DEPENDENCYPART_ARC
(17,22),-1.36745 # DEPENDENCYPART_ARC
(17,24),-1.75006 # DEPENDENCYPART_ARC
(17,25),-0.969352 # DEPENDENCYPART_ARC
(17,26),-0.999979 # DEPENDENCYPART_ARC
(18,16),-4.22106 # DEPENDENCYPART_ARC
(18,19),0.390344 # DEPENDENCYPART_ARC
(18,21),-1.74976 # DEPENDENCYPART_ARC
(18,22),-1.63804 # DEPENDENCYPART_ARC
(18,24),-4.23992 # DEPENDENCYPART_ARC
(18,25),-2.02758 # DEPENDENCYPART_ARC
(19,16),-3.36912 # DEPENDENCYPART_ARC
(19,18),-2.3015 # DEPENDENCYPART_ARC
(19,20),1.71836 # DEPENDENCYPART_ARC
(19,22),-1.3494 # DEPENDENCYPART_ARC
(19,24),-1.40883 # DEPENDENCYPART_ARC
(21,1),-2.33386 # DEPENDENCYPART_ARC
(21,9),-1.17421 # DEPENDENCYPART_ARC
(21,11),-3.14349 # DEPENDENCYPART_ARC
(21,12),-2.164 # DEPENDENCYPART_ARC
(21,13),-1.4165 # DEPENDENCYPART_ARC
(21,14),-0.822878 # DEPENDENCYPART_ARC
(21,15),-1.16657 # DEPENDENCYPART_ARC
(21,16),-0.338137 # DEPENDENCYPART_ARC
(21,17),-1.19807 # DEPENDENCYPART_ARC
(21,18),0.399289 # DEPENDENCYPART_ARC
(21,19),-1.14979 # DEPENDENCYPART_ARC
(21,22),0.193681 # DEPENDENCYPART_ARC
(21,23),-0.956728 # DEPENDENCYPART_ARC
(21,24),-0.524133 # DEPENDENCYPART_ARC
(21,25),-0.190338 # DEPENDENCYPART_ARC
(22,19),-1.19689 # DEPENDENCYPART_ARC
(22,21),-0.636774 # DEPENDENCYPART_ARC
(22,23),-1.51471 # DEPENDENCYPART_ARC
(22,24),-1.96166 # DEPENDENCYPART_ARC
(22,25),-1.7272 # DEPENDENCYPART_ARC
(23,18),-2.58171 # DEPENDENCYPART_ARC
(23,22),-0.430381 # DEPENDENCYPART_ARC
(23,24),-1.87659 # DEPENDENCYPART_ARC
(24,19),-0.917996 # DEPENDENCYPART_ARC
(24,22),-0.413521 # DEPENDENCYPART_ARC
(24,23),2.72747 # DEPENDENCYPART_ARC
(25,2),-0.673311 # DEPENDENCYPART_ARC
(25,3),0.374873 # DEPENDENCYPART_ARC
(25,5),-0.728735 # DEPENDENCYPART_ARC
(25,9),-0.763621 # DEPENDENCYPART_ARC
(25,10),1.33739 # DEPENDENCYPART_ARC
(25,12),-2.19595 # DEPENDENCYPART_ARC
(25,13),-1.36495 # DEPENDENCYPART_ARC
(25,14),-0.65444 # DEPENDENCYPART_ARC
(25,15),-0.30957 # DEPENDENCYPART_ARC
(25,16),-0.587082 # DEPENDENCYPART_ARC
(25,17),-0.404112 # DEPENDENCYPART_ARC
(25,18),0.831358 # DEPENDENCYPART_ARC
(25,19),0.223903 # DEPENDENCYPART_ARC
(25,21),3.06739 # DEPENDENCYPART_ARC
(25,22),0.638287 # DEPENDENCYPART_ARC
(25,23),1.533 # DEPENDENCYPART_ARC
(25,24),2.23367 # DEPENDENCYPART_ARC
(25,26),-0.900886 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.300154 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.299835 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.210766 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.279419 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.320721 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.150924 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.282865 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.294704 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.150924 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.159802 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.305904 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.295357 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.100823 # DEPENDENCYPART_SIBL
(0,2),(0,3),-1.48947 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.299023 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.154471 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.206467 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.3622 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.625353 # DEPENDENCYPART_SIBL
(0,2),(0,10),-1.47662 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.3622 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.99166 # DEPENDENCYPART_SIBL
(0,2),(0,21),-1.49215 # DEPENDENCYPART_SIBL
(0,2),(0,25),-1.47662 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.0704054 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.29379 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.179167 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.211745 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.335094 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.645143 # DEPENDENCYPART_SIBL
(0,3),(0,10),-1.47628 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.335094 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.962346 # DEPENDENCYPART_SIBL
(0,3),(0,21),-1.49182 # DEPENDENCYPART_SIBL
(0,3),(0,25),-1.47628 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0481876 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0926059 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0448801 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0790453 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0109784 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.370561 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0790453 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.227048 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.384974 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.370561 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.303562 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0699033 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.2298 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0231368 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.476952 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.2298 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.221198 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.495713 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.476961 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.450326 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00322126 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.164979 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.362825 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00322126 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0729222 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.374721 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.362825 # DEPENDENCYPART_SIBL
(0,6),(0,26),0.00774574 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00123668 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.408609 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.140416 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.428553 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.408635 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.861016 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.326921 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.708252 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.870687 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.861016 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.107484 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.296463 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.962228 # DEPENDENCYPART_SIBL
(0,10),(0,21),-1.47872 # DEPENDENCYPART_SIBL
(0,10),(0,25),-1.46319 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.00769122 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.140416 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.428553 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.408635 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.906005 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.898665 # DEPENDENCYPART_SIBL
(0,17),(0,26),0.0494213 # DEPENDENCYPART_SIBL
(0,21),(0,25),-1.47208 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.00577954 # DEPENDENCYPART_SIBL
(0,25),(0,26),0.0181298 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.297889 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00281657 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0234108 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0121069 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0158041 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0277037 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0773234 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0159535 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0655858 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0175339 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0272704 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0916572 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0445793 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0160131 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0609502 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.024321 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.159972 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0113314 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0223005 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0424766 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.042674 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.283411 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0270947 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.000793174 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0637357 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0709872 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0584051 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0694038 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0349829 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.028247 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0709872 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0522533 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0645577 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00366082 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00034904 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0421339 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0934743 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0831429 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.149248 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00405301 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0233768 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0934743 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0560002 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0630983 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0306192 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.159094 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0348922 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00654024 # DEPENDENCYPART_SIBL
(3,4),(3,10),-2.81312e-05 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.346204 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.103968 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0348922 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.127559 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0496749 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00503735 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0348715 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0350118 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.104347 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0198752 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.000483876 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0348715 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.133333 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.161537 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.140013 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0967279 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.048687 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0537273 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0998648 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.140013 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0885883 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0146001 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0356461 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.128049 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0751412 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.107287 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.134051 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.136678 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.124718 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.18521 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.159648 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.169467 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.000552688 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.279237 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.330383 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0377005 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0871843 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0415916 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0510369 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0602795 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0881547 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0163029 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.111743 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0338596 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0105844 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.131632 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.219965 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.136678 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.124718 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.183432 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.204417 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.157222 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0557855 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0464792 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0644643 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.027274 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.117813 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0493086 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0349488 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.113469 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0250784 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.060754 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0445886 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0852559 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0426423 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.024278 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0516219 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0511928 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0738474 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0194329 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0308642 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0188731 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.044874 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0874703 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.102323 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.263817 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.611619 # DEPENDENCYPART_SIBL
