# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,0,6,3,3,7,0,7,10,12,10,8,17,17,17,15,12,22,20,22,22,17,25,22,24,0,
(7,8),-0.258416 # DEPENDENCYPART_ARC
(7,9),-1.48395 # DEPENDENCYPART_ARC
(7,10),-1.09247 # DEPENDENCYPART_ARC
(7,11),-2.14951 # DEPENDENCYPART_ARC
(7,12),-1.96124 # DEPENDENCYPART_ARC
(7,13),-0.764073 # DEPENDENCYPART_ARC
(7,15),-1.51925 # DEPENDENCYPART_ARC
(7,17),-1.27575 # DEPENDENCYPART_ARC
(7,22),-2.03275 # DEPENDENCYPART_ARC
(8,6),-0.207229 # DEPENDENCYPART_ARC
(8,9),0.534051 # DEPENDENCYPART_ARC
(8,10),-0.446359 # DEPENDENCYPART_ARC
(8,11),-1.24115 # DEPENDENCYPART_ARC
(8,12),1.70709 # DEPENDENCYPART_ARC
(8,13),-0.656562 # DEPENDENCYPART_ARC
(8,16),-1.85574 # DEPENDENCYPART_ARC
(8,17),-0.820328 # DEPENDENCYPART_ARC
(9,5),-2.01041 # DEPENDENCYPART_ARC
(9,7),-0.787027 # DEPENDENCYPART_ARC
(9,8),-0.929599 # DEPENDENCYPART_ARC
(9,10),-0.375799 # DEPENDENCYPART_ARC
(9,11),-1.98368 # DEPENDENCYPART_ARC
(9,15),-3.04053 # DEPENDENCYPART_ARC
(10,1),-1.98156 # DEPENDENCYPART_ARC
(10,2),-2.28393 # DEPENDENCYPART_ARC
(10,3),-2.00279 # DEPENDENCYPART_ARC
(10,5),-2.12386 # DEPENDENCYPART_ARC
(10,6),-1.03351 # DEPENDENCYPART_ARC
(10,7),-1.06787 # DEPENDENCYPART_ARC
(10,9),0.802574 # DEPENDENCYPART_ARC
(10,11),1.96345 # DEPENDENCYPART_ARC
(10,12),-1.70203 # DEPENDENCYPART_ARC
(10,13),-1.17596 # DEPENDENCYPART_ARC
(10,15),-1.64343 # DEPENDENCYPART_ARC
(10,16),-3.04043 # DEPENDENCYPART_ARC
(10,17),-1.36177 # DEPENDENCYPART_ARC
(10,21),-2.49599 # DEPENDENCYPART_ARC
(10,23),-2.54709 # DEPENDENCYPART_ARC
(10,24),-2.8878 # DEPENDENCYPART_ARC
(11,5),-2.00394 # DEPENDENCYPART_ARC
(11,9),-1.51395 # DEPENDENCYPART_ARC
(11,10),-0.358152 # DEPENDENCYPART_ARC
(12,1),-0.921541 # DEPENDENCYPART_ARC
(12,2),-1.85392 # DEPENDENCYPART_ARC
(12,5),0.131115 # DEPENDENCYPART_ARC
(12,7),-0.0655502 # DEPENDENCYPART_ARC
(12,9),-0.404684 # DEPENDENCYPART_ARC
(12,10),1.5027 # DEPENDENCYPART_ARC
(12,11),2.16872 # DEPENDENCYPART_ARC
(12,13),-1.22246 # DEPENDENCYPART_ARC
(12,15),-0.933509 # DEPENDENCYPART_ARC
(12,16),-3.45886 # DEPENDENCYPART_ARC
(12,17),-1.1363 # DEPENDENCYPART_ARC
(12,21),-1.70324 # DEPENDENCYPART_ARC
(12,22),-2.70372 # DEPENDENCYPART_ARC
(13,1),-1.61126 # DEPENDENCYPART_ARC
(13,3),-2.02696 # DEPENDENCYPART_ARC
(13,6),-1.2908 # DEPENDENCYPART_ARC
(13,7),-1.18124 # DEPENDENCYPART_ARC
(13,8),-1.56301 # DEPENDENCYPART_ARC
(13,9),-1.84532 # DEPENDENCYPART_ARC
(13,10),-1.05546 # DEPENDENCYPART_ARC
(13,11),-1.66649 # DEPENDENCYPART_ARC
(13,12),-1.4429 # DEPENDENCYPART_ARC
(13,15),-1.16417 # DEPENDENCYPART_ARC
(13,16),-1.9401 # DEPENDENCYPART_ARC
(13,17),-1.05384 # DEPENDENCYPART_ARC
(13,21),-1.78153 # DEPENDENCYPART_ARC
(13,22),-2.75304 # DEPENDENCYPART_ARC
(13,23),-1.9443 # DEPENDENCYPART_ARC
(13,24),-2.33971 # DEPENDENCYPART_ARC
(14,16),-2.28823 # DEPENDENCYPART_ARC
(14,20),-3.16395 # DEPENDENCYPART_ARC
(15,1),-1.88719 # DEPENDENCYPART_ARC
(15,2),-1.15016 # DEPENDENCYPART_ARC
(15,3),-2.10811 # DEPENDENCYPART_ARC
(15,5),-2.64193 # DEPENDENCYPART_ARC
(15,6),-1.097 # DEPENDENCYPART_ARC
(15,7),-1.58225 # DEPENDENCYPART_ARC
(15,8),-1.0653 # DEPENDENCYPART_ARC
(15,9),-1.83126 # DEPENDENCYPART_ARC
(15,10),-1.59903 # DEPENDENCYPART_ARC
(15,11),-1.58992 # DEPENDENCYPART_ARC
(15,12),-1.28633 # DEPENDENCYPART_ARC
(15,13),0.595663 # DEPENDENCYPART_ARC
(15,14),-1.43023 # DEPENDENCYPART_ARC
(15,16),1.29309 # DEPENDENCYPART_ARC
(15,17),-0.0525141 # DEPENDENCYPART_ARC
(15,19),-1.85172 # DEPENDENCYPART_ARC
(15,20),-0.617609 # DEPENDENCYPART_ARC
(15,21),-0.891989 # DEPENDENCYPART_ARC
(15,22),-2.57617 # DEPENDENCYPART_ARC
(15,23),-1.6918 # DEPENDENCYPART_ARC
(15,24),-1.25705 # DEPENDENCYPART_ARC
(15,25),-3.60078 # DEPENDENCYPART_ARC
(16,14),-1.05156 # DEPENDENCYPART_ARC
(16,17),-1.06247 # DEPENDENCYPART_ARC
(16,18),-2.08573 # DEPENDENCYPART_ARC
(16,19),-2.18792 # DEPENDENCYPART_ARC
(16,20),-3.49051 # DEPENDENCYPART_ARC
(16,22),-3.36769 # DEPENDENCYPART_ARC
(17,1),-1.8363 # DEPENDENCYPART_ARC
(17,6),-1.37727 # DEPENDENCYPART_ARC
(17,7),-1.73798 # DEPENDENCYPART_ARC
(17,8),-1.81486 # DEPENDENCYPART_ARC
(17,9),-2.5904 # DEPENDENCYPART_ARC
(17,10),-1.22235 # DEPENDENCYPART_ARC
(17,11),-2.28432 # DEPENDENCYPART_ARC
(17,12),-1.14659 # DEPENDENCYPART_ARC
(17,13),-0.165179 # DEPENDENCYPART_ARC
(17,14),-0.936155 # DEPENDENCYPART_ARC
(17,15),0.312248 # DEPENDENCYPART_ARC
(17,16),0.200595 # DEPENDENCYPART_ARC
(17,18),-0.657877 # DEPENDENCYPART_ARC
(17,19),-1.26315 # DEPENDENCYPART_ARC
(17,20),-0.753946 # DEPENDENCYPART_ARC
(17,21),-1.50918 # DEPENDENCYPART_ARC
(17,22),0.121944 # DEPENDENCYPART_ARC
(17,23),-1.62528 # DEPENDENCYPART_ARC
(17,24),-1.50022 # DEPENDENCYPART_ARC
(17,25),-1.97268 # DEPENDENCYPART_ARC
(18,20),-2.18482 # DEPENDENCYPART_ARC
(18,25),-2.28451 # DEPENDENCYPART_ARC
(19,15),-1.38605 # DEPENDENCYPART_ARC
(19,16),-1.66349 # DEPENDENCYPART_ARC
(19,17),-0.938443 # DEPENDENCYPART_ARC
(19,20),-1.86998 # DEPENDENCYPART_ARC
(19,21),-1.21695 # DEPENDENCYPART_ARC
(19,22),-2.64212 # DEPENDENCYPART_ARC
(19,23),-1.32528 # DEPENDENCYPART_ARC
(19,24),-1.03675 # DEPENDENCYPART_ARC
(20,10),-1.36317 # DEPENDENCYPART_ARC
(20,14),-0.988346 # DEPENDENCYPART_ARC
(20,16),-1.98169 # DEPENDENCYPART_ARC
(20,18),0.385148 # DEPENDENCYPART_ARC
(20,19),2.61813 # DEPENDENCYPART_ARC
(20,21),-0.824524 # DEPENDENCYPART_ARC
(20,22),-2.53624 # DEPENDENCYPART_ARC
(20,23),-1.59973 # DEPENDENCYPART_ARC
(20,24),-1.82282 # DEPENDENCYPART_ARC
(20,25),-1.40746 # DEPENDENCYPART_ARC
(21,18),-1.76921 # DEPENDENCYPART_ARC
(21,19),-1.61596 # DEPENDENCYPART_ARC
(21,20),-1.70739 # DEPENDENCYPART_ARC
(21,23),-2.02247 # DEPENDENCYPART_ARC
(21,24),-2.14577 # DEPENDENCYPART_ARC
(21,25),-2.63357 # DEPENDENCYPART_ARC
(22,1),-2.33322 # DEPENDENCYPART_ARC
(22,2),-1.93621 # DEPENDENCYPART_ARC
(22,3),-2.03364 # DEPENDENCYPART_ARC
(22,5),-3.62224 # DEPENDENCYPART_ARC
(22,7),-1.79953 # DEPENDENCYPART_ARC
(22,8),-1.03274 # DEPENDENCYPART_ARC
(22,9),-1.43943 # DEPENDENCYPART_ARC
(22,10),-1.74615 # DEPENDENCYPART_ARC
(22,11),-1.47807 # DEPENDENCYPART_ARC
(22,12),-2.26358 # DEPENDENCYPART_ARC
(22,13),-0.90339 # DEPENDENCYPART_ARC
(22,14),-4.15052 # DEPENDENCYPART_ARC
(22,15),-2.69548 # DEPENDENCYPART_ARC
(22,16),-1.74913 # DEPENDENCYPART_ARC
(22,17),-1.17177 # DEPENDENCYPART_ARC
(22,18),-0.766576 # DEPENDENCYPART_ARC
(22,19),-1.19054 # DEPENDENCYPART_ARC
(22,20),0.0992416 # DEPENDENCYPART_ARC
(22,21),0.589295 # DEPENDENCYPART_ARC
(22,23),-0.556593 # DEPENDENCYPART_ARC
(22,24),-0.129284 # DEPENDENCYPART_ARC
(22,25),-2.35163 # DEPENDENCYPART_ARC
(22,26),-1.52534 # DEPENDENCYPART_ARC
(23,18),-1.5761 # DEPENDENCYPART_ARC
(23,19),-1.53257 # DEPENDENCYPART_ARC
(23,20),-1.75209 # DEPENDENCYPART_ARC
(23,21),-0.733165 # DEPENDENCYPART_ARC
(23,22),-0.614318 # DEPENDENCYPART_ARC
(23,24),-0.903681 # DEPENDENCYPART_ARC
(23,25),-1.67474 # DEPENDENCYPART_ARC
(24,20),-2.60697 # DEPENDENCYPART_ARC
(24,23),-0.829695 # DEPENDENCYPART_ARC
(24,25),1.91948 # DEPENDENCYPART_ARC
(24,26),-0.876674 # DEPENDENCYPART_ARC
(25,18),-2.86098 # DEPENDENCYPART_ARC
(25,19),-2.57282 # DEPENDENCYPART_ARC
(25,21),-1.12414 # DEPENDENCYPART_ARC
(25,23),-0.509565 # DEPENDENCYPART_ARC
(25,24),-1.06118 # DEPENDENCYPART_ARC
(25,26),-0.422017 # DEPENDENCYPART_ARC
(0,1),(0,2),0.111879 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0610842 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.041864 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.219336 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0763598 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0610842 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.081472 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.219336 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.540567 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.226093 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0407823 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.498557 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.0318372 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.337569 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.487065 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0776493 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.392192 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.337569 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.501598 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0776493 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.196644 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0192402 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.485699 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.123597 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.07541 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.134587 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.11292 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0972653 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.239315 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.231241 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.11292 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.416927 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.16589 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.13288 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.374433 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.337629 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.079271 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0866603 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.308227 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.225769 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.079271 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.473326 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.105632 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.173007 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.41663 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.0301361 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00909471 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.000111386 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0665233 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.4829 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.140416 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0970252 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.414885 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.154678 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0489437 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.511436 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.972748 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.779547 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0944411 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.935408 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.35372 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.231241 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.11292 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.416927 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.16589 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.13288 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.374433 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.337629 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0203409 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.225364 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.182061 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.0957106 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.195579 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.416889 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.4829 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.140416 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0970252 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.414885 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,17),-1.05835 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.285174 # DEPENDENCYPART_SIBL
(0,15),(0,22),-1.5713 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.0527541 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0533175 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.905642 # DEPENDENCYPART_SIBL
(0,17),(0,26),0.0494213 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.423497 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.0402935 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.0412174 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0124559 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.101205 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.101205 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0433613 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0433613 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.182042 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0480338 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0070157 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0648353 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00271008 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0123566 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0835805 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0744852 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0789998 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0491662 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0321504 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.154983 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.404362 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.210833 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.524527 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.99435 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.227005 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.511183 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.943901 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.272749 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.514369 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.553734 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0308373 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0347974 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0742245 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0396248 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0064981 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0329264 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.026315 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0150517 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00598344 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0520368 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0421188 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.036061 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.118771 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0269226 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0100246 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.048622 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0512383 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0458304 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0204599 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0371622 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0370928 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.054708 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0841337 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.263775 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0319515 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0407944 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.000604186 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0202809 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0415402 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0370411 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.131176 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.115056 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.101997 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.095738 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0249647 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0262112 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0311457 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0937993 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0698281 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0460193 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0440059 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.00847462 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0909599 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.12121 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0178329 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0670715 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0192701 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0657158 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0526179 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00265946 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0918066 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0101833 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00664929 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0543582 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0448286 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.208209 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0181764 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0564192 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0090787 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0496469 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0619173 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.242448 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.041935 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0498244 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0686275 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.166688 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0252148 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.011793 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0218739 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0172742 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.114141 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.111387 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0513489 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0737879 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0418783 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.192817 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.543173 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.139958 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.43521 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.054907 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.129135 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.066603 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0233315 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0543752 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.441121 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.219458 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.409269 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.11576 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.266081 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.157731 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0277611 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.433305 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.183778 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.389585 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0646166 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0524903 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0969741 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.254917 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.251767 # DEPENDENCYPART_SIBL
(7,10),(7,22),-0.246021 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.158128 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0327863 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.431163 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.182364 # DEPENDENCYPART_SIBL
