# _root_ Kdo tomu věří i dnes , vidí - stejně jako dřív - svět jako rejdiště ideologů , a útočných záměrů .
#goldHeads=3,3,7,5,3,3,0,9,7,9,10,9,7,15,13,18,18,15,20,18,0,
#predictedHeads=3,3,6,5,3,0,6,9,7,9,10,9,18,9,14,15,18,15,20,18,0,
(7,8),-0.187129 # DEPENDENCYPART_ARC
(7,9),-0.383059 # DEPENDENCYPART_ARC
(7,10),-0.311964 # DEPENDENCYPART_ARC
(7,11),-0.490537 # DEPENDENCYPART_ARC
(7,12),-0.833388 # DEPENDENCYPART_ARC
(7,13),-1.92733 # DEPENDENCYPART_ARC
(7,14),-0.952093 # DEPENDENCYPART_ARC
(7,15),-2.17239 # DEPENDENCYPART_ARC
(7,16),-3.7541 # DEPENDENCYPART_ARC
(7,17),-0.72094 # DEPENDENCYPART_ARC
(7,18),-0.734178 # DEPENDENCYPART_ARC
(7,19),-5.47697 # DEPENDENCYPART_ARC
(7,20),-4.16677 # DEPENDENCYPART_ARC
(7,21),-1.27927 # DEPENDENCYPART_ARC
(8,2),-0.983346 # DEPENDENCYPART_ARC
(8,3),-1.07655 # DEPENDENCYPART_ARC
(8,4),-0.728542 # DEPENDENCYPART_ARC
(8,5),-0.804549 # DEPENDENCYPART_ARC
(8,6),-0.62516 # DEPENDENCYPART_ARC
(8,7),-0.559582 # DEPENDENCYPART_ARC
(8,9),-0.884456 # DEPENDENCYPART_ARC
(8,10),-0.837236 # DEPENDENCYPART_ARC
(8,11),-1.29511 # DEPENDENCYPART_ARC
(8,12),-0.662054 # DEPENDENCYPART_ARC
(8,13),-1.89354 # DEPENDENCYPART_ARC
(8,14),-0.952128 # DEPENDENCYPART_ARC
(8,18),-1.00719 # DEPENDENCYPART_ARC
(9,2),-1.18336 # DEPENDENCYPART_ARC
(9,3),-1.24039 # DEPENDENCYPART_ARC
(9,4),-0.580182 # DEPENDENCYPART_ARC
(9,5),-0.847148 # DEPENDENCYPART_ARC
(9,6),-0.607851 # DEPENDENCYPART_ARC
(9,7),-0.991163 # DEPENDENCYPART_ARC
(9,8),0.297546 # DEPENDENCYPART_ARC
(9,10),1.21563 # DEPENDENCYPART_ARC
(9,11),-1.07942 # DEPENDENCYPART_ARC
(9,12),-0.22873 # DEPENDENCYPART_ARC
(9,13),-1.82208 # DEPENDENCYPART_ARC
(9,14),0.12954 # DEPENDENCYPART_ARC
(9,15),-2.00424 # DEPENDENCYPART_ARC
(9,16),-0.992002 # DEPENDENCYPART_ARC
(9,17),-0.212415 # DEPENDENCYPART_ARC
(9,21),-1.22732 # DEPENDENCYPART_ARC
(10,5),-2.33282 # DEPENDENCYPART_ARC
(10,6),-1.36409 # DEPENDENCYPART_ARC
(10,7),-1.71362 # DEPENDENCYPART_ARC
(10,8),-1.2347 # DEPENDENCYPART_ARC
(10,9),-0.656296 # DEPENDENCYPART_ARC
(10,11),1.03448 # DEPENDENCYPART_ARC
(10,12),-0.719322 # DEPENDENCYPART_ARC
(10,13),-1.49112 # DEPENDENCYPART_ARC
(10,14),-0.924141 # DEPENDENCYPART_ARC
(10,15),-2.08035 # DEPENDENCYPART_ARC
(10,16),-2.26326 # DEPENDENCYPART_ARC
(10,17),-1.02877 # DEPENDENCYPART_ARC
(10,18),-1.05642 # DEPENDENCYPART_ARC
(10,20),-2.79503 # DEPENDENCYPART_ARC
(10,21),-1.61526 # DEPENDENCYPART_ARC
(11,4),-0.613441 # DEPENDENCYPART_ARC
(11,5),-1.28147 # DEPENDENCYPART_ARC
(11,6),-1.14841 # DEPENDENCYPART_ARC
(11,8),-0.636466 # DEPENDENCYPART_ARC
(11,9),-0.00207692 # DEPENDENCYPART_ARC
(11,10),0.232367 # DEPENDENCYPART_ARC
(11,12),-0.316791 # DEPENDENCYPART_ARC
(11,13),-2.56401 # DEPENDENCYPART_ARC
(11,14),-0.682472 # DEPENDENCYPART_ARC
(11,15),-2.90323 # DEPENDENCYPART_ARC
(11,20),-1.38524 # DEPENDENCYPART_ARC
(11,21),-2.14249 # DEPENDENCYPART_ARC
(12,2),-1.1798 # DEPENDENCYPART_ARC
(12,3),-1.21338 # DEPENDENCYPART_ARC
(12,5),-1.7726 # DEPENDENCYPART_ARC
(12,7),-1.10519 # DEPENDENCYPART_ARC
(12,8),-1.00772 # DEPENDENCYPART_ARC
(12,9),-0.948074 # DEPENDENCYPART_ARC
(12,10),-0.65483 # DEPENDENCYPART_ARC
(12,11),-0.417943 # DEPENDENCYPART_ARC
(12,13),-0.113271 # DEPENDENCYPART_ARC
(12,14),-0.611536 # DEPENDENCYPART_ARC
(12,15),-1.68197 # DEPENDENCYPART_ARC
(12,16),-1.68167 # DEPENDENCYPART_ARC
(12,17),-0.826319 # DEPENDENCYPART_ARC
(12,18),-0.68498 # DEPENDENCYPART_ARC
(12,19),-1.58279 # DEPENDENCYPART_ARC
(12,20),-2.50718 # DEPENDENCYPART_ARC
(12,21),-1.09273 # DEPENDENCYPART_ARC
(13,10),-0.207954 # DEPENDENCYPART_ARC
(13,11),-1.27165 # DEPENDENCYPART_ARC
(13,12),-0.459074 # DEPENDENCYPART_ARC
(13,14),-0.815423 # DEPENDENCYPART_ARC
(13,15),-1.69947 # DEPENDENCYPART_ARC
(13,16),-0.899978 # DEPENDENCYPART_ARC
(13,19),-3.34677 # DEPENDENCYPART_ARC
(13,20),-1.444 # DEPENDENCYPART_ARC
(14,11),-2.01976 # DEPENDENCYPART_ARC
(14,12),-1.02284 # DEPENDENCYPART_ARC
(14,13),0.142689 # DEPENDENCYPART_ARC
(14,15),0.793983 # DEPENDENCYPART_ARC
(14,16),-0.636635 # DEPENDENCYPART_ARC
(14,17),-0.919775 # DEPENDENCYPART_ARC
(14,18),-1.16862 # DEPENDENCYPART_ARC
(14,20),-2.18858 # DEPENDENCYPART_ARC
(14,21),-1.60662 # DEPENDENCYPART_ARC
(15,11),-2.04534 # DEPENDENCYPART_ARC
(15,13),-3.07162 # DEPENDENCYPART_ARC
(15,14),0.518724 # DEPENDENCYPART_ARC
(15,16),1.04154 # DEPENDENCYPART_ARC
(15,17),-1.18632 # DEPENDENCYPART_ARC
(15,18),-0.673623 # DEPENDENCYPART_ARC
(15,19),-3.00553 # DEPENDENCYPART_ARC
(15,20),-0.961084 # DEPENDENCYPART_ARC
(16,13),-5.21825 # DEPENDENCYPART_ARC
(16,14),-0.281858 # DEPENDENCYPART_ARC
(16,15),-2.39287 # DEPENDENCYPART_ARC
(16,17),-1.15295 # DEPENDENCYPART_ARC
(16,18),-1.09868 # DEPENDENCYPART_ARC
(16,19),-1.79906 # DEPENDENCYPART_ARC
(16,20),-1.38479 # DEPENDENCYPART_ARC
(17,16),-1.476 # DEPENDENCYPART_ARC
(17,19),-2.37245 # DEPENDENCYPART_ARC
(18,1),-1.26373 # DEPENDENCYPART_ARC
(18,2),-1.85089 # DEPENDENCYPART_ARC
(18,3),-1.90264 # DEPENDENCYPART_ARC
(18,4),-1.16106 # DEPENDENCYPART_ARC
(18,6),-1.14091 # DEPENDENCYPART_ARC
(18,7),-1.00074 # DEPENDENCYPART_ARC
(18,8),-1.30635 # DEPENDENCYPART_ARC
(18,9),-1.31781 # DEPENDENCYPART_ARC
(18,10),-1.26254 # DEPENDENCYPART_ARC
(18,11),-1.37174 # DEPENDENCYPART_ARC
(18,12),-1.07408 # DEPENDENCYPART_ARC
(18,13),-0.39987 # DEPENDENCYPART_ARC
(18,14),-0.651128 # DEPENDENCYPART_ARC
(18,15),-0.168005 # DEPENDENCYPART_ARC
(18,16),-0.0762291 # DEPENDENCYPART_ARC
(18,17),0.997829 # DEPENDENCYPART_ARC
(18,19),0.44315 # DEPENDENCYPART_ARC
(18,20),0.285727 # DEPENDENCYPART_ARC
(18,21),-0.657495 # DEPENDENCYPART_ARC
(19,20),-2.15659 # DEPENDENCYPART_ARC
(19,21),-1.21966 # DEPENDENCYPART_ARC
(20,15),-4.28668 # DEPENDENCYPART_ARC
(20,16),-2.85947 # DEPENDENCYPART_ARC
(20,17),-1.03064 # DEPENDENCYPART_ARC
(20,18),-0.102626 # DEPENDENCYPART_ARC
(20,19),1.81642 # DEPENDENCYPART_ARC
(20,21),-0.736255 # DEPENDENCYPART_ARC
(0,1),(0,2),0.141692 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.433393 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.00384516 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0504598 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.138387 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.433449 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.065032 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0799303 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.065032 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.136482 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0979738 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.425465 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0020909 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0920633 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.099767 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.425521 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0282326 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.119362 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0282326 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.140633 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0597511 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.686852 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.277848 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.266162 # DEPENDENCYPART_SIBL
(0,3),(0,7),-1.46058 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.119076 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.232527 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.119076 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.95924 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0140105 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.240249 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.72795 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.992097 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.612031 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.199999 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.612031 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.820605 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.648967 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.251622 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.338618 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0815236 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.102638 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0815236 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.24268 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.224645 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.408666 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.290761 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0162003 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.290761 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.140416 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.119478 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.226166 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.119478 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.952878 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0199913 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0154589 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0671112 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.103927 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.277536 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0361753 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.149616 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0817729 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.103927 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.277536 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.0494213 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.190003 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.342423 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0830812 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.107544 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0942761 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0502988 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.273056 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0199768 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0339851 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0789823 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0401404 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.273056 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.00302294 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0934371 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0195974 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0327081 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0686049 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0186597 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0484563 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0362399 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0327081 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00123401 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0519996 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.046288 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0217943 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0973921 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00436899 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0905104 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.046288 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.211634 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0175524 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.13234 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00991147 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.165205 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0554916 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0175524 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0229467 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0959847 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0609722 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.049591 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0247896 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.124314 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.139498 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.035532 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0455937 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0299548 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.00108135 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.140993 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.000982767 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0467648 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0374638 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0988348 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0536128 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0588744 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.115203 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0216809 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.266887 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.139498 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00582848 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0921274 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0363096 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.241604 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.109048 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.133318 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0536414 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00048297 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0439473 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.133318 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.202135 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0394818 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0457193 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0493338 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0146546 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0727564 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0629634 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.000992373 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0532693 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0727564 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.196317 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00471402 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0169106 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0865354 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0019321 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00196969 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.123658 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00490922 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0019321 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0408499 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0657609 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.197937 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00828007 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0204463 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0198429 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00265929 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00828007 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0242331 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.313304 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.103174 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0745038 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.115395 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0502139 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.103174 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0698813 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0158614 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0668371 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.285497 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0717939 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0158614 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.112989 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0709839 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.105855 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0482042 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.106163 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0663969 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0114663 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00127402 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.021571 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0367782 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0122989 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0186506 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0641024 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0259462 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0244932 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0663969 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.188854 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.100291 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0250408 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0316157 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00496911 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0532833 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.176212 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00741616 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0417891 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0947553 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0659613 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0106915 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0351516 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.067614 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0766718 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.671665 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0131252 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.124113 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0480995 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0597248 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.000463363 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0299424 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00356048 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.145283 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0370025 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0648947 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.198636 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0570955 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0427497 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.000738596 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.088216 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0100421 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0164257 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.131577 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.104533 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00750801 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0362545 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0412631 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.269372 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.111676 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0471903 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0290947 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0603867 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.111676 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00198947 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0290947 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00347423 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00347423 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.401061 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00807914 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.104139 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.00409739 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.00791533 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0161485 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0493706 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0475575 # DEPENDENCYPART_SIBL
