# _root_ V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .
#goldHeads=4,1,4,0,4,5,6,7,12,12,12,8,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
#predictedHeads=4,1,4,0,4,5,6,7,12,12,12,6,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
(14,19),-1.51349 # DEPENDENCYPART_ARC
(14,21),-2.4243 # DEPENDENCYPART_ARC
(14,22),-1.32976 # DEPENDENCYPART_ARC
(14,23),-2.13709 # DEPENDENCYPART_ARC
(14,25),-2.07961 # DEPENDENCYPART_ARC
(15,10),-1.43154 # DEPENDENCYPART_ARC
(15,11),-5.04586 # DEPENDENCYPART_ARC
(15,13),-1.13038 # DEPENDENCYPART_ARC
(15,14),-2.24827 # DEPENDENCYPART_ARC
(15,16),-1.41703 # DEPENDENCYPART_ARC
(15,17),-1.52023 # DEPENDENCYPART_ARC
(15,18),-4.01785 # DEPENDENCYPART_ARC
(15,19),-2.35734 # DEPENDENCYPART_ARC
(15,21),-3.72968 # DEPENDENCYPART_ARC
(15,22),-1.49802 # DEPENDENCYPART_ARC
(15,23),-2.95521 # DEPENDENCYPART_ARC
(16,3),-1.97618 # DEPENDENCYPART_ARC
(16,4),-1.73192 # DEPENDENCYPART_ARC
(16,9),-1.17135 # DEPENDENCYPART_ARC
(16,12),-1.2226 # DEPENDENCYPART_ARC
(16,13),-1.4007 # DEPENDENCYPART_ARC
(16,14),-1.94378 # DEPENDENCYPART_ARC
(16,15),-1.79068 # DEPENDENCYPART_ARC
(16,18),-2.03248 # DEPENDENCYPART_ARC
(16,19),-1.54046 # DEPENDENCYPART_ARC
(16,20),-1.80883 # DEPENDENCYPART_ARC
(16,21),-2.25622 # DEPENDENCYPART_ARC
(16,22),-1.76697 # DEPENDENCYPART_ARC
(16,23),-2.03094 # DEPENDENCYPART_ARC
(17,16),-1.16999 # DEPENDENCYPART_ARC
(17,21),-2.4322 # DEPENDENCYPART_ARC
(17,24),-2.3494 # DEPENDENCYPART_ARC
(17,25),-2.66578 # DEPENDENCYPART_ARC
(18,15),-2.76675 # DEPENDENCYPART_ARC
(18,19),-0.703881 # DEPENDENCYPART_ARC
(18,21),-2.1186 # DEPENDENCYPART_ARC
(18,24),-2.08051 # DEPENDENCYPART_ARC
(18,25),-2.82686 # DEPENDENCYPART_ARC
(19,16),-0.782228 # DEPENDENCYPART_ARC
(19,20),0.0749932 # DEPENDENCYPART_ARC
(19,21),2.59017 # DEPENDENCYPART_ARC
(19,24),-0.417924 # DEPENDENCYPART_ARC
(19,25),-2.11413 # DEPENDENCYPART_ARC
(20,18),-0.226062 # DEPENDENCYPART_ARC
(20,19),-1.15225 # DEPENDENCYPART_ARC
(20,21),-0.502434 # DEPENDENCYPART_ARC
(20,22),-1.49458 # DEPENDENCYPART_ARC
(20,24),-3.30748 # DEPENDENCYPART_ARC
(21,14),-1.80935 # DEPENDENCYPART_ARC
(21,17),-1.20309 # DEPENDENCYPART_ARC
(21,18),-0.954951 # DEPENDENCYPART_ARC
(21,19),-0.828916 # DEPENDENCYPART_ARC
(21,20),1.89043 # DEPENDENCYPART_ARC
(21,23),-1.67516 # DEPENDENCYPART_ARC
(21,24),-2.55855 # DEPENDENCYPART_ARC
(21,25),-1.95106 # DEPENDENCYPART_ARC
(22,1),-0.691674 # DEPENDENCYPART_ARC
(22,2),-2.98452 # DEPENDENCYPART_ARC
(22,3),-2.80583 # DEPENDENCYPART_ARC
(22,4),-0.401406 # DEPENDENCYPART_ARC
(22,5),-1.01811 # DEPENDENCYPART_ARC
(22,6),-1.17981 # DEPENDENCYPART_ARC
(22,7),-2.02715 # DEPENDENCYPART_ARC
(22,8),-2.83615 # DEPENDENCYPART_ARC
(22,9),-0.534138 # DEPENDENCYPART_ARC
(22,10),-0.227156 # DEPENDENCYPART_ARC
(22,11),-0.641314 # DEPENDENCYPART_ARC
(22,12),-1.71985 # DEPENDENCYPART_ARC
(22,13),-0.585073 # DEPENDENCYPART_ARC
(22,14),-0.974781 # DEPENDENCYPART_ARC
(22,15),-1.55666 # DEPENDENCYPART_ARC
(22,16),0.610173 # DEPENDENCYPART_ARC
(22,17),1.14688 # DEPENDENCYPART_ARC
(22,18),0.356896 # DEPENDENCYPART_ARC
(22,19),0.903353 # DEPENDENCYPART_ARC
(22,20),-1.00602 # DEPENDENCYPART_ARC
(22,21),-0.3939 # DEPENDENCYPART_ARC
(22,23),1.3474 # DEPENDENCYPART_ARC
(22,24),-0.559493 # DEPENDENCYPART_ARC
(22,25),-0.229797 # DEPENDENCYPART_ARC
(22,26),-0.900238 # DEPENDENCYPART_ARC
(23,24),2.01888 # DEPENDENCYPART_ARC
(23,25),-1.01686 # DEPENDENCYPART_ARC
(24,18),-4.35849 # DEPENDENCYPART_ARC
(24,19),-1.66225 # DEPENDENCYPART_ARC
(24,20),-1.5636 # DEPENDENCYPART_ARC
(24,23),-0.345235 # DEPENDENCYPART_ARC
(24,25),0.930106 # DEPENDENCYPART_ARC
(24,26),-0.915208 # DEPENDENCYPART_ARC
(25,17),-3.17138 # DEPENDENCYPART_ARC
(25,18),-5.18589 # DEPENDENCYPART_ARC
(25,21),-6.43966 # DEPENDENCYPART_ARC
(25,23),-2.07244 # DEPENDENCYPART_ARC
(25,24),-3.49807 # DEPENDENCYPART_ARC
(25,26),-0.697326 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.382346 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.195305 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.396679 # DEPENDENCYPART_SIBL
(0,3),(0,4),-1.47402 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.147754 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.300672 # DEPENDENCYPART_SIBL
(0,3),(0,12),-1.47402 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.300672 # DEPENDENCYPART_SIBL
(0,3),(0,22),-1.47402 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.00609848 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.150066 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.299992 # DEPENDENCYPART_SIBL
(0,4),(0,12),-1.46319 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.299992 # DEPENDENCYPART_SIBL
(0,4),(0,22),-1.46319 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.00945584 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.105915 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.37759 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.105915 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.37759 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.324816 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.296463 # DEPENDENCYPART_SIBL
(0,12),(0,22),-1.46319 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.00769122 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.133324 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.480376 # DEPENDENCYPART_SIBL
(1,2),(1,6),-1.40293 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.521663 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0726278 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0803294 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.168907 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.262978 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0457881 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0395983 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00168286 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0576332 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.10504 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.093263 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0649941 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0934041 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.056831 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0127365 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0596011 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.10504 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0929577 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00513621 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0671262 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0419643 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0581747 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0381591 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0501142 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0110224 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00224302 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0671262 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0371114 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0597669 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.033548 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.045639 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.033548 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0387342 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00617089 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.230986 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0597669 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0326863 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0135696 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0316705 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0135708 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0559473 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0226891 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0692856 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0145813 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0112109 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.207248 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0334051 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.123869 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0778561 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.062914 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.148766 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0342669 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0838554 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0666991 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0612385 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00198564 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.106075 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0814955 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.123869 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0778569 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0629147 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.148769 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0342659 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0174397 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0819842 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0651603 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.08853 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0311735 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.119685 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0288301 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0603309 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0333004 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0112109 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00746473 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.116673 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00917822 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0104783 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0186448 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0103372 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0232296 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0281903 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0422941 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00917822 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0103372 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0107836 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0232296 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0447165 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0422941 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0150613 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.03298 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.224582 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0149387 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0412793 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0143181 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0450846 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00518642 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0343104 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0156282 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0149387 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0450846 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0461322 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00518642 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0160426 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0156282 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.00286628 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0662295 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0348616 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.148197 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0665254 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.148203 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0588913 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0304583 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0883453 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0348616 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.148203 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.147759 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0588913 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0468454 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0883453 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0752362 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.133725 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0262324 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0189191 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0262313 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0127171 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0129656 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0978231 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0767264 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0262313 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0285912 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0127171 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0699379 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0978231 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.00103825 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0478917 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0978555 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.114687 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0168087 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00620506 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0170251 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0236224 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.114687 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.115548 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0168087 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0243378 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0170251 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0559576 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.129143 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0424924 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00445763 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0241134 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0280211 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0424056 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0424924 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0401325 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00445763 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.090469 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0280211 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0302801 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0189014 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.016808 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00620433 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0170243 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0236247 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.114686 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.115547 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.016808 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0243355 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0170243 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.0559614 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.129142 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0343313 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0996166 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.111434 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.10686 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.107722 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.125769 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.110481 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0996166 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.209144 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.115709 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.000248652 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0625312 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.00559155 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.00450508 # DEPENDENCYPART_SIBL
