# _root_ Federální ministerstvo kontroly však svůj postoj nemění - ani v naléhavé otázce , kdo nahradí škody , pokud se stavba pankráckého hotelu neuskuteční .
#goldHeads=2,7,2,0,6,7,4,10,12,6,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
#predictedHeads=2,7,2,0,6,7,4,9,12,7,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
(15,7),-2.77065 # DEPENDENCYPART_ARC
(15,8),-1.35156 # DEPENDENCYPART_ARC
(15,9),-1.02035 # DEPENDENCYPART_ARC
(15,10),-0.11827 # DEPENDENCYPART_ARC
(15,11),-2.73106 # DEPENDENCYPART_ARC
(15,12),-2.14738 # DEPENDENCYPART_ARC
(15,13),0.686702 # DEPENDENCYPART_ARC
(15,14),1.61227 # DEPENDENCYPART_ARC
(15,16),1.78697 # DEPENDENCYPART_ARC
(15,17),-0.242603 # DEPENDENCYPART_ARC
(15,18),-0.0426067 # DEPENDENCYPART_ARC
(15,20),-1.0387 # DEPENDENCYPART_ARC
(15,21),-4.00982 # DEPENDENCYPART_ARC
(15,22),-3.44858 # DEPENDENCYPART_ARC
(15,23),-2.76881 # DEPENDENCYPART_ARC
(16,11),-3.62044 # DEPENDENCYPART_ARC
(16,17),-0.975653 # DEPENDENCYPART_ARC
(16,18),-0.939905 # DEPENDENCYPART_ARC
(16,20),-2.57624 # DEPENDENCYPART_ARC
(16,21),-3.81725 # DEPENDENCYPART_ARC
(16,22),-1.02849 # DEPENDENCYPART_ARC
(16,23),-1.7775 # DEPENDENCYPART_ARC
(17,8),-1.37488 # DEPENDENCYPART_ARC
(17,13),-0.603343 # DEPENDENCYPART_ARC
(17,15),-1.08224 # DEPENDENCYPART_ARC
(17,16),-1.11194 # DEPENDENCYPART_ARC
(17,18),-0.823536 # DEPENDENCYPART_ARC
(17,20),-1.93386 # DEPENDENCYPART_ARC
(17,21),-1.91816 # DEPENDENCYPART_ARC
(17,22),-2.46077 # DEPENDENCYPART_ARC
(17,23),-1.7783 # DEPENDENCYPART_ARC
(18,7),-2.17023 # DEPENDENCYPART_ARC
(18,12),-2.4682 # DEPENDENCYPART_ARC
(18,13),-1.11378 # DEPENDENCYPART_ARC
(18,15),-1.13063 # DEPENDENCYPART_ARC
(18,16),-1.5201 # DEPENDENCYPART_ARC
(18,17),0.542452 # DEPENDENCYPART_ARC
(18,20),-0.600459 # DEPENDENCYPART_ARC
(18,21),-1.10755 # DEPENDENCYPART_ARC
(18,22),-1.81229 # DEPENDENCYPART_ARC
(18,23),1.18445 # DEPENDENCYPART_ARC
(18,24),-0.190489 # DEPENDENCYPART_ARC
(20,16),-5.57551 # DEPENDENCYPART_ARC
(20,18),-0.800043 # DEPENDENCYPART_ARC
(20,19),-2.43648 # DEPENDENCYPART_ARC
(20,21),-1.32713 # DEPENDENCYPART_ARC
(20,22),0.99717 # DEPENDENCYPART_ARC
(20,23),-2.17409 # DEPENDENCYPART_ARC
(20,24),-1.04326 # DEPENDENCYPART_ARC
(21,19),-1.69381 # DEPENDENCYPART_ARC
(21,20),-2.15653 # DEPENDENCYPART_ARC
(21,22),-1.32527 # DEPENDENCYPART_ARC
(22,19),-3.23477 # DEPENDENCYPART_ARC
(22,20),-3.02918 # DEPENDENCYPART_ARC
(22,21),2.70532 # DEPENDENCYPART_ARC
(22,24),-1.08079 # DEPENDENCYPART_ARC
(23,2),-1.06231 # DEPENDENCYPART_ARC
(23,3),-3.32758 # DEPENDENCYPART_ARC
(23,4),-0.311757 # DEPENDENCYPART_ARC
(23,6),-0.657224 # DEPENDENCYPART_ARC
(23,9),-0.893709 # DEPENDENCYPART_ARC
(23,10),-0.756372 # DEPENDENCYPART_ARC
(23,12),-2.32437 # DEPENDENCYPART_ARC
(23,13),-0.3101 # DEPENDENCYPART_ARC
(23,15),-1.69093 # DEPENDENCYPART_ARC
(23,16),-1.54835 # DEPENDENCYPART_ARC
(23,17),-0.526258 # DEPENDENCYPART_ARC
(23,18),0.0939322 # DEPENDENCYPART_ARC
(23,19),1.15655 # DEPENDENCYPART_ARC
(23,20),1.55852 # DEPENDENCYPART_ARC
(23,21),-2.53061 # DEPENDENCYPART_ARC
(23,22),-0.277953 # DEPENDENCYPART_ARC
(23,24),-0.652734 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0947613 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0742527 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.285468 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0344178 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0902363 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.361474 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0185621 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.125535 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0654902 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0782749 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0317825 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.360555 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0782749 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.360556 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.303485 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0405568 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.244717 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0972791 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0414261 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.187964 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.125195 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0659062 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.176893 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0263535 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0946357 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.185162 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0263535 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.185309 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.421621 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.235883 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0992441 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0320308 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.187525 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.124545 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0570715 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.163585 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.020483 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0966006 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.184915 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.020483 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.185062 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.416969 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00101299 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0590893 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.922011 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0568832 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.475653 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0219156 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.119647 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00365703 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.921091 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.119647 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.921091 # DEPENDENCYPART_SIBL
(0,4),(0,24),0.511513 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.234782 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.398025 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00313953 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.00853817 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.315081 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0831575 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.183062 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.397105 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0831575 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.397105 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0277951 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.187061 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.123048 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0595945 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.170443 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0229068 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0965371 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.184451 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0229068 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.184598 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.418471 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.138016 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.71301 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.142617 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.296825 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.226342 # DEPENDENCYPART_SIBL
(0,7),(0,15),-1.46323 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.296825 # DEPENDENCYPART_SIBL
(0,7),(0,23),-1.46323 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0079551 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0920836 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0551398 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.227369 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0628724 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.469613 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.227369 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.469612 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.277536 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.16056 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.634645 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.127575 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.950212 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.634645 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.950212 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.491257 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.093583 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.114642 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.372218 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.093583 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.37222 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.396679 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0876056 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.129028 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.433393 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.138387 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.433393 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0979738 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.299152 # DEPENDENCYPART_SIBL
(0,15),(0,23),-1.46426 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.0114556 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.408609 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.0112254 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0177716 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.104404 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0089597 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.000341553 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0631488 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0910509 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0343442 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0131156 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00298999 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.125158 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.06836 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0134129 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0383239 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.115306 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.08987 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0350706 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0123046 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0304024 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0519401 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0262447 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.13121 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0718269 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00766828 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0517105 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0115022 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0394524 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.117504 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0979084 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0285096 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0103939 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0316699 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.116381 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0623467 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0208487 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.264314 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0607894 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0171239 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0433823 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0223485 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0407015 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0153284 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.03733 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00869914 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.00658228 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.00985944 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.18577 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0950773 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0155268 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00134583 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0786534 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0254583 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0257084 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0413839 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0470829 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00735518 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0273058 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.024898 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0056858 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0555536 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.246321 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0293641 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0970079 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0395753 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0692229 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0573835 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.235705 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0573835 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.237052 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0228072 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0220027 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0147182 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0867029 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0619608 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.148203 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0620343 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0142013 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0999238 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0713879 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0999238 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0736966 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00734399 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0400959 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.122776 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.056651 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.144763 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0582866 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0111765 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0875286 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.107461 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0875286 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.109769 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0304446 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.326175 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0506273 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0861682 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0667025 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0289078 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0808916 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.326125 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0808916 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.326125 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.36217 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0485668 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.181568 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0281039 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0582962 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0721584 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.361301 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0721584 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.361448 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0536985 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.350225 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.012147 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0221943 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00603867 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.825299 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00603867 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.825299 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.120256 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0179522 # DEPENDENCYPART_SIBL
