# _root_ srovnání s citovaností našeho dobrého pracoviště , jako je Ústav Heyrovského , by nedopadlo nijak špatně ) .
#goldHeads=14,1,2,6,6,9,9,9,3,9,10,9,14,0,16,14,14,0,
#predictedHeads=14,1,2,6,6,3,8,6,8,9,10,8,14,0,16,14,12,0,
(14,11),-3.56346 # DEPENDENCYPART_ARC
(14,12),-1.21682 # DEPENDENCYPART_ARC
(14,13),1.9929 # DEPENDENCYPART_ARC
(14,15),0.196279 # DEPENDENCYPART_ARC
(14,16),0.427348 # DEPENDENCYPART_ARC
(14,17),0.0163942 # DEPENDENCYPART_ARC
(14,18),-0.717364 # DEPENDENCYPART_ARC
(15,10),-2.17247 # DEPENDENCYPART_ARC
(15,12),-1.39623 # DEPENDENCYPART_ARC
(15,16),-1.3421 # DEPENDENCYPART_ARC
(15,17),-1.2601 # DEPENDENCYPART_ARC
(15,18),-1.39107 # DEPENDENCYPART_ARC
(16,1),-2.69934 # DEPENDENCYPART_ARC
(16,3),-2.5646 # DEPENDENCYPART_ARC
(16,6),-1.92669 # DEPENDENCYPART_ARC
(16,7),-1.21994 # DEPENDENCYPART_ARC
(16,8),-0.772756 # DEPENDENCYPART_ARC
(16,9),-1.54317 # DEPENDENCYPART_ARC
(16,10),-1.89816 # DEPENDENCYPART_ARC
(16,11),-1.60088 # DEPENDENCYPART_ARC
(16,12),-0.637276 # DEPENDENCYPART_ARC
(16,14),-1.42746 # DEPENDENCYPART_ARC
(16,15),1.11377 # DEPENDENCYPART_ARC
(16,17),-1.08215 # DEPENDENCYPART_ARC
(16,18),-1.99969 # DEPENDENCYPART_ARC
(17,14),-2.11371 # DEPENDENCYPART_ARC
(17,15),-2.18156 # DEPENDENCYPART_ARC
(17,16),-1.93744 # DEPENDENCYPART_ARC
(17,18),-1.55013 # DEPENDENCYPART_ARC
(0,1),(0,2),0.140646 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0371752 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0365432 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0257846 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0532458 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.227307 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0371752 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0257846 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.185706 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.137902 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.139047 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.256152 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.42002 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.31026 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.309715 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00924634 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.12394 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.424151 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.310243 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.00924634 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.368525 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.192356 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.205075 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.142176 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.226482 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.036588 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0547184 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.225364 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.03722 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0203409 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.183763 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.137964 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.139109 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.259283 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.416889 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.027144 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0525455 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.228111 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0350601 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.027144 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.18651 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.135804 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.136949 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.25127 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.423803 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00909471 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.4829 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0665233 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0451004 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0450032 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0767127 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.972748 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0489437 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.511436 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.928903 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.118879 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.118781 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.245521 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.35372 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.114387 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.327514 # DEPENDENCYPART_SIBL
(0,9),(0,14),-1.5655 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.321355 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.321276 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0145732 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0527541 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0203409 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.183763 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.137964 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.139109 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.259283 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.416889 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0451004 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0450032 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0767127 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.23736 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.237275 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.00821205 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0898284 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.00221078 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.1879 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0625227 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.102461 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.110149 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.176827 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0247114 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.176819 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0134906 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0325776 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0483942 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0442675 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0211616 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0237514 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0281986 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0155686 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0137942 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.024436 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0235563 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0334032 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.114488 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0358906 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.11261 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.004714 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.476721 # DEPENDENCYPART_SIBL
(2,3),(2,6),-1.42392 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.282459 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.717289 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0818865 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.285734 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.111287 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0354457 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00618077 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.053194 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0246201 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0402939 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0310206 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0565425 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0578004 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0246201 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.10776 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.147411 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0318963 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0692757 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0317819 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.133983 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0291506 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0291871 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0692757 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0392572 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.018123 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0168512 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0665144 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0411443 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0181177 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0181329 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0168512 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.028027 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0155097 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00535592 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0132386 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0280217 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0280369 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0155097 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0406258 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.081619 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00780689 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0602832 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0602523 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0406258 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0647386 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0329053 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00756712 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00758002 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0054108 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0554303 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0506186 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0506338 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.053135 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00225617 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00227142 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00213186 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0602524 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0379951 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.037384 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.122427 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0745021 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0640095 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0150749 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0659962 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0068937 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.111117 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0129044 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.000900011 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00727218 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0266294 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.040472 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0308412 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0587315 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0599893 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00545578 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0554951 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0587901 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00585354 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0710294 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0317819 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.133985 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0267621 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0267986 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.123042 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.000894708 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00726598 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0260939 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.039143 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0310551 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0196488 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0209067 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00566925 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.167491 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0728368 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0617108 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0335553 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0453821 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0454499 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0165249 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.014611 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0580934 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0202989 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0026863 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00265876 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00536361 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0650115 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.033302 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00896493 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00897783 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0145769 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0557332 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.051845 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0518603 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0485121 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00350868 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00352393 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.279758 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0633641 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0102088 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.010176 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0682215 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.010254 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0583787 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0279614 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0134209 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.118284 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0182293 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.1945 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.203259 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.00715723 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0131947 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0262837 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0203793 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.024117 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0730341 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0403859 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0149658 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0730823 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0837836 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0274632 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0494903 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0455951 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0307968 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0404489 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.00493658 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00758463 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0359531 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0581525 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0277347 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0142236 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.11555 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0164515 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.156855 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.165614 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00930883 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.014972 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0242735 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0183692 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0259659 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.063417 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0173135 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0410689 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0923289 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.132614 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.136492 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0943114 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.104954 # DEPENDENCYPART_SIBL
