# _root_ Obecně ve světě platí , že takovéto osoby požívají zvláštní důstojnosti a nedotknutelnosti , uvedl Dobal .
#goldHeads=4,4,2,15,6,4,8,9,6,12,12,9,12,4,0,15,0,
#predictedHeads=4,4,2,0,6,4,8,9,6,11,12,9,12,6,0,15,0,
(8,1),-2.00347 # DEPENDENCYPART_ARC
(8,2),-2.21734 # DEPENDENCYPART_ARC
(8,5),-1.37748 # DEPENDENCYPART_ARC
(8,6),-0.787544 # DEPENDENCYPART_ARC
(8,7),2.78615 # DEPENDENCYPART_ARC
(8,9),-1.45801 # DEPENDENCYPART_ARC
(8,10),-2.37936 # DEPENDENCYPART_ARC
(8,11),-0.950495 # DEPENDENCYPART_ARC
(8,12),-1.14615 # DEPENDENCYPART_ARC
(8,13),-2.10232 # DEPENDENCYPART_ARC
(9,1),-0.803109 # DEPENDENCYPART_ARC
(9,2),-1.0562 # DEPENDENCYPART_ARC
(9,3),-2.09564 # DEPENDENCYPART_ARC
(9,4),-2.07439 # DEPENDENCYPART_ARC
(9,5),-0.562905 # DEPENDENCYPART_ARC
(9,6),-0.941952 # DEPENDENCYPART_ARC
(9,7),0.699753 # DEPENDENCYPART_ARC
(9,8),1.57362 # DEPENDENCYPART_ARC
(9,10),-2.43273 # DEPENDENCYPART_ARC
(9,11),-0.96591 # DEPENDENCYPART_ARC
(9,12),-0.195053 # DEPENDENCYPART_ARC
(9,13),-2.90086 # DEPENDENCYPART_ARC
(9,14),-0.471622 # DEPENDENCYPART_ARC
(9,15),-3.11181 # DEPENDENCYPART_ARC
(9,16),-2.47082 # DEPENDENCYPART_ARC
(9,17),-1.48308 # DEPENDENCYPART_ARC
(10,7),-3.80231 # DEPENDENCYPART_ARC
(10,8),-3.4851 # DEPENDENCYPART_ARC
(10,9),-2.60918 # DEPENDENCYPART_ARC
(10,11),-1.95582 # DEPENDENCYPART_ARC
(10,12),-0.835685 # DEPENDENCYPART_ARC
(10,13),-3.14306 # DEPENDENCYPART_ARC
(10,14),-1.21467 # DEPENDENCYPART_ARC
(10,15),-2.89535 # DEPENDENCYPART_ARC
(10,16),-3.52336 # DEPENDENCYPART_ARC
(11,7),-3.00653 # DEPENDENCYPART_ARC
(11,8),-4.46367 # DEPENDENCYPART_ARC
(11,10),1.87413 # DEPENDENCYPART_ARC
(11,13),-1.8878 # DEPENDENCYPART_ARC
(11,15),-2.96791 # DEPENDENCYPART_ARC
(11,16),-4.54218 # DEPENDENCYPART_ARC
(12,1),-1.42218 # DEPENDENCYPART_ARC
(12,2),-1.51127 # DEPENDENCYPART_ARC
(12,3),-1.16802 # DEPENDENCYPART_ARC
(12,4),-0.967535 # DEPENDENCYPART_ARC
(12,5),-0.317998 # DEPENDENCYPART_ARC
(12,6),-0.233717 # DEPENDENCYPART_ARC
(12,7),-0.280142 # DEPENDENCYPART_ARC
(12,8),-0.216387 # DEPENDENCYPART_ARC
(12,9),0.478362 # DEPENDENCYPART_ARC
(12,10),0.387462 # DEPENDENCYPART_ARC
(12,11),2.32995 # DEPENDENCYPART_ARC
(12,13),2.23442 # DEPENDENCYPART_ARC
(12,14),-0.810495 # DEPENDENCYPART_ARC
(12,15),-0.679889 # DEPENDENCYPART_ARC
(12,16),-1.31551 # DEPENDENCYPART_ARC
(12,17),-1.4965 # DEPENDENCYPART_ARC
(13,10),-1.04293 # DEPENDENCYPART_ARC
(13,11),-2.74802 # DEPENDENCYPART_ARC
(13,14),-1.47365 # DEPENDENCYPART_ARC
(13,15),-2.05867 # DEPENDENCYPART_ARC
(13,16),-3.29366 # DEPENDENCYPART_ARC
(14,4),-1.31943 # DEPENDENCYPART_ARC
(14,5),-1.16022 # DEPENDENCYPART_ARC
(14,6),-0.962329 # DEPENDENCYPART_ARC
(14,7),-1.80718 # DEPENDENCYPART_ARC
(14,8),-1.32137 # DEPENDENCYPART_ARC
(14,9),-0.616928 # DEPENDENCYPART_ARC
(14,10),-1.72945 # DEPENDENCYPART_ARC
(14,11),-1.0628 # DEPENDENCYPART_ARC
(14,12),-0.820857 # DEPENDENCYPART_ARC
(14,13),-1.30519 # DEPENDENCYPART_ARC
(14,15),-0.799987 # DEPENDENCYPART_ARC
(14,16),-1.23549 # DEPENDENCYPART_ARC
(14,17),-1.03829 # DEPENDENCYPART_ARC
(15,1),-1.53174 # DEPENDENCYPART_ARC
(15,2),-1.87023 # DEPENDENCYPART_ARC
(15,4),-2.02089 # DEPENDENCYPART_ARC
(15,5),-1.61214 # DEPENDENCYPART_ARC
(15,6),-2.13173 # DEPENDENCYPART_ARC
(15,7),-2.32643 # DEPENDENCYPART_ARC
(15,8),-1.99179 # DEPENDENCYPART_ARC
(15,9),-1.58392 # DEPENDENCYPART_ARC
(15,10),-4.0695 # DEPENDENCYPART_ARC
(15,11),-3.09449 # DEPENDENCYPART_ARC
(15,12),-0.958326 # DEPENDENCYPART_ARC
(15,13),-2.40957 # DEPENDENCYPART_ARC
(15,14),-0.760079 # DEPENDENCYPART_ARC
(15,16),1.71056 # DEPENDENCYPART_ARC
(15,17),-0.915194 # DEPENDENCYPART_ARC
(16,12),-1.29454 # DEPENDENCYPART_ARC
(16,13),-3.10841 # DEPENDENCYPART_ARC
(16,14),-1.46804 # DEPENDENCYPART_ARC
(16,15),-3.32391 # DEPENDENCYPART_ARC
(16,17),-0.271457 # DEPENDENCYPART_ARC
(17,16),-2.96757 # DEPENDENCYPART_ARC
(0,1),(0,2),0.278133 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.335049 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.310308 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.155546 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.285843 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.292891 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.156822 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.155546 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.366657 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.103488 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.259623 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.324466 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0441675 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0624297 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.308936 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.161594 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0441675 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.379542 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.23815 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.186082 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0229981 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0248624 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.185178 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.183464 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0229981 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.275501 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.418933 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.290663 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.661303 # DEPENDENCYPART_SIBL
(0,4),(0,9),-1.47591 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.984698 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.290663 # DEPENDENCYPART_SIBL
(0,4),(0,15),-1.57366 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.00146501 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00123668 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.408609 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.140416 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.503235 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.861016 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.708252 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.326921 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.974302 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.107484 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.955291 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.279118 # DEPENDENCYPART_SIBL
(0,9),(0,15),-1.554 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0165919 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.238729 # DEPENDENCYPART_SIBL
(0,12),(0,15),-1.01426 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0494213 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.503235 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.168426 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0213443 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0556465 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0223858 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.117527 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0027815 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0474068 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.124937 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.185786 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.159513 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0697309 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.134394 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0414316 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.150094 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.077814 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0288809 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.114088 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0448385 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.028893 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.159444 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00844968 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.151026 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00964447 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0656518 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0318594 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00389718 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0767413 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0555269 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0295221 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00781175 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0393557 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00647272 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0292068 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0316243 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0767413 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00574721 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0653434 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0304159 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0316953 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00258164 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0984545 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0155213 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0237502 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0415311 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0653434 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0070803 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0234605 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.108929 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.095328 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0304596 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0368447 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0753651 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0089317 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0070803 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0445219 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0239531 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.122082 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0969348 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0598936 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.120821 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.150297 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.122657 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.125562 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.20482 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.170892 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.161138 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.203262 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.386557 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00841222 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0559845 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.028735 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0529488 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0549691 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0567026 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0132494 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0250463 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0124449 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.146184 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.262975 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00695994 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.08214 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0196105 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.151876 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.00530483 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.121909 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0787656 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.045535 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.277702 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0346689 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00200312 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.000462795 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0890823 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0238856 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0223882 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.046093 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00144348 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0618726 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0387984 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.629146 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0715621 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0114744 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00745668 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.254219 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0412028 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.163355 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0892578 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0432498 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.134721 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0210754 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00425163 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.111503 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00618314 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.145588 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0062541 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0962641 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.128894 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.095605 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0554345 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00395464 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0299829 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.152854 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.301736 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.154657 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.34011 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.166636 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.223537 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.318005 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0775592 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0748744 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.220805 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.1292 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.401376 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00625765 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.136777 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.365338 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0733479 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0681205 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0506959 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0400633 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.455453 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0204164 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0402657 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.22911 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0466239 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.456384 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.49341 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0303429 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0859584 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.385977 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0278811 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.502943 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.215192 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.12368 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.816395 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.00517341 # DEPENDENCYPART_SIBL
(6,9),(6,15),-1.12974 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.143236 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.277508 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00710529 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.502479 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.410833 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0418385 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.505353 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0175821 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.421137 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.475199 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0673775 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0807472 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0702992 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00818266 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0422055 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0789428 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0241146 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0448142 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0114718 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0089724 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0179879 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.000471456 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0690537 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0167169 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0402611 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.000414195 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0258834 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0128803 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.141069 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0274626 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0125281 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0159204 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.033459 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.14467 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0204915 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0030938 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.1272 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.245884 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0113879 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0294427 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.059034 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00287423 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.276013 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0114674 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.350872 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0230185 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0375756 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0244852 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0604003 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.256835 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00106144 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0292686 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0393795 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0994108 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0138425 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0623656 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0366099 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0959784 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.136694 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0413632 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0536409 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0303856 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0164763 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0292844 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.13611 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0522368 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0747333 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0237098 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.083111 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0349353 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0175059 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0363735 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0892983 # DEPENDENCYPART_SIBL
