# _root_ Situaci ztěžuje skutečnost , že výrobní družstva invalidů musejí být zisková , aby se udržela .
#goldHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
#predictedHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
(15,14),2.31491 # DEPENDENCYPART_ARC
(15,16),-0.668689 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.186268 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0495906 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.037811 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0185123 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.187566 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.196296 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.037811 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0265 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.186191 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.430362 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0451902 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.281368 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.632622 # DEPENDENCYPART_SIBL
(0,2),(0,9),-1.45704 # DEPENDENCYPART_SIBL
(0,2),(0,10),-1.44758 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.281368 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.661412 # DEPENDENCYPART_SIBL
(0,2),(0,15),-1.45683 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0141526 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0422902 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0146891 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.193195 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.201925 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0422902 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.00652894 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.19182 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.442765 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00123668 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.408855 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.414654 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0596916 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.861224 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.855202 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.326921 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.426025 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.861016 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.107484 # DEPENDENCYPART_SIBL
(0,9),(0,10),-1.44135 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.26324 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.654567 # DEPENDENCYPART_SIBL
(0,9),(0,15),-1.4506 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0391538 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.328328 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.652586 # DEPENDENCYPART_SIBL
(0,10),(0,15),-1.50583 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0646886 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0596916 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.408609 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.827366 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.20532 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0103457 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.000905162 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.153069 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.163842 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0154628 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0136688 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0258566 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0452519 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0279627 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0213596 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00455652 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0446179 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0136688 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0174342 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0400376 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.213742 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0301018 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.126835 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.123657 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0315592 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0293327 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0400376 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.016367 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0384024 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0792554 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.10465 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.104601 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.103268 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0784864 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.133899 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0564901 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.179939 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.184373 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.184276 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.176029 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.179169 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0258034 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.214343 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.105281 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.105238 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0470167 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.348353 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0579671 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00594617 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.102408 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0147946 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0136674 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0159147 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0320883 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0155221 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0126901 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0145706 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0322985 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0981758 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.000967602 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0215919 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.057304 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00448135 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0564901 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.25864 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0173027 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.199286 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00563413 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0183571 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0242364 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0131318 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0164949 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00563962 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.081415 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.00730932 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00805698 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.204076 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.117952 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0708742 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0703474 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0166614 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0401576 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.117947 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.110759 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0187813 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.010204 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0179944 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00834229 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00931177 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0139501 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0242637 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0180001 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00114318 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0129076 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0377453 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0598255 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0607004 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0464252 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0430636 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0377396 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.13077 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0454272 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0285447 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0295255 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00875954 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.011639 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.109572 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0144958 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00975658 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0634236 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0108052 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00284506 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0328081 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0167923 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0133002 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00947188 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00417843 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0342545 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0168778 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0119669 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.252061 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0144254 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0810144 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.257922 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0943611 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.04865 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.283181 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0144949 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.00997268 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0197761 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.136003 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0146514 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0194314 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00864247 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.161185 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0126814 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0173331 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00864122 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0311794 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00848674 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0500241 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0157838 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00108004 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0136651 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.623506 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.571948 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00107988 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0377541 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.664159 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00888623 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00277601 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.168457 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00581838 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00500365 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00277477 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.020449 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0153497 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00689887 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0288832 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0604084 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0546796 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00689887 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.143607 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0604075 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0377793 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0416785 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0395055 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.117513 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.016073 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0416781 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0209462 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0302527 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.02909 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0339174 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0199864 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.353504 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0236693 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0535349 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.362668 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0920361 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0768465 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.376358 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.017536 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0414621 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0429737 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0196782 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.033946 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.10348 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0862473 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0457167 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0265449 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.115216 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.174811 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.015004 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0411288 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.125962 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.11237 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.289911 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.215747 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.304267 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.295609 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.122965 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.227114 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0803472 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.135401 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.133628 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.164008 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0943855 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0713714 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0521997 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.12729 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.18142 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0243459 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0503898 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.138037 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.142956 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.372848 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.363899 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0141026 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.061581 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0681205 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.115916 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0144084 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.147142 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.142989 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.502571 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.502109 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00569726 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.147427 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.502253 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0861095 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.498129 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.50776 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0445885 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.19187 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.496535 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.499768 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.5094 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0426377 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.191879 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.498174 # DEPENDENCYPART_SIBL
(5,9),(5,10),-1.1127 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00739013 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.508901 # DEPENDENCYPART_SIBL
