# _root_ Je také patrné , že vyvratitelné jsou jen teorie , ne ( spolehlivé ) experimenty .
#goldHeads=0,1,1,5,1,7,5,9,10,7,15,13,15,13,10,0,
#predictedHeads=0,1,1,5,1,7,5,9,7,7,15,13,15,13,10,0,
(8,10),-1.36926 # DEPENDENCYPART_ARC
(8,12),-1.5291 # DEPENDENCYPART_ARC
(8,14),-1.61567 # DEPENDENCYPART_ARC
(8,16),-1.91133 # DEPENDENCYPART_ARC
(9,2),-1.12542 # DEPENDENCYPART_ARC
(9,3),-3.32403 # DEPENDENCYPART_ARC
(9,4),-1.23855 # DEPENDENCYPART_ARC
(9,5),-1.14896 # DEPENDENCYPART_ARC
(9,6),-0.351766 # DEPENDENCYPART_ARC
(9,8),0.896483 # DEPENDENCYPART_ARC
(9,10),-1.12397 # DEPENDENCYPART_ARC
(9,11),-1.40039 # DEPENDENCYPART_ARC
(9,12),-1.69944 # DEPENDENCYPART_ARC
(9,13),-2.17664 # DEPENDENCYPART_ARC
(9,14),-1.81534 # DEPENDENCYPART_ARC
(9,15),-3.00572 # DEPENDENCYPART_ARC
(10,1),-1.19246 # DEPENDENCYPART_ARC
(10,2),-1.2206 # DEPENDENCYPART_ARC
(10,3),-2.17693 # DEPENDENCYPART_ARC
(10,4),-0.678226 # DEPENDENCYPART_ARC
(10,5),-0.841093 # DEPENDENCYPART_ARC
(10,6),-1.66904 # DEPENDENCYPART_ARC
(10,7),-0.314672 # DEPENDENCYPART_ARC
(10,8),-0.795532 # DEPENDENCYPART_ARC
(10,9),-0.546879 # DEPENDENCYPART_ARC
(10,11),-0.566171 # DEPENDENCYPART_ARC
(10,12),-0.733273 # DEPENDENCYPART_ARC
(10,13),-1.99043 # DEPENDENCYPART_ARC
(10,14),-0.69921 # DEPENDENCYPART_ARC
(10,15),-1.30052 # DEPENDENCYPART_ARC
(10,16),-1.28958 # DEPENDENCYPART_ARC
(11,4),-1.70311 # DEPENDENCYPART_ARC
(11,7),-1.18885 # DEPENDENCYPART_ARC
(11,9),-1.40696 # DEPENDENCYPART_ARC
(11,10),-0.399352 # DEPENDENCYPART_ARC
(11,12),0.168386 # DEPENDENCYPART_ARC
(11,13),-1.43453 # DEPENDENCYPART_ARC
(11,14),-0.647079 # DEPENDENCYPART_ARC
(11,16),-1.19169 # DEPENDENCYPART_ARC
(12,1),-1.87508 # DEPENDENCYPART_ARC
(12,3),-1.99581 # DEPENDENCYPART_ARC
(12,5),-1.24795 # DEPENDENCYPART_ARC
(12,6),-1.83072 # DEPENDENCYPART_ARC
(12,7),-1.42147 # DEPENDENCYPART_ARC
(12,8),-1.30764 # DEPENDENCYPART_ARC
(12,9),-0.995887 # DEPENDENCYPART_ARC
(12,10),-1.16678 # DEPENDENCYPART_ARC
(12,11),-0.602514 # DEPENDENCYPART_ARC
(12,13),-0.98533 # DEPENDENCYPART_ARC
(12,14),-0.211233 # DEPENDENCYPART_ARC
(12,15),-1.75345 # DEPENDENCYPART_ARC
(12,16),-1.27777 # DEPENDENCYPART_ARC
(13,6),-4.01439 # DEPENDENCYPART_ARC
(13,9),-2.14678 # DEPENDENCYPART_ARC
(13,10),-0.999345 # DEPENDENCYPART_ARC
(13,11),-0.266871 # DEPENDENCYPART_ARC
(13,12),-0.104071 # DEPENDENCYPART_ARC
(13,14),0.114773 # DEPENDENCYPART_ARC
(13,15),-3.04909 # DEPENDENCYPART_ARC
(13,16),-1.66034 # DEPENDENCYPART_ARC
(14,1),-2.56291 # DEPENDENCYPART_ARC
(14,8),-2.03268 # DEPENDENCYPART_ARC
(14,9),-2.04642 # DEPENDENCYPART_ARC
(14,11),-1.72052 # DEPENDENCYPART_ARC
(14,12),-1.56136 # DEPENDENCYPART_ARC
(14,13),-1.61017 # DEPENDENCYPART_ARC
(14,15),-1.49793 # DEPENDENCYPART_ARC
(14,16),-2.1051 # DEPENDENCYPART_ARC
(15,2),-1.06282 # DEPENDENCYPART_ARC
(15,6),-2.83494 # DEPENDENCYPART_ARC
(15,8),-0.973368 # DEPENDENCYPART_ARC
(15,9),-2.8314 # DEPENDENCYPART_ARC
(15,10),-1.56043 # DEPENDENCYPART_ARC
(15,11),-0.660229 # DEPENDENCYPART_ARC
(15,12),-1.10805 # DEPENDENCYPART_ARC
(15,13),0.614497 # DEPENDENCYPART_ARC
(15,14),-0.294367 # DEPENDENCYPART_ARC
(15,16),-0.260751 # DEPENDENCYPART_ARC
(16,11),-3.01595 # DEPENDENCYPART_ARC
(16,13),-3.1634 # DEPENDENCYPART_ARC
(16,15),-2.85678 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.26936 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.332393 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.327514 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.73671 # DEPENDENCYPART_SIBL
(0,1),(0,7),-1.56394 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.284464 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.327514 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.213161 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0527541 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.257155 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.106976 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.318437 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.215509 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.259835 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.106976 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.435184 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.00729205 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0780838 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.00579213 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.344581 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0149751 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0780838 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.097546 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.3031 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00123668 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.374026 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0478741 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.129028 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0760362 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.850856 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.171673 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.326921 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0845841 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.107484 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.21884 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.277015 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.147848 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0831844 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.258336 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0669529 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.159331 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0760362 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0318372 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.115602 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0752342 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.153032 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.137244 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.209415 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.109005 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.164192 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0752342 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.16576 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0900237 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.133659 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.16238 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.151351 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0109895 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0242934 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0217013 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.426967 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.111588 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0665366 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0734932 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0242934 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0469637 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.042496 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.426835 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.018589 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.106928 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.181983 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0709867 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.109684 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0788131 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.115078 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.11537 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.163659 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0730025 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.145075 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.108607 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.123787 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.122162 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.185088 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.173298 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.141671 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.154536 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.161754 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.000850349 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.14048 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0166657 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.171015 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0792162 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.174259 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0133686 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.111076 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0696409 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0772446 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0264746 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.050068 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0451898 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.42958 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0160206 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.110679 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.184552 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0504867 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0311323 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0355358 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.054382 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0231615 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.137492 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0451085 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.014073 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0464283 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0232644 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0545884 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0546442 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.044474 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0835594 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0286545 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0358071 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0889645 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0314731 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0834707 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0885176 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0124863 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0207926 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.1568 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.197649 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0730025 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.145075 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.108607 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.123787 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.122162 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.185088 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.010665 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0461092 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0190179 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.00910236 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.000387978 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0515743 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.213372 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.14782 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.265654 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.01564 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.110538 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.184932 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.118298 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.303242 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.184051 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00195702 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0407063 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.105766 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0149775 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0401143 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0697309 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0402579 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0448681 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.034314 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.143607 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0478455 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00918884 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0361577 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0308622 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00922171 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.114858 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0818924 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0730631 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0469545 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0498248 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.85107 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0583567 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0496247 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0211712 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0635973 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0570564 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0654935 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0303054 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0669668 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0635787 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.049977 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0336713 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.568416 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0295896 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00348369 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.563197 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00686577 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00689887 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0726715 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0242417 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00689941 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0288245 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0529021 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.014994 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.119361 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0430132 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0248276 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0428384 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0479507 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.000228311 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0145479 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0426896 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0737371 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.11659 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.313734 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.207675 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.128675 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.170704 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.296529 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.10909 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.120681 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.110516 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.313595 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0234376 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.199058 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.010512 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.107779 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0180387 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.12206 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0186036 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00675351 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0218156 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.144151 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00254901 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.588697 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.279939 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0160556 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.150347 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0090383 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00791254 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0431199 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.155229 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.142497 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0115748 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.152076 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.349267 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0681205 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0952871 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0695949 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.370319 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.487768 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0831998 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.135456 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00507894 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.05338 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00865899 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.14822 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.221391 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.123871 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00571611 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.131804 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0261674 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.136931 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0290255 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0375267 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0591141 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0542569 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0333191 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0496135 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0761047 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0317713 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0897764 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.193656 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.192874 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0658716 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.145718 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.112667 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0123171 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.123618 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.037383 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0740947 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0361575 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0090674 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0899166 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0678376 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0573415 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0051534 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.182396 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.164463 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.329321 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.101358 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0703292 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00191825 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0458841 # DEPENDENCYPART_SIBL
