# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,1,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
(8,11),-1.75314 # DEPENDENCYPART_ARC
(8,12),-1.76961 # DEPENDENCYPART_ARC
(8,13),-2.24109 # DEPENDENCYPART_ARC
(8,15),-3.13675 # DEPENDENCYPART_ARC
(9,1),-1.01205 # DEPENDENCYPART_ARC
(9,2),-0.957816 # DEPENDENCYPART_ARC
(9,3),-1.14629 # DEPENDENCYPART_ARC
(9,4),-1.42033 # DEPENDENCYPART_ARC
(9,5),-1.57406 # DEPENDENCYPART_ARC
(9,6),-0.684696 # DEPENDENCYPART_ARC
(9,7),-1.31205 # DEPENDENCYPART_ARC
(9,8),-0.981205 # DEPENDENCYPART_ARC
(9,10),-0.879648 # DEPENDENCYPART_ARC
(9,11),-1.397 # DEPENDENCYPART_ARC
(9,12),-1.32534 # DEPENDENCYPART_ARC
(9,13),-1.3848 # DEPENDENCYPART_ARC
(9,14),-0.910786 # DEPENDENCYPART_ARC
(9,15),-2.6128 # DEPENDENCYPART_ARC
(9,16),-1.19499 # DEPENDENCYPART_ARC
(9,17),-1.97667 # DEPENDENCYPART_ARC
(10,4),-2.01268 # DEPENDENCYPART_ARC
(10,5),-2.19606 # DEPENDENCYPART_ARC
(10,6),-1.54049 # DEPENDENCYPART_ARC
(10,8),-1.45002 # DEPENDENCYPART_ARC
(10,9),-0.942654 # DEPENDENCYPART_ARC
(10,11),-0.736214 # DEPENDENCYPART_ARC
(10,12),-1.07195 # DEPENDENCYPART_ARC
(10,13),-1.76833 # DEPENDENCYPART_ARC
(10,14),-0.905213 # DEPENDENCYPART_ARC
(10,15),-1.50306 # DEPENDENCYPART_ARC
(10,16),-1.1197 # DEPENDENCYPART_ARC
(10,19),-2.52073 # DEPENDENCYPART_ARC
(10,22),-2.57478 # DEPENDENCYPART_ARC
(10,23),-1.75957 # DEPENDENCYPART_ARC
(11,10),-0.0712209 # DEPENDENCYPART_ARC
(11,13),-1.92526 # DEPENDENCYPART_ARC
(12,1),-0.294317 # DEPENDENCYPART_ARC
(12,2),-0.770763 # DEPENDENCYPART_ARC
(12,3),-0.361787 # DEPENDENCYPART_ARC
(12,4),-1.45441 # DEPENDENCYPART_ARC
(12,5),-3.87809 # DEPENDENCYPART_ARC
(12,6),-0.750038 # DEPENDENCYPART_ARC
(12,7),-3.56344 # DEPENDENCYPART_ARC
(12,8),-2.65028 # DEPENDENCYPART_ARC
(12,9),0.298493 # DEPENDENCYPART_ARC
(12,10),1.16194 # DEPENDENCYPART_ARC
(12,11),1.64033 # DEPENDENCYPART_ARC
(12,13),1.03345 # DEPENDENCYPART_ARC
(12,14),-0.121137 # DEPENDENCYPART_ARC
(12,15),-1.97814 # DEPENDENCYPART_ARC
(12,16),-1.37511 # DEPENDENCYPART_ARC
(12,17),-0.999102 # DEPENDENCYPART_ARC
(12,19),-2.75154 # DEPENDENCYPART_ARC
(12,20),-0.919097 # DEPENDENCYPART_ARC
(12,22),-1.561 # DEPENDENCYPART_ARC
(12,23),-1.42403 # DEPENDENCYPART_ARC
(13,10),-1.29091 # DEPENDENCYPART_ARC
(13,11),-1.00175 # DEPENDENCYPART_ARC
(13,14),-1.52658 # DEPENDENCYPART_ARC
(13,15),-2.30839 # DEPENDENCYPART_ARC
(13,16),-1.69146 # DEPENDENCYPART_ARC
(13,17),-2.53791 # DEPENDENCYPART_ARC
(13,18),-3.76066 # DEPENDENCYPART_ARC
(13,20),-2.23251 # DEPENDENCYPART_ARC
(14,9),-0.698597 # DEPENDENCYPART_ARC
(14,10),-0.972575 # DEPENDENCYPART_ARC
(14,11),-0.803649 # DEPENDENCYPART_ARC
(14,12),-0.373681 # DEPENDENCYPART_ARC
(14,13),-1.08824 # DEPENDENCYPART_ARC
(14,15),-0.524444 # DEPENDENCYPART_ARC
(14,16),-0.971098 # DEPENDENCYPART_ARC
(14,17),-1.14087 # DEPENDENCYPART_ARC
(14,19),-1.93715 # DEPENDENCYPART_ARC
(14,20),-1.51035 # DEPENDENCYPART_ARC
(14,22),-2.05641 # DEPENDENCYPART_ARC
(15,1),-0.16131 # DEPENDENCYPART_ARC
(15,2),-1.51822 # DEPENDENCYPART_ARC
(15,3),-1.19386 # DEPENDENCYPART_ARC
(15,4),-2.13976 # DEPENDENCYPART_ARC
(15,5),-3.83211 # DEPENDENCYPART_ARC
(15,6),-1.15433 # DEPENDENCYPART_ARC
(15,8),-3.27085 # DEPENDENCYPART_ARC
(15,9),-1.48814 # DEPENDENCYPART_ARC
(15,10),-0.276768 # DEPENDENCYPART_ARC
(15,11),-0.445473 # DEPENDENCYPART_ARC
(15,12),-0.322001 # DEPENDENCYPART_ARC
(15,13),-0.546174 # DEPENDENCYPART_ARC
(15,14),-0.535372 # DEPENDENCYPART_ARC
(15,16),-0.357907 # DEPENDENCYPART_ARC
(15,17),0.694176 # DEPENDENCYPART_ARC
(15,18),-2.60154 # DEPENDENCYPART_ARC
(15,19),-0.182204 # DEPENDENCYPART_ARC
(15,20),0.104805 # DEPENDENCYPART_ARC
(15,21),-2.45513 # DEPENDENCYPART_ARC
(15,22),-0.278339 # DEPENDENCYPART_ARC
(15,23),-0.912966 # DEPENDENCYPART_ARC
(16,1),-1.58422 # DEPENDENCYPART_ARC
(16,3),-1.1681 # DEPENDENCYPART_ARC
(16,5),-3.18678 # DEPENDENCYPART_ARC
(16,8),-2.40978 # DEPENDENCYPART_ARC
(16,9),-1.63134 # DEPENDENCYPART_ARC
(16,10),-1.39016 # DEPENDENCYPART_ARC
(16,11),-1.53396 # DEPENDENCYPART_ARC
(16,12),-1.48783 # DEPENDENCYPART_ARC
(16,13),-1.37207 # DEPENDENCYPART_ARC
(16,14),-0.406147 # DEPENDENCYPART_ARC
(16,15),-0.368309 # DEPENDENCYPART_ARC
(16,17),-0.803401 # DEPENDENCYPART_ARC
(16,18),-1.74446 # DEPENDENCYPART_ARC
(16,19),-1.89383 # DEPENDENCYPART_ARC
(16,20),-1.86749 # DEPENDENCYPART_ARC
(16,21),-2.82519 # DEPENDENCYPART_ARC
(16,22),-2.44902 # DEPENDENCYPART_ARC
(16,23),-1.42531 # DEPENDENCYPART_ARC
(17,14),-0.804448 # DEPENDENCYPART_ARC
(17,16),-0.939477 # DEPENDENCYPART_ARC
(17,18),-0.361466 # DEPENDENCYPART_ARC
(17,19),1.77655 # DEPENDENCYPART_ARC
(17,21),-2.42184 # DEPENDENCYPART_ARC
(17,22),-1.7276 # DEPENDENCYPART_ARC
(17,23),-1.53481 # DEPENDENCYPART_ARC
(18,20),-0.889551 # DEPENDENCYPART_ARC
(18,22),-0.999899 # DEPENDENCYPART_ARC
(19,6),-0.27171 # DEPENDENCYPART_ARC
(19,16),0.638786 # DEPENDENCYPART_ARC
(19,17),-1.08519 # DEPENDENCYPART_ARC
(19,18),1.89139 # DEPENDENCYPART_ARC
(19,20),0.414682 # DEPENDENCYPART_ARC
(19,21),-2.69696 # DEPENDENCYPART_ARC
(19,22),-2.47313 # DEPENDENCYPART_ARC
(19,23),-1.30597 # DEPENDENCYPART_ARC
(20,19),-1.42904 # DEPENDENCYPART_ARC
(20,21),-0.52207 # DEPENDENCYPART_ARC
(20,22),2.11765 # DEPENDENCYPART_ARC
(20,23),-1.25282 # DEPENDENCYPART_ARC
(22,16),-0.0539656 # DEPENDENCYPART_ARC
(22,17),-1.50183 # DEPENDENCYPART_ARC
(22,18),-2.92045 # DEPENDENCYPART_ARC
(22,19),-3.76517 # DEPENDENCYPART_ARC
(22,20),-1.50029 # DEPENDENCYPART_ARC
(22,21),2.19885 # DEPENDENCYPART_ARC
(22,23),-0.63132 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0460403 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0107626 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.704092 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.188528 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.826154 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.188528 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.829205 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.233903 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.253306 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.139259 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.106976 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.229567 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.106976 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.232047 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.00729205 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.221198 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.2298 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.476952 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.2298 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.478772 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.450326 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.898665 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.238729 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.902342 # DEPENDENCYPART_SIBL
(0,6),(0,23),0.0494213 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.415778 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.296463 # DEPENDENCYPART_SIBL
(0,12),(0,15),-1.46565 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.415778 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0515203 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0470042 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00402597 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0110299 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.121318 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0110862 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00923366 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0854784 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0016627 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.271416 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0854784 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.271588 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0551441 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0452355 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0468959 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.013938 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.106524 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.204788 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.106565 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0097327 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0805777 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0305129 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.522916 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0805777 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.522429 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.10974 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0765423 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.100926 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00122686 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.228712 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00133048 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00991592 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00965063 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0169813 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.404588 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.00965063 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.404697 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.119762 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0178056 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.128431 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.131969 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.244042 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.115976 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0357854 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0413368 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.429925 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0357854 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.43006 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0609518 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0208638 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.101351 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0573514 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0431955 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0136062 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0227471 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.304265 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0136062 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.305634 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0938658 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.00669847 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.131175 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.116791 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0290828 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0399709 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.428894 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0290828 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.429029 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0594845 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0258044 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0960128 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.00915328 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0157563 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.403714 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.00915328 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.403823 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.118782 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0131863 # DEPENDENCYPART_SIBL
(1,8),(1,23),-0.127535 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0260913 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.386371 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.283161 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.388808 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0889472 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0674137 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0475988 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.274044 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.00257844 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.274217 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0137315 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0907476 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0221049 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0182233 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.902722 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.317449 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0491884 # DEPENDENCYPART_SIBL
(1,12),(1,23),-0.0285724 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.388808 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0889472 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0674137 # DEPENDENCYPART_SIBL
(1,14),(1,23),-0.0475988 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.322096 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.05384 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.0538574 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.0137326 # DEPENDENCYPART_SIBL
(1,16),(1,23),-0.0887973 # DEPENDENCYPART_SIBL
(1,17),(1,23),-0.149912 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00914955 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00130269 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00955465 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.135492 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0745858 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0134362 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.135739 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.483168 # DEPENDENCYPART_SIBL
(3,4),(3,6),-1.39434 # DEPENDENCYPART_SIBL
(3,4),(3,8),-1.44802 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.590605 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.755583 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.653311 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.161904 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.211965 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0372729 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0133099 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0365209 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0597481 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0368831 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0725849 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00731145 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0527582 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.052779 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0611662 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00746938 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0262548 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00751317 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0140453 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0587504 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0237722 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0144189 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.012906 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0944176 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.178204 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0295594 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.177282 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0596819 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0128928 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0910105 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.111784 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0506424 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.118805 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.116103 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.109704 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0250345 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0187124 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0149415 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00779212 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0322643 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0624194 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00130786 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00478379 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0181828 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00459925 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0124981 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0105025 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0603966 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0259064 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0158313 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0147412 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00784626 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0331136 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0653381 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0429107 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0151498 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00651838 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0664252 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0206909 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.058281 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.014459 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0327607 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.00622766 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0172421 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00468391 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0462878 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.00315982 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0492226 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.00439492 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0250306 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00787692 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0218537 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.156499 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.152709 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0441904 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0751188 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0945513 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0733545 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.102478 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0624937 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0604853 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0226634 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0707811 # DEPENDENCYPART_SIBL
