# _root_ Během SNP působily na území Slovenska vojenské mise Spojenců , a to sovětská , britská a americká .
#goldHeads=3,1,0,3,4,5,8,3,8,16,12,16,16,16,16,8,16,0,
#predictedHeads=3,1,0,3,4,5,8,3,8,11,3,11,16,16,16,11,16,0,
(6,9),-2.39766 # DEPENDENCYPART_ARC
(6,10),-1.47407 # DEPENDENCYPART_ARC
(6,11),-1.32648 # DEPENDENCYPART_ARC
(6,13),-4.6087 # DEPENDENCYPART_ARC
(6,14),-1.60371 # DEPENDENCYPART_ARC
(6,15),-4.59118 # DEPENDENCYPART_ARC
(6,16),-1.41674 # DEPENDENCYPART_ARC
(6,17),-5.08229 # DEPENDENCYPART_ARC
(7,1),-1.10926 # DEPENDENCYPART_ARC
(7,4),-0.907559 # DEPENDENCYPART_ARC
(7,5),-2.24721 # DEPENDENCYPART_ARC
(7,6),-1.07941 # DEPENDENCYPART_ARC
(7,8),-1.20072 # DEPENDENCYPART_ARC
(7,9),-1.57311 # DEPENDENCYPART_ARC
(7,12),-2.3751 # DEPENDENCYPART_ARC
(8,3),-3.1516 # DEPENDENCYPART_ARC
(8,4),-1.37782 # DEPENDENCYPART_ARC
(8,6),-3.12909 # DEPENDENCYPART_ARC
(8,7),2.18924 # DEPENDENCYPART_ARC
(8,9),1.56653 # DEPENDENCYPART_ARC
(8,10),-1.17587 # DEPENDENCYPART_ARC
(8,11),-0.717979 # DEPENDENCYPART_ARC
(8,12),-1.58531 # DEPENDENCYPART_ARC
(8,13),-2.69315 # DEPENDENCYPART_ARC
(8,14),-1.25727 # DEPENDENCYPART_ARC
(8,15),-2.79192 # DEPENDENCYPART_ARC
(8,16),-1.22842 # DEPENDENCYPART_ARC
(8,17),-3.39724 # DEPENDENCYPART_ARC
(9,5),-4.7649 # DEPENDENCYPART_ARC
(9,6),-2.87854 # DEPENDENCYPART_ARC
(9,7),-2.78899 # DEPENDENCYPART_ARC
(9,8),-3.66518 # DEPENDENCYPART_ARC
(9,10),-1.1985 # DEPENDENCYPART_ARC
(9,11),-1.12191 # DEPENDENCYPART_ARC
(9,12),-2.77685 # DEPENDENCYPART_ARC
(9,13),-4.74091 # DEPENDENCYPART_ARC
(9,15),-5.0875 # DEPENDENCYPART_ARC
(9,16),-1.70088 # DEPENDENCYPART_ARC
(9,17),-5.56201 # DEPENDENCYPART_ARC
(10,3),-1.27097 # DEPENDENCYPART_ARC
(10,6),-1.72508 # DEPENDENCYPART_ARC
(10,7),-1.89188 # DEPENDENCYPART_ARC
(10,8),-1.69601 # DEPENDENCYPART_ARC
(10,9),-1.41172 # DEPENDENCYPART_ARC
(11,1),-1.4345 # DEPENDENCYPART_ARC
(11,2),-1.04012 # DEPENDENCYPART_ARC
(11,3),-0.0404401 # DEPENDENCYPART_ARC
(11,4),-1.1251 # DEPENDENCYPART_ARC
(11,5),-1.04072 # DEPENDENCYPART_ARC
(11,6),-1.12183 # DEPENDENCYPART_ARC
(11,7),-1.88013 # DEPENDENCYPART_ARC
(11,8),-0.756116 # DEPENDENCYPART_ARC
(11,9),-0.8339 # DEPENDENCYPART_ARC
(11,10),0.553028 # DEPENDENCYPART_ARC
(11,12),-0.731743 # DEPENDENCYPART_ARC
(11,13),-0.444519 # DEPENDENCYPART_ARC
(11,14),-0.611187 # DEPENDENCYPART_ARC
(11,15),-1.46417 # DEPENDENCYPART_ARC
(11,16),-0.967372 # DEPENDENCYPART_ARC
(11,17),-2.17915 # DEPENDENCYPART_ARC
(11,18),-0.946123 # DEPENDENCYPART_ARC
(12,11),0.898398 # DEPENDENCYPART_ARC
(12,13),-0.344188 # DEPENDENCYPART_ARC
(12,14),-1.27178 # DEPENDENCYPART_ARC
(12,15),-1.51898 # DEPENDENCYPART_ARC
(12,16),-0.919113 # DEPENDENCYPART_ARC
(12,18),-1.13633 # DEPENDENCYPART_ARC
(13,1),-1.41648 # DEPENDENCYPART_ARC
(13,9),-2.98595 # DEPENDENCYPART_ARC
(13,10),-1.10688 # DEPENDENCYPART_ARC
(13,11),-0.861189 # DEPENDENCYPART_ARC
(13,12),-1.34074 # DEPENDENCYPART_ARC
(13,14),-1.1211 # DEPENDENCYPART_ARC
(13,15),-2.72273 # DEPENDENCYPART_ARC
(13,18),-2.20791 # DEPENDENCYPART_ARC
(14,1),-1.39154 # DEPENDENCYPART_ARC
(14,2),-1.70873 # DEPENDENCYPART_ARC
(14,3),-1.09374 # DEPENDENCYPART_ARC
(14,4),-1.23841 # DEPENDENCYPART_ARC
(14,5),-1.31951 # DEPENDENCYPART_ARC
(14,6),-1.41348 # DEPENDENCYPART_ARC
(14,7),-1.95841 # DEPENDENCYPART_ARC
(14,8),-1.20969 # DEPENDENCYPART_ARC
(14,9),-1.13977 # DEPENDENCYPART_ARC
(14,10),-0.639575 # DEPENDENCYPART_ARC
(14,11),-0.47661 # DEPENDENCYPART_ARC
(14,12),-1.15912 # DEPENDENCYPART_ARC
(14,13),-0.319167 # DEPENDENCYPART_ARC
(14,15),-0.188412 # DEPENDENCYPART_ARC
(14,16),-0.713124 # DEPENDENCYPART_ARC
(14,17),-1.34592 # DEPENDENCYPART_ARC
(14,18),-0.900351 # DEPENDENCYPART_ARC
(15,12),-2.55437 # DEPENDENCYPART_ARC
(15,13),-2.13733 # DEPENDENCYPART_ARC
(15,14),-0.721374 # DEPENDENCYPART_ARC
(15,17),-2.73476 # DEPENDENCYPART_ARC
(15,18),-1.44023 # DEPENDENCYPART_ARC
(16,1),-1.34631 # DEPENDENCYPART_ARC
(16,2),-1.23498 # DEPENDENCYPART_ARC
(16,3),-0.703996 # DEPENDENCYPART_ARC
(16,4),-1.20428 # DEPENDENCYPART_ARC
(16,5),-1.15886 # DEPENDENCYPART_ARC
(16,6),-1.2122 # DEPENDENCYPART_ARC
(16,7),-2.04564 # DEPENDENCYPART_ARC
(16,8),-0.937695 # DEPENDENCYPART_ARC
(16,9),-0.83993 # DEPENDENCYPART_ARC
(16,10),-0.273275 # DEPENDENCYPART_ARC
(16,11),-0.403664 # DEPENDENCYPART_ARC
(16,12),-0.921629 # DEPENDENCYPART_ARC
(16,13),-0.226214 # DEPENDENCYPART_ARC
(16,14),1.07169 # DEPENDENCYPART_ARC
(16,15),2.04489 # DEPENDENCYPART_ARC
(16,17),2.10183 # DEPENDENCYPART_ARC
(16,18),-0.638802 # DEPENDENCYPART_ARC
(17,12),-3.07976 # DEPENDENCYPART_ARC
(17,15),-2.30479 # DEPENDENCYPART_ARC
(17,18),-0.362594 # DEPENDENCYPART_ARC
(18,17),-2.75435 # DEPENDENCYPART_ARC
(0,1),(0,2),0.216994 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.37087 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.240568 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.219807 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0838329 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.181193 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0838329 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.181193 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.318293 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.183765 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.212996 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0366843 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0203409 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.182061 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.416889 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.167225 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0523863 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.296588 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.962278 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.296588 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.962278 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.00786645 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.209881 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.2298 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.221198 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.2298 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.221198 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.450326 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0309695 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.184188 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0309695 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.184188 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.423506 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.238729 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.747338 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.140416 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.455478 # DEPENDENCYPART_SIBL
(1,2),(1,5),-1.30768 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.498045 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0548757 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.114553 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00314663 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00683328 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.035938 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0345419 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0213259 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0106092 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0315674 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0275716 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0399666 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0521842 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0384522 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0105664 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0399666 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0521842 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0118885 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0433696 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00941075 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0395937 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0393567 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0412366 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0117306 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0373016 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00428786 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00235915 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.108319 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0411667 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00428786 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00235915 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0425012 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0258975 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0104675 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0256926 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0669362 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0203802 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0253031 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0117901 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.200321 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0357252 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0670032 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0117901 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.200321 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0670165 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0485811 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.121038 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0217853 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.114068 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.119654 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0308706 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.25462 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0714346 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0218306 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0308706 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.25462 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.022007 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.141776 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0185238 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.106885 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.112471 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0148371 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.250233 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0679687 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0185691 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0148371 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.250233 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0187455 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.131679 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.101435 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.106357 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0493955 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0674878 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.152535 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.345752 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0493955 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0674878 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.34572 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.150515 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.115345 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.014505 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.249786 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0679031 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0184307 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.014505 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.249786 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0186071 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.13148 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0144976 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.249787 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0679036 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0184311 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0144976 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.249787 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0186075 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.131476 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.139006 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.039736 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0763533 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.124158 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.139006 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0765782 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.111555 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0857476 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0522841 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00281093 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.244861 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0522526 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0585589 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.082192 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.108499 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.072926 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0820068 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0054886 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0494062 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0674969 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.345731 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.150526 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.139006 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0765782 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.111555 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0522526 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0585589 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.150647 # DEPENDENCYPART_SIBL
(4,5),(4,6),-1.46445 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.485743 # DEPENDENCYPART_SIBL
(4,5),(4,8),-1.46234 # DEPENDENCYPART_SIBL
(4,5),(4,16),-1.40082 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.484018 # DEPENDENCYPART_SIBL
(4,6),(4,8),-1.45738 # DEPENDENCYPART_SIBL
(4,6),(4,16),-1.39581 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.755363 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.58996 # DEPENDENCYPART_SIBL
(4,8),(4,16),-1.39434 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.161286 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.134719 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0917498 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.127362 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0729778 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0686889 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0305879 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0023007 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.126993 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0305879 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.128318 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0023007 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.127288 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0821497 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.100895 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.120291 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0941442 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0913226 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00853502 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0326892 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.120443 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00853502 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.121248 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0326892 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.120238 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0976272 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.182685 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0781488 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0738597 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0200316 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0266535 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.182316 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0200316 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.183641 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0266535 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.182612 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0280843 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0657299 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0677294 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0459188 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.333566 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0281262 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0459188 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0278925 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.333566 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0274871 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0338248 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.034498 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0190573 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.128984 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.111321 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0190573 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.111434 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.128984 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.111624 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0755496 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0471013 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.334455 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0269475 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0471013 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0267138 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.334455 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0263084 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.047175 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.334537 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.026866 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.047175 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0266322 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.334537 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0262268 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0882646 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0184224 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00365431 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0173408 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0882646 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0176064 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.00232837 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0201124 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00244153 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.265022 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.00263162 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0190569 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.111434 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.128983 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.111624 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0173408 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0882646 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0176064 # DEPENDENCYPART_SIBL
