# _root_ Dříve byly ty slabší lacinější , ale když slyšíte , kolik teď stojí připravit špičkový šestnáctkový motor . . .
#goldHeads=2,7,2,3,2,7,0,7,8,13,13,13,9,13,17,17,14,0,0,0,
#predictedHeads=2,7,2,3,2,7,0,13,8,8,13,13,7,13,17,17,14,0,0,0,
(9,19),-1.81922 # DEPENDENCYPART_ARC
(10,1),-1.67414 # DEPENDENCYPART_ARC
(10,2),-1.51308 # DEPENDENCYPART_ARC
(10,3),-1.55925 # DEPENDENCYPART_ARC
(10,4),-2.01819 # DEPENDENCYPART_ARC
(10,5),-1.9869 # DEPENDENCYPART_ARC
(10,6),-0.614034 # DEPENDENCYPART_ARC
(10,7),-0.604793 # DEPENDENCYPART_ARC
(10,8),-0.770028 # DEPENDENCYPART_ARC
(10,9),-0.798708 # DEPENDENCYPART_ARC
(10,11),-0.947934 # DEPENDENCYPART_ARC
(10,12),-1.44522 # DEPENDENCYPART_ARC
(10,13),-1.40425 # DEPENDENCYPART_ARC
(10,14),-1.84436 # DEPENDENCYPART_ARC
(10,15),-2.22109 # DEPENDENCYPART_ARC
(10,17),-2.14793 # DEPENDENCYPART_ARC
(10,18),-1.19771 # DEPENDENCYPART_ARC
(11,17),0.357215 # DEPENDENCYPART_ARC
(12,9),-0.950524 # DEPENDENCYPART_ARC
(12,10),-0.942453 # DEPENDENCYPART_ARC
(12,14),-1.46165 # DEPENDENCYPART_ARC
(12,17),-2.58123 # DEPENDENCYPART_ARC
(13,1),-1.62032 # DEPENDENCYPART_ARC
(13,2),-3.14331 # DEPENDENCYPART_ARC
(13,3),-3.0195 # DEPENDENCYPART_ARC
(13,4),-1.5302 # DEPENDENCYPART_ARC
(13,5),-1.40735 # DEPENDENCYPART_ARC
(13,6),-1.82525 # DEPENDENCYPART_ARC
(13,7),-0.955537 # DEPENDENCYPART_ARC
(13,8),-0.607773 # DEPENDENCYPART_ARC
(13,9),-0.851219 # DEPENDENCYPART_ARC
(13,10),-0.47157 # DEPENDENCYPART_ARC
(13,11),-0.341235 # DEPENDENCYPART_ARC
(13,12),0.846714 # DEPENDENCYPART_ARC
(13,14),2.93182 # DEPENDENCYPART_ARC
(13,15),-2.04862 # DEPENDENCYPART_ARC
(13,16),-2.7388 # DEPENDENCYPART_ARC
(13,17),-0.0506248 # DEPENDENCYPART_ARC
(13,18),-0.744892 # DEPENDENCYPART_ARC
(13,19),-0.70967 # DEPENDENCYPART_ARC
(13,20),-1.15923 # DEPENDENCYPART_ARC
(14,1),-1.69144 # DEPENDENCYPART_ARC
(14,7),-1.16042 # DEPENDENCYPART_ARC
(14,8),-0.544335 # DEPENDENCYPART_ARC
(14,9),-2.49181 # DEPENDENCYPART_ARC
(14,10),-1.50957 # DEPENDENCYPART_ARC
(14,11),-0.549039 # DEPENDENCYPART_ARC
(14,12),-0.136026 # DEPENDENCYPART_ARC
(14,13),-0.762131 # DEPENDENCYPART_ARC
(14,15),0.116433 # DEPENDENCYPART_ARC
(14,16),-1.05836 # DEPENDENCYPART_ARC
(14,17),1.01679 # DEPENDENCYPART_ARC
(14,18),-0.830346 # DEPENDENCYPART_ARC
(14,19),-0.919519 # DEPENDENCYPART_ARC
(14,20),-1.20743 # DEPENDENCYPART_ARC
(15,12),-1.10762 # DEPENDENCYPART_ARC
(15,14),-0.9328 # DEPENDENCYPART_ARC
(15,16),-1.85186 # DEPENDENCYPART_ARC
(15,17),-2.26943 # DEPENDENCYPART_ARC
(15,18),-1.06567 # DEPENDENCYPART_ARC
(15,19),-1.37814 # DEPENDENCYPART_ARC
(16,12),-1.38037 # DEPENDENCYPART_ARC
(16,15),-1.47445 # DEPENDENCYPART_ARC
(16,18),-0.979647 # DEPENDENCYPART_ARC
(17,3),-2.4315 # DEPENDENCYPART_ARC
(17,4),-3.98905 # DEPENDENCYPART_ARC
(17,5),-4.89884 # DEPENDENCYPART_ARC
(17,10),-0.82878 # DEPENDENCYPART_ARC
(17,12),-0.908812 # DEPENDENCYPART_ARC
(17,15),2.43814 # DEPENDENCYPART_ARC
(17,16),3.09195 # DEPENDENCYPART_ARC
(17,18),-0.276522 # DEPENDENCYPART_ARC
(17,19),-0.992827 # DEPENDENCYPART_ARC
(17,20),-1.57715 # DEPENDENCYPART_ARC
(18,13),-2.36585 # DEPENDENCYPART_ARC
(18,14),-2.18365 # DEPENDENCYPART_ARC
(18,17),-2.26355 # DEPENDENCYPART_ARC
(18,19),-1.46807 # DEPENDENCYPART_ARC
(19,13),-2.45572 # DEPENDENCYPART_ARC
(19,14),-2.35279 # DEPENDENCYPART_ARC
(19,17),-2.63843 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.312861 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.299838 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.19324 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.182108 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0384053 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.15274 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.301661 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.182108 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.13473 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.306728 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.301737 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.13025 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.13025 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.13025 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.228357 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.286497 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.299344 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.831784 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.594172 # DEPENDENCYPART_SIBL
(0,2),(0,9),-1.47208 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.299344 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0808862 # DEPENDENCYPART_SIBL
(0,2),(0,13),-1.47209 # DEPENDENCYPART_SIBL
(0,2),(0,14),-1.46365 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.00577954 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.00577954 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.00577954 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0927881 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.110107 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0493058 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.115977 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.418845 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.110107 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.160982 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.418942 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.418845 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0647483 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0647483 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0647483 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0776571 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.201873 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00600445 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.360541 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0776571 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0184865 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.361115 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.360345 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.302867 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.302867 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.302867 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0988373 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.014076 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0246135 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.409652 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.408974 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.359131 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.826154 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.188528 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0153741 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.827248 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.826586 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.233903 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.233903 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.233903 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.721124 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.216065 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0379478 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.722217 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.721555 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0600488 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.0600488 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0600488 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0753718 # DEPENDENCYPART_SIBL
(0,9),(0,13),-1.4632 # DEPENDENCYPART_SIBL
(0,9),(0,14),-1.45476 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.00769122 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.00769122 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.00769122 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0246135 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.409652 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.408974 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.32772 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.326321 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.160421 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.160421 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.160421 # DEPENDENCYPART_SIBL
(0,13),(0,14),-1.46234 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.00679673 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.00679673 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.00679673 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0178473 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0178473 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0178473 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.147083 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.147083 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.147083 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0106328 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0416612 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0250075 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0257099 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.009796 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0125574 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.1793 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0135391 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.009796 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0257461 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.191836 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.191836 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0407099 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0413587 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.030301 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.049074 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.10621 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0494562 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.030301 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0427354 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0625223 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0625223 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.29249 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.029073 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0842145 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.102011 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0620756 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.029073 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0624349 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.131302 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.131302 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0290826 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0842241 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.102002 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0620579 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0290826 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0624444 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.131312 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.131312 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0840004 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0297334 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.106978 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.127149 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0266671 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.116535 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.116535 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0829032 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00270078 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0419298 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0670889 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.18655 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.18655 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0126137 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0518149 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0250953 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.132264 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.132264 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.000318972 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00312706 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00567903 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00567903 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0266671 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.116535 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.116535 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0455358 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0455358 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0782603 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0638817 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0616435 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.061584 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0580757 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00256639 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0737071 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.016783 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0580757 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0294574 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.058507 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.058507 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0690599 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.064872 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0837294 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0347725 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0690599 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0323356 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.111014 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0577671 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0359358 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0092955 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0711119 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0577671 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0705434 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0577671 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0359358 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0092955 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0711079 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0577671 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0705394 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0233682 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0472859 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0022067 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0594855 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00325431 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.225244 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0525541 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00858447 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0536387 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0647971 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0220148 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0658817 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0092447 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.338786 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00325431 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.157237 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00220509 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0752758 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0267568 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0568526 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0207447 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0130876 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0131473 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0468551 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0154718 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00901014 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0466506 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0609251 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0150572 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00274423 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0439451 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0654962 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0135418 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.194656 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.072367 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0845651 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.143501 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.157237 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.1198 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0708315 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0284107 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0551987 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0651875 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0660839 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.129927 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00807817 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0208775 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.150516 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0114297 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.046855 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0154717 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00548063 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0377461 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0117312 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0439451 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0654962 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.194656 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0918412 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0918412 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.680317 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.100325 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0112266 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00605861 # DEPENDENCYPART_SIBL
