# _root_ Regulované a centrálně stanovené ceny se zjišťují na příslušných orgánech ( tisk , energie , pojištění aj . ) .
#goldHeads=2,5,4,2,7,7,0,7,10,8,17,17,17,17,17,17,10,17,17,0,
#predictedHeads=2,5,4,2,7,7,0,7,10,8,17,7,17,15,17,17,12,17,17,0,
(5,1),(5,12),-0.0173924 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.188329 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.35732 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0318633 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00186616 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0625308 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0105128 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0166404 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0223092 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0166385 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0201072 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0588847 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0148309 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0890518 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0219746 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0249077 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0220234 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0249835 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0468482 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0476334 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0022061 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.122707 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00100349 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0155246 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00100917 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0136884 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.223014 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0407379 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0591781 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.010259 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0596059 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0103114 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0179986 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00632487 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0146064 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0063193 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.000982852 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0177285 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0107482 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0177464 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0351429 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0293195 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0351397 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0733756 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0980863 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.342421 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0462392 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0144349 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0121188 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0540863 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0134985 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0586151 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0836082 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0627292 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0266233 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0623742 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0379132 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0669737 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0379132 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0583961 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0832136 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0993264 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0276222 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0993264 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0983664 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.159622 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0779348 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00751538 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0128197 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0335517 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00529067 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.000713909 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00564378 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00948827 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.00880989 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00948827 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00579266 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0121608 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0654297 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0323261 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0654297 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0181754 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00729905 # DEPENDENCYPART_SIBL
